PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LA,PT,PL,TA,JT,JID,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,FAU,AU,AD,RN,GR,PMC,SI,GS,TT,RF,EIN,CON,OID,OAB,OABL,OTO,OT,GN
1677115,NLM,MEDLINE,19910821,20150616,0140-6736 (Print) 0140-6736 (Linking),338,8762,1991 Aug 3,Large granular lymphocytic leukaemia.,284-5,['eng'],['Editorial'],England,Lancet,"Lancet (London, England)",2985213R,IM,"['Lancet. 1991 Sep 7;338(8767):634. PMID: 1679173', 'Lancet. 1991 Oct 5;338(8771):898. PMID: 1681263']","['Adult', 'Diagnosis, Differential', 'Felty Syndrome/diagnosis', 'Female', 'Humans', '*Leukemia, Myeloid/blood/diagnosis/metabolism', 'Leukocyte Count', 'Lymphocyte Activation', 'Male', 'Neutropenia/blood', 'T-Lymphocytes, Cytotoxic/*metabolism']",1991/08/03 00:00,1991/08/03 00:01,['1991/08/03 00:00'],"['1991/08/03 00:00 [pubmed]', '1991/08/03 00:01 [medline]', '1991/08/03 00:00 [entrez]']",['0140-6736(91)90422-L [pii]'],ppublish,Lancet. 1991 Aug 3;338(8762):284-5.,,,,,,,,,,,,,,,,,,,
1677057,NLM,MEDLINE,19910820,20181130,0887-6924 (Print) 0887-6924 (Linking),5,7,1991 Jul,P-glycoprotein expression and in vitro reversion of doxorubicin resistance by verapamil in clinical specimens from acute leukaemia and myeloma.,592-7,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,,"['ATP Binding Cassette Transporter, Subfamily B, Member 1', 'Doxorubicin/*metabolism', 'Drug Resistance', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/*metabolism', 'Membrane Glycoproteins/*metabolism', 'Multiple Myeloma/drug therapy/*metabolism', 'Neoplasm Proteins/*metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*metabolism', 'Verapamil/*pharmacology']",1991/07/01 00:00,1991/07/01 00:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '1991/07/01 00:01 [medline]', '1991/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1991 Jul;5(7):592-7.,"The expression of the P-glycoprotein which is associated with the development of multidrug resistance in various cell lines was investigated in 87 fresh acute leukaemia and multiple myeloma samples using the specific mouse monoclonal antibody MRK16 in an indirect immunofluorescence assay. Considering a 10% positive cell cut-off value, a heterogeneous expression of P-glycoprotein was observed in 5/22 (22.7%) de novo acute leukaemias, 7/22 (31.8%) relapse or secondary acute leukaemias, 14/27 (51.8%) acute transformation of myeloproliferative or myelodysplastic syndromes and 5/16 (31.2%) multiple myelomas. This expression was not associated with specific cytogenetic abnormalities, especially alterations of chromosome 7q. Verapamil, a calcium channel blocker, has been demonstrated to circumvent the multidrug resistance in cell lines, possibly by interfering with P-glycoprotein function. Using the microculture tetrazolium assay, verapamil was demonstrated to increase the sensitivity of fresh leukaemic or myeloma cells to doxorubicin in 19/43 (43.1%) samples. The doxorubicin IC50 level and the capacity of verapamil to increase the sensitivity of blast cells to doxorubicin in vitro did not correlate with the expression of P-glycoprotein. We conclude that high non-cytotoxic concentrations of verapamil were able to increase the in vitro doxorubicin sensitivity of fresh acute leukaemia and myeloma cells without detectable expression of the P-glycoprotein.","['Solary, E', 'Bidan, J M', 'Calvo, F', 'Chauffert, B', 'Caillot, D', 'Mugneret, F', 'Gauville, C', 'Tsuruo, T', 'Carli, P M', 'Guy, H']","['Solary E', 'Bidan JM', 'Calvo F', 'Chauffert B', 'Caillot D', 'Mugneret F', 'Gauville C', 'Tsuruo T', 'Carli PM', 'Guy H']","[""Service d'Hematologie Clinique, CHU Le Bocage, Dijon, France.""]","['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Membrane Glycoproteins)', '0 (Neoplasm Proteins)', '80168379AG (Doxorubicin)', 'CJ0O37KU29 (Verapamil)']",,,,,,,,,,,,,,
1676984,NLM,MEDLINE,19910822,20181113,0019-2805 (Print) 0019-2805 (Linking),73,2,1991 Jun,Activation of MAP-2 kinase activity by the CD2 receptor in Jurkat T cells can be reversed by CD45 phosphatase.,129-33,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Immunology,Immunology,0374672,IM,,"['Antibodies, Monoclonal/immunology', 'Antigens, CD/*immunology', 'Antigens, Differentiation, T-Lymphocyte/*immunology', 'Blotting, Western', 'CD2 Antigens', 'CD3 Complex', 'Calcium-Calmodulin-Dependent Protein Kinases', 'Cell Line', 'Histocompatibility Antigens/*immunology', 'Humans', 'Kinetics', 'Leukemia, T-Cell/immunology', 'Leukocyte Common Antigens', 'Phosphorylation', 'Phytohemagglutinins/immunology', 'Protein Kinases/*metabolism', 'Receptors, Antigen, T-Cell/immunology', 'Receptors, Immunologic/*immunology', 'T-Lymphocytes/*immunology']",1991/06/01 00:00,1991/06/01 00:01,['1991/06/01 00:00'],"['1991/06/01 00:00 [pubmed]', '1991/06/01 00:01 [medline]', '1991/06/01 00:00 [entrez]']",,ppublish,Immunology. 1991 Jun;73(2):129-33.,"We have recently characterized a serine kinase in T lymphocytes which phosphorylates microtubule-associated protein-2 (MAP-2) in vitro. This kinase is activated in a rapidly reversible fashion during ligation of CD3/Ti by a process which involves tyrosine phosphorylation of the enzyme itself. We show that the stimulatory anti-CD2 mAb combination, anti-(T11(2) + T11(3), stimulates MAP-2K activity in Jurkat cells with kinetics that are more prolonged than during anti-CD3 treatment. The principal difference is not in the rate of response induction, but in the decline of the response beyond the peak, to which end anti-CD2 stimulation resembles the sustained phytohaemagglutin (PHA) response. Parallel immunoblotting, utilizing anti-phosphotyrosine antibodies, also revealed differences in the rate at which tyrosine phosphorylation of pp43 (MAP-2K) disappears after induction. In spite of these differences, CD2 was absolutely dependent on the presence of CD3 for inducing a MAP-2K response in Jurkat cells. These results indicate that, even though CD2 and CD3 are using a common signalling pathway in Jurkat cells, additional differences such as the involvement of a tyrosine phosphatase may have to be considered in response generation. We also demonstrate that the common CD45 isoform, when cross-linked to CD2 by mAb, could inhibit the MAP-2K response during both induction as well as the disappearing phase of the response.","['Nel, A E', 'Ledbetter, J A', 'Williams, K', 'Ho, P', 'Akerley, B', 'Franklin, K', 'Katz, R']","['Nel AE', 'Ledbetter JA', 'Williams K', 'Ho P', 'Akerley B', 'Franklin K', 'Katz R']","['Department of Medicine, UCLA School of Medicine 90024-1680.']","['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (CD2 Antigens)', '0 (CD3 Complex)', '0 (Histocompatibility Antigens)', '0 (Phytohemagglutinins)', '0 (Receptors, Antigen, T-Cell)', '0 (Receptors, Immunologic)', 'EC 2.7.- (Protein Kinases)', 'EC 2.7.11.17 (Calcium-Calmodulin-Dependent Protein Kinases)', 'EC 3.1.3.48 (Leukocyte Common Antigens)']","['AI15332/AI/NIAID NIH HHS/United States', 'GM41576/GM/NIGMS NIH HHS/United States']",PMC1384454,,,,,,,,,,,,
1676924,NLM,MEDLINE,19910819,20131121,0268-3369 (Print) 0268-3369 (Linking),7,5,1991 May,Autologous blood stem cell (ABSCT) versus purged bone marrow transplantation (pABMT) in standard risk AML: influence of source and cell composition of the autograft on hemopoietic reconstitution and disease-free survival.,343-9,['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,,"['Adolescent', 'Adult', 'Blood Cells/drug effects/radiation effects', 'Bone Marrow/drug effects/radiation effects', '*Bone Marrow Cells', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Cyclophosphamide/pharmacology', 'Female', 'Hematopoiesis', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia, Myeloid, Acute/mortality/pathology/*surgery', 'Male', 'Middle Aged', 'Prognosis', 'Time Factors', 'Transplantation, Autologous']",1991/05/01 00:00,1991/05/01 00:01,['1991/05/01 00:00'],"['1991/05/01 00:00 [pubmed]', '1991/05/01 00:01 [medline]', '1991/05/01 00:00 [entrez]']",,ppublish,Bone Marrow Transplant. 1991 May;7(5):343-9.,"Complete and sustained hemopoietic function following myeloablative therapy can be successfully achieved by autologous transfusion of blood derived hemopoietic stem cells. It was the purpose of this study to compare autologous blood stem cell transplantation (ABSCT) in 20 patients with autologous transplantation of a mafosfamide purged marrow (pABMT) in 23 patients; all were transplanted in first complete remission (CR) of acute myelogenous leukemia (AML) using the same pretransplant regimen (14.4 Gy total body irradiation and 200 mg/kg cyclophosphamide). The autografts, mostly differing in source of hemopoietic stem cells, cell composition and CFU-GM number, were evaluated for their ability to reconstitute hemopoiesis and induce long-term disease-free survival (DFS). Prior to harvest, hemopoietic stem cells were mobilized by inducing transient myelosuppression (ara-C 100 mg/m2 every 12 h s.c. days 1-5 and daunorubicin 45 mg/m2, days 3 and 4) followed by an overshooting of peripheral stem cell concentration.(ABSTRACT TRUNCATED AT 250 WORDS)","['Korbling, M', 'Fliedner, T M', 'Holle, R', 'Magrin, S', 'Baumann, M', 'Holdermann, E', 'Eberhardt, K']","['Korbling M', 'Fliedner TM', 'Holle R', 'Magrin S', 'Baumann M', 'Holdermann E', 'Eberhardt K']","['Department of Internal Medicine V, Heidelberg University, Germany.']",['8N3DW7272P (Cyclophosphamide)'],,,,,,,,,,,,,,
1676593,NLM,MEDLINE,19910814,20041117,0889-2229 (Print) 0889-2229 (Linking),7,3,1991 Mar,Human T-cell leukemia virus infection in non-intravenous drug using HIV seropositive men in Los Angeles.,333-6,['eng'],['Journal Article'],United States,AIDS Res Hum Retroviruses,AIDS research and human retroviruses,8709376,IM,,"['Adult', 'Blotting, Western', 'Cell Line', 'Cohort Studies', 'Deltaretrovirus Infections/*complications/epidemiology', 'Enzyme-Linked Immunosorbent Assay', 'HIV Seropositivity/*complications/epidemiology', 'Homosexuality', 'Humans', 'Los Angeles/epidemiology', 'Male', 'Radioimmunoprecipitation Assay', 'Substance Abuse, Intravenous']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",['10.1089/aid.1991.7.333 [doi]'],ppublish,AIDS Res Hum Retroviruses. 1991 Mar;7(3):333-6. doi: 10.1089/aid.1991.7.333.,"Sera from 634 homosexual men with Western blot-confirmed human immunodeficiency virus (HIV) infection were subjected to radioimmunoprecipation assay (RIPA) using an HTLV-I-infected human T-cell line (SLB-I). Sera obtained from Japanese adult T-cell leukemia patients, noninfected healthy individuals served as positive and negative controls. HIV-infected groups were comprised of asymptomatic homosexuals (n = 131), AIDS-related complex (n = 115), Kaposi's sarcoma (n = 300), AIDS-defining opportunistic infections (n = 76), and high-grade lymphomas (n = 12). Only two patients were known to be intravenous drug users. No instances of dual retroviral infection were detected. As a corollary, no cross reactivity between HTLV and HIV gene products was noted by RIPA. We conclude that HTLV infection is uncommon among select groups of HIV seropositive homosexuals who do not engage in intravenous drug abuse. Additional studies examining the seroprevalence and consequence of HTLV infection in broader based populations at risk for retroviral infection are required.","['Aboulafia, D M', 'Mitsuyasu, R T', 'Slamon, D J']","['Aboulafia DM', 'Mitsuyasu RT', 'Slamon DJ']","['Department of Medicine, Virginia Mason Clinic, Seattle, WA.']",,,,,,,,,,,,,,,
1676586,NLM,MEDLINE,19910806,20191028,0389-2328 (Print) 0389-2328 (Linking),17,1,1991 Mar,"A study of adult T-cell leukemia virus (ATLV) infection in the field of obstetrics: its epidemiology, vertical transmission and familial clustering.",57-65,['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Asia Oceania J Obstet Gynaecol,Asia-Oceania journal of obstetrics and gynaecology,8102781,IM,,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Aged, 80 and over', 'Agglutination Tests', 'Blotting, Western', 'Carrier State/*epidemiology', 'Child', 'Cross-Sectional Studies', 'Deltaretrovirus Antibodies/*analysis', 'Enzyme-Linked Immunosorbent Assay', 'Female', 'HTLV-I Infections/*epidemiology/immunology', 'Humans', 'Japan', 'Leukemia, T-Cell/*epidemiology', 'Male', 'Middle Aged', 'Pedigree', 'Pregnancy', 'Pregnancy Complications, Infectious/*epidemiology', 'Prevalence', 'Sex Factors']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",['10.1111/j.1447-0756.1991.tb00252.x [doi]'],ppublish,Asia Oceania J Obstet Gynaecol. 1991 Mar;17(1):57-65. doi: 10.1111/j.1447-0756.1991.tb00252.x.,"Nine hundred and seventy-one healthy individuals in Iwate Prefecture, 659 pregnant women in Ishigaki Island, 487 pregnant women in Chiba Prefecture and 108 familial members of the ATLA-Ab-positive pregnant women (pregnant carrier women) were tested for ATLA-Ab by the PA, EIA and WB tests. 1) The rate of agreement of EIA with the PA test was 88.4% and there were no false negative sera by both examinations. These results indicate the both tests are available for mass screening. 2) In Iwate and Chiba Prefectures, the ATLA-Ab-positive rates of pregnant women were 5.3 and 0.6%, respectively. In addition, the incidences for healthy individuals ranged from 5.3 to 21.1% by age in Iwate Prefecture. Thus, Iwate Prefecture was found to equal Ishigaki Island (7.1%) in ATLA-Ab detection rates. 3) Forty-five (41.7%) out of 108 familial members of 15 pregnant carrier women were found to be seropositive for ATLA-Ab, which confirms a certain familial clustering of ATLV.","['Matsumoto, R', 'Inaba, N', 'Shimizu, H', 'Yamaguchi, H', 'Cho, S', 'Takamizawa, H']","['Matsumoto R', 'Inaba N', 'Shimizu H', 'Yamaguchi H', 'Cho S', 'Takamizawa H']","['Department of Obstetrics and Gynecology, Chiba University School of Medicine, Japan.']",['0 (Deltaretrovirus Antibodies)'],,,,,,,,,,,,,,
1676579,NLM,MEDLINE,19910806,20181130,0250-7005 (Print) 0250-7005 (Linking),11,2,1991 Mar-Apr,Time course of MDR gene amplification during in vivo selection for doxorubicin-resistance and during reversal in murine leukemia L 1210.,579-85,['eng'],['Journal Article'],Greece,Anticancer Res,Anticancer research,8102988,IM,,"['ATP Binding Cassette Transporter, Subfamily B, Member 1', 'Animals', 'Antibodies, Monoclonal', 'Blotting, Southern', 'Cell Survival/drug effects', 'DNA, Neoplasm/genetics/isolation & purification', 'Dose-Response Relationship, Drug', 'Doxorubicin/*pharmacology', 'Drug Resistance/*genetics', 'Female', '*Gene Amplification', 'Immunohistochemistry', 'Kinetics', 'Leukemia L1210/*genetics', 'Membrane Glycoproteins/analysis/*genetics', 'Mice', 'Mice, Inbred Strains', 'Time Factors']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",,ppublish,Anticancer Res. 1991 Mar-Apr;11(2):579-85.,"MDR gene expression in murine leukemia L 1210 cells was investigated during treatment in vivo with 0.5 mg doxorubicin/kg body weight (BW). Drug resistance (measured by an in vitro short-term test and immunohistochemistry) increased with the number of treatments and the maximum resistance reached after 8 treatments was similar with that of an established multidrug- resistant cell line (20 treatments, 2 mg/kg BW). Southern-blot and DNA dot-blot analyses show that development of MDR is associated with MDR-gene amplification and correlates with the degree of drug resistance and P-glycoprotein-expression. After cessation of doxorubicin treatment, resistance decreased continuously and disappeared after 20 passages. This decrease in resistance is accompanied by a loss of MDR gene amplification and P-glycoprotein expression. Furthermore, P-glycoprotein expression was analyzed in the first hours after treatment with doxorubicin in vivo (0.5 mg/kg BW). Expression was markedly increased and peaked at about 24 hours after treatment. In contrast, only slightly increased resistance and no MDR gene amplification could be detected.","['Volm, M', 'Mattern, J', 'Pommerenke, E W']","['Volm M', 'Mattern J', 'Pommerenke EW']","['Department of Experimental Pathology, German Cancer Research Center, Heidelberg.']","['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antibodies, Monoclonal)', '0 (DNA, Neoplasm)', '0 (Membrane Glycoproteins)', '80168379AG (Doxorubicin)']",,,,,,,,,,,,,,
1676542,NLM,MEDLINE,19910802,20190618,0036-8075 (Print) 0036-8075 (Linking),253,5015,1991 Jul 5,"Deregulation of a homeobox gene, HOX11, by the t(10;14) in T cell leukemia.",79-82,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Science,"Science (New York, N.Y.)",0404511,IM,,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Blotting, Northern', 'Chromosomes, Human, Pair 10', 'Chromosomes, Human, Pair 14', 'Cloning, Molecular', '*Gene Expression Regulation, Neoplastic', '*Genes, Homeobox', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*genetics', 'Mice', 'Molecular Sequence Data', 'Receptors, Antigen, T-Cell/genetics', 'Restriction Mapping', 'Sequence Homology, Nucleic Acid', '*Translocation, Genetic']",1991/07/05 00:00,1991/07/05 00:01,['1991/07/05 00:00'],"['1991/07/05 00:00 [pubmed]', '1991/07/05 00:01 [medline]', '1991/07/05 00:00 [entrez]']",['10.1126/science.1676542 [doi]'],ppublish,Science. 1991 Jul 5;253(5015):79-82. doi: 10.1126/science.1676542.,"Molecular cloning of the t(10;14)(q24;q11) recurrent breakpoint of T cell acute lymphoblastic leukemia has demonstrated a transcript for the candidate gene TCL3. Characterization of this gene from chromosome segment 10q24 revealed it to be a new homeobox, HOX11. The HOX11 homeodomain is most similar to that of the murine gene Hlx and possesses a markedly glycine-rich variable region and an acidic carboxyl terminus. HOX11, while expressed in liver, was not detected in normal thymus or T cells. This lineage-restricted homeobox gene is deregulated upon translocation into the T cell receptor locus where it may act as an oncogene.","['Hatano, M', 'Roberts, C W', 'Minden, M', 'Crist, W M', 'Korsmeyer, S J']","['Hatano M', 'Roberts CW', 'Minden M', 'Crist WM', 'Korsmeyer SJ']","['Howard Hughes Medical Institute, Washington University School of Medicine, St. Louis, MO 63110.']","['0 (Receptors, Antigen, T-Cell)']","['1 PO1 CA49712/CA/NCI NIH HHS/United States', 'CA 21765/CA/NCI NIH HHS/United States', 'CA 30969/CA/NCI NIH HHS/United States']",,"['GENBANK/M63875', 'GENBANK/M74516', 'GENBANK/M74517', 'GENBANK/M76239', 'GENBANK/M76240', 'GENBANK/M76241', 'GENBANK/M76242', 'GENBANK/M76243', 'GENBANK/M76244', 'GENBANK/S38742']","['Hlx', 'TLC3']",,,,,,,,,,
1676505,NLM,MEDLINE,19910807,20191210,0305-1048 (Print) 0305-1048 (Linking),19,12,1991 Jun 25,A human Hox 1 homeobox gene exhibits myeloid-specific expression of alternative transcripts in human hematopoietic cells.,3443-9,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,Nucleic Acids Res,Nucleic acids research,0411011,IM,,"['Amino Acid Sequence', 'Base Sequence', 'Blood Cells/*metabolism', 'Blotting, Northern', 'Blotting, Southern', 'Chromosome Banding', 'Chromosome Mapping', 'Chromosomes, Human, Pair 7', 'Cloning, Molecular', 'DNA/isolation & purification', 'DNA-Binding Proteins/*genetics', '*Genes, Homeobox', 'Homeobox A10 Proteins', 'Homeodomain Proteins', 'Humans', 'Molecular Sequence Data', 'Tumor Cells, Cultured']",1991/06/25 00:00,1991/06/25 00:01,['1991/06/25 00:00'],"['1991/06/25 00:00 [pubmed]', '1991/06/25 00:01 [medline]', '1991/06/25 00:00 [entrez]']",['10.1093/nar/19.12.3443 [doi]'],ppublish,Nucleic Acids Res. 1991 Jun 25;19(12):3443-9. doi: 10.1093/nar/19.12.3443.,"As part of a survey of the expression of homeobox-containing genes in human hematopoietic cells, we identified a novel gene (PL1) expressed only in cells of the myelomonocytic lineage (Shen et al., Proc. Natl. Acad. Sci, USA 86, 8536, 1989). On Northern gel analysis, major transcripts of 3.0 and 2.2 kb length are observed. Alternatively spliced homeobox-containing cDNAs, corresponding to the major transcripts, have been cloned from two myeloid leukemia cell libraries. The two cDNAs share the homeodomain and 3' flanking region but have unique 5' flanking regions. The longer transcript, would encode a 496 amino acid homeobox-containing protein, while the shorter message would encode a 94 amino acid homeobox-containing protein lacking the extended amino-terminal region. These two transcripts are differentially expressed in human leukemia cell lines. The larger transcript is exclusively expressed in cells with myelomonocytic features, while the smaller transcript is expressed in a variety of hematopoietic cell types. PL mRNA is also detectable in normal human bone marrow by RNAse protection. Neither transcript is expressed in uninduced teratocarcinoma cells or in the adult human tissues surveyed. The homeodomain is identical to the genomic sequence for Hox 1H, a newly identified member of the Hox 1 locus (Acampora et al. Nucl. Acids Res. 17, 10385, 1989). The PL1 gene was localized to chromosome 7 using chromosome specific blots and sublocalized to region pI4-21 by in situ hybridization of chromosomal spreads, confirming its location within the Hox 1 complex.","['Lowney, P', 'Corral, J', 'Detmer, K', 'LeBeau, M M', 'Deaven, L', 'Lawrence, H J', 'Largman, C']","['Lowney P', 'Corral J', 'Detmer K', 'LeBeau MM', 'Deaven L', 'Lawrence HJ', 'Largman C']","['Department of Internal Medicine, University of California, Davis 95616.']","['0 (DNA-Binding Proteins)', '0 (Homeobox A10 Proteins)', '0 (Homeodomain Proteins)', '140441-81-2 (HOXA10 protein, human)', '9007-49-2 (DNA)']","['CA 40064/CA/NCI NIH HHS/United States', 'CA 47866/CA/NCI NIH HHS/United States']",PMC328346,,,,,,,,,,,,
1676199,NLM,MEDLINE,19910801,20161021,0933-4548 (Print),43,2,1991 Apr 1,[Possible long-term prognosis in epidemiologically significant virus infections].,44-8,['ger'],"['English Abstract', 'Journal Article', 'Review']",Germany,Versicherungsmedizin,Versicherungsmedizin,8803623,IM,,"['Cause of Death', 'Cross-Sectional Studies', 'Deltaretrovirus Infections/mortality', 'Follow-Up Studies', 'Germany/epidemiology', 'HIV Infections/mortality', 'Hepatitis B/mortality', 'Hepatitis C/mortality', 'Humans', 'Incidence', 'Virus Diseases/*mortality']",1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']",,ppublish,Versicherungsmedizin. 1991 Apr 1;43(2):44-8.,"The long-range prognosis of viral diseases must be assessed differently according to their geographical occurrence. The genetic disposition, environmental factors and additional infectious diseases play a decisive part here. Vaccinations are the most important measures in the prevention of these infections. The spectrum of possible chemotherapeutic intervention for viral infectious diseases is very small, which usually makes specific treatment impossible. The most important infective viruses epidemiologically, which lead to persistent complications, are discussed in detail as follows: influenza virus, measles virus, human T-cell leukaemia virus, human immuno-deficiency virus, hepatitis B and C virus. In a discussion conclusions are drawn from the virologist's point of view for a possible long-range prognosis, which depends on the one hand on the infective agent and on the other on individual reactivity. The last chapter talks about insurance medical aspects of the most important infective viruses, which have already been discussed virologically. Some scientific developments are shown which could be future solutions of problems in diagnosis and prognosis. Such new developments could help insurance medical officers to important decision parameters for long-range prognosis, which are still largely missing at present.","['Gurtler, L', 'Jilg, W', 'Kraus, H K']","['Gurtler L', 'Jilg W', 'Kraus HK']","['Max-von-Pettenkofer-Institut, Universitat Munchen.']",,,,,,Mogliche Langzeitprognose bei epidemiologisch bedeutsamen Virusinfektionen.,34,,,,,,,,
