PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,PMC,GR,MID,CIN,TT,CON,CI,CN,SI,EIN,OTO,OT,GN,OID,IR,FIR,RPI,PS,FPS,COIS
18197435,NLM,MEDLINE,20081031,20181113,0941-4355 (Print) 0941-4355 (Linking),16,9,2008 Sep,Apoptotic and inflammation markers in oral mucositis in head and neck cancer patients receiving radiotherapy: preliminary report.,1025-33,10.1007/s00520-007-0379-8 [doi],"GOAL OF WORK: The aim of this study was to investigate the expression of pro-apoptotic protein p53 and anti-apoptotic proteins BCl-2 and MCl-1, as well as the expression of pro-inflammatory cytokines tumor necrosis factor (TNF) and interleukin-1beta (IL-1beta) in patients developing mucositis during radiotherapy for head and neck cancer. MATERIALS AND METHODS: Thirty-five patients receiving radiotherapy for head/neck cancer were included in this study. Patients were examined before radiotherapy. Oral mucositis was recorded weekly during radiotherapy. Cytologic smears from the oral cavity were taken with a brush. Immunocytochemical staining was performed by the use of p53, BCl-2, MCl-1 TNF and IL-1beta monoclonal antibodies. MAIN RESULTS: P53 was expressed in 1 of 15 smears before the initiation of radiotherapy (6.5%) compared to 3 of 7 smears from patients with grade III mucositis (43%) during radiotherapy. BCl-2 was expressed in 15 of 15 smears before radiotherapy (100%) and in three of seven patients with grade III mucositis (43%) during radiotherapy. MCl-1 was expressed in 10 of 14 samples before radiotherapy (71.5%) and in two of seven patients with grade III (28.5%) mucositis during radiotherapy. TNF was expressed in 9 of 14 patients before radiotherapy (64%) and in six of seven patients with grade III mucositis during radiotherapy (86%). IL-1beta was detected in 7 of 14 patients before radiotherapy (50%) compared to 6 of 7 patients with grade III mucositis during radiotherapy (86%). CONCLUSION: Our preliminary results indicate an induction of apoptosis and inflammation in the oral mucosa in patients developing mucositis during radiotherapy for head/neck cancer.","['Xanthinaki, Arsinoi', 'Nicolatou-Galitis, Ourania', 'Athanassiadou, Pavlina', 'Gonidi, Maria', 'Kouloulias, Vassilis', 'Sotiropoulou-Lontou, Anastasia', 'Pissakas, George', 'Kyprianou, Konstantinos', 'Kouvaris, John', 'Patsouris, Efstratios']","['Xanthinaki A', 'Nicolatou-Galitis O', 'Athanassiadou P', 'Gonidi M', 'Kouloulias V', 'Sotiropoulou-Lontou A', 'Pissakas G', 'Kyprianou K', 'Kouvaris J', 'Patsouris E']","['Dental Oncology Unit, Clinic of Hospital Dentistry, School of Dentistry, University of Athens, Athens, Greece. xanthinaki@yahoo.gr']",['eng'],['Journal Article'],20080116,Germany,Support Care Cancer,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,9302957,"['0 (Biomarkers, Tumor)', '0 (Interleukin-1beta)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Tumor Necrosis Factor-alpha)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', '*Apoptosis', 'Biomarkers, Tumor/*analysis', 'Female', 'Head and Neck Neoplasms/*chemistry/*radiotherapy', 'Humans', 'Immunohistochemistry', 'Inflammation/*physiopathology', 'Interleukin-1beta/analysis', 'Karnofsky Performance Status', 'Male', 'Middle Aged', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Pilot Projects', 'Proto-Oncogene Proteins c-bcl-2/analysis', 'Radiotherapy/adverse effects', 'Risk Factors', 'Severity of Illness Index', 'Stomatitis/*etiology/*metabolism', 'Tumor Necrosis Factor-alpha/analysis']",2008/01/17 09:00,2008/11/01 09:00,['2008/01/17 09:00'],"['2007/08/31 00:00 [received]', '2007/12/06 00:00 [accepted]', '2008/01/17 09:00 [pubmed]', '2008/11/01 09:00 [medline]', '2008/01/17 09:00 [entrez]']",['10.1007/s00520-007-0379-8 [doi]'],ppublish,Support Care Cancer. 2008 Sep;16(9):1025-33. doi: 10.1007/s00520-007-0379-8. Epub 2008 Jan 16.,,,,,,,,,,,,,,,,,,,,,
18197320,NLM,MEDLINE,20080409,20210227,1936-7163 (Electronic) 0033-6572 (Linking),38,10,2007 Nov-Dec,Granulocytic sarcoma of the gingiva: two case reports.,817-20,,The intraoral occurrence of granulocytic sarcoma is extremely rare. This article describes 2 cases of granulocytic sarcoma of the gingiva in different clinical situations: one as a precursor to acute myeloid leukemia in a 50-year-old man and the other as a sign of blast crisis in a 59-year-old man with chronic myelomonocytic leukemia. Clinicians and oral surgeons should consider the possibility of tumorous lesion and systemic disease when an intractable ulcer is encountered in an oral cavity. Early diagnosis may improve prognosis and increase expectancy of survival.,"['Matsushita, Kazuhiro', 'Abe, Takae', 'Takeda, Yukari', 'Takashima, Hidenori', 'Takada, Akio', 'Ogawa, Yayoi', 'Sato, Hidetoshi', 'Mukai, Masaya', 'Fujiwara, Toshikatsu']","['Matsushita K', 'Abe T', 'Takeda Y', 'Takashima H', 'Takada A', 'Ogawa Y', 'Sato H', 'Mukai M', 'Fujiwara T']","['Department of Dentistry and Oral Surgery, Sapporo City General Hospital, Sapporo City, Hokkaido, Japan. matsushi@den.hokudai.ac.jp']",['eng'],"['Case Reports', 'Journal Article']",,Germany,Quintessence Int,"Quintessence international (Berlin, Germany : 1985)",0342677,,,"['Blast Crisis/pathology', 'Diagnosis, Differential', 'Fatal Outcome', 'Gingival Neoplasms/*etiology/pathology', 'Humans', 'Leukemia, Myeloid, Acute/complications/*diagnosis', 'Leukemia, Myelomonocytic, Chronic/complications/*diagnosis', 'Male', 'Middle Aged', 'Sarcoma, Myeloid/*etiology/pathology']",2008/01/17 09:00,2008/04/10 09:00,['2008/01/17 09:00'],"['2008/01/17 09:00 [pubmed]', '2008/04/10 09:00 [medline]', '2008/01/17 09:00 [entrez]']",['839916 [pii]'],ppublish,Quintessence Int. 2007 Nov-Dec;38(10):817-20.,,,,,,,,,,,,,,,,,,,,,
18197172,NLM,MEDLINE,20080306,20130304,1476-5551 (Electronic) 0887-6924 (Linking),22,1,2008 Jan,Introduction to 'Spotlight on myeloproliferative neoplasms'.,2,10.1038/sj.leu.2405046 [doi],,"['Muller-Berat Killmann, C N']",['Muller-Berat Killmann CN'],['leukemia@leukemianature.com'],['eng'],['Overall'],,England,Leukemia,Leukemia,8704895,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Humans', '*Myeloproliferative Disorders/diagnosis/drug therapy/genetics']",2008/01/17 09:00,2008/03/07 09:00,['2008/01/17 09:00'],"['2008/01/17 09:00 [pubmed]', '2008/03/07 09:00 [medline]', '2008/01/17 09:00 [entrez]']","['2405046 [pii]', '10.1038/sj.leu.2405046 [doi]']",ppublish,Leukemia. 2008 Jan;22(1):2. doi: 10.1038/sj.leu.2405046.,,,,,,,,,,,,,,,,,,,,,
18197171,NLM,MEDLINE,20080306,20130304,1476-5551 (Electronic) 0887-6924 (Linking),22,1,2008 Jan,Introduction to 'A special spotlight review series on BCR-ABL-negative myeloproliferative neoplasms'.,1,10.1038/sj.leu.2404984 [doi],,"['Tefferi, A', 'Constantinescu, S N']","['Tefferi A', 'Constantinescu SN']",,['eng'],['Editorial'],,England,Leukemia,Leukemia,8704895,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Humans', '*Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/diagnosis/drug therapy/genetics']",2008/01/17 09:00,2008/03/07 09:00,['2008/01/17 09:00'],"['2008/01/17 09:00 [pubmed]', '2008/03/07 09:00 [medline]', '2008/01/17 09:00 [entrez]']","['2404984 [pii]', '10.1038/sj.leu.2404984 [doi]']",ppublish,Leukemia. 2008 Jan;22(1):1. doi: 10.1038/sj.leu.2404984.,,,,,,,,,,,,,,,,,,,,,
18197034,NLM,MEDLINE,20080410,20151119,1040-8703 (Print) 1040-8703 (Linking),20,1,2008 Feb,The efficacy of rituximab in high-grade pediatric B-cell lymphoma/leukemia: a review of available evidence.,17-22,10.1097/MOP.0b013e3282f424b0 [doi],"PURPOSE OF REVIEW: This review evaluates whether rituximab has efficacy in high-grade pediatric B-cell lymphoma/leukemia. Current pediatric protocols for CD20+ B-cell lymphoma/leukemia significantly improve survival, but with major morbidity. To assess whether rituximab has efficacy in very high-grade pediatric disease, all published data on rituximab therapy for Burkitt's lymphoma/B acute lymphoblastic leukaemia (B-ALL) and pediatric patients with relapsed/refractory large B-cell lymphoma were reviewed. RECENT FINDINGS: Three trials in adult Burkitt's/B-ALL showed a significant survival advantage when rituximab was added to standard chemotherapy. Minimal pediatric data have been published, but 19 children with mature B-cell lymphoma/B-ALL received rituximab, alone or in combination with chemotherapy, as salvage therapy, after failure of intensive chemotherapy. Fifteen of 19 (79%) responded, 12 (63%) remained alive in continuous complete remission at 5+ to 48+ months of follow-up. Two patients were alive in partial remission. Five patients died, four of progressive disease. Only one patient had no response to rituximab. SUMMARY: Rituximab has demonstrated efficacy in Burkitt's disease in adults. Although positive reporting bias is suspected, it appears that rituximab, even as monotherapy, has efficacy in heavily pretreated pediatric patients with high-grade B-lymphoma/B-ALL. Rituximab use can be justified in a prospective controlled chemotherapy dose-reduction study.","['Attias, Dina', 'Weitzman, Sheila']","['Attias D', 'Weitzman S']","['Division of Pediatric Hematology/Oncology, Bnai Zion Medical Center, Bruce Rappoport Faculty of Medicine, Technion Institute, Haifa, Israel.']",['eng'],"['Journal Article', 'Review']",,United States,Curr Opin Pediatr,Current opinion in pediatrics,9000850,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antineoplastic Agents)', '4F4X42SYQ6 (Rituximab)']",IM,"['Adult', 'Antibodies, Monoclonal/*therapeutic use', 'Antibodies, Monoclonal, Murine-Derived', 'Antineoplastic Agents/*therapeutic use', 'Child', 'Humans', 'Lymphoma, B-Cell/*drug therapy', 'Rituximab', 'Treatment Outcome']",2008/01/17 09:00,2008/04/11 09:00,['2008/01/17 09:00'],"['2008/01/17 09:00 [pubmed]', '2008/04/11 09:00 [medline]', '2008/01/17 09:00 [entrez]']","['10.1097/MOP.0b013e3282f424b0 [doi]', '00008480-200802000-00004 [pii]']",ppublish,Curr Opin Pediatr. 2008 Feb;20(1):17-22. doi: 10.1097/MOP.0b013e3282f424b0.,53,,,,,,,,,,,,,,,,,,,,
18196882,NLM,MEDLINE,20080221,20151119,0332-3102 (Print) 0332-3102 (Linking),100,9,2007 Oct,Breaking bad news--parents' experience of learning that their child has leukaemia.,588-90,,"This study aimed to seek parents' experiences of how they learned their child had leukaemia and therefore identify ways of improving this process. To achieve this task a questionnaire was designed to ask parents about specific elements of the initial interview and give them opportunity to add their thoughts and feelings on the subject. All children with a diagnosis of leukaemia over an eighteen-year period were identified and parents of those children still alive were invited to partake in the study. 49 out of 50 families agreed to participate of which 35 (72%) returned completed questionnaires. The majority 29 (83%) expressed overall satisfaction. Their replies confirmed some findings of previous studies, and also offered some new insights. Examples of new findings or expansion on previous findings include observations on the presence of young children at the initial interview; the importance of the language used in conveying the diagnosis and prognostic information, and a preference for actuarial terms when discussing prognosis. Telling parents their child has leukaemia is a challenging and important task. The experience of parents gives us valuable insights into our own communication skills and highlights areas of possible improvement in this difficult area.","['Oshea, J', 'Smith, O', ""O'Marcaigh, A"", 'McMahon, C', 'Geoghegan, R', 'Cotter, M']","['Oshea J', 'Smith O', ""O'Marcaigh A"", 'McMahon C', 'Geoghegan R', 'Cotter M']","['Department of Paediatrics, Cork University Hospital, Cork. jemos2@yahoo.co.uk']",['eng'],['Journal Article'],,Ireland,Ir Med J,Irish medical journal,0430275,,IM,"['*Adaptation, Psychological', '*Attitude to Health', 'Child', '*Child Welfare', '*Communication', 'Humans', 'Interviews as Topic', 'Leukemia/diagnosis/*psychology', 'Parent-Child Relations', 'Parents/*psychology', 'Personal Satisfaction', '*Professional-Family Relations', 'Prognosis', 'Retrospective Studies', 'Surveys and Questionnaires']",2008/01/17 09:00,2008/02/22 09:00,['2008/01/17 09:00'],"['2008/01/17 09:00 [pubmed]', '2008/02/22 09:00 [medline]', '2008/01/17 09:00 [entrez]']",,ppublish,Ir Med J. 2007 Oct;100(9):588-90.,,,,,,,,,,,,,,,,,,,,,
18196819,NLM,MEDLINE,20080807,20170214,0094-2405 (Print) 0094-2405 (Linking),34,12,2007 Dec,From medical images to multiple-biomarker microarrays.,4944-51,,"A favorite cliche, often attributed to Yogi Berra, is ""Prediction is difficult, especially about the future!"" In this brief review, we shall recall some historical difficulties in predicting the future of diagnostic medical imaging--in particular, the modern technologies of CT and MRI--and examine the analogous situation in the emerging technology of diagnostic microarrays for the multiple-biomarker problem. All of these technologies began their lives as ill-conditioned problems, i.e., there was insufficient data to solve the central problem at hand.","['Wagner, Robert F']",['Wagner RF'],"['Center for Devices and Radiological Health, FDA, 10903 New Hampshire Avenue, Building 62, Room 3126, Silver Spring, Maryland 20993-0002, USA.']",['eng'],"['Journal Article', 'Review']",,United States,Med Phys,Medical physics,0425746,['0 (Biomarkers)'],IM,"['*Biomarkers', 'Genomics/trends', 'Humans', 'Leukemia/genetics', 'Magnetic Resonance Imaging/*trends', 'Microarray Analysis/*trends', 'Tomography, X-Ray Computed/*trends']",2008/01/17 09:00,2008/08/08 09:00,['2008/01/17 09:00'],"['2008/01/17 09:00 [pubmed]', '2008/08/08 09:00 [medline]', '2008/01/17 09:00 [entrez]']",['10.1118/1.2805252 [doi]'],ppublish,Med Phys. 2007 Dec;34(12):4944-51. doi: 10.1118/1.2805252.,38,,,,,,,,,,,,,,,,,,,,
18196731,NLM,MEDLINE,20080214,20190513,0891-6640 (Print) 0891-6640 (Linking),21,6,2007 Nov-Dec,Serum C-reactive protein concentration as an indicator of remission status in dogs with multicentric lymphoma.,1231-6,,"BACKGROUND: The acute-phase protein C-reactive protein (CRP) is used as a diagnostic and prognostic marker in humans with various neoplasias, including non-Hodgkin's lymphoma. OBJECTIVE: To evaluate if CRP could be used to detect different remission states in dogs with lymphoma. ANIMALS: Twenty-two dogs with untreated multicentric lymphoma. METHODS: Prospective observational study. Blood samples were collected at the time of diagnosis, before each chemotherapy session, and at follow-up visits, resulting in 287 serum samples. RESULTS: Before therapy, a statistically significant majority of the dogs (P = .0019) had CRP concentrations above the reference range (68%, 15/22). After achieving complete remission 90% (18/20) of the dogs had CRP concentrations within the reference range, and the difference in values before and after treatment was statistically significant (P < .001). CRP concentrations of dogs in complete remission (median, 1.91; range, 0.2-103) were significantly different (P = .031) from those of dogs with partial remission (median, 2.48; range, 0-89), stable disease (median, 1.77; range, 1.03-42.65), or progressive disease (median, 8.7; range, 0-82.5). There was profound variation of CRP measurements within each dog. CONCLUSIONS: CRP is useful in determining complete remission status after treatment with cytotoxic drugs. However, the individual variation between dogs means CRP concentration is not sufficiently different in other remission states to permit its use in monitoring progression of the disease. Greater reliability in determining remission status might be achieved by combining CRP concentration with other serum markers.","['Nielsen, Lise', 'Toft, Nils', 'Eckersall, P David', 'Mellor, Dominic J', 'Morris, Joanna S']","['Nielsen L', 'Toft N', 'Eckersall PD', 'Mellor DJ', 'Morris JS']","['University of Glasgow Veterinary School, Glasgow, United Kingdom. lini@life.ku.dk']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,J Vet Intern Med,Journal of veterinary internal medicine,8708660,"['0 (Antineoplastic Agents)', '0 (Biomarkers)', '9007-41-4 (C-Reactive Protein)']",IM,"['Animals', 'Antineoplastic Agents/therapeutic use', 'Biomarkers', 'C-Reactive Protein/*metabolism', 'Dog Diseases/*blood/drug therapy/metabolism', 'Dogs', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/drug therapy/metabolism/*veterinary']",2008/01/17 09:00,2008/02/15 09:00,['2008/01/17 09:00'],"['2008/01/17 09:00 [pubmed]', '2008/02/15 09:00 [medline]', '2008/01/17 09:00 [entrez]']",['10.1892/07-058.1 [doi]'],ppublish,J Vet Intern Med. 2007 Nov-Dec;21(6):1231-6. doi: 10.1892/07-058.1.,,,,,,,,,,,,,,,,,,,,,
18196608,NLM,MEDLINE,20080403,20181113,1673-1581 (Print) 1673-1581 (Linking),9,1,2008 Jan,A novel thioredoxin reductase inhibitor inhibits cell growth and induces apoptosis in HL-60 and K562 cells.,16-21,10.1631/jzus.B071605 [doi],"Human thioredoxin reductase (TrxR) system is associated with cancer cell growth and anti-apoptosis process. Effects of 1,2-[bis(1,2-benzisoselenazolone-3(2H)-ketone)]ethane (BBSKE), a novel TrxR inhibitor, were investigated on human leukemia cell lines HL-60 and K562. BBSKE treatment induced cell growth inhibition and apoptosis in both cell lines. Apoptosis induced by BBSKE is through Bcl-2/Bax and caspase-3 pathways. Ehrlich's ascites carcinoma-bearing mice were used to investigate the anti-tumor effect of BBSKE in vivo. Tumor-bearing mice treated with BBSKE showed an increase of life span with a comparable effect to cyclophosphamide (CTX). These results suggest a potential usage of BBSKE as a therapeutic agent against non-solid tumors.","['Peng, Zuo-Fu', 'Lan, Lin-Xiang', 'Zhao, Fang', 'Li, Jing', 'Tan, Qiang', 'Yin, Han-Wei', 'Zeng, Hui-Hui']","['Peng ZF', 'Lan LX', 'Zhao F', 'Li J', 'Tan Q', 'Yin HW', 'Zeng HH']","['Department of Chem-Biology, School of Pharmaceutical Sciences, Peking University, Beijing 100083, China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,China,J Zhejiang Univ Sci B,Journal of Zhejiang University. Science. B,101236535,"['0 ((1,2-bis(1,2-benzisoselenazolone-3(2H)-ketone))ethane)', '0 (Bridged Bicyclo Compounds, Heterocyclic)', '0 (Enzyme Inhibitors)', '0 (Organoselenium Compounds)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (bcl-2-Associated X Protein)', 'EC 1.8.1.9 (Thioredoxin-Disulfide Reductase)']",IM,"['Apoptosis/*drug effects', 'Bridged Bicyclo Compounds, Heterocyclic/*pharmacology', 'Cell Proliferation/drug effects', 'Enzyme Inhibitors/*pharmacology', 'HL-60 Cells', 'Humans', 'K562 Cells', 'Organoselenium Compounds/*pharmacology', 'Proto-Oncogene Proteins c-bcl-2/physiology', 'Thioredoxin-Disulfide Reductase/*antagonists & inhibitors', 'bcl-2-Associated X Protein/physiology']",2008/01/16 09:00,2008/04/04 09:00,['2008/01/16 09:00'],"['2008/01/16 09:00 [pubmed]', '2008/04/04 09:00 [medline]', '2008/01/16 09:00 [entrez]']",['10.1631/jzus.B071605 [doi]'],ppublish,J Zhejiang Univ Sci B. 2008 Jan;9(1):16-21. doi: 10.1631/jzus.B071605.,,PMC2170464,,,,,,,,,,,,,,,,,,,
18196568,NLM,MEDLINE,20080806,20080429,1098-2795 (Electronic) 1040-452X (Linking),75,7,2008 Jul,Generation of transgenic chickens that produce bioactive human granulocyte-colony stimulating factor.,1120-6,10.1002/mrd.20860 [doi],"We report here the generation of transgenic chickens that produce human granulocyte-colony stimulating factor (hG-CSF) using replication-defective Moloney murine leukemia virus (MoMLV)-based vectors packaged with vesicular stomatitis virus G glycoprotein (VSV-G). The recombinant retrovirus was injected beneath the blastoderm of nonincubated chicken embryos (stage X). Out of 140 injected eggs, 17 chicks hatched after 21 days of incubation and all hatched chicks were found to express vector-encoded hG-GSF gene. The biological activity of the recombinant hG-CSF was significantly higher than its commercially derived E. coli-derived counterpart. Successful germline transmission of the transgene was also confirmed in G(1) transgenic chicks produced from the cross of Go transgenic roosters with nontransgenic hens, but most of the G(1) progeny were dead within 1 month of hatching.","['Kwon, Mo Sun', 'Koo, Bon Chul', 'Choi, Bok Ryul', 'Park, Yoon-Yub', 'Lee, Young Man', 'Suh, Hun Suk', 'Park, Young Sik', 'Lee, Hoon Taek', 'Kim, Jin-Hoi', 'Roh, Ji Yeol', 'Kim, Nam-Hyung', 'Kim, Teoan']","['Kwon MS', 'Koo BC', 'Choi BR', 'Park YY', 'Lee YM', 'Suh HS', 'Park YS', 'Lee HT', 'Kim JH', 'Roh JY', 'Kim NH', 'Kim T']","['Department of Physiology, Catholic University of Daegu School of Medicine, Daegu, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Mol Reprod Dev,Molecular reproduction and development,8903333,['143011-72-7 (Granulocyte Colony-Stimulating Factor)'],IM,"['Animals', 'Animals, Genetically Modified', 'Cell Culture Techniques', 'Chick Embryo/physiology', 'Chickens', 'Female', 'Fertilization in Vitro', 'Gene Transfer Techniques', 'Genetic Vectors', 'Granulocyte Colony-Stimulating Factor/*biosynthesis', 'Humans', 'Male', 'Ovum/cytology/*physiology', 'Plasmids', 'Retroviridae/genetics', 'Semen']",2008/01/16 09:00,2008/08/07 09:00,['2008/01/16 09:00'],"['2008/01/16 09:00 [pubmed]', '2008/08/07 09:00 [medline]', '2008/01/16 09:00 [entrez]']",['10.1002/mrd.20860 [doi]'],ppublish,Mol Reprod Dev. 2008 Jul;75(7):1120-6. doi: 10.1002/mrd.20860.,,,,,,,,,,,,,,,,,,,,,
