PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,PST,SO,CON,AID,CN,RF,TT,CI,EIN,GR,PMC,SI,DEP,LID,RIN,MID
11801461,NLM,MEDLINE,20020408,20191210,0390-6078 (Print) 0390-6078 (Linking),87,1,2002 Jan,Collection of Philadelphia-negative stem cells using recombinant human granulocyte colony-stimulating factor in chronic myeloid leukemia patients treated with alpha-interferon.,17-22,"BACKGROUND AND OBJECTIVES: Autologous stem cell transplantation is a therapeutic option for chronic myeloid leukemia (CML) patients who are not candidates for allogeneic transplant. To reduce the risk of post-autografting disease recurrence, different strategies of stem cell selection have been attempted. The results of using recombinant human granulocyte colony-stimulating factor (rHuG-CSF) for harvesting hematopoietic progenitors in CML patients treated with interferon-a (IFN) are reported. DESIGN AND METHODS: Twenty-one CML patients who received IFN for a median of 21 (8-68) months were mobilized with rHuG-CSF (10 mg/kg/day). Twelve were in complete (CCR) or major (MCR) cytogenetic response. Complete success was considered a sufficient harvest (> 1 x 10(6)/kg CD34(+) cells/kg) without Philadelphia (Ph)+ metaphases in at least one apheresis; a partial success was a sufficient harvest with 1-35% Ph(+) cells. RESULTS: A total of 78 aphereses were performed. No patient had major side-effects. The median number (range) of mononuclear and CD34(+) cells obtained was, respectively, 8.6 x 10(8)/kg (0.9-22.6) and 3.3 x 10(6)/kg (0.4-26.3) per patient. A sufficient cell yield was collected in all but three patients. A complete/partial success was achieved in seven CCR/MCR patients (63%) and in three (33%) with other responses. Four patients underwent successful autografting using the stem cells obtained after rHuG-CSF mobilization. INTERPRETATION AND CONCLUSIONS: Mobilization of IFN-treated patients using rHuG-CSF is safe and provides a significant proportion of Ph-negative progenitors in CML patients in complete or major cytogenetic response.","['Hernandez-Boluda, Juan-Carlos', 'Carreras, Enric', 'Cervantes, Francisco', 'Marin, Pedro', 'Arellano-Rodrigo, Eduardo', 'Rovira, Montserrat', 'Sole, Francesc', 'Lloveras, Elisabet', 'Espinet, Blanca', 'Ocejo, Agustin', 'Montserrat, Emili']","['Hernandez-Boluda JC', 'Carreras E', 'Cervantes F', 'Marin P', 'Arellano-Rodrigo E', 'Rovira M', 'Sole F', 'Lloveras E', 'Espinet B', 'Ocejo A', 'Montserrat E']","['BMT Unit, Institute of Hematology and Oncology, Department of Hematology, Hospital del Mar, Villaroel 170, 08036 Barcelona, Spain.']",['eng'],"['Evaluation Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,"['0 (Immunologic Factors)', '0 (Recombinant Proteins)', '04079A1RDZ (Cytarabine)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '9008-11-1 (Interferons)', 'G1LN9045DK (Busulfan)', 'PVI5M0M1GW (Filgrastim)', 'X6Q56QN5QC (Hydroxyurea)']",IM,['Haematologica. 2002 Jan;87(1):3-6. PMID: 11801458'],"['Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Blood Cell Count', 'Blood Component Removal', 'Bone Marrow Purging/*methods/statistics & numerical data', 'Busulfan/administration & dosage/therapeutic use', 'Cytarabine/therapeutic use', 'Feasibility Studies', 'Female', 'Filgrastim', 'Granulocyte Colony-Stimulating Factor/adverse effects/*pharmacology', 'Hematopoietic Stem Cell Mobilization/*methods', '*Hematopoietic Stem Cell Transplantation/statistics & numerical data', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Hydroxyurea/administration & dosage/therapeutic use', 'Immunologic Factors/*therapeutic use', 'Interferons/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*blood/drug therapy/therapy', 'Leukocytosis/chemically induced', 'Male', 'Middle Aged', 'Neoplastic Cells, Circulating', 'Pain/chemically induced', 'Philadelphia Chromosome', 'Recombinant Proteins', 'Remission Induction', 'Safety', 'Transplantation, Autologous', 'Treatment Outcome']",2002/01/22 10:00,2002/04/09 10:01,['2002/01/22 10:00'],"['2002/01/22 10:00 [pubmed]', '2002/04/09 10:01 [medline]', '2002/01/22 10:00 [entrez]']",ppublish,Haematologica. 2002 Jan;87(1):17-22.,,,,,,,,,,,,,,
11801460,NLM,MEDLINE,20020408,20061115,0390-6078 (Print) 0390-6078 (Linking),87,1,2002 Jan,Detection of risk groups in myelodysplastic syndromes. A multicenter study.,9-16,"BACKGROUND AND OBJECTIVES: Myelodysplastic syndromes (MDS) comprise a group of heterogeneous hematologic disorders with risk of leukemic evolution (LE). The French-American-British (FAB) co-operative group classifies them into five morphologic entities and the International Prognostic Scoring System (IPSS) proposes four groups of risk on the basis of clinical and cytogenetic variables. The aim of this study was to evaluate the application of the IPSS in our Argentine population, to test the prognostic value of its variables and to determine whether this score helps to associate prognostic subgroups of risk into FAB subtypes. DESIGN AND METHODS: Two hundred and thirty-four patients with primary MDS and a median follow-up of 28 months were evaluated using univariate analyses to determine median survival (SV) and the time to LE. The variables analyzed were FAB classification, IPSS, percentage of myeloblasts, cytogenetic groups of risk and number of cytopenias. RESULTS: Univariate analyses showed that all variables analyzed were predictive for SV and for LE in our MDS population. Application of the IPSS allowed discrimination into the 4 groups of risk and helped to identify prognostic subclasses among the FAB classification, associating 5%, 15% and 19% of cases with worse prognosis within the FAB classification of refractory anemia (RA), RA with ringed sideroblasts and RA with excess of blasts (RAEB), respectively. The IPSS was not informative for RAEB in transformation cases and would not be applied to patients with chronic myelomonocytic leukemia. INTERPRETATION AND CONCLUSIONS: This score could be applied to our MDS population, showing no geographic differences. Stratification of FAB patients according to IPSS would be helpful to develop risk-adapted therapeutic strategies.","['Belli, Carolina', 'Acevedo, Susana', 'Bengio, Raquel', 'Arrossagaray, Guillermo', 'Watman, Nora', 'Rossi, Norma', 'Garcia, Juan', 'Flores, Gabriela', 'Goldztein, Sofia', 'Larripa, Irene']","['Belli C', 'Acevedo S', 'Bengio R', 'Arrossagaray G', 'Watman N', 'Rossi N', 'Garcia J', 'Flores G', 'Goldztein S', 'Larripa I']","['Instituto de Investigaciones Hematologicas Martino R. Castex, Academia Nacional de Medicina, Pacheco de Melo 3081, CP 1425, Capital Federal, Argentina. lacuteci@intramed.net.ar']",['eng'],"['Comparative Study', 'Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,,IM,,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Aneuploidy', 'Argentina/epidemiology', 'Blood Cell Count', 'Bone Marrow/pathology', 'Bone Marrow Examination', 'Cell Lineage', 'Chromosome Aberrations', 'Disease Progression', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*epidemiology/etiology', 'Life Tables', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/classification/*epidemiology/genetics/pathology', 'Preleukemia/*epidemiology', 'Prognosis', 'Retrospective Studies', 'Risk Factors', '*Severity of Illness Index', 'Survival Analysis']",2002/01/22 10:00,2002/04/09 10:01,['2002/01/22 10:00'],"['2002/01/22 10:00 [pubmed]', '2002/04/09 10:01 [medline]', '2002/01/22 10:00 [entrez]']",ppublish,Haematologica. 2002 Jan;87(1):9-16.,,,,,,,,,,,,,,
11801458,NLM,MEDLINE,20020408,20151119,0390-6078 (Print) 0390-6078 (Linking),87,1,2002 Jan,Autotransplantation for chronic myeloid leukemia: is it useful?,3-6,,"['Olavarria, Eduardo']",['Olavarria E'],,['eng'],"['Comment', 'Editorial']",Italy,Haematologica,Haematologica,0417435,"['0 (Antineoplastic Agents, Alkylating)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '8A1O1M485B (Imatinib Mesylate)', '8N3DW7272P (Cyclophosphamide)', '9008-11-1 (Interferons)', 'G1LN9045DK (Busulfan)', 'Q41OR9510P (Melphalan)']",IM,,"['Antineoplastic Agents, Alkylating/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Benzamides', 'Bone Marrow Purging', 'Busulfan/administration & dosage/therapeutic use', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Cyclophosphamide/administration & dosage', 'Granulocyte Colony-Stimulating Factor/pharmacology', '*Hematopoietic Stem Cell Transplantation/adverse effects/mortality', 'Humans', 'Imatinib Mesylate', 'Interferons/pharmacology/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/mortality/*therapy', 'Melphalan/administration & dosage', 'Multicenter Studies as Topic', 'Piperazines/therapeutic use', 'Pyrimidines/therapeutic use', 'Retrospective Studies', 'Transplantation Conditioning', '*Transplantation, Autologous/adverse effects/mortality']",2002/01/22 10:00,2002/04/09 10:01,['2002/01/22 10:00'],"['2002/01/22 10:00 [pubmed]', '2002/04/09 10:01 [medline]', '2002/01/22 10:00 [entrez]']",ppublish,Haematologica. 2002 Jan;87(1):3-6.,['Haematologica. 2002 Jan;87(1):17-22. PMID: 11801461'],,,,,,,,,,,,,
11801319,NLM,MEDLINE,20020226,20190816,0165-4608 (Print) 0165-4608 (Linking),132,1,2002 Jan 1,Karyotypic conversion from trisomy 4 to trisomy 14 during the evolution of therapy-related myelodysplastic syndrome to acute myeloblastic leukemia.,83-4,,"['Yamamoto, Katsuya', 'Nagata, Kaoru', 'Kida, Aiko', 'Hamaguchi, Hiroyuki', 'Inagaki, Koichi']","['Yamamoto K', 'Nagata K', 'Kida A', 'Hamaguchi H', 'Inagaki K']",,['eng'],"['Case Reports', 'Letter']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,,"['Bone Marrow Cells/*pathology', 'Chromosomes, Human, Pair 14/*genetics', 'Chromosomes, Human, Pair 4/*genetics', 'Disease Progression', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics/therapy', 'Middle Aged', 'Myelodysplastic Syndromes/*genetics/therapy', 'Trisomy/*genetics']",2002/01/22 10:00,2002/02/28 10:01,['2002/01/22 10:00'],"['2002/01/22 10:00 [pubmed]', '2002/02/28 10:01 [medline]', '2002/01/22 10:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 2002 Jan 1;132(1):83-4. doi: 10.1016/s0165-4608(01)00525-8.,,"['S0165460801005258 [pii]', '10.1016/s0165-4608(01)00525-8 [doi]']",,,,,,,,,,,,
11801318,NLM,MEDLINE,20020226,20190816,0165-4608 (Print) 0165-4608 (Linking),132,1,2002 Jan 1,Translocation (5;17)(q13;q21) in a case with precursor T-lymphoblastic lymphoma/leukemia.,81-2,,"['Zamora, Lourdes', 'Espinet, Blanca', 'Sole, Francesc', 'Salido, Marta', 'Rodon, Natalia', 'Florensa, Lourdes', 'Woessner, Soledad']","['Zamora L', 'Espinet B', 'Sole F', 'Salido M', 'Rodon N', 'Florensa L', 'Woessner S']",,['eng'],['Letter'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,,"['Adult', 'Bone Marrow/pathology', 'Chromosome Aberrations', 'Chromosome Banding', 'Chromosomes, Human, Pair 17/*genetics', 'Chromosomes, Human, Pair 5/*genetics', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Prognosis', 'Translocation, Genetic/*genetics']",2002/01/22 10:00,2002/02/28 10:01,['2002/01/22 10:00'],"['2002/01/22 10:00 [pubmed]', '2002/02/28 10:01 [medline]', '2002/01/22 10:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 2002 Jan 1;132(1):81-2. doi: 10.1016/s0165-4608(01)00523-4.,,"['S0165460801005234 [pii]', '10.1016/s0165-4608(01)00523-4 [doi]']",,,,,,,,,,,,
11801317,NLM,MEDLINE,20020226,20190816,0165-4608 (Print) 0165-4608 (Linking),132,1,2002 Jan 1,Constitutional Robertsonian translocations in (9;22)-positive chronic myelogenous leukemia.,79-80,,"['Qian, Jun', 'Xue, Yongquan', 'Sun, Jianzhi', 'Guo, Yu', 'Pan, Jinlan', 'Wu, Yafang', 'Wang, Wei', 'Yao, Li']","['Qian J', 'Xue Y', 'Sun J', 'Guo Y', 'Pan J', 'Wu Y', 'Wang W', 'Yao L']",,['eng'],"['Case Reports', 'Letter']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,,"['Bone Marrow/pathology', 'Chromosome Aberrations', 'Chromosome Banding', 'Chromosomes, Human, Pair 22/*genetics', 'Chromosomes, Human, Pair 9/*genetics', 'Down Syndrome/*genetics', 'Humans', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/*genetics', 'Male', 'Prognosis', 'Translocation, Genetic/*genetics']",2002/01/22 10:00,2002/02/28 10:01,['2002/01/22 10:00'],"['2002/01/22 10:00 [pubmed]', '2002/02/28 10:01 [medline]', '2002/01/22 10:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 2002 Jan 1;132(1):79-80. doi: 10.1016/s0165-4608(01)00522-2.,,"['S0165460801005222 [pii]', '10.1016/s0165-4608(01)00522-2 [doi]']",,,,,,,,,,,,
11801315,NLM,MEDLINE,20020226,20190816,0165-4608 (Print) 0165-4608 (Linking),132,1,2002 Jan 1,Translocation (15;17) and trisomy 21 in the microgranular variant of acute promyelocytic leukemia.,74-6,"Cytogenetic abnormalities in acute myelogenous leukemia have been identified as one of the most important prognostic factors. Favorable chromosomal changes such as inv(16), t(8;21), and t(15;17) are associated with higher rates of complete remission and event-free survival. Translocation t(15;17) characterizes acute promyelocytic leukemia (APL) (French-American-British [FAB] class M3) in almost all patients. Secondary chromosomal abnormalities are also present in approximately one-third of patients with newly diagnosed APL. We present a 26-year-old Hispanic man diagnosed with the microgranular variant of APL (FAB class M3v) whose initial cytogenetics included t(15;17) and trisomy 21. The prognostic implications of trisomy 21 and other secondary cytogenetic aberrations in APL are reviewed. To our knowledge, this is the first reported case of trisomy 21 with t(15;17) in the microgranular variant of APL.","['Spell, Derrick W', 'Velagaleti, Gopalrao V N', 'Jones, Dennie V', 'Velasquez, William S']","['Spell DW', 'Velagaleti GV', 'Jones DV', 'Velasquez WS']","['Division of Hematology/Oncology, Department of Internal Medicine, UTMB, 301 University Boulevard, Route 0565, Galveston, TX 77555, USA. dwspell@utmb.edu']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,,"['Adult', 'Bone Marrow/pathology', 'Chromosome Aberrations', 'Chromosomes, Human, Pair 15/*genetics', 'Chromosomes, Human, Pair 17/*genetics', 'Down Syndrome/*genetics', 'Humans', 'Karyotyping', 'Leukemia, Promyelocytic, Acute/*genetics/pathology', 'Male', 'Prognosis', 'Translocation, Genetic/*genetics']",2002/01/22 10:00,2002/02/28 10:01,['2002/01/22 10:00'],"['2002/01/22 10:00 [pubmed]', '2002/02/28 10:01 [medline]', '2002/01/22 10:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 2002 Jan 1;132(1):74-6. doi: 10.1016/s0165-4608(01)00531-3.,,"['S0165460801005313 [pii]', '10.1016/s0165-4608(01)00531-3 [doi]']",,,,,,,,,,,,
11801314,NLM,MEDLINE,20020226,20190816,0165-4608 (Print) 0165-4608 (Linking),132,1,2002 Jan 1,Pentasomy 21 with two isochromosomes 21 in a case of acute myeloid leukemia without maturation.,71-3,"Here, we report a 72-year-old male patient with acute myeloid leukemia (AML) without maturation. Cytogenetic study of a bone marrow culture revealed the following karyotype: 47,XX,+21,+i(21)(q10)x2. Fluorescence in situ hybridization study with a locus specific probe for 21q22 verified a pentasomy of 21q as a sole clonal cytogenetic abnormality. To our knowledge, this is the first report of pentasomy 21q in AML without Down syndrome.","['Salido, Marta', 'Sole, Francesc', 'Espinet, Blanca', 'Fernandez, Cristalina', 'Zamora, Lourdes', 'Woessner, Soledad', 'Florensa, Lourdes']","['Salido M', 'Sole F', 'Espinet B', 'Fernandez C', 'Zamora L', 'Woessner S', 'Florensa L']","['Laboratori de Citologia Hematologica, Escola de Citologia Hematologica S. Woessner-IMAS, Hospital del Mar, IMAS, IMIM, Barcelona, Spain. e0037@imas.imim.es']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (Antigens, CD)']",IM,,"['Aged', '*Aneuploidy', 'Antigens, CD/analysis', 'Bone Marrow/pathology', 'Chromosome Aberrations', 'Chromosomes, Human, Pair 21/*genetics', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myeloid, Acute/diagnosis/*genetics', 'Male']",2002/01/22 10:00,2002/02/28 10:01,['2002/01/22 10:00'],"['2002/01/22 10:00 [pubmed]', '2002/02/28 10:01 [medline]', '2002/01/22 10:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 2002 Jan 1;132(1):71-3. doi: 10.1016/s0165-4608(01)00529-5.,,"['S0165460801005295 [pii]', '10.1016/s0165-4608(01)00529-5 [doi]']",,,,,,,,,,,,
11801312,NLM,MEDLINE,20020226,20190816,0165-4608 (Print) 0165-4608 (Linking),132,1,2002 Jan 1,"BCR-ABL rearrangement frequencies in chronic myeloid leukemia and acute lymphoblastic leukemia in Ecuador, South America.",65-7,"Different BCR-ABL transcript variants occur more or less frequently, according to the leukemia type. We report the frequencies of BCR-ABL transcript variants studied in chronic myeloid leukemia (CML) and acute lymphoblastic leukemia (ALL) patients in the Ecuadorian population. The frequencies found for CML patients in this study were 94.6% for the b2/a2 rearrangement and 5.4% for the b3/a2 rearrangement; whereas in ALL, all cases (100%) that presented the BCR-ABL rearrangement had the e1/a2 junction. Since our results differ from the frequencies previously reported, we suggest that this may be due to a different genetic background in the population involved in this study when compared to the populations analyzed in prior studies. Furthermore, we recommend a survey of the BCR-ABL transcript variants and their frequencies in different ethnic groups.","['Paz-y-Mino, Cesar', 'Burgos, Ramiro', 'Morillo, Santiago A', 'Santos, Juan Carlos', 'Fiallo, B Fernanda', 'Leone, Paola E']","['Paz-y-Mino C', 'Burgos R', 'Morillo SA', 'Santos JC', 'Fiallo BF', 'Leone PE']","['Laboratorio de Genetica Molecular y Citogenetica Humana, Departamento de Ciencias Biologicas, Pontificia Universidad Catolica del Ecuador, P.O. Box 17-1-2184, Quito, Ecuador. cpazymino@puceuio.puce.edu.ec']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,,"['Adolescent', 'Adult', 'Aged', 'Bone Marrow/pathology', 'Child', 'Child, Preschool', 'Ecuador/epidemiology', 'Female', 'Fusion Proteins, bcr-abl/*genetics', 'Gene Frequency', 'Gene Rearrangement', 'Genotype', 'Humans', 'Infant', 'Infant, Newborn', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction']",2002/01/22 10:00,2002/02/28 10:01,['2002/01/22 10:00'],"['2002/01/22 10:00 [pubmed]', '2002/02/28 10:01 [medline]', '2002/01/22 10:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 2002 Jan 1;132(1):65-7. doi: 10.1016/s0165-4608(01)00515-5.,,"['S0165460801005155 [pii]', '10.1016/s0165-4608(01)00515-5 [doi]']",,,,,,,,,,,,
11801311,NLM,MEDLINE,20020226,20190816,0165-4608 (Print) 0165-4608 (Linking),132,1,2002 Jan 1,Fluorescence in situ hybridization analysis of the cryptic t(12;21) (p13;q22) in childhood B-lineage acute lymphoblastic leukemia.,61-4,"We evaluated retrospectively the cryptic t(12;21)(p13;q22) in 15 children with early B-lineage acute lymphocytic leukemia who had a normal karyotype by using the locus specific probes of TEL and AML1 genes in a dual color fluorescence in situ hybridization (FISH). The FISH analysis revealed six patients with the fusion gene TEL/AML1 on chromosome 21, three of whom possessed a double fusion gene. In addition, the AML1 probe revealed hyperdiploid clones that were not detected in the conventional cytogenetic analysis. A discrepancy between the proportion of cells with the fusion gene in interphase nuclei and metaphases was noted.","['Yehuda-Gafni, Orly', 'Cividalli, Gabriel', 'Abrahmov, Ayala', 'Weintrob, Michael', 'Neriah, Susana Ben', 'Cohen, Rachel', 'Abeliovich, Dvorah']","['Yehuda-Gafni O', 'Cividalli G', 'Abrahmov A', 'Weintrob M', 'Neriah SB', 'Cohen R', 'Abeliovich D']","['Department of Human Genetics, Hadassah Hebrew University Hospital and Medical School, Jerusalem 91120, Israel.']",['eng'],['Journal Article'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (Oncogene Proteins, Fusion)', '0 (TEL-AML1 fusion protein)']",IM,,"['Burkitt Lymphoma/*genetics', 'Child', 'Child, Preschool', 'Chromosomes, Human, Pair 12/*genetics', 'Chromosomes, Human, Pair 21/*genetics', 'Core Binding Factor Alpha 2 Subunit', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence/methods', 'Infant', 'Karyotyping', 'Male', 'Oncogene Proteins, Fusion/genetics', 'Retrospective Studies', 'Translocation, Genetic/genetics']",2002/01/22 10:00,2002/02/28 10:01,['2002/01/22 10:00'],"['2002/01/22 10:00 [pubmed]', '2002/02/28 10:01 [medline]', '2002/01/22 10:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 2002 Jan 1;132(1):61-4. doi: 10.1016/s0165-4608(01)00530-1.,,"['S0165460801005301 [pii]', '10.1016/s0165-4608(01)00530-1 [doi]']",,,,,,,,,,,,
