PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,PMC,AID,OID,OAB,OABL,OTO,OT,GN,RF,AD
944095,NLM,MEDLINE,19760706,20131121,0008-5472 (Print) 0008-5472 (Linking),36,4,1976 Apr,Enhancement of 9-beta-d-arabinofuranosyladenine cytotoxicity to mouse leukemia L1210 in vitro by 2'-deoxycoformycin.,1486-91,"2'-Deoxycoformycin (2'-dCF), a potent inhibitor of adenosine deaminase, was tested in combination with 9-beta-D-arabinofuranosyladenine (ara-A) and 9-beta-D-arabinofuranosyladenine 5'-formate for cytotoxic activity against mouse leukemia L1210 in culture. 2'-dCF, which alone had no activity, significantly enhanced cytostatic and cytotoxic activities of ara-A and its more soluble derivative, 9-beta-D-arabinofuranosyladenine 5'-formate; the latter 2 agents, when tested at equimolar concentrations, were equivalent in their effects on proliferation and viability. The therapeutic response of mice bearing the in vitro line of L1210 cells (L1210/C2) to combination therapy with 2'-dCF and 9-beta-D-arabinofuranosyladenine 5'-phosphate was comparable to that reported elsewhere for therapy of mice bearing the parent in vivo line. Continuous exposure of cultured L1210 cells to ara-A and 2'-dCF induced a prolonged period of unbalanced growth, characterized by inhibition of proliferation and DNA synthesis while RNA and protein synthesis continued; exposure periods in excess of a single population doubling were required to achieve significant cell kill. Potentiation of ara-A activity against the relatively insensitive mouse leukemia L1210 was attributed to increased stability of ara-A resulting from 2'-dCF inhibition of adenosine deaminase.","['Cass, C E', 'Au-Yeung, T H']","['Cass CE', 'Au-Yeung TH']",['eng'],"['Comparative Study', 'Journal Article']",United States,Cancer Res,Cancer research,2984705R,"['0 (Adenosine Deaminase Inhibitors)', '0 (Azepines)', '0 (DNA, Neoplasm)', '0 (Deoxyribonucleosides)', '0 (Neoplasm Proteins)', '0 (Purine Nucleosides)', '0 (RNA, Neoplasm)', 'FA2DM6879K (Vidarabine)']",IM,"['Adenosine Deaminase Inhibitors', 'Animals', 'Azepines/*pharmacology/therapeutic use', 'Cells, Cultured', 'DNA, Neoplasm/biosynthesis', 'Deoxyribonucleosides/*pharmacology/therapeutic use', 'Drug Synergism', 'Leukemia L1210/*drug therapy', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Neoplasm Proteins/biosynthesis', 'Purine Nucleosides/*pharmacology', 'RNA, Neoplasm/biosynthesis', 'Vidarabine/*pharmacology/therapeutic use']",1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1976 Apr;36(4):1486-91.,,,,,,,,,,,
944093,NLM,MEDLINE,19760706,20131121,0008-5472 (Print) 0008-5472 (Linking),36,4,1976 Apr,A characterization of the immunosuppressive activity of adriamycin and daunomycin on humoral antibody production and tumor allograft rejection.,1222-7,"The effects of adriamycin (AM) and its analog daunomycin (DM) on immunological responsiveness have been investigated in an effort to elucidate whether a differential interaction of the two drugs with the immune system could play a role in the higher antineoplastic activity of AM. It was found that AM induced a greater reduction in the number of antibody-producing cells after primary stimulation with sheep erythrocytes, whereas DM was more suppressive on the secondary response to the same antigen. Primary reactivity to the T-independent antigen S-III was reduced by AM, whereas DM was ineffective in the same conditions even at high doses. In addition, when a tumor allograft model was investigated, DM was significantly more immunosuppressive than was AM administered at equitoxic doses. In contrast, these agents displayed similar activity in reducing bone marrow stem cells and in inhibiting DNA synthesis in this organ. The possibility that the different immunosuppressive capacity of AM and DM contributes to the greater antitumoral activity of the former is advanced.","['Vecchi, A', 'Mantovani, A', 'Tagliabue, A', 'Spreafico, F']","['Vecchi A', 'Mantovani A', 'Tagliabue A', 'Spreafico F']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (DNA, Neoplasm)', '0 (Immunosuppressive Agents)', '0 (Polysaccharides, Bacterial)', '80168379AG (Doxorubicin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Antibody Formation/*drug effects', 'Antibody-Producing Cells/drug effects', 'Bone Marrow/metabolism', 'Clone Cells', 'DNA, Neoplasm/biosynthesis', 'Daunorubicin/*pharmacology', 'Doxorubicin/*pharmacology', 'Female', 'Graft Rejection/drug effects', 'Hematopoietic Stem Cells/drug effects', 'Immunization, Secondary', 'Immunosuppressive Agents/*pharmacology', 'Leukemia L1210/*immunology', 'Mice', 'Mice, Inbred C3H', 'Neoplasm Transplantation', 'Polysaccharides, Bacterial', 'Transplantation, Homologous']",1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1976 Apr;36(4):1222-7.,,,,,,,,,,,
944090,NLM,MEDLINE,19760706,20131121,0008-5472 (Print) 0008-5472 (Linking),36,2 Pt 1,1976 Feb,Potentiation by guanine nucleosides of the growth-inhibitory effects of adenosine analogs on L1210 and sarcoma 180 cells in culture.,379-83,"The growth-inhibitory effect of 6-methylmercaptopurine riboside (MMPR) against leukemia L1210 cells in culture was dramatically potentiated by the addition of guanine nucleosides to the medium. In the presence of either deoxyguanosine or guanosine, the concentration of MMPR that caused 50% inhibition of growth was 35 times lower than in the absence of these nucleosides. Similar potentiation was also observed against Sarcoma 180 cells in culture by guanosine. The metabolic basis of this synergism was approached in a study of the incorporation of [14C]glycine into 5'-phosphoribosyl-N-formylglycinamide in Sarcoma 180 cells. The results show that the site of inhibition resulting in synergism is an early step in purine biosynthesis, probably phosphoribosyl pyrophosphate amidotransferase (EC 2.4.2.14). In the L1210 cell system, the addition of hypoxanthine to the medium prevented the potentiation of MMPR by guanine nucleosides supporting the conclusion that the site of the synergistic interaction involves purine biosynthesis de novo. While hypoxanthine partially reversed the growth-inhibitory effects of MMPR, an even higher degree of protection was observed in the presence of both uridine and hypoxanthine, suggesting that MMPR may have additional sites of action concerned with pyrimidine metabolism.","['Grindey, G B', 'Lowe, J K', 'Divekar, A Y', 'Hakala, M T']","['Grindey GB', 'Lowe JK', 'Divekar AY', 'Hakala MT']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Deoxyribonucleosides)', '0 (Hypoxanthines)', '0 (Purines)', '12133JR80S (Guanosine)', '342-69-8 (Methylthioinosine)', '5A614L51CT (Inosine)', '7724-76-7 (Isopentenyladenosine)', 'TE7660XO1C (Glycine)']",IM,"['Animals', 'Cell Division/drug effects', 'Cells, Cultured', 'Deoxyribonucleosides/pharmacology', 'Dose-Response Relationship, Drug', 'Drug Synergism', 'Glycine/metabolism', 'Guanosine/analogs & derivatives/*pharmacology', 'Hypoxanthines/*pharmacology', 'Inosine/*analogs & derivatives', 'Isopentenyladenosine/pharmacology', 'Leukemia L1210/*metabolism', 'Methylthioinosine/*pharmacology', 'Purines/biosynthesis', 'Sarcoma 180/*metabolism']",1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",ppublish,Cancer Res. 1976 Feb;36(2 Pt 1):379-83.,,,,,,,,,,,
943853,NLM,MEDLINE,19760602,20071115,0090-3019 (Print) 0090-3019 (Linking),5,2,1976 Feb,Myelomatous metastasis to the pineal body.,97-100,"The case is reported of a large metastasis to the pineal body in patient with plasma cell leukemia, a disorder akin to myelomatosis. There were no apparent clinical effects from the tumor in the pineal body. The brain was otherwise uninvolved. A discussion of the relevant literature is given.","['Holness, R O', 'Sangalang, V E']","['Holness RO', 'Sangalang VE']",['eng'],"['Case Reports', 'Journal Article']",United States,Surg Neurol,Surgical neurology,0367070,,IM,"['Adult', 'Brain Neoplasms/*pathology', 'Female', 'Humans', 'Leukemia, Plasma Cell/*pathology', 'Neoplasm Metastasis', '*Pineal Gland']",1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",ppublish,Surg Neurol. 1976 Feb;5(2):97-100.,,,,,,,,,,,
943788,NLM,MEDLINE,19760518,20081121,0552-2080 (Print) 0552-2080 (Linking),21,2,1976 Feb,[Use of plasma subsititutes solutions in patients with diseases of the blood system].,43-6,,"['Rozanova, L M', 'Pesterova, V V', 'Mets, V N', 'Gefen, N G', 'Rogacheva, S P']","['Rozanova LM', 'Pesterova VV', 'Mets VN', 'Gefen NG', 'Rogacheva SP']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,['0 (Plasma Substitutes)'],IM,"['Adolescent', 'Adult', 'Aged', 'Anemia/*therapy', 'Evaluation Studies as Topic', 'Humans', 'Leukemia/*therapy', 'Lymphatic Diseases/*therapy', 'Middle Aged', 'Multiple Myeloma/*therapy', 'Plasma Substitutes/*therapeutic use', 'Purpura, Thrombocytopenic/*therapy']",1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1976 Feb;21(2):43-6.,Primenenie plazmozameshchaiushchikh rastvorov u bol'nykh s zabolevaniiami sistemy krovi,,,,,,,,,,
943691,NLM,MEDLINE,19760602,20061115,0026-895X (Print) 0026-895X (Linking),12,1,1976 Jan,Inhibition of growth rate and deoxynucleoside triphosphate concentrations in cultured leukemia L1210 cells.,177-84,,"['Lowe, J K', 'Grindey, G B']","['Lowe JK', 'Grindey GB']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Pharmacol,Molecular pharmacology,0035623,"['0 (Nucleosides)', '0 (Phosphorus Radioisotopes)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)']",IM,"['Animals', 'DNA Nucleotidyltransferases/metabolism', 'Growth/*drug effects', 'Leukemia L1210/enzymology/*metabolism', 'Mice', 'Nucleosides/*pharmacology', 'Phosphorus Radioisotopes']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Mol Pharmacol. 1976 Jan;12(1):177-84.,,,,,,,,,,,
943573,NLM,MEDLINE,19760602,20200724,0022-538X (Print) 0022-538X (Linking),17,3,1976 Mar,Mason-Pfizer virus RNA genome: relationship to the RNA of morphologically similar isolates and other oncornaviruses.,705-12,"The 60-70S RNA of Mason-Pfizer virus (MPV) was iodinated in vitro and used in both direct and competitive molecular hybridization studies. MPV proviral sequences are present at a frequency of approximately one to two copies per haploid genome in the DNA of experimentally infected human cells. By nucleic acid competition hybridization, MPV RNA was found to be indistinguishable from the RNA of a virus (X381) isolated from a rhesus mammary gland and from RNA isolated from the cytoplasm of AO cells (Parks et al., 1973) and HeLa cells (Gelderblom et al., 1974), both previously reported to produce MPV-related particles. No homology was observed, however, between MPV RNA and the RNA, or the DNA, from two clones of HeLa cells obtained from the American Type Culture Collection. Hybridization of MPV 60-70S RNA to the DNA of normal tissues of humans and to the DNA of 11 other species revealed that MPV is not an endogenous virus of any of these species. Competition hybridization revealed no detectable sequence homology between the RNA of MPV and the RNAs of simian sarcoma virus, murine mammary tumor virus, murine leukemia virus, BUdR-induced guinea pig virus, or avian myeloblastosis virus. These nucleic acid studies substantiate previous ultrastructural and immunological findings that MPV and morphologically similar isolates constitute a distinct group of oncornavirus.","['Colcher, D', 'Drohan, W', 'Schlom']","['Colcher D', 'Drohan W', 'Schlom']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (RNA, Neoplasm)', '0 (RNA, Viral)']",IM,"['Animals', 'Base Sequence', 'Cell Line', 'Cytoplasm/analysis', 'HeLa Cells', 'Macaca mulatta', 'Nucleic Acid Conformation', 'Nucleic Acid Hybridization', 'Oncogenic Viruses/*analysis', 'RNA, Neoplasm/analysis', 'RNA, Viral/*analysis']",1976/03/01 00:00,1976/03/01 00:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '1976/03/01 00:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,J Virol. 1976 Mar;17(3):705-12. doi: 10.1128/JVI.17.3.705-712.1976.,,PMC515468,['10.1128/JVI.17.3.705-712.1976 [doi]'],,,,,,,,
943418,NLM,MEDLINE,19760510,20210526,0095-1137 (Print) 0095-1137 (Linking),3,1,1976 Jan,Microbial skin flora of selected cancer patients and hospital personnel.,14-20,"The bacterial flora of the skin from five anatomical sites on 10 leukemia patients, 10 patients with malignant melanoma, and a control group of 10 medical personnel was examined quantitatively and qualitatively. This was done to determine whether malignant disease results in changes in skin flora and to establish carrier rates of gram-negative bacteria on the skin of personnel in hospital environments. Gram-negative bacteria were isolated more frequently (74 isolates from 100 cultures) from the skin of leukemia patients than from either patients with malignant melanoma (8 isolates from 100 cultures) or the medical personnel (9 isolates from 100 cultures). Klebsiella pneumoniae and Pseudomonas aeruginosa were isolated exclusively from leukemia patients. Relative proportions of gram-negative bacteria in total populations were determined. The axilla was the only site with a uniformly high proportion of gram-negative bacteria. From all other sites cultured, gram-negative populations were low (1 to 5 bacteria/cm2 of skin), although a high proportion of gram-negative populations occurred randomly throughout all subject groups. It was concluded that leukemia patients tend to carry gram-negative bacteria on the skin. The factors permitting colonization of skin by gram-negative bacteria are discussed.","['McBride, M E', 'Duncan, W C', 'Bodey, G P', 'McBride, C M']","['McBride ME', 'Duncan WC', 'Bodey GP', 'McBride CM']",['eng'],['Journal Article'],United States,J Clin Microbiol,Journal of clinical microbiology,7505564,,IM,"['Adolescent', 'Adult', 'Aged', 'Bacteria/*isolation & purification', 'Gram-Negative Aerobic Bacteria/isolation & purification', 'Humans', 'Leukemia/*microbiology', 'Melanoma/*microbiology', 'Middle Aged', 'Personnel, Hospital', 'Skin/*microbiology', 'Species Specificity']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,J Clin Microbiol. 1976 Jan;3(1):14-20. doi: 10.1128/jcm.3.1.14-20.1976.,,PMC274219,['10.1128/jcm.3.1.14-20.1976 [doi]'],,,,,,,,
943285,NLM,MEDLINE,19760525,20061115,0012-0472 (Print) 0012-0472 (Linking),101,13,1976 Mar 26,[Multiple myeloma with monoclonal IgE gammopathy (author's transl)].,496-9,In a 48-year-old female patient with monoclonal gammopathy and histologically proven plasmocytoma IgE could be demonstrated in bone marrow plasma cells by means of direct immunofluorescence. Immunoelectrophoresis showed a light-chain type chi. Radiographically diffuse osteolytic skeletal lesions were found. Bence-Jones proteinuria and plasma cell leukaemia were absent. This patient represents the fourth recognized case of IgE myeloma. The chi/lambda ratio in IgE myeloma is 1:1 according to present knowledge.,"['Knedel, M', 'Fateh-Moghadam, A', 'Edel, H', 'Bartl, R', 'Neumeier, D']","['Knedel M', 'Fateh-Moghadam A', 'Edel H', 'Bartl R', 'Neumeier D']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,['37341-29-0 (Immunoglobulin E)'],IM,"['Bone Marrow/immunology', 'Bone Marrow Cells', 'Female', 'Humans', 'Hypergammaglobulinemia/*complications', 'Immunoelectrophoresis', '*Immunoglobulin E/analysis', 'Middle Aged', 'Multiple Myeloma/*complications', 'Plasma Cells/immunology']",1976/03/26 00:00,1976/03/26 00:01,['1976/03/26 00:00'],"['1976/03/26 00:00 [pubmed]', '1976/03/26 00:01 [medline]', '1976/03/26 00:00 [entrez]']",ppublish,Dtsch Med Wochenschr. 1976 Mar 26;101(13):496-9. doi: 10.1055/s-0028-1104147.,Multiples Myelom mit monoklonaler IgE-Gammopathie,,['10.1055/s-0028-1104147 [doi]'],,,,,,,,
943237,NLM,MEDLINE,19760602,20061115,0008-5472 (Print) 0008-5472 (Linking),36,3,1976 Mar,Kinetic correlates of methotrexate transport and therapeutic responsiveness in murine tumors.,1151-8,"Net accumulation of methotrexate by carrier-mediated transport in different murine tumor cells in vitro exhibits a positive correlation with the relative drug pharmacokinetics and therapeutic responsiveness in these tumors in vivo. The transport of methotrexate by Sarcoma 180, Ehrlich carcinoma, P388, P288, and L1210 leukemia cells is qualitatively similar. Influx of drug exhibits saturation kinetics and is highly temperature dependent (Q10, 6.1 to 9.4). Efflux of exchangeable methotrexate from all of the different tumor cells exhibited first-order kinetics and the same high temperature dependence seen for influx (Q10, 6.1 to 8.0). The major kinetic determinant of responsiveness is the Km for influx. Values vary from 3.1 to 11.2 X 10(-6) M and are highest in cells from a nonresponsive Sarcoma 180 tumor, somewhat lower in the poorly responsive Ehrlich tumor, lower in moderately responsive P388 and P288 leukemias, and lowest in the highly responsive L1210 leukemia. Values for the influx Vmax differ to some extent, but in a manner not correlatable with responsiveness. The level of responsiveness of the P388 leukemia in vivo can also be partially attributed to an efflux rate that is lower than that measured for the other tumor cells. Steady-state levels of drug accumulation in vitro reflected influx and efflux rates and were consistently correlatable with therapeutic responsiveness. There was no significant difference in the extent to which folate and reduced 5-substituted folate derivatives compete with methotrexate for uptake in cells from all five tumors. The average value for Ki measured with folate for each tumor cell type was 50- and 80-fold higher than for 5-formyltetrahydrofolate and 5-methyltetrahydrofolate.","['Sirotnak, F M', 'Donsbach, R C']","['Sirotnak FM', 'Donsbach RC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,,IM,"['Animals', 'Carcinoma, Ehrlich Tumor/metabolism', 'Cell Membrane/metabolism', 'Kinetics', 'Leukemia L1210/metabolism', 'Neoplasms, Experimental/*metabolism', 'Sarcoma 180/metabolism', 'Temperature']",1976/03/01 00:00,1976/03/01 00:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '1976/03/01 00:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,Cancer Res. 1976 Mar;36(3):1151-8.,,,,,,,,,,,
