PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,GR,OAB,OABL,OTO,OT,GN
7373449,NLM,MEDLINE,19800712,20190920,0096-1736 (Print) 0096-1736 (Linking),22,2,1980 Feb,Mortality among workers employed in petroleum refining and petrochemical plants.,97-103,"The cause-specific mortality experience of 3,105 members of the Oil, Chemical and Atomic Workers International Union was examined to determine if there were unusual patterns of fatal disease that may be indicative of hazardous agents in the work environment. Deaths among active Union members that were reported by locals in Texas between 1947 and 1977 were identified through membership records, and proportionate mortality was analyzed in several broad industrial categories. PMRs for cancers of the liver and biliary passages, pancreas, lung and skin were elevated among refinery and petrochemical plant workers; however, risks did not increase with length of membership. Increased relative frequencies of stomach cancer, cancer of the brain, leukemia and multiple myeloma were confined to white males in the same category who had been Union members for 10 or more years. Excess deaths from stomach cancer and brain cancer were found among white male members employed at one specific oil refinery and petrochemical plant. Observed numbers of deaths from cancer of the stomach were greater than expected among whites and nonwhites, and an elevated PMR for lung cancer among nonwhites was found at an additional plant. Findings suggest that workers in this industry may be at increased risk of certain cancers and indicate areas for further investigation.","['Thomas, T L', 'Decoufle, P', 'Moure-Eraso, R']","['Thomas TL', 'Decoufle P', 'Moure-Eraso R']",['eng'],['Journal Article'],United States,J Occup Med,Journal of occupational medicine. : official publication of the Industrial Medical Association,7502807,['0 (Petroleum)'],IM,"['Adult', '*Chemical Industry', 'Humans', 'Male', 'Middle Aged', '*Mortality', 'Neoplasms/*mortality', '*Occupations', '*Petroleum', 'Texas']",1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1097/00043764-198002000-00007 [doi]'],ppublish,J Occup Med. 1980 Feb;22(2):97-103. doi: 10.1097/00043764-198002000-00007.,,,,,,,,,
7373155,NLM,MEDLINE,19800726,20151119,0025-0694 (Print) 0025-0694 (Linking),71,5,1980 May,"Combination chemotherapy of hairy cell leukemia with cyclophosphamide, vincristine and prednisone.",136-7,,"['Case, D C Jr']",['Case DC Jr'],['eng'],"['Case Reports', 'Journal Article']",United States,J Maine Med Assoc,The Journal of the Maine Medical Association,7505619,"['5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'VB0R961HZT (Prednisone)']",IM,"['Cyclophosphamide/administration & dosage/*therapeutic use', 'Drug Therapy, Combination', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Middle Aged', 'Prednisone/administration & dosage/*therapeutic use', 'Vincristine/administration & dosage/*therapeutic use']",1980/05/01 00:00,2001/03/28 10:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1980/05/01 00:00 [entrez]']",,ppublish,J Maine Med Assoc. 1980 May;71(5):136-7.,,,,,,,,,
7373065,NLM,MEDLINE,19800712,20191031,0305-1811 (Print) 0305-1811 (Linking),7,1,1980 Feb,Change of H-2 antigens' expression on mouse leukaemia LBN/a-2 and LBN/b-3 cells in the course of serial transplantation.,39-49,"The inbred mouse strains BN/a and BN/b have haplotype H-2bp characterized by H-2.33 and lacking any other private specificity known in inbred strains. Two transplantable B cell leukaemias which originated in BN/a and BN/b mice treated with anti-lymphocyte globulin were tested serologically for H-2 antigens. Tests during passages 169--181 revealed several quantitatively different reactions with sera against public specificities, some of these being due to Ia antibodies. No change in expression of the private specificities was seen. On the other hand, during the later passages (239--258) a number of qualitative differences were seen the most remarkable being the loss of H-2.33 and gain of H-2.4,31. The overall serological pattern of cells resembled that of H-2d rather than of H-2bp haplotypes and this was confirmed by absorption tests. The changes reported here may be due to alterations of repression and derepression pattern of the presumed multiple structural H-2 genes present in the genome.","['Czarnomska, A', 'Capkova, J']","['Czarnomska A', 'Capkova J']",['eng'],['Journal Article'],England,J Immunogenet,Journal of immunogenetics,0425125,"['0 (H-2 Antigens)', '0 (Histocompatibility Antigens)', '0 (Immune Sera)']",IM,"['Absorption', 'Animals', 'Cross Reactions', 'H-2 Antigens/*immunology', 'Histocompatibility Antigens', 'Immune Sera/pharmacology', 'Leukemia, Experimental/*immunology', 'Lymph Nodes/immunology', 'Mice', 'Mice, Inbred DBA', 'Mice, Inbred Strains', 'Neoplasm Transplantation', 'Time Factors']",1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1111/j.1744-313x.1980.tb00706.x [doi]'],ppublish,J Immunogenet. 1980 Feb;7(1):39-49. doi: 10.1111/j.1744-313x.1980.tb00706.x.,,,,,,,,,
7372799,NLM,MEDLINE,19800712,20210526,0095-1137 (Print) 0095-1137 (Linking),11,4,1980 Apr,Significance of Aspergillus species isolated from respiratory secretions in the diagnosis of invasive pulmonary aspergillosis.,370-6,"To determine the significance of Aspergillus species isolated from sputum or other respiratory secretions with respect to the diagnosis of invasive pulmonary aspergillosis, the clinical records and radiographs of all patients whose respiratory secretion cultures yielded an Aspergillus species between 1972 and 1978 were reviewed. All known predispositions to invasive aspergillosis, e.g., presence of cancer or granulocytopenia, and therapy with corticosteroids, antibiotics, and cytotoxic drugs, were significantly associated with proven or probable invasive pulmonary aspergillosis. Most notable were patients with acute leukemia and granulocytopenia. Prolonged duration of hospitalization between initial isolation (greater than 2 weeks) and multiple isolates (greater than three isolates) were also significantly associated with a high frequency of proven or probable disease. Isolation of A. niger was only rarely associated with proven or probable disease (one of eight patients). The isolation of A. fumigatus and A. flavus from respiratory secretions does not usually represent laboratory contamination and must be interpreted in the light of known predispositions to aspergillosis. In some situations, e.g., granulocytopenic patients with acute leukemia, even a single isolation carries a high likelihood of invasive aspergillosis.","['Nalesnik, M A', 'Myerowitz, R L', 'Jenkins, R', 'Lenkey, J', 'Herbert, D']","['Nalesnik MA', 'Myerowitz RL', 'Jenkins R', 'Lenkey J', 'Herbert D']",['eng'],['Journal Article'],United States,J Clin Microbiol,Journal of clinical microbiology,7505564,"['0 (Adrenal Cortex Hormones)', '0 (Anti-Bacterial Agents)']",IM,"['Adrenal Cortex Hormones/therapeutic use', 'Adult', 'Aged', 'Agranulocytosis/complications', 'Anti-Bacterial Agents/therapeutic use', 'Aspergillosis/complications/*diagnosis', 'Aspergillus/*isolation & purification', 'Bronchi/metabolism', 'Female', 'Humans', 'Lung Diseases, Fungal/complications/*diagnosis', 'Male', 'Middle Aged', 'Neoplasms/complications', 'Respiratory System/*microbiology', 'Sputum/*microbiology', 'Trachea/metabolism']",1980/04/01 00:00,1980/04/01 00:01,['1980/04/01 00:00'],"['1980/04/01 00:00 [pubmed]', '1980/04/01 00:01 [medline]', '1980/04/01 00:00 [entrez]']",['10.1128/jcm.11.4.370-376.1980 [doi]'],ppublish,J Clin Microbiol. 1980 Apr;11(4):370-6. doi: 10.1128/jcm.11.4.370-376.1980.,PMC273406,,,,,,,,
7372675,NLM,MEDLINE,19800722,20210210,0021-9258 (Print) 0021-9258 (Linking),255,9,1980 May 10,Biochemical properties of purified human terminal deoxynucleotidyltransferase.,4206-12,,"['Deibel, M R Jr', 'Coleman, M S']","['Deibel MR Jr', 'Coleman MS']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Cations, Divalent)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Cations, Divalent', 'DNA Nucleotidylexotransferase/*metabolism', 'DNA Nucleotidyltransferases/*metabolism', 'Humans', 'Kinetics', 'Leukemia/*enzymology', 'Lymphocytes/*enzymology', 'Substrate Specificity']",1980/05/10 00:00,2001/03/28 10:01,['1980/05/10 00:00'],"['1980/05/10 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1980/05/10 00:00 [entrez]']",['S0021-9258(19)85653-3 [pii]'],ppublish,J Biol Chem. 1980 May 10;255(9):4206-12.,,,,,,,,,
7372613,NLM,MEDLINE,19800722,20210210,0021-9258 (Print) 0021-9258 (Linking),255,10,1980 May 25,Irreversible inactivation of the methotrexate transport system of L1210 cells by carbodiimide-activated substrates.,4829-33,"Methotrexate and 1-ethyl-3(3-dimethylaminopropyl)carbodiimide react to form a relatively unstable product (activated methotrexate) that irreversibly inhibits methotrexate transport in L1210 mouse leukemia cells. The rate of methotrexate transport was reduced 50% by pretreatment of cells with activated methotrexate at a concentration of 1 microM and by 98% upon exposure to an excess (40 microM) of this agent. Specificity was demonstrated by the fact that activated methotrexate had no effect on other transport systems (i.e. leucine and phosphate) and that complete protection against inactivation was afforded by either the unlabeled substrate (methotrexate) or a competitive inhibitor (phosphate). The carbodiimide-generated derivatives of aminopterin, folate, and p-aminobenzoylglutamate were also irreversible inhibitors of methotrexate transport, and their relative effectiveness paralleled the ability of the parent compounds (aminopterin greater than methotrexate greater than folate greater than p-aminobenzoylglutamate) to act as reversible transport inhibitors. Measurements at 4 degrees C showed that activated methotrexate (Ki = 0.8 microM) was a competitive inhibitor for binding of methotrexate (KD = 0.4 microM) to the transport protein. Treatment of the cells with sufficient activated methotrexate to inhibit transport increased the KD for methotrexate to 0.9 microM but had no effect on total methotrexate-binding activity. Methotrexate efflux was also reduced but was not blocked by an excess of this reagent.","['Henderson, G B', 'Zevely, E M', 'Huennekens, F M']","['Henderson GB', 'Zevely EM', 'Huennekens FM']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['538-75-0 (Dicyclohexylcarbodiimide)', 'RJ5OZG6I4A (Ethyldimethylaminopropyl Carbodiimide)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Biological Transport/drug effects', 'Dicyclohexylcarbodiimide/*pharmacology', 'Ethyldimethylaminopropyl Carbodiimide/*pharmacology', 'Kinetics', 'Leukemia L1210/*metabolism', 'Methotrexate/*metabolism/pharmacology', 'Mice']",1980/05/25 00:00,1980/05/25 00:01,['1980/05/25 00:00'],"['1980/05/25 00:00 [pubmed]', '1980/05/25 00:01 [medline]', '1980/05/25 00:00 [entrez]']",['S0021-9258(19)85572-2 [pii]'],ppublish,J Biol Chem. 1980 May 25;255(10):4829-33.,,,,,,,,,
7372557,NLM,MEDLINE,19800712,20190723,0021-8820 (Print) 0021-8820 (Linking),33,1,1980 Jan,"Griseorubins, a new family of antibiotics with antimicrobial and antitumor activity. II. Biological properties and antitumor activity of the antibiotic complex griseorubin.",9-12,"The antibiotic complex griseorubin has antimicrobial activity against Gram-positive as well as -negative bacteria, mycobacteria, mycoplasma and protozoa in vitro but it is not active against yeast and fungi. Tests with transplantable rodent tumors indicate that griseorubin is inhibitory to the growth of lymphatic leukemia L1210 in mice and Zajdela ascites hepatoma in rats. The acute LD50 of griseorubin in mice is 50 mg/kg of body weight when given intraperitoneally. Attempts to potentiate the antitumor activity by complexing with DNA proved to be unsuccessful.","['Dornberger, K', 'Berger, U', 'Gutsche, W', 'Jungstand, W', 'Wohlrabe, K', 'Hartl, A', 'Knoll, H']","['Dornberger K', 'Berger U', 'Gutsche W', 'Jungstand W', 'Wohlrabe K', 'Hartl A', 'Knoll H']",['eng'],['Journal Article'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['0 (Antibiotics, Antineoplastic)', '9007-49-2 (DNA)']",IM,"['Animals', 'Antibiotics, Antineoplastic/analysis/*pharmacology', 'Bacteria/drug effects', 'Cell Survival/drug effects', 'DNA/analysis', 'Female', 'Leukemia L1210/drug therapy', 'Male', 'Mice', 'Mice, Inbred Strains', 'Mycoplasma/drug effects', 'Neoplasms, Experimental/drug therapy', 'Trypanosoma/drug effects']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.7164/antibiotics.33.9 [doi]'],ppublish,J Antibiot (Tokyo). 1980 Jan;33(1):9-12. doi: 10.7164/antibiotics.33.9.,,,,,,,,,
7372554,NLM,MEDLINE,19800712,20190723,0021-8820 (Print) 0021-8820 (Linking),33,1,1980 Jan,Clazamycin B is antibiotic 354.,83-4,,"['Dolak, L A', 'DeBoer, C']","['Dolak LA', 'DeBoer C']",['eng'],['Journal Article'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['0 (Anti-Bacterial Agents)', '0 (Antiviral Agents)', '0 (Pyrroles)', '71774-49-7 (clazamycin B)']",IM,"['Animals', 'Anti-Bacterial Agents/*analysis/pharmacology/therapeutic use', 'Antiviral Agents', 'Chemical Phenomena', 'Chemistry', 'Computers', 'Drug Stability', 'Female', 'Guinea Pigs', 'Lethal Dose 50', 'Leukemia, Experimental/drug therapy', 'Mice', 'Pyrroles/analysis/pharmacology/therapeutic use', 'Rats', 'Streptomyces/metabolism', 'Temperature', 'Virus Diseases/drug therapy']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.7164/antibiotics.33.83 [doi]'],ppublish,J Antibiot (Tokyo). 1980 Jan;33(1):83-4. doi: 10.7164/antibiotics.33.83.,,,,,,,,,
7372542,NLM,MEDLINE,19800712,20190723,0021-8820 (Print) 0021-8820 (Linking),33,1,1980 Jan,"Griseorubins, a new family of antibiotics with antimicrobial and antitumor activity. I. Taxonomy of the producing strain, fermentation, isolation and chemical characterization.",1-8,"A new antibiotic complex has been obtained from the cultures of Streptomyces strain No. IMET 20978 isolated from the shrimp Crangon crangon L. On the basis of taxonomic studies the producing microorganism is described as Streptomyces fimicarius (Duche) Waksman et Henrici, 1948, type strain IMET 20978. The antibiotic complex, designated as griseorubin, belongs to the polycyclic C-glycosyl antibiotics. It is a red-coloured amorphous material which consists of eight closely related fractions including griseorubins A, B, C, D, E, F, G, and H. The griseorubin complex exhibits antibiotic activity against Gram-positive and -negative bacteria as well as against mycoplasma and protozoa. The griseorubin complex is also effective on leukemia L1210 AND Zajdela ascites hepatoma.","['Dornberger, K', 'Berger, U', 'Knoll, H']","['Dornberger K', 'Berger U', 'Knoll H']",['eng'],['Journal Article'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['0 (Antibiotics, Antineoplastic)']",IM,"['Antibiotics, Antineoplastic/*biosynthesis/isolation & purification', 'Chemical Phenomena', 'Chemistry, Physical', 'Fermentation', 'Streptomyces/classification/growth & development/*metabolism']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.7164/antibiotics.33.1 [doi]'],ppublish,J Antibiot (Tokyo). 1980 Jan;33(1):1-8. doi: 10.7164/antibiotics.33.1.,,,,,,,,,
7372493,NLM,MEDLINE,19800712,20041117,0017-9078 (Print) 0017-9078 (Linking),38,2,1980 Feb,Age dependence of the risk of radiation induced fatal malignancies.,239-44,,"['Beentjes, L B', 'Broerse, J J', 'van der Kogel, A J', 'van der Wielen, A']","['Beentjes LB', 'Broerse JJ', 'van der Kogel AJ', 'van der Wielen A']",['eng'],['Letter'],United States,Health Phys,Health physics,2985093R,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Female', 'Humans', 'Leukemia, Radiation-Induced/mortality', 'Male', 'Middle Aged', 'Neoplasms, Radiation-Induced/*mortality', 'Risk', 'Sex Factors']",1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",,ppublish,Health Phys. 1980 Feb;38(2):239-44.,,,,,,,,,
