PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,PMC,RF,GR,TT,MID,CI,EIN,CON,CIN,CN,PS,FPS,GN,SI,RIN,OID,OTO,OT,LID,CRI
15876532,NLM,MEDLINE,20050919,20061115,0960-894X (Print) 0960-894X (Linking),15,12,2005 Jun 15,"Synthesis, antitumor evaluation and DNA photocleaving activity of novel methylthiazonaphthalimides with aminoalkyl side chains.",3143-6,"A series of methylthiazonaphthalimides was synthesized and quantitatively evaluated as efficient DNA intercalators, antitumor agents and DNA photocleavers. A(1) showed both efficient antitumor activities against cell lines of A549 and P388 with IC50 of 82.8 and 31 nM, respectively. A(3) was the strongest antitumor agent against A549 with the IC50 of 20.8 nM. A(2), the most efficient DNA intercalator, was found to be the strongest DNA photocleaver via superoxide anion. An explanation was given for the disaccord between antitumor and DNA photocleaving activities.","['Li, Zhigang', 'Yang, Qing', 'Qian, Xuhong']","['Li Z', 'Yang Q', 'Qian X']","['State Key Lab. of Fine Chemicals, Dalian University of Technology, PO Box 158, Zhongshan Road, Dalian 116012, China.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Bioorg Med Chem Lett,Bioorganic & medicinal chemistry letters,9107377,"['0 (Antineoplastic Agents)', '0 (Imides)', '0 (Intercalating Agents)', '0 (Naphthalenes)', '0 (Radiation-Sensitizing Agents)', '11062-77-4 (Superoxides)', '9007-49-2 (DNA)']",IM,"['Animals', 'Antineoplastic Agents/chemical synthesis/chemistry/pharmacology', 'Cattle', 'DNA/chemistry/*metabolism/*radiation effects', 'Drug Screening Assays, Antitumor', 'Humans', 'Imides/*chemical synthesis/chemistry/*pharmacology', 'Inhibitory Concentration 50', 'Intercalating Agents/chemical synthesis/chemistry/pharmacology', 'Leukemia P388/drug therapy', 'Lung Neoplasms/drug therapy', 'Mice', 'Naphthalenes/*chemical synthesis/chemistry/*pharmacology', 'Radiation-Sensitizing Agents/chemical synthesis/chemistry/pharmacology', 'Structure-Activity Relationship', 'Superoxides/metabolism', 'Tumor Cells, Cultured', 'Ultraviolet Rays']",2005/05/07 09:00,2005/09/20 09:00,['2005/05/07 09:00'],"['2005/02/01 00:00 [received]', '2005/04/05 00:00 [revised]', '2005/04/08 00:00 [accepted]', '2005/05/07 09:00 [pubmed]', '2005/09/20 09:00 [medline]', '2005/05/07 09:00 [entrez]']","['S0960-894X(05)00474-9 [pii]', '10.1016/j.bmcl.2005.04.012 [doi]']",ppublish,Bioorg Med Chem Lett. 2005 Jun 15;15(12):3143-6. doi: 10.1016/j.bmcl.2005.04.012.,,,,,,,,,,,,,,,,,,,,,
15876454,NLM,MEDLINE,20051202,20151119,0145-2126 (Print) 0145-2126 (Linking),29,11,2005 Nov,CML patient with rare b 2 a 3 (e 13 a 3) variant of BCR-ABL transcript: complete molecular response to imatinib.,1365-6,,"['Moravcova, Jana', 'Rulcova, Jana', 'Polak, Jaroslav', 'Zemanova, Zuzana', 'Klamova, Hana', 'Haskovec, Cedrik']","['Moravcova J', 'Rulcova J', 'Polak J', 'Zemanova Z', 'Klamova H', 'Haskovec C']",,['eng'],"['Case Reports', 'Letter', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adult', 'Benzamides', 'Cytogenetic Analysis/methods', 'Exons', 'Fusion Proteins, bcr-abl/*genetics', '*Genetic Variation', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/*drug therapy/*genetics', 'Male', 'Piperazines/*therapeutic use', 'Pyrimidines/*therapeutic use', 'Remission Induction/methods', 'Reverse Transcriptase Polymerase Chain Reaction/methods']",2005/05/07 09:00,2005/12/13 09:00,['2005/05/07 09:00'],"['2005/03/18 00:00 [received]', '2005/05/07 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/05/07 09:00 [entrez]']","['S0145-2126(05)00159-1 [pii]', '10.1016/j.leukres.2005.04.001 [doi]']",ppublish,Leuk Res. 2005 Nov;29(11):1365-6. doi: 10.1016/j.leukres.2005.04.001.,,,,,,,,,,,,,,,,,,,,,
15876358,NLM,MEDLINE,20060818,20181113,1742-4690 (Electronic) 1742-4690 (Linking),2,,2005 May 6,Elevated expression of CD30 in adult T-cell leukemia cell lines: possible role in constitutive NF-kappaB activation.,29,"BACKGROUND: Human T-cell leukemia virus type 1 (HTLV-1) is associated with the development of adult T-cell leukemia (ATL). HTLV-1 encoded Tax1 oncoprotein activates the transcription of genes involved in cell growth and anti-apoptosis through the NF-kappaB pathway, and is thought to play a critical role in the pathogenesis of ATL. While Tax1 expression is usually lost or minimal in ATL cells, these cells still show high constitutive NF-kappaB activity, indicating that genetic or epigenetic changes in ATL cells induce activation independent of Tax1. The aim of this study was to identify the molecules responsible for the constitutive activation of NF-kappaB in ATL cells using a retroviral functional cloning strategy. RESULTS: Using enhanced green fluorescent protein (EGFP) expression and blasticidin-resistance as selection markers, several retroviral cDNA clones exhibiting constitutive NF-kappaB activity in Rat-1 cells, including full-length CD30, were obtained from an ATL cell line. Exogenous stable expression of CD30 in Rat-1 cells constitutively activated NF-kappaB. Elevated expression of CD30 was identified in all ATL lines examined, and primary ATL cells from a small number of patients (8 out of 66 cases). CONCLUSION: Elevated CD30 expression is considered one of the causes of constitutive NF-kappaB activation in ATL cells, and may be involved in ATL development.","['Higuchi, Masaya', 'Matsuda, Takehiro', 'Mori, Naoki', 'Yamada, Yasuaki', 'Horie, Ryouichi', 'Watanabe, Toshiki', 'Takahashi, Masahiko', 'Oie, Masayasu', 'Fujii, Masahiro']","['Higuchi M', 'Matsuda T', 'Mori N', 'Yamada Y', 'Horie R', 'Watanabe T', 'Takahashi M', 'Oie M', 'Fujii M']","['Division of Virology, Niigata University Graduate School of Medical and Dental Sciences, Niigata 951-8510, Japan. mhiguchi@med.niigata-u.ac.jp']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Retrovirology,Retrovirology,101216893,"['0 (Ki-1 Antigen)', '0 (NF-kappa B)']",IM,"['Animals', 'Cell Line', 'Fibroblasts', 'Human T-lymphotropic virus 1/pathogenicity', 'Humans', 'Jurkat Cells', 'Ki-1 Antigen/*metabolism', 'Leukemia-Lymphoma, Adult T-Cell/*metabolism', 'NF-kappa B/*metabolism', 'Rats', 'T-Lymphocytes', 'Tumor Cells, Cultured', '*Up-Regulation']",2005/05/07 09:00,2006/08/19 09:00,['2005/05/07 09:00'],"['2005/02/07 00:00 [received]', '2005/05/06 00:00 [accepted]', '2005/05/07 09:00 [pubmed]', '2006/08/19 09:00 [medline]', '2005/05/07 09:00 [entrez]']","['1742-4690-2-29 [pii]', '10.1186/1742-4690-2-29 [doi]']",epublish,Retrovirology. 2005 May 6;2:29. doi: 10.1186/1742-4690-2-29.,20050506,PMC1274245,,,,,,,,,,,,,,,,,,,
15876261,NLM,MEDLINE,20050616,20151119,0902-4441 (Print) 0902-4441 (Linking),74,6,2005 Jun,Imatinib in pregnancy.,535-7,,"['AlKindi, Salam', 'Dennison, David', 'Pathare, Anil']","['AlKindi S', 'Dennison D', 'Pathare A']",,['eng'],"['Case Reports', 'Letter']",England,Eur J Haematol,European journal of haematology,8703985,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adult', 'Antineoplastic Agents/*administration & dosage', 'Benzamides', 'Female', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Piperazines/*administration & dosage', 'Pregnancy', 'Pregnancy Complications, Hematologic/*drug therapy', 'Pyrimidines/*administration & dosage']",2005/05/07 09:00,2005/06/17 09:00,['2005/05/07 09:00'],"['2005/05/07 09:00 [pubmed]', '2005/06/17 09:00 [medline]', '2005/05/07 09:00 [entrez]']","['EJH420 [pii]', '10.1111/j.1600-0609.2005.00420.x [doi]']",ppublish,Eur J Haematol. 2005 Jun;74(6):535-7. doi: 10.1111/j.1600-0609.2005.00420.x.,,,,,,,,,,,,,,,,,,,,,
15876260,NLM,MEDLINE,20050616,20131121,0902-4441 (Print) 0902-4441 (Linking),74,6,2005 Jun,Dialysate concentration and pharmacokinetics of 2F-Ara-A in a patient with acute renal failure.,533-4,Fludarabine is frequently used for treatment of B-cell chronic lymphocytic leukemia and in conditioning regimes for hematopoietic cell transplantations. The total body clearance of the principal metabolite 2-fluoro-ara-A (2F-Ara-A) correlates with the creatinine clearance. We report data on total dialysate concentration as well as pharmacokinetics of 2F-Ara-A in a patient with anuric acute renal failure. On three consecutive days the patient received a daily dose of 80 mg (40 mg/m(2)) fludarabine and underwent three consecutive extended (daily) dialysis (ED) sessions. ED removed a considerable amount of the drug. The average dialysis clearance was 33.85 ml/min which is about 25% of the clearance in patients without renal failure. No toxic side effects of the treatment were observed. This case suggests that fludarabine treatment can be considered in patients requiring dialysis if dose reduction and adequate removal of the drug by hemodialysis is provided.,"['Kielstein, Jan T', 'Stadler, Michael', 'Czock, David', 'Keller, Frieder', 'Hertenstein, Bernd', 'Radermacher, Jorg']","['Kielstein JT', 'Stadler M', 'Czock D', 'Keller F', 'Hertenstein B', 'Radermacher J']","['Department of Nephrology, Hannover Medical School, Hannover, Germany. Kielstein@yahoo.com']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Haematol,European journal of haematology,8703985,"['0 (Immunosuppressive Agents)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Acute Kidney Injury/etiology/*therapy', 'Humans', 'Immunosuppressive Agents/administration & dosage/*pharmacokinetics', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications/*drug therapy', 'Male', 'Middle Aged', '*Renal Dialysis', 'Vidarabine/administration & dosage/*analogs & derivatives/*pharmacokinetics']",2005/05/07 09:00,2005/06/17 09:00,['2005/05/07 09:00'],"['2005/05/07 09:00 [pubmed]', '2005/06/17 09:00 [medline]', '2005/05/07 09:00 [entrez]']","['EJH439 [pii]', '10.1111/j.1600-0609.2005.00439.x [doi]']",ppublish,Eur J Haematol. 2005 Jun;74(6):533-4. doi: 10.1111/j.1600-0609.2005.00439.x.,,,,,,,,,,,,,,,,,,,,,
15876259,NLM,MEDLINE,20050616,20071115,0902-4441 (Print) 0902-4441 (Linking),74,6,2005 Jun,Successful non-T-cell-depleted HLA-haploidentical 3-loci mismatched bone marrow transplantation.,529-32,"A 17-year-old boy with therapy-related acute myelocytic leukemia (FAB classification-M0) successfully received allogeneic non-T-cell depleted (non-TCD) bone marrow transplantation (BMT) from his 3-loci HLA-mismatch mother, although pre-BMT detection of feto-maternal microchimerism was negative. The BMT was performed with reduced intensity conditioning (total body irradiation; 4 Gy, fludarabine; 20 mg/m(2) x 6, and melphalan; 70 mg/m(2) x 2) and short-course methotrexate and tacrolimus for GVHD prophylaxis. Complete donor chimera was obtained on day 19, associated with Grade 3 acute GVHD (skin: Stage 1, liver: Stage 0, gut: Stage 3) that was well controlled with immunosuppressive therapies. At day 200 of transplantation, he was in complete remission with no signs of chronic GVHD. Our case suggests that non-TCD HLA-haploidentical 3-loci mismatched BMT can be safely performed from mother to offspring even when feto-maternal microchimerism is barely detectable with the current detection procedure.","['Yagyu, Shigeki', 'Kuroda, Hiroshi', 'Fujiki, Atsushi', 'Tamura, Shinichi', 'Iehara, Tomoko', 'Morimoto, Akira', 'Hosoi, Hajime', 'Sugimoto, Tohru', 'Imashuku, Shinsaku']","['Yagyu S', 'Kuroda H', 'Fujiki A', 'Tamura S', 'Iehara T', 'Morimoto A', 'Hosoi H', 'Sugimoto T', 'Imashuku S']","['Department of Pediatrics, Kyoto City Hospital, Kyoto, Japan. shigeky@m7.dion.ne.jp']",['eng'],"['Case Reports', 'Journal Article']",England,Eur J Haematol,European journal of haematology,8703985,['0 (HLA Antigens)'],IM,"['Adolescent', '*Bone Marrow Transplantation', 'Female', 'Graft vs Host Disease/pathology/prevention & control', '*HLA Antigens', 'Histocompatibility Testing', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Male', 'Maternal-Fetal Relations', 'Mothers', 'Remission Induction', 'Tissue Donors', 'Transplantation Chimera', 'Transplantation Conditioning']",2005/05/07 09:00,2005/06/17 09:00,['2005/05/07 09:00'],"['2005/05/07 09:00 [pubmed]', '2005/06/17 09:00 [medline]', '2005/05/07 09:00 [entrez]']","['EJH430 [pii]', '10.1111/j.1600-0609.2005.00430.x [doi]']",ppublish,Eur J Haematol. 2005 Jun;74(6):529-32. doi: 10.1111/j.1600-0609.2005.00430.x.,,,,,,,,,,,,,,,,,,,,,
15876255,NLM,MEDLINE,20050616,20151119,0902-4441 (Print) 0902-4441 (Linking),74,6,2005 Jun,Sequential organ failure predicts mortality of patients with a haematological malignancy needing intensive care.,511-6,"OBJECTIVES: Poor survival of patients with a haematological malignancy admitted to the intensive care unit (ICU) prompts for proper admission triage and prediction of ICU treatment failure and long-term mortality. We therefore tried to find predictors of the latter outcomes. METHODS: A retrospective analysis of charts and a prospective follow-up study were done, of haemato-oncological patients, admitted to our ICU in a 7-year period with a follow-up until 2 yr thereafter. Clinical parameters during the first four consecutive days were taken to calculate the simplified acute physiology (SAPS II) and the sequential organ failure assessment (SOFA) scores, of proven predictive value in general ICU populations. RESULTS: From a total of 58 patients (n = 47 with acute myelogenous leukaemia or non-Hodgkin lymphoma), admitted into ICU mostly because of respiratory insufficiency, sepsis, shock or combinations, 36 patients had died during their stay in the ICU. Of ICU survivors (n = 22), 20 patients died during follow-up so that the 1-year survival rate was only 12%. The SAPS II and particularly the SOFA scores were of high predictive value for ICU and long-term mortality. CONCLUSIONS: Patients with life-threatening complications of haematological malignancy admitted to ICU ran a high risk for death in the ICU and on the long-term, and the risk can be well predicted by SOFA. The latter may help us to decide on intensive care in individual cases, in order to avoid potentially futile care for patients with a SOFA score of 15 or higher.","['Cornet, Alexander D', 'Issa, Aart I', 'van de Loosdrecht, Arjan A', 'Ossenkoppele, Gert J', 'Strack van Schijndel, Rob J M', 'Groeneveld, A B Johan']","['Cornet AD', 'Issa AI', 'van de Loosdrecht AA', 'Ossenkoppele GJ', 'Strack van Schijndel RJ', 'Groeneveld AB']","['Department of Intensive Care, Institute for Cardiovascular Research, Vrije Universiteit Medical Centre, Amsterdam, the Netherlands.']",['eng'],['Journal Article'],England,Eur J Haematol,European journal of haematology,8703985,,IM,"['Adult', 'Aged', '*Critical Care', 'Female', '*Hospital Mortality', 'Humans', 'Leukemia, Myeloid, Acute/complications/*mortality', 'Lymphoma, Non-Hodgkin/complications/*mortality', 'Male', 'Middle Aged', 'Multiple Organ Failure/etiology/*mortality', 'Prognosis', 'Risk Factors', 'Severity of Illness Index', 'Survival Analysis', 'Survival Rate']",2005/05/07 09:00,2005/06/17 09:00,['2005/05/07 09:00'],"['2005/05/07 09:00 [pubmed]', '2005/06/17 09:00 [medline]', '2005/05/07 09:00 [entrez]']","['EJH 418 [pii]', '10.1111/j.1600-0609.2005.00418.x [doi]']",ppublish,Eur J Haematol. 2005 Jun;74(6):511-6. doi: 10.1111/j.1600-0609.2005.00418.x.,,,,,,,,,,,,,,,,,,,,,
15876254,NLM,MEDLINE,20050616,20061115,0902-4441 (Print) 0902-4441 (Linking),74,6,2005 Jun,Grading of symptoms in hyperleukocytic leukaemia: a clinical model for the role of different blast types and promyelocytes in the development of leukostasis syndrome.,501-10,"OBJECTIVE: Patients with hyperleukocytic leukaemia were graded according to the severity of symptoms possibly caused by leukostasis to evaluate the effectiveness of therapy and to test the relative contribution of blast type and count of blasts and promyelocytes in the development of leukostasis syndrome. METHODS: Ninety-five patients (59 male, 36 female, median age 52 yr) with hyperleukocytic leukaemia [leukocytes above 50 x 10(9)/L, 48 acute myeloid leukaemia (AML), 31 chronic myeloid leukaemia (CML), 13 acute lymphoblastic leukaemia (ALL), three chronic myelomonocytic leukaemia (CMML)] were grouped according to the presence or absence and severity of neurologic, pulmonary and other symptoms into four categories (no, possible, probable and highly probable leukostasis syndrome). Age, white blood count (WBC), haemoglobin, blast count and total of blasts plus promyelocytes of these groups were compared by Mann-Whitney U-test. RESULTS: Patients with myeloid leukaemia (AML M1/M2, CML) which scored as highly probable leukostasis showed significantly higher WBC (P = 0.011), lower haemoglobin (P = 0.004), higher peripheral blast counts (P = 0.004) and higher total of peripheral blasts plus promyelocytes (P < 0.001) compared with the lower probability groups. In leukaemia involving the monocytic lineage (AML M4/M5, CMML) no significant differences were found in any of these factors between patients with highly probable leukostasis and the other patients. CONCLUSIONS: Our results show that a four-stage clinical grading scale is a valuable tool for analysing hyperleukocytic patient populations and evaluate the effectiveness of therapy more precisely. We further demonstrate that the mechanisms of leukostasis are different in myeloid leukaemia as compared with leukaemia with involvement of the monocytic lineage.","['Novotny, J R', 'Muller-Beissenhirtz, H', 'Herget-Rosenthal, S', 'Kribben, A', 'Duhrsen, U']","['Novotny JR', 'Muller-Beissenhirtz H', 'Herget-Rosenthal S', 'Kribben A', 'Duhrsen U']","['Department of Haematology, University Hospital of Essen, Essen, Germany. juergen.novotny@medizin.uni-essen.de']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Haematol,European journal of haematology,8703985,['0 (Hemoglobins)'],IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Aged, 80 and over', 'Blast Crisis/blood/*pathology', 'Cell Lineage', 'Female', 'Granulocyte Precursor Cells/pathology', 'Hemoglobins/analysis', 'Humans', 'Leukemia, Myeloid/blood/complications/*pathology', 'Leukocyte Count', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/blood/etiology/*pathology']",2005/05/07 09:00,2005/06/17 09:00,['2005/05/07 09:00'],"['2005/05/07 09:00 [pubmed]', '2005/06/17 09:00 [medline]', '2005/05/07 09:00 [entrez]']","['EJH421 [pii]', '10.1111/j.1600-0609.2005.00421.x [doi]']",ppublish,Eur J Haematol. 2005 Jun;74(6):501-10. doi: 10.1111/j.1600-0609.2005.00421.x.,,,,,,,,,,,,,,,,,,,,,
15876251,NLM,MEDLINE,20050616,20161124,0902-4441 (Print) 0902-4441 (Linking),74,6,2005 Jun,Expression of DNA repair gene Ku80 in lymphoid neoplasm.,481-8,"OBJECTIVES: Ku, a heterodimer of KU70 and Ku80 that binds to double-strand DNA breaks (DSBs) and activates the catalytic subunit (DNA-PKcs) when DNA is bound, is essential in DSB repair and V(D)J recombination. Ku80 is a putative tumor suppressor gene that might play an important role in drug resistance. Our aim was to determine the role of Ku80 in lymphoid malignancy. PATIENTS AND METHODS: Competitive reverse transcription-polymerase chain reaction assays were performed and the expression levels of Ku80 were measured in normal peripheral blood mononuclear cells (n = 9) and malignant cells from 25 patients with acute lymphoblastic leukemia (ALL) (14 children, 11 adults), and chronic lymphoproliferative disorders (n = 6). The Ku80 transcripts were sequencing for the possibility of mutation. RESULTS: No mutation or Ku80 variant at the RNA level was seen in any patient samples or in the Raji or CCRF-CEM cell lines. In Ku80 expression, 8.8-, 1.9-, and 6.2-fold mean increases were seen in adult, pediatric ALL, and chronic lymphoid malignancies compared with the control. The Ku80 was significantly higher in adult than in pediatric ALL (P = 0.02). The amount of Ku80 expression in ALL was moderately correlated with peripheral white blood cell counts, but not with Ki67 labeling index. High Ku80 expressers (higher than the mean of all patients with ALL) tended to respond poorly to therapy: Only 22% of high Ku80 expressers achieved durable complete remission compared to 62% of low expressers. CONCLUSIONS: Our study suggests that Ku80 might contribute to generally poor prognoses in adult ALL.","['Chen, Tsai-Yun', 'Chen, Jiann-Shiuh', 'Su, Wu-Chou', 'Wu, Ming-Shiuan', 'Tsao, Chao-Jung']","['Chen TY', 'Chen JS', 'Su WC', 'Wu MS', 'Tsao CJ']","['Section of Hematology/Oncology, Department of Internal Medicine, National Cheng Kung University Hospital, Tainan, Taiwan. teresa@mail.ncku.edu.tw']",['eng'],"['Comparative Study', 'Journal Article']",England,Eur J Haematol,European journal of haematology,8703985,"['0 (Antigens, Nuclear)', '0 (DNA-Binding Proteins)', '0 (Ki-67 Antigen)', '0 (RNA, Messenger)', 'EC 3.6.4.12 (Xrcc6 protein, human)', 'EC 4.2.99.- (Ku Autoantigen)']",IM,"['Adolescent', 'Adult', 'Antigens, Nuclear/*biosynthesis/genetics', 'Cell Line, Tumor', 'Child', 'Child, Preschool', 'DNA Repair/*genetics', 'DNA-Binding Proteins/*biosynthesis/genetics', '*Gene Expression Regulation, Leukemic', 'Humans', 'Infant', 'Ki-67 Antigen/biosynthesis/genetics', 'Ku Autoantigen', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/pathology', 'Leukocytes, Mononuclear/metabolism', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/pathology', 'Prognosis', 'RNA, Messenger/biosynthesis/genetics']",2005/05/07 09:00,2005/06/17 09:00,['2005/05/07 09:00'],"['2005/05/07 09:00 [pubmed]', '2005/06/17 09:00 [medline]', '2005/05/07 09:00 [entrez]']","['EJH428 [pii]', '10.1111/j.1600-0609.2005.00428.x [doi]']",ppublish,Eur J Haematol. 2005 Jun;74(6):481-8. doi: 10.1111/j.1600-0609.2005.00428.x.,,,,,,,,,,,,,,,,,,,,,
15876250,NLM,MEDLINE,20050616,20131121,0902-4441 (Print) 0902-4441 (Linking),74,6,2005 Jun,Children and adults with acute lymphoblastic leukaemia have similar gene expression profiles.,466-80,"OBJECTIVES: To compare the gene expression pattern in children and adults with acute lymphoblastic leukaemia (ALL) in order to improve our understanding of the difference in disease biology and prognosis. METHODS: The gene expression profiles in diagnostic samples from 29 children and 15 adults with ALL were analysed using the oligonucleotide chip Hu95ver2a, produced by Affymetrix. RESULTS: Unsupervised hierarchical cluster analysis revealed that, in spite of differences in outcome, patients clustered irrespective of age, first by T-cell or B-precursor immunophenotype, and second by cytogenetic changes within the B-precursor group. The expression pattern analysis allowed the reclassification of some samples into the proper cytogenetic group. We also showed that separate clustering of samples with the BCR/ABL translocation could be explained by different breakpoint regions in the BCR. No significant difference in gene expression was observed between samples with and without CDKN2A deletion within the B-precursor group. Analysis of different age groups revealed a similarity in expression profiles when infants with the MLL translocation and adults over 40 yr of age were compared irrespective of karyotype. CONCLUSIONS: In spite of the difference in clinical outcome, the gene expression pattern in children and adults with ALL is very similar and is primarily dependent on immunophenotype and cytogenetic aberrations. However, when age groups are compared, the expression patterns of infants and adults over 40 show a remarkable similarity.","['Kuchinskaya, E', 'Heyman, M', 'Grander, D', 'Linderholm, M', 'Soderhall, S', 'Zaritskey, A', 'Nordgren, A', 'Porwit-Macdonald, A', 'Zueva, E', 'Pawitan, Y', 'Corcoran, M', 'Nordenskjold, M', 'Blennow, E']","['Kuchinskaya E', 'Heyman M', 'Grander D', 'Linderholm M', 'Soderhall S', 'Zaritskey A', 'Nordgren A', 'Porwit-Macdonald A', 'Zueva E', 'Pawitan Y', 'Corcoran M', 'Nordenskjold M', 'Blennow E']","['Department of Molecular Medicine, Karolinska Institutet, Stockholm, Sweden.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Haematol,European journal of haematology,8703985,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adult', 'Child', 'Child, Preschool', 'Female', 'Fusion Proteins, bcr-abl/biosynthesis/genetics', 'Gene Deletion', 'Gene Expression Profiling', '*Gene Expression Regulation, Leukemic', 'Genes, p16', 'Humans', 'Male', '*Oligonucleotide Array Sequence Analysis', 'Philadelphia Chromosome', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics']",2005/05/07 09:00,2005/06/17 09:00,['2005/05/07 09:00'],"['2005/05/07 09:00 [pubmed]', '2005/06/17 09:00 [medline]', '2005/05/07 09:00 [entrez]']","['EJH433 [pii]', '10.1111/j.1600-0609.2005.00433.x [doi]']",ppublish,Eur J Haematol. 2005 Jun;74(6):466-80. doi: 10.1111/j.1600-0609.2005.00433.x.,,,,,,,,,,,,,,,,,,,,,
