PMID,OWN,STAT,DCOM,LR,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,IS,TT,AID,PMC,PS,FPS,OID,OAB,OABL,OTO,OT,GR,RPI
392408,NLM,MEDLINE,19800324,20151119,8,5-6,1979,Immunosuppressive agents in the treatment of the nephrotic syndrome and glomerulonephritis in children.,364-77,"There is good, controlled evidence which suggests that cyclophosphamide, and perhaps related drugs, have a definite role in the treatment of nephrotic children with the minimal change lesion. This role is one of secondary treatment, and the drugs should not be used as a first line of attack; they should be employed only when corticosteroid resistance or toxicity is a problem. In a few patients, azathioprine or 6-mercaptopurine may have a role in minimising corticosteroid toxicity, but the remission induced in relapsing children is no more durable than that after corticosteroids. Chlorambucil must be given in doses, and for periods long enough to run the risk of neoplasia, particularly leukaemia; there does not appear to be a place for its use in nephrotic children unless the duration of remission can be shown to be longer than that obtainable with cyclophosphamide. There is no evidence that any immunosuppressive agent has a place in the management of children with idiopathic glomerular disease showing structural alterations in the glomeruli. Children with systemic lupus erythematosus and nephritis may benefit from the addition of cytotoxic agents to their corticosteroid regime, although the indications for this are not clear, and controlled evidence is lacking.","['Cameron, J S']",['Cameron JS'],['eng'],"['Journal Article', 'Review']",Switzerland,Paediatrician,Paediatrician,0352330,"['0 (Immunosuppressive Agents)', '18D0SL7309 (Chlorambucil)', '50D9XSG0VR (Mechlorethamine)', '8N3DW7272P (Cyclophosphamide)', 'MRK240IY2L (Azathioprine)']",IM,"['Azathioprine/adverse effects/therapeutic use', 'Child', 'Chlorambucil/adverse effects/therapeutic use', 'Cyclophosphamide/adverse effects/therapeutic use', 'Glomerulonephritis/*drug therapy', 'Humans', 'Immunosuppressive Agents/adverse effects/*therapeutic use', 'Lupus Erythematosus, Systemic/complications', 'Mechlorethamine/adverse effects/therapeutic use', 'Nephritis/drug therapy/etiology', 'Nephrotic Syndrome/*drug therapy', 'Proteinuria/drug therapy']",49,1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Paediatrician. 1979;8(5-6):364-77.,,,,,,,,,,,,,
392375,NLM,MEDLINE,19800327,20180216,2,3,1979 Jun,[Effectiveness of gnotobiotic measures in the treatment of acute leukemia: the results of a prospective randomized clinical study].,102-7,"60 adult patients with acute leukemia (AL) previously untreated or in relapse received induction chemotherapy with different types of supportive care. Group A was decontaminated by nonabsorbable antibiotics in strict reverse isolation, group B was isolated only and group C was treated under routine hospital conditions. There were less infections in group A and B compared with group C. 76% of patients in group A achieved remission, in contrast to 57% in group B and 59% in group C. Late evaluation three years after termination of the study showed that all patients were dead except four patients being in first remission after discontinuation of maintenance treatment. Three patients were treated in group A, one patient in group C. However, the differences of survival and remission rates were not significant. Failure to demonstrate significant advantage of isolation and decontamination in treatment of AL was caused by insufficient suppression of microbes by the applied antimicrobial measures. Thus, it is suggested to investigate better antimicrobial treatment before gnotobiotic care is accepted as routine supportive treatment in AL.","['Dietrich, M', 'Abt, C', 'Arnold, R', 'Pflieger, H', 'Hoelzer, D', 'Kurrle, E', 'Rasche, H', 'Kubanek, B', 'Heimpel, H', 'Fliedner, T M']","['Dietrich M', 'Abt C', 'Arnold R', 'Pflieger H', 'Hoelzer D', 'Kurrle E', 'Rasche H', 'Kubanek B', 'Heimpel H', 'Fliedner TM']",['ger'],"['Clinical Trial', 'English Abstract', 'Journal Article', 'Randomized Controlled Trial']",Switzerland,Onkologie,Onkologie,7808556,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Antineoplastic Agents/administration & dosage', 'Child', 'Child, Preschool', 'Drug Therapy, Combination', 'Evaluation Studies as Topic', '*Germ-Free Life', 'Humans', 'Leukemia/mortality/*therapy', 'Leukemia, Lymphoid/therapy', 'Leukemia, Myeloid, Acute/therapy', 'Middle Aged', 'Patient Isolation/*methods', 'Prospective Studies', 'Random Allocation']",,1979/06/01 00:00,1979/06/01 00:01,['1979/06/01 00:00'],"['1979/06/01 00:00 [pubmed]', '1979/06/01 00:01 [medline]', '1979/06/01 00:00 [entrez]']",ppublish,Onkologie. 1979 Jun;2(3):102-7. doi: 10.1159/000214484.,0378-584X (Print) 0378-584X (Linking),Die Wirksamkeit gnotobiotischer Massnahmen bei der Behandlung der akuten Leukamie: ergebnisse einer prospektiv randomisierten klinischen Studie.,['10.1159/000214484 [doi]'],,,,,,,,,,
392374,NLM,MEDLINE,19800327,20180216,2,2,1979 Apr,[Therapy results in hairy cell leukemia].,87-90,"20 patients with hairy cell leukemia were treated between 1966 and 1978. All modalities of treatment for lymphoproliferative disorders have been used in at least some patients. Besides prednisone, vincristine, cyclophosphamide and their combinations as well as irradiation of enlarged spleens, cell depletion was achieved by splenectomy and leukapheresis. Cytostatics had no beneficial effect. Cytostatic therapy exposed some patients to the hazards of severe infections. On the contrary splenectomy lead to the improvement of some blood parameters. Leukapheresis seemed to work nearly identically. The survival of the splenectomized patients was longer than of controls. Because of the variability of the duration of the disease no definite statement could be made concerning the survival of both groups. 12 patients died during the observation period. Splenectomy was followed by one death, 11 patients died of septicemia.","['Pralle, H', 'Loffler, H', 'Graubner, M', 'Roux, A', 'Fischer, J']","['Pralle H', 'Loffler H', 'Graubner M', 'Roux A', 'Fischer J']",['ger'],"['English Abstract', 'Journal Article']",Switzerland,Onkologie,Onkologie,7808556,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Aged', 'Antineoplastic Agents/administration & dosage', 'Drug Therapy, Combination', 'Evaluation Studies as Topic', 'Female', 'Humans', 'Leukapheresis', 'Leukemia, Hairy Cell/mortality/*therapy', 'Male', 'Middle Aged', 'Splenectomy']",,1979/04/01 00:00,1979/04/01 00:01,['1979/04/01 00:00'],"['1979/04/01 00:00 [pubmed]', '1979/04/01 00:01 [medline]', '1979/04/01 00:00 [entrez]']",ppublish,Onkologie. 1979 Apr;2(2):87-90. doi: 10.1159/000214478.,0378-584X (Print) 0378-584X (Linking),Therapieergebnisse bei Hairy-cell-Leukamie.,['10.1159/000214478 [doi]'],,,,,,,,,,
392372,NLM,MEDLINE,19800327,20180216,2,2,1979 Apr,[Blood histamine level in chronic myeloproliferative diseases; a review].,70-4,"Since the discovery of a very high blood histamine level in chronic myelocytic leukemia (CML) 1936, the author could ascertain that this parameter is very useful in the differential diagnosis between CML and various ""leukemoid"" reactions; in the early diagnosis of CML and in the differential diagnosis between CML and other myeloproliferative disorders. Recent researches proved that no correlation exists between blood histamine level and basophil count in the peripheral blood. Further investigations in this field have to clear up the questions whether it is possible by means of repeated controls of the blood histamine level to predict the development of a polycythemia vera into CML or to establish in a case of osteomyelosclerosis that this disease has been Preceeded by A CML.","['Gingold, N']",['Gingold N'],['ger'],"['Comparative Study', 'English Abstract', 'Journal Article']",Switzerland,Onkologie,Onkologie,7808556,['820484N8I3 (Histamine)'],IM,"['Animals', 'Basophils/pathology', 'Chronic Disease', 'Diagnosis, Differential', 'Female', 'Histamine/*blood', 'Humans', 'Leukemia/veterinary', 'Leukemia, Experimental/blood', 'Leukemia, Myeloid/blood/diagnosis', 'Leukocyte Count', 'Male', 'Myeloproliferative Disorders/*blood', 'Pregnancy']",,1979/04/01 00:00,1979/04/01 00:01,['1979/04/01 00:00'],"['1979/04/01 00:00 [pubmed]', '1979/04/01 00:01 [medline]', '1979/04/01 00:00 [entrez]']",ppublish,Onkologie. 1979 Apr;2(2):70-4. doi: 10.1159/000214474.,0378-584X (Print) 0378-584X (Linking),Der Bluthistaminspiegel bei chronischen myeloproliferativen Erkrankungen; Ein Uberblick.,['10.1159/000214474 [doi]'],,,,,,,,,,
392313,NLM,MEDLINE,19800324,20190702,64,6,1979 Dec,Point mutations at the thymidine kinase locus in L5178Y mouse lymphoma cells. I. Application to genetic toxicological testing.,391-406,"We have systematically evaluated the mouse lymphoma TK+/- leads to TK-/- mutagenesis assay to determine if this somatic-cell test system would be a useful addition to the routine screening battery already used in our laboratory for the detection of chemical mutagens. During these investigations we observed that, with certain modifications of the basic assay, mutagenicity data could be obtained in as little as 9 days once the relative cytotoxic properties of the test substance were known. By improving the culturing conditions, we were able to reduce the serum requirements by as much as 50--75% without appreciably altering either cell viability or the recovery of chemically-induced mutants. Phenotypic stability of test-derived trifluorothymidine resistant (TFTR) mutants was confirmed by demonstrating cross-resistance to bromodeoxyuridine and concomitant sensitivity to methotrexate (THMG) in TFTR cells grown for 20 generations under non-selective conditions. While reduced growth rates resulting from temporary cell-division delay in treated cells is probably not a contributing factor to the observed mutation frequencies, only TFTR colonies which formed large distinct colonies in the presence of trifluorothymidine were clearly phenotypically stable mutants when spontaneous mutants were isolated and verified. When a non-mutagen, a weak mutagen, and a well-established mutagen were compared at equitoxic doses under these modified conditions, clear quantitative differences were seen in the respective mutation frequencies induced by these 3 types of agents. With these technical modifications, we feel this assay is both reliable and amenable to the screening of diverse chemical compounds for point-mutational activity in a mammalian cell.","['Amacher, D E', 'Paillet, S', 'Ray, V A']","['Amacher DE', 'Paillet S', 'Ray VA']",['eng'],['Journal Article'],Netherlands,Mutat Res,Mutation research,0400763,"['0 (Carcinogens)', '0 (Mutagens)', 'EC 2.7.1.21 (Thymidine Kinase)']",IM,"['Animals', 'Carcinogens/metabolism', 'Cell Line', 'Drug Evaluation, Preclinical/*methods', 'Evaluation Studies as Topic', 'Genes', '*Genetic Techniques', 'Leukemia, Experimental/enzymology', 'Mice', 'Mutagens/metabolism', '*Mutation', 'Thymidine Kinase/*genetics']",,1979/12/01 00:00,1979/12/01 00:01,['1979/12/01 00:00'],"['1979/12/01 00:00 [pubmed]', '1979/12/01 00:01 [medline]', '1979/12/01 00:00 [entrez]']",ppublish,Mutat Res. 1979 Dec;64(6):391-406. doi: 10.1016/0165-1161(79)90109-2.,0027-5107 (Print) 0027-5107 (Linking),,"['0165-1161(79)90109-2 [pii]', '10.1016/0165-1161(79)90109-2 [doi]']",,,,,,,,,,
392200,NLM,MEDLINE,19800324,20190823,3,5,1979,Immunohistochemical demonstration of cell surface antigens on tissue sections of lymphomas.,297-304,,"['Hoffmann-Fezer, G', 'Thierfelder, S', 'Pielsticker, K', 'Rodt, H']","['Hoffmann-Fezer G', 'Thierfelder S', 'Pielsticker K', 'Rodt H']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Immunoglobulins)']",IM,"['*Antigens, Neoplasm', '*Antigens, Surface', 'B-Lymphocytes/immunology', 'Cerebellar Neoplasms/immunology', 'Humans', 'Immunoenzyme Techniques', 'Immunoglobulins', 'Leukemia, Lymphoid/immunology', 'Lymphoma/*immunology', 'Lymphoma, Non-Hodgkin/immunology', 'Male', 'T-Lymphocytes/immunology', 'Testicular Neoplasms/immunology']",,1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Leuk Res. 1979;3(5):297-304. doi: 10.1016/0145-2126(79)90056-0.,0145-2126 (Print) 0145-2126 (Linking),,['10.1016/0145-2126(79)90056-0 [doi]'],,,,,,,,,,
392029,NLM,MEDLINE,19800317,20131121,131,10,1979 Oct,Adriamycin extravasation: case reports and review.,255-8,,"['Labandter, H P', 'McElwee, T']","['Labandter HP', 'McElwee T']",['eng'],"['Case Reports', 'Journal Article']",United States,J La State Med Soc,The Journal of the Louisiana State Medical Society : official organ of the Louisiana State Medical Society,7505618,['80168379AG (Doxorubicin)'],IM,"['Acute Disease', 'Aged', 'Doxorubicin/*adverse effects/therapeutic use', 'Female', 'Humans', 'Leukemia/drug therapy', 'Lymphoma, Large B-Cell, Diffuse/drug therapy', 'Male', 'Middle Aged']",,1979/10/01 00:00,1979/10/01 00:01,['1979/10/01 00:00'],"['1979/10/01 00:00 [pubmed]', '1979/10/01 00:01 [medline]', '1979/10/01 00:00 [entrez]']",ppublish,J La State Med Soc. 1979 Oct;131(10):255-8.,0024-6921 (Print) 0024-6921 (Linking),,,,,,,,,,,,
392000,NLM,MEDLINE,19800327,20170214,27,12,1979 Dec,Laser flow cytometry and cancer chemotherapy: detection of intracellular anthracyclines by flow cytometry.,1655-6,"The intracellular distribution of important chemotherapeutic antibiotics belonging to the anthracycline group (e.g. adriamycin) can be detected by laser flow cytometry. The indirect method is based on the interference of these compounds with the binding of propidium iodide to the nuclear DNA. While in the direct method, the intracellular fluorescence of these antibiotics is excited and detected with a laser beam in a flow system. The present report demonstrates the use of these two methods for intracellular detection and quantitation of a number of important anthracyclines.","['Krishan, A', 'Ganapathi, R']","['Krishan A', 'Ganapathi R']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Histochem Cytochem,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,9815334,"['0 (Antibiotics, Antineoplastic)', '36015-30-2 (Propidium)', '80168379AG (Doxorubicin)', '9007-49-2 (DNA)', 'E7437K3983 (Carubicin)', 'L059DCD6IP (Nogalamycin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*analysis', 'Carubicin/analysis', 'Cell Line', '*Cytological Techniques', 'DNA/metabolism', 'Daunorubicin/analogs & derivatives/analysis', 'Doxorubicin/analogs & derivatives/analysis', 'Humans', 'Lasers', 'Leukemia', 'Mice', 'Nogalamycin/analysis', 'Propidium/metabolism', 'Spectrometry, Fluorescence']",,1979/12/01 00:00,1979/12/01 00:01,['1979/12/01 00:00'],"['1979/12/01 00:00 [pubmed]', '1979/12/01 00:01 [medline]', '1979/12/01 00:00 [entrez]']",ppublish,J Histochem Cytochem. 1979 Dec;27(12):1655-6. doi: 10.1177/27.12.392000.,0022-1554 (Print) 0022-1554 (Linking),,['10.1177/27.12.392000 [doi]'],,,,,,,,,,
391828,NLM,MEDLINE,19800327,20190503,13,,1979,Distribution of malignant lymphoid cells.,70-5,,"['Vanhegan, R I']",['Vanhegan RI'],['eng'],"['Journal Article', 'Review']",England,J Clin Pathol Suppl (R Coll Pathol),Journal of clinical pathology. Supplement (Royal College of Pathologists),8300543,,IM,"['Aged', '*B-Lymphocytes', 'Cell Movement', 'Cell Transformation, Neoplastic', 'Female', 'Humans', 'Leukemia, Plasma Cell/pathology', 'Lymphoma/pathology', 'Male', 'Middle Aged', 'Neoplasm Metastasis', 'Neoplasms/*pathology']",21,1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,J Clin Pathol Suppl (R Coll Pathol). 1979;13:70-5. doi: 10.1136/jcp.s3-13.1.70.,0144-0330 (Print) 0144-0330 (Linking),,['10.1136/jcp.s3-13.1.70 [doi]'],PMC1521583,,,,,,,,,
391826,NLM,MEDLINE,19800327,20190503,13,,1979,Lymphocytes. 2. Differentiation. Differentiation of lymphoid precursor cells.,48-58,,"['Janossy, G', 'Pizzolo, G']","['Janossy G', 'Pizzolo G']",['eng'],"['Journal Article', 'Review']",England,J Clin Pathol Suppl (R Coll Pathol),Journal of clinical pathology. Supplement (Royal College of Pathologists),8300543,"['0 (Immune Sera)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Animals', 'B-Lymphocytes/cytology', 'Bone Marrow Cells', 'Cell Differentiation', 'DNA Nucleotidylexotransferase/metabolism', 'Epithelial Cells', 'Hematopoietic Stem Cells/cytology', 'Humans', 'Immune Sera/pharmacology', 'Infant', 'Leukemia, Lymphoid/pathology', 'Lymphocytes/*cytology', 'Mice', 'Rabbits', 'T-Lymphocytes/cytology', 'Thymus Gland/cytology', 'Time Factors']",65,1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,J Clin Pathol Suppl (R Coll Pathol). 1979;13:48-58. doi: 10.1136/jcp.s3-13.1.48.,0144-0330 (Print) 0144-0330 (Linking),,['10.1136/jcp.s3-13.1.48 [doi]'],PMC1521592,,,,,,,,,
