PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,RN,GR,SI,TT,RF,CON,CIN,CRF,EIN,OID,OTO,OT,GN
8759603,NLM,MEDLINE,19960916,20160303,0020-7136 (Print) 0020-7136 (Linking),67,4,1996 Aug 7,A population-based study of cancer risk in twins: relationships to birth order and sexes of the twin pair.,472-8,"One thousand and sixty-three twins with cancer whose co-twin was born alive were identified among patients born since September 1939 with cancers incident in England and Wales during 1971-1984 at childhood and young adult ages. Site-specific risks of cancer were analysed in relation to birth order within the twinship and sexes of the twin pair, using adjusted national birth data to give control distributions of these variables. Risk of leukaemia was increased in first-born twins, risk of testicular cancer was increased in second-born twins with female co-twins but decreased in second-born twins with male co-twins and lung cancer risk was increased in first-born twins with same-sex co-twins. Cutaneous melanoma risk was increased in persons with opposite-sex co-twins, nervous system cancer risk was increased in females with opposite-sex co-twins and Hodgkin's disease risk was increased in persons with same-sex co-twins. For most of the findings, no previous comparable analyses are available, so interpretation of the results must be provisional until the analyses can be repeated on other data. The result for leukaemia would accord with previous suggestions that leukaemia may be of prenatal origin and may sometimes lead to intrauterine death. The Hodgkin's disease result would fit with theories of an infectious aetiology, and this view is strengthened by reanalysis of previous data on paralytic poliomyelitis in twins, which show a pattern similar to that for the Hodgkin's disease patients. Cancer risk in relation to birth order and sex of twins can give novel, objective data relating to prenatal and infectious disease aetiology of cancers.","['Swerdlow, A J', 'De Stavola, B', 'Maconochie, N', 'Siskind, V']","['Swerdlow AJ', 'De Stavola B', 'Maconochie N', 'Siskind V']","['Epidemiological Monitoring Unit, London School of Hygiene and Tropical Medicine, UK.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,IM,"['Adult', '*Birth Order', 'Breast Neoplasms/epidemiology', 'Child', 'Diseases in Twins/*epidemiology', 'England/epidemiology', 'Female', 'Hodgkin Disease/epidemiology', 'Humans', 'Incidence', 'Leukemia/epidemiology', 'Male', 'Neoplasms/*epidemiology', 'Odds Ratio', 'Registries', 'Risk Assessment', 'Risk Factors', 'Sex Characteristics', 'Testicular Neoplasms/epidemiology', 'Uterine Cervical Neoplasms/epidemiology', 'Wales/epidemiology']",1996/08/07 00:00,2000/06/20 09:00,['1996/08/07 00:00'],"['1996/08/07 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/08/07 00:00 [entrez]']","['10.1002/(SICI)1097-0215(19960807)67:4<472::AID-IJC2>3.0.CO;2-P [pii]', '10.1002/(SICI)1097-0215(19960807)67:4<472::AID-IJC2>3.0.CO;2-P [doi]']",ppublish,Int J Cancer. 1996 Aug 7;67(4):472-8. doi: 10.1002/(SICI)1097-0215(19960807)67:4<472::AID-IJC2>3.0.CO;2-P.,,,,,,,,,,,,,,
8759571,NLM,MEDLINE,19960926,20071115,0007-0947 (Print) 0007-0947 (Linking),50,4,1996 Jun,Acalculous cholecystitis in patients with acute leukaemia.,224-5,"Cases of acalculous cholecystitis in patients with acute leukaemia are rare. Manifestations of the primary disease often mask the acute cholecystitis symptoms. A high index of suspicion and ultrasonographic examination in leukaemic patients with abdominal pain and unexplained fever may allow earlier diagnosis, before the development of complications. We report two cases of acute acalculous cholecystitis during the course of acute leukaemia.","['Topeli, A', 'Demiroglu, H', 'Dundar, S']","['Topeli A', 'Demiroglu H', 'Dundar S']","['Hacettepe University School of Medicine, Department of Internal Medicine, Ankara, Turkey.']",['eng'],"['Case Reports', 'Journal Article']",England,Br J Clin Pract,The British journal of clinical practice,0372546,IM,"['Adult', 'Cholecystectomy', 'Cholecystitis/*etiology', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",,ppublish,Br J Clin Pract. 1996 Jun;50(4):224-5.,,,,,,,,,,,,,,
8759553,NLM,MEDLINE,19960927,20190724,0022-2151 (Print) 0022-2151 (Linking),110,7,1996 Jul,Aggressive cutaneous squamous cell carcinoma of the head and neck in patients with chronic lymphocytic leukaemia.,694-5,"We describe multiple cutaneous squamous cell carcinomas of the head and neck in five patients with chronic lymphocytic leukaemia (CLL). When associated with CLL, cutaneous squamous cell carcinomata behave in a much more aggressive manner than otherwise expected. Four patients developed local recurrence after primary treatment. All five patients developed lymph node metastases containing squamous cell carcinoma. Three of five patients (60 per cent) had multiple primary lesions. Whereas the increased incidence of second cancers in CLL and notably of skin cancers is documented, little has been written to describe the aggressive behaviour of these tumours. It is important, when treating these patients, to be aware of the high tendency towards local recurrence and lymph node metastasis and to consider an aggressive management plan and careful follow-up.","['Hartley, B E', 'Searle, A E', 'Breach, N M', 'Rhys-Evans, P H', 'Henk, J M']","['Hartley BE', 'Searle AE', 'Breach NM', 'Rhys-Evans PH', 'Henk JM']","['Head and Neck Unit, Royal Marsden Hospital, London, UK.']",['eng'],"['Case Reports', 'Journal Article']",England,J Laryngol Otol,The Journal of laryngology and otology,8706896,IM,"['Aged', 'Aged, 80 and over', 'Carcinoma, Squamous Cell/*pathology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*pathology', 'Lymphatic Metastasis', 'Male', 'Neoplasm Recurrence, Local', 'Neoplasms, Second Primary/*pathology', 'Skin Neoplasms/*pathology']",1996/07/01 00:00,1996/07/01 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1996/07/01 00:01 [medline]', '1996/07/01 00:00 [entrez]']",['10.1017/s0022215100134668 [doi]'],ppublish,J Laryngol Otol. 1996 Jul;110(7):694-5. doi: 10.1017/s0022215100134668.,,,,,,,,,,,,,,
8759273,NLM,MEDLINE,19960917,20190501,0007-1161 (Print) 0007-1161 (Linking),80,6,1996 Jun,Metachronous lymphoma of the breast and conjunctiva.,574,,"['Wright, M', 'Maclean, H', 'Ironside, J']","['Wright M', 'Maclean H', 'Ironside J']",,['eng'],"['Case Reports', 'Letter']",England,Br J Ophthalmol,The British journal of ophthalmology,0421041,IM,"['Breast Neoplasms/*pathology', 'Conjunctival Neoplasms/*pathology', 'Female', 'Humans', 'Immunohistochemistry', 'Leukemia, Lymphocytic, Chronic, B-Cell/*pathology', 'Lymphoma, B-Cell, Marginal Zone/*pathology', 'Middle Aged', 'Neoplasms, Second Primary/*pathology']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",['10.1136/bjo.80.6.574 [doi]'],ppublish,Br J Ophthalmol. 1996 Jun;80(6):574. doi: 10.1136/bjo.80.6.574.,PMC505535,,,,,,,,,,,,,
8759205,NLM,MEDLINE,19960927,20041117,0307-6938 (Print) 0307-6938 (Linking),21,2,1996 Mar,Cutaneous xanthomatous tumours as an expression of chronic myelomonocytic leukaemia?,145-7,"Nonspecific cutaneous xanthomas have been reported in a variety of lymphocytic neoplastic processes, but to date only three cases of xanthomatous lesions associated with monocytic leukaemias have been described. We now report a patient with a chronic myelomonocytic leukaemia (CMML) associated with these lesions. The clinical and immunohistochemical features do not correspond to any entity previously described and suggest that xanthomas is are a cutaneous expression of the CMML.","['Miralles, E S', 'Escribano, L', 'Bellas, C', 'Nunez, M', 'Ledo, A']","['Miralles ES', 'Escribano L', 'Bellas C', 'Nunez M', 'Ledo A']","['Department of Dermatology, Hospital Ramon y Cajal, Madrid, Spain.']",['eng'],"['Case Reports', 'Journal Article']",England,Clin Exp Dermatol,Clinical and experimental dermatology,7606847,IM,"['Histiocytosis, Non-Langerhans-Cell/*etiology/pathology', 'Humans', 'Leukemia, Myelomonocytic, Chronic/*complications/pathology', 'Male', 'Middle Aged', 'Skin Diseases/*etiology/pathology']",1996/03/01 00:00,1996/03/01 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1996/03/01 00:01 [medline]', '1996/03/01 00:00 [entrez]']",,ppublish,Clin Exp Dermatol. 1996 Mar;21(2):145-7.,,,,,,,,,,,,,,
8759170,NLM,MEDLINE,19961119,20101118,0163-3864 (Print) 0163-3864 (Linking),59,7,1996 Jul,DNA topoisomerase I inhibitors: cytotoxic flavones from Lethedon tannaensis.,701-3,"From ethyl acetate and methanolic extracts of Lethedon tannaensis leaves, which were cytotoxic against murine leukemia (P-388) and human nasopharynx carcinoma (KB) cells, one new and six known 5-hydroxy-7-methoxyflavones variously substituted on the B ring were isolated and their structures determined by spectral analysis. Compounds active against KB cells were velutin (4) (IC50 4.8 microM), 7,3',5'-tri-O-methyltricetin (2) (IC50 22.2 microM), genkwanin (6) (IC50 30.6 microM), and the novel compound, 7,3',4'-tri-O-methyltricetin, named lethedocin (1) (IC50 47.6 microM). These flavones required the presence of hydroxyl groups at C-5 and C-4' and methoxyl groups at C-7 and C-3' for inhibition of calf thymus DNA topoisomerase I activity.","['Zahir, A', 'Jossang, A', 'Bodo, B', 'Provost, J', 'Cosson, J P', 'Sevenet, T']","['Zahir A', 'Jossang A', 'Bodo B', 'Provost J', 'Cosson JP', 'Sevenet T']","['Laboratoire de Chimie, URA 401 CNRS, Paris, France.']",['eng'],['Journal Article'],United States,J Nat Prod,Journal of natural products,7906882,IM,"['Animals', 'Antineoplastic Agents, Phytogenic/*isolation & purification/pharmacology', 'Flavonoids/chemistry/*isolation & purification/*pharmacology', 'Humans', 'KB Cells', 'Leukemia P388/drug therapy', 'Magnetic Resonance Spectroscopy', 'Mice', 'New Caledonia', 'Plants, Medicinal/*chemistry', 'Spectrophotometry, Infrared', 'Spectrophotometry, Ultraviolet', '*Topoisomerase I Inhibitors']",1996/07/01 00:00,1996/07/01 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1996/07/01 00:01 [medline]', '1996/07/01 00:00 [entrez]']","['10.1021/np960336f [doi]', 'np960336f [pii]']",ppublish,J Nat Prod. 1996 Jul;59(7):701-3. doi: 10.1021/np960336f.,,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Flavonoids)', '0 (Topoisomerase I Inhibitors)']",,,,,,,,,,,,
8759167,NLM,MEDLINE,19961119,20071114,0163-3864 (Print) 0163-3864 (Linking),59,7,1996 Jul,A new norcembranoid dimer from the red sea soft coral Sinularia gardineri.,687-9,"A study of Sinularia gardineri (Pratt) (Alcyoniidae), collected in the Red Sea, revealed a new heptacyclic norcembranoid dimer singardin (1). The structure of singardin was deduced by spectroscopic analysis. A known sesquiterpene, guaianediol (2), and the known cembranolides (1R,5S,8R,10S,11R)-11-hydroxy-1-isoprenyl-8-methyl-3,6-dioxo -5,8-epoxycyclotetradec-12-ene 10,12-carbolactone (5-epi-sinuleptolide) and sinuleptolide were also isolated. Compounds 1 and 2 show cytotoxicity to murine leukemia (P-388), human lung carcinoma (A-549), human colon carcinoma (HT-29), and human melanoma cells (MEL-28).","['el Sayed, K A', 'Hamann, M T']","['el Sayed KA', 'Hamann MT']","['Department of Pharmacognosy, School of Pharmacy, University of Mississippi, University 38677, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Nat Prod,Journal of natural products,7906882,IM,"['Animals', 'Antifungal Agents/pharmacology', 'Antineoplastic Agents/*isolation & purification/pharmacology', 'Candida albicans/drug effects', 'Cnidaria/*chemistry', 'Cryptococcus neoformans/drug effects', 'Drug Screening Assays, Antitumor', 'Furans/*isolation & purification/pharmacology', 'Humans', 'Lactones/*isolation & purification/pharmacology', 'Magnetic Resonance Spectroscopy', 'Mass Spectrometry', 'Mice', 'Spectrophotometry, Infrared', 'Tumor Cells, Cultured']",1996/07/01 00:00,1996/07/01 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1996/07/01 00:01 [medline]', '1996/07/01 00:00 [entrez]']","['10.1021/np960207z [doi]', 'np960207z [pii]']",ppublish,J Nat Prod. 1996 Jul;59(7):687-9. doi: 10.1021/np960207z.,,"['0 (Antifungal Agents)', '0 (Antineoplastic Agents)', '0 (Furans)', '0 (Lactones)', '0 (singardin)']",['1 R29 AI36596-01A1/AI/NIAID NIH HHS/United States'],,,,,,,,,,,
8759037,NLM,MEDLINE,19960918,20190623,0006-2952 (Print) 0006-2952 (Linking),52,4,1996 Aug 23,Collateral sensitivity to the bisdioxopiperazine dexrazoxane (ICRF-187) in etoposide (VP-16)-resistant human leukemia K562 cells.,635-42,"Etoposide (VP-16)-resistant K562 cells (K/VP.5) were 26-fold resistant to VP-16, due in part to a reduction in DNA topoisomerase II (topoisomerase II) protein levels. Compared with parental K562 cells, VP-16-resistant K/VP.5 cells were found to be 3.4-fold more sensitive to the effects of dexrazoxane (ICRF-187), a topoisomerase II inhibitor that does not stabilize topoisomerase II-DNA covalent complexes. In contrast, K/VP.5 cells were 4.0-fold cross-resistant to merbarone and showed no cross-resistance to fostriecin, two other topoisomerase II inhibitors that do not stabilize topoisomerase II-DNA covalent complexes. Preincubation with ICRF-187 resulted in greater inhibition of subsequent VP-16-induced topoisomerase II-DNA covalent complexes in K/VP.5 cells than in K562 cells. Conversely, preincubation with merbarone resulted in less inhibition of VP-16-induced topoisomerase II-DNA covalent complexes in K/VP.5 cells than in parental K562 cells. Preincubation with forstriecin had little effect on VP-16-induced topoisomerase II-DNA covalent complex formation in either cell line. The onset rates for ICRF-187 inhibition of VP-16-induced topoisomerase II-DNA complex formation were similar in sensitive and resistant cells. In addition, ICRF-187 had a comparable concentration-dependent inhibitory effect on the topoisomerase II catalytic activities of K562 and K/VP.5 cells. Together, our results indicate that collateral sensitivity to ICRF-187 in K/VP.5 cells is due to decreased topoisomerase II protein levels rather than to an alteration in topoisomerase II activity. Furthermore, results suggest that ICRF-187, merbarone, and fostriecin have different mechanisms of action that can be studied effectively in K/VP.5 and K562 cells.","['Fattman, C L', 'Allan, W P', 'Hasinoff, B B', 'Yalowich, J C']","['Fattman CL', 'Allan WP', 'Hasinoff BB', 'Yalowich JC']","['Department of Pharmacology, University of Pittsburgh School of Medicine, PA 15261, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,IM,"['Alkenes/pharmacology', 'Dose-Response Relationship, Drug', 'Enzyme Inhibitors/pharmacology', 'Etoposide/*pharmacology', 'Humans', 'Leukemia/*drug therapy', 'Polyenes', 'Pyrones', 'Razoxane/*pharmacology', 'Thiobarbiturates/pharmacology']",1996/08/23 00:00,1996/08/23 00:01,['1996/08/23 00:00'],"['1996/08/23 00:00 [pubmed]', '1996/08/23 00:01 [medline]', '1996/08/23 00:00 [entrez]']","['0006-2952(96)00338-3 [pii]', '10.1016/0006-2952(96)00338-3 [doi]']",ppublish,Biochem Pharmacol. 1996 Aug 23;52(4):635-42. doi: 10.1016/0006-2952(96)00338-3.,,"['0 (Alkenes)', '0 (Enzyme Inhibitors)', '0 (Polyenes)', '0 (Pyrones)', '0 (Thiobarbiturates)', '5AR83PR647 (Razoxane)', '6PLQ3CP4P3 (Etoposide)', 'YWB9IF596V (merbarone)', 'ZO1648L551 (fostriecin)']",,,,,,,,,,,,
8759024,NLM,MEDLINE,19960918,20190623,0006-2952 (Print) 0006-2952 (Linking),52,4,1996 Aug 23,"Two activities of the immunosuppressive metabolite of leflunomide, A77 1726. Inhibition of pyrimidine nucleotide synthesis and protein tyrosine phosphorylation.",527-34,"Previous studies have demonstrated that the active metabolite of leflunomide, A77 1726 [N-(4-trifluoromethylphenyl-2-cyano-3-hydroxycrotoamide)], is capable of inhibiting the activities of tyrosine kinases and dihydroorotate dehydrogenase (DHO-DHase). In the present study, we define the relative contribution of these activities to the ability of A77 1726 to inhibit proliferation of the murine leukemia cell line LSTRA. A77 1726 inhibited LSTRA cell growth and proliferation (IC50 = 10-30 microM); this inhibition, however, could be reversed by the addition of exogenous uridine, suggesting that the anti-proliferative activity of A77 1726 may be due to inhibition of de novo pyrimidine nucleotide synthesis. Quantitation of nucleotide levels revealed that A77 1726, at an IC50 of about 10 microM, selectively inhibited pyrimidine nucleotide but not purine nucleotide synthesis. In vitro enzyme assays confirmed that A77 1726 directly inhibited the activity of DHO-DHase, the fourth enzyme in the de novo pathway of pyrimidine nucleotide synthesis (IC50 = 220 nM). LSTRA cells overexpress p56lck and have elevated levels of tyrosine phosphorylated intracellular proteins. A77 1726 reduced the intracellular levels of tyrosine phosphorylated proteins with relatively high IC50 values ranging from 50 to 100 microM. A77 1726 also inhibited p56lck activity in LSTRA membrane preparation and immunoprecipitates; the IC50 values for inhibition of immunoprecipitated p56lck autophosphorylation and exogenous substrate histone 2B were 80 and 40 microM, respectively. The anti-tyrosine phosphorylation activity of A77 1726 was not affected by uridine. These studies therefore demonstrate the two activities of A77 1726: inhibition of pyrimidine nucleotide synthesis and interference with tyrosine phosphorylation.","['Xu, X', 'Williams, J W', 'Gong, H', 'Finnegan, A', 'Chong, A S']","['Xu X', 'Williams JW', 'Gong H', 'Finnegan A', 'Chong AS']","[""Department of General Surgery, Rush-Presbyterian-St. Luke's Medical Center, Chicago, IL 60612, USA.""]",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,IM,"['Animals', 'Blotting, Western', 'Dose-Response Relationship, Drug', 'Immunosuppressive Agents/*pharmacology', 'Isoxazoles/*pharmacology', 'Leflunomide', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Protein-Tyrosine Kinases/*drug effects', 'Tumor Cells, Cultured', 'Uridine/pharmacology']",1996/08/23 00:00,1996/08/23 00:01,['1996/08/23 00:00'],"['1996/08/23 00:00 [pubmed]', '1996/08/23 00:01 [medline]', '1996/08/23 00:00 [entrez]']","['0006-2952(96)00303-6 [pii]', '10.1016/0006-2952(96)00303-6 [doi]']",ppublish,Biochem Pharmacol. 1996 Aug 23;52(4):527-34. doi: 10.1016/0006-2952(96)00303-6.,,"['0 (Immunosuppressive Agents)', '0 (Isoxazoles)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'G162GK9U4W (Leflunomide)', 'WHI7HQ7H85 (Uridine)']",['AI 34061/AI/NIAID NIH HHS/United States'],,,,,,,,,,,
8759006,NLM,MEDLINE,19960917,20190501,0305-1048 (Print) 0305-1048 (Linking),24,14,1996 Jul 15,A novel promoter sequence is involved in the oxidative stress-induced expression of the adult T-cell leukemia-derived factor (ADF)/human thioredoxin (Trx) gene.,2746-52,"Adult T cell leukemia-derived factor (ADF) is a human thioredoxin (Trx) and is a disulfide reducing protein with various biological functions. We found that expression of the ADF/Trx gene was increased by oxidative agents such as hydrogen peroxide, diamide and menadione in Jurkat cells. Analysis using a CAT expression vector plasmid under the control of the ADF/Trx gene promoter revealed that CAT gene expression in Jurkat cells was increased after exposure to oxidative agents. A series of deletion analyses showed that a region from -976 to -890 of the 5' flanking sequence was required for enhancement of ADF/Trx promoter activity against the oxidative agents. Gel mobility shift assay revealed the specific DNA binding activities to the sequences from -953 to -930 in the nuclear extracts from the Jurkat cells. The sequences in this region showed no homology with any known consensus sequences for DNA binding factors. It is suggested that ADF/Trx gene expression is enhanced through a novel cis-acting regulatory element responsive for the oxidative stress and a new factor(s) is involved in this oxidative stress responsive element.","['Taniguchi, Y', 'Taniguchi-Ueda, Y', 'Mori, K', 'Yodoi, J']","['Taniguchi Y', 'Taniguchi-Ueda Y', 'Mori K', 'Yodoi J']","['Department of Anesthesia, Faculty of Medicine, Kyoto University, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Nucleic Acids Res,Nucleic acids research,0411011,IM,"['Base Sequence', 'Binding Sites', 'Cytokines/*genetics', 'DNA-Binding Proteins/metabolism', 'Diamide/pharmacology', '*Gene Expression Regulation', 'Humans', 'Hydrogen Peroxide/pharmacology', 'Molecular Sequence Data', 'Neoplasm Proteins/*genetics', 'Oxidants/*pharmacology', 'Oxidative Stress', '*Promoter Regions, Genetic', 'Thioredoxins/*genetics', 'Tumor Cells, Cultured', 'Vitamin K/pharmacology']",1996/07/15 00:00,1996/07/15 00:01,['1996/07/15 00:00'],"['1996/07/15 00:00 [pubmed]', '1996/07/15 00:01 [medline]', '1996/07/15 00:00 [entrez]']","['6c0045 [pii]', '10.1093/nar/24.14.2746 [doi]']",ppublish,Nucleic Acids Res. 1996 Jul 15;24(14):2746-52. doi: 10.1093/nar/24.14.2746.,PMC145999,"['0 (Cytokines)', '0 (DNA-Binding Proteins)', '0 (Neoplasm Proteins)', '0 (Oxidants)', '0 (adult T cell leukemia-derived factor)', '10465-78-8 (Diamide)', '12001-79-5 (Vitamin K)', '52500-60-4 (Thioredoxins)', 'BBX060AN9V (Hydrogen Peroxide)']",,['GENBANK/X54539'],,,,,,,,,,
