PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,GR,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,MID,OID,RF,CIN,CI,CON,SI,TT,OTO,OT,CN,EIN,IR,FIR,PS,FPS
19784838,NLM,MEDLINE,20100503,20151119,1432-0843 (Electronic) 0344-5704 (Linking),65,6,2010 May,"Clinical potency of methotrexate, aminopterin, talotrexin and pemetrexed in childhood leukemias.",1125-30,10.1007/s00280-009-1120-8 [doi],"PURPOSE: Renewed interest in antifols for the treatment of childhood cancers has resulted from identification of novel antifols with broad spectrums of anti-cancer activity and from re-evaluation of the original clinical antifol, aminopterin. In this pre-clinical study we evaluated the in vitro activity of both traditional antifols (methotrexate, aminopterin) and novel antifols (pemetrexed, talotrexin) in childhood acute leukemias and lymphomas. METHODS: We compared the in vitro cytotoxicity of methotrexate, aminopterin, pemetrexed, and talotrexin in a panel of six pediatric leukemia and lymphoma cell lines using the sulforhodamine B assay. In addition to defining a 50% growth inhibitory concentration (IC50) for a 120-h drug exposure, we contrasted the activity of the drugs in the context of clinically achievable (tolerable) drug exposures using the area under the plasma concentration-time curve (AUC). We defined each agent's clinical potency index (CPI) as the AUC achieved with standard pediatric dosing regimens divided by the in vitro IC50. RESULTS: Across all cell lines, talotrexin (median IC50 7 nM) and aminopterin (median IC50 17 nM) had lower IC50's than methotrexate (median IC50 78 nM) and pemetrexed (median IC50 155 nM). However, the CPI for methotrexate (median 0.9) was significantly greater than that for aminopterin (median 0.4). In contrast, pemetrexed had a significantly better CPI (median 13) than the traditional antifols. CONCLUSIONS: Aminopterin does not appear to offer any advantage over methotrexate for the treatment of childhood ALL. Further study of pemetrexed in childhood leukemias is warranted.","['Norris, Robin E', 'Adamson, Peter C']","['Norris RE', 'Adamson PC']","[""Division of Clinical Pharmacology and Therapeutics, Children's Hospital of Philadelphia, Abramson Research Center, 3615 Civic Center Blvd., Suite 916, Philadelphia, PA 19104, USA. norrisr@email.chop.edu""]",['eng'],['T32-CA09615/CA/NCI NIH HHS/United States'],"['Journal Article', 'Research Support, N.I.H., Extramural']",20090927,Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (Antineoplastic Agents)', '0 (Folic Acid Antagonists)', '0 (Glutamates)', '0 (Pterins)', '04Q9AIZ7NO (Pemetrexed)', '113857-87-7', '(N(alpha)-(4-amino-4-deoxypteroyl)-N(delta)-hemiphthaloyl-L-ornithine)', '5Z93L87A1R (Guanine)', 'E524N2IXA3 (Ornithine)', 'JYB41CTM2Q (Aminopterin)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Aminopterin/chemistry/pharmacology', 'Antineoplastic Agents/chemistry/*pharmacology', 'Cell Line, Tumor', 'Cell Proliferation/*drug effects', 'Cell Survival/drug effects', 'Child', 'Dose-Response Relationship, Drug', 'Folic Acid Antagonists/chemistry/*pharmacology', 'Glutamates/chemistry/pharmacology', 'Guanine/analogs & derivatives/chemistry/pharmacology', 'Humans', 'Inhibitory Concentration 50', 'Jurkat Cells', 'Leukemia/pathology', 'Lymphoma/pathology', 'Methotrexate/chemistry/pharmacology', 'Molecular Structure', 'Ornithine/analogs & derivatives/chemistry/pharmacology', 'Pemetrexed', 'Pterins/chemistry/pharmacology']",2009/09/29 06:00,2010/05/04 06:00,['2009/09/29 06:00'],"['2009/05/26 00:00 [received]', '2009/09/01 00:00 [accepted]', '2009/09/29 06:00 [entrez]', '2009/09/29 06:00 [pubmed]', '2010/05/04 06:00 [medline]']",['10.1007/s00280-009-1120-8 [doi]'],ppublish,Cancer Chemother Pharmacol. 2010 May;65(6):1125-30. doi: 10.1007/s00280-009-1120-8. Epub 2009 Sep 27.,,,,,,,,,,,,,,,,,
19784836,NLM,MEDLINE,20100506,20131121,1432-0843 (Electronic) 0344-5704 (Linking),66,1,2010 May,Effects of extracellular purines on cytotoxicity of methotrexate.,121-7,10.1007/s00280-009-1142-2 [doi],"PURPOSE: Nucleoside and base modulation of the cytotoxicity of nucleic acid and folate antimetabolite drugs has been widely discussed. Many investigators have observed reduced toxicity due to circumvention of drug-induced inhibition of de novo purine and pyrimidine synthesis. However, exogenous purine nucleosides and bases may also enhance the cytotoxicity of even moderate concentrations of antifolate drugs (MTX and PTX) which inhibit dihydrofolate reductase. In this study, the effects of nucleosides in the medium on the cytotoxicity and deoxyribonucleoside triphosphate pools after brief exposure of cultured cells to methotrexate have been studied in cultured L1210 murine leukaemia cells. METHODS: Cell viability was determined by trypan blue exclusion assay. Colony formation was assessed by microtitration cloning assay. The deoxyribonucleotides were measured by a modification of the DNA polymerase assay. Purines were extracted with trioctylamine and 1,1,2-trichlorotrifluoroethane buffer and concentrations of purine bases were determined by HPLC. RESULTS: Subculture of drug-treated cells in fresh medium containing 10% FCS led to greater toxicity than sub culture in 'conditioned' medium, i.e. fresh medium in which logarithmically growing cells had been cultured for 24 h before separation. Cells resuspended in fresh medium had increased dATP and sustained inhibition of dTTP levels, while cells subcultured in 'conditioned' medium had no elevation of dATP. Hypoxanthine concentration determined by HPLC in 'conditioned' medium was 0.9 microM compared to 6.7 microM in fresh medium. Resuspension of drug-treated cells in conditioned medium supplemented with 10 or 100 microM HX enhanced cytotoxicity and increased the dATP levels. CONCLUSION: These results add further evidence that purines present in normal culture conditions are important determinants of methotrexate cytotoxicity. Elevation of dATP levels after methotrexate treatment is an important modulator of cytotoxicity.","['Chong, Li', 'Ma, Guoyi', 'Bartier, Wendy A', 'Tattersall, Martin H N']","['Chong L', 'Ma G', 'Bartier WA', 'Tattersall MH']","['Department of Cancer Medicine, Blackburn Building D06, The University of Sydney, Sydney, NSW 2006, Australia. li.chong@email.cs.nsw.gov.au']",['eng'],,['Journal Article'],20090927,Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (Antimetabolites, Antineoplastic)', '0 (Culture Media, Conditioned)', '0 (Deoxyribonucleotides)', '0 (Purines)', '2TN51YD919 (Hypoxanthine)', '64ALC7F90C (Dipyridamole)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Antimetabolites, Antineoplastic/*therapeutic use', 'Cell Survival/*drug effects', 'Culture Media, Conditioned/metabolism', 'Deoxyribonucleotides/metabolism', 'Dipyridamole/pharmacology', 'Drug Synergism', 'Hypoxanthine/pharmacology', 'Leukemia L1210/*drug therapy', 'Methotrexate/*therapeutic use', 'Mice', 'Purines/metabolism/*pharmacology', 'Tumor Stem Cell Assay']",2009/09/29 06:00,2010/05/07 06:00,['2009/09/29 06:00'],"['2009/06/01 00:00 [received]', '2009/09/12 00:00 [accepted]', '2009/09/29 06:00 [entrez]', '2009/09/29 06:00 [pubmed]', '2010/05/07 06:00 [medline]']",['10.1007/s00280-009-1142-2 [doi]'],ppublish,Cancer Chemother Pharmacol. 2010 May;66(1):121-7. doi: 10.1007/s00280-009-1142-2. Epub 2009 Sep 27.,,,,,,,,,,,,,,,,,
19784728,NLM,MEDLINE,20100120,20211020,1436-2813 (Electronic) 0941-1291 (Linking),39,10,2009,Neurofibroma adjacent to the thyroid gland and a thyroid papillary carcinoma in a patient with neurofibromatosis type 1: report of a case.,884-7,10.1007/s00595-008-3946-9 [doi],"Neurofibromatosis (NF) type 1, also known as von Recklinghausen's disease, is an autosomal-dominant inherited disorder. Some tumors may develop in these patients, including optic pathway gliomas, astrocytomas, brainstem gliomas, chronic myeloid leukemia, and rhabdomyosarcoma. Patients with neurofibromatosis type 1 show also an increased risk of endocrine tumors, especially pheochromocytomas, whereas thyroid carcinoma is very rare. It is also rare for a neurofibroma to arise in the tissue neighboring the thyroid gland, and mimicking a nonfunctional thyroid nodule. This report presents a case of a neurofibroma adherent to the thyroid gland with thyroid papillary carcinoma in a 26-year-old woman with NF type 1.","['Koksal, Yavuz', 'Sahin, Mustafa', 'Koksal, Hande', 'Esen, Hasan', 'Sen, Metin']","['Koksal Y', 'Sahin M', 'Koksal H', 'Esen H', 'Sen M']","['Department of Pediatric Oncology, Selcuk University, Konya 42080, Turkey.']",['eng'],,"['Case Reports', 'Journal Article']",20090927,Japan,Surg Today,Surgery today,9204360,,IM,"['Adult', 'Carcinoma, Papillary/*pathology', 'Female', 'Humans', 'Neoplasms, Multiple Primary/*pathology', 'Neurofibroma/pathology', 'Neurofibromatosis 1/*pathology', 'Thyroid Gland/*pathology', 'Thyroid Neoplasms/*pathology', 'Treatment Outcome']",2009/09/29 06:00,2010/01/21 06:00,['2009/09/29 06:00'],"['2008/05/07 00:00 [received]', '2008/09/30 00:00 [accepted]', '2009/09/29 06:00 [entrez]', '2009/09/29 06:00 [pubmed]', '2010/01/21 06:00 [medline]']",['10.1007/s00595-008-3946-9 [doi]'],ppublish,Surg Today. 2009;39(10):884-7. doi: 10.1007/s00595-008-3946-9. Epub 2009 Sep 27.,,,,,,,,,,,,,,,,,
19784577,NLM,MEDLINE,20091015,20090928,0253-6269 (Print) 0253-6269 (Linking),32,9,2009 Sep,Novel ceramides from aerial parts of Saussurea involucrata Kar. et. Kir.,1221-5,10.1007/s12272-009-1906-6 [doi],"Novel ceramides, together with nine known compounds were isolated from aerial parts of the Saussurea involucrata Kar. et. Kir. The novel structures were determined by spectroscopic methods and microscale chemical degradation. The ceramides showed appreciable cytotoxicity against three human tumor cell lines including human promyelocytic leukemia (HL-60), human melanoma (A375-S2) and human cervical carcinoma (HeLa) cell lines. The results suggested that this class of ceramides may have potential as an antitumor agent.","['Wu, Wei', 'Qu, Yang', 'Gao, Huiyuan', 'Yang, Jingyu', 'Xu, Jianguo', 'Wu, Lijun']","['Wu W', 'Qu Y', 'Gao H', 'Yang J', 'Xu J', 'Wu L']","['Department of Phytochemistry, Shenyang Pharmaceutical University, Shenyang 110016, China.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090926,Korea (South),Arch Pharm Res,Archives of pharmacal research,8000036,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Ceramides)']",IM,"['Antineoplastic Agents, Phytogenic/chemistry/*isolation & purification/pharmacology', 'Cell Line, Tumor', 'Ceramides/chemistry/*isolation & purification/pharmacology', 'Humans', 'Magnetic Resonance Spectroscopy', 'Saussurea/*chemistry']",2009/09/29 06:00,2009/10/16 06:00,['2009/09/29 06:00'],"['2008/10/09 00:00 [received]', '2009/08/04 00:00 [accepted]', '2009/03/17 00:00 [revised]', '2009/09/29 06:00 [entrez]', '2009/09/29 06:00 [pubmed]', '2009/10/16 06:00 [medline]']",['10.1007/s12272-009-1906-6 [doi]'],ppublish,Arch Pharm Res. 2009 Sep;32(9):1221-5. doi: 10.1007/s12272-009-1906-6. Epub 2009 Sep 26.,,,,,,,,,,,,,,,,,
19784575,NLM,MEDLINE,20091015,20090928,0253-6269 (Print) 0253-6269 (Linking),32,9,2009 Sep,"2-Hydroxydiplopterol, a new cytotoxic pentacyclic triterpenoid from the halotolerant fungus Aspergillus variecolor B-17.",1211-4,10.1007/s12272-009-1904-8 [doi],"A new hopane type pentacyclic triterpenoid, 2-hydroxydiplopterol (1) has been isolated from the metabolites produced by the halotolerant fungal strain Aspergillus variecolor B-17. The structure of 1 was determined by spectroscopic methods and single crystal X-Ray diffraction analysis. 2-Hydroxydiplopterol (1) exhibited cytotoxicity against K562 cells with an IC50 value of 22 microM.","['Wang, Wen-Liang', 'Liu, Pei-Pei', 'Zhang, Ya-Peng', 'Li, Jing', 'Tao, Hong-Wen', 'Gu, Qian-Qun', 'Zhu, Wei-Ming']","['Wang WL', 'Liu PP', 'Zhang YP', 'Li J', 'Tao HW', 'Gu QQ', 'Zhu WM']","['Key Laboratory of Marine Drugs, Chinese Ministry of Education, School of Medicine and Pharmacy, Ocean University of China, Qingdao 266003, China.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090926,Korea (South),Arch Pharm Res,Archives of pharmacal research,8000036,"['0 (Antineoplastic Agents)', '0 (Pentacyclic Triterpenes)']",IM,"['Animals', 'Antineoplastic Agents/*chemistry/isolation & purification/pharmacology', 'Aspergillus/*metabolism', 'Crystallography, X-Ray', 'Humans', 'K562 Cells', 'Leukemia P388/drug therapy', 'Mice', 'Pentacyclic Triterpenes/*chemistry/isolation & purification/pharmacology']",2009/09/29 06:00,2009/10/16 06:00,['2009/09/29 06:00'],"['2008/09/14 00:00 [received]', '2009/03/17 00:00 [accepted]', '2009/03/17 00:00 [revised]', '2009/09/29 06:00 [entrez]', '2009/09/29 06:00 [pubmed]', '2009/10/16 06:00 [medline]']",['10.1007/s12272-009-1904-8 [doi]'],ppublish,Arch Pharm Res. 2009 Sep;32(9):1211-4. doi: 10.1007/s12272-009-1904-8. Epub 2009 Sep 26.,,,,,,,,,,,,,,,,,
19784553,NLM,MEDLINE,20100413,20211020,1573-7284 (Electronic) 0393-2990 (Linking),24,12,2009,Investigating spatio-temporal similarities in the epidemiology of childhood leukaemia and diabetes.,743-52,10.1007/s10654-009-9391-2 [doi],"Childhood acute lymphoblastic leukaemia (ALL) and Type 1 diabetes (T1D) share some common epidemiological features, including rising incidence rates and links with an infectious aetiology. Previous work has shown a significant positive correlation in incidence between the two conditions both at the international and small-area level. The aim was to extend the methodology by including shared spatial and temporal trends using a more extensive dataset among individuals diagnosed with ALL and T1D in Yorkshire (UK) aged 0-14 years from 1978-2003. Cases with ALL and T1D were ascertained from 2 high quality population-based disease registers covering the Yorkshire region of the UK and linked to an electoral ward from the 1991 UK census. A Bayesian model was fitted where similarities and differences in risk profiles of the two diseases were captured by the shared and disease-specific components using a shared-component model, with space-time interactions. The extended model revealed a positive correlation of at least 0.70 between diseases across all time periods, and an increasing risk across time for both diseases, which was more evident for T1D. Furthermore, both diseases exhibited lower rates in the more urban county of West Yorkshire and higher rates in the more rural northern and eastern part of the region. A differential effect of T1D over ALL was found in the south-eastern part of the region, which had a more pronounced association with population mixing than with population density or deprivation. Our approach has demonstrated the utility in modelling temporally and spatially varying disease incidence patterns across small geographical areas. The findings suggest searching for environmental factors that exhibit similar geographical-temporal variation in prevalence may help in the development and testing of plausible aetiological hypotheses. Furthermore, identifying environmental exposures specific to the south-eastern part of the region, especially locally varying risk factors which may differentially affect the development of T1D and ALL, may also be fruitful.","['Manda, Samuel O M', 'Feltbower, Richard G', 'Gilthorpe, Mark S']","['Manda SO', 'Feltbower RG', 'Gilthorpe MS']","['Biostatistics Unit, South African Medical Research Council, 1 Soutpansberg Road, Pretoria, South Africa. samuel.manda@mrc.ac.za']",['eng'],,['Journal Article'],20090926,Netherlands,Eur J Epidemiol,European journal of epidemiology,8508062,,IM,"['Adolescent', 'Bayes Theorem', 'Child', 'Child, Preschool', '*Demography', 'Diabetes Mellitus, Type 1/*epidemiology', '*Epidemiologic Studies', 'Humans', 'Infant', 'Infant, Newborn', 'Models, Theoretical', 'Pediatrics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*epidemiology', 'United Kingdom/epidemiology']",2009/09/29 06:00,2010/04/14 06:00,['2009/09/29 06:00'],"['2009/03/16 00:00 [received]', '2009/09/16 00:00 [accepted]', '2009/09/29 06:00 [entrez]', '2009/09/29 06:00 [pubmed]', '2010/04/14 06:00 [medline]']",['10.1007/s10654-009-9391-2 [doi]'],ppublish,Eur J Epidemiol. 2009;24(12):743-52. doi: 10.1007/s10654-009-9391-2. Epub 2009 Sep 26.,,,,,,,,,,,,,,,,,
19784467,NLM,MEDLINE,20091228,20191111,1806-4760 (Electronic) 0103-6440 (Linking),20,3,2009,Use of therapeutic laser for prevention and treatment of oral mucositis.,215-20,S0103-64402009000300008 [pii],"Oral mucositis (OM) affects patients who are submitted to hematopoietic stem cell transplantation (HSCT) due to high doses of chemotherapy and/or radiotherapy. The purpose of this investigation was to perform a comparative study of the frequency and evolution of OM among patients subjected to therapeutic laser and to the conventional therapy (use of mouthwash called 'Mucositis Formula'). The patients were subjected to a myeloablative conditioning regimen before the allogeneic HSCT. Twenty-two patients were selected and divided into 2 groups: group I was irradiated with InGaAlP laser (660 nm) and GaAlAs laser (780 nm), 25 mW potency, 6.3J/cm(2) dose, in 10-s irradiation time, followed to conventional treatment; group II was subjected only to the conventional treatment. Both World Health Organization (WHO) scale and the Oral Mucositis Assessment Scale (OMAS) were used to evaluate the results. Data were analyzed by the non-parametric Wilcoxon test, with p<0.05 considered as statistically significant. Group I presented a lower frequency of OM (p=0.02) and lower mean scores, according to WHO and OMAS scales (p<0.01 and p=0.01, respectively). In conclusion, laser reduced the frequency and severity of OM, suggesting that therapeutic laser can be used both as a new form of prevention and treatment of OM.","['Khouri, Vivian Youssef', 'Stracieri, Ana Beatriz Pereira Lima', 'Rodrigues, Maria Carolina', 'Moraes, Daniela Aparecida de', 'Pieroni, Fabiano', 'Simoes, Belinda Pinto', 'Voltarelli, Julio Cesar']","['Khouri VY', 'Stracieri AB', 'Rodrigues MC', 'Moraes DA', 'Pieroni F', 'Simoes BP', 'Voltarelli JC']","['University Hospital, University of Sao Paulo, Ribeirao Preto, SP, Brazil. vivikhouri@usp.br']",['eng'],,"['Journal Article', 'Randomized Controlled Trial']",,Brazil,Braz Dent J,Brazilian dental journal,9214652,['0 (Mouthwashes)'],,"['Adult', 'Female', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Humans', 'Leukemia/*complications/therapy', 'Low-Level Light Therapy/instrumentation/*methods', 'Male', 'Middle Aged', 'Mouthwashes/therapeutic use', 'Severity of Illness Index', 'Statistics, Nonparametric', 'Stomatitis/etiology/*prevention & control/therapy', 'Transplantation Conditioning/adverse effects', 'Treatment Outcome']",2009/09/29 06:00,2009/12/29 06:00,['2009/09/29 06:00'],"['2009/09/29 06:00 [entrez]', '2009/09/29 06:00 [pubmed]', '2009/12/29 06:00 [medline]']","['S0103-64402009000300008 [pii]', '10.1590/s0103-64402009000300008 [doi]']",ppublish,Braz Dent J. 2009;20(3):215-20. doi: 10.1590/s0103-64402009000300008.,,,,,,,,,,,,,,,,,
19784378,NLM,MEDLINE,20100201,20211020,1932-6203 (Electronic) 1932-6203 (Linking),4,9,2009 Sep 28,Isolation of Oct4-expressing extraembryonic endoderm precursor cell lines.,e7216,10.1371/journal.pone.0007216 [doi],"BACKGROUND: The extraembryonic endoderm (ExEn) defines the yolk sac, a set of membranes that provide essential support for mammalian embryos. Recent findings suggest that the committed ExEn precursor is present already in the embryonic Inner Cell Mass (ICM) as a group of cells that intermingles with the closely related epiblast precursor. All ICM cells contain Oct4, a key transcription factor that is first expressed at the morula stage. In vitro, the epiblast precursor is most closely represented by the well-characterized embryonic stem (ES) cell lines that maintain the expression of Oct4, but analogous ExEn precursor cell lines are not known and it is unclear if they would express Oct4. METHODOLOGY/PRINCIPAL FINDINGS: Here we report the isolation and characterization of permanently proliferating Oct4-expressing rat cell lines (""XEN-P cell lines""), which closely resemble the ExEn precursor. We isolated the XEN-P cell lines from blastocysts and characterized them by plating and gene expression assays as well as by injection into embryos. Like ES cells, the XEN-P cells express Oct4 and SSEA1 at high levels and their growth is stimulated by leukemia inhibitory factor, but instead of the epiblast determinant Nanog, they express the ExEn determinants Gata6 and Gata4. Further, they lack markers characteristic of the more differentiated primitive/visceral and parietal ExEn stages, but exclusively differentiate into these stages in vitro and contribute to them in vivo. CONCLUSIONS/SIGNIFICANCE: Our findings (i) suggest strongly that the ExEn precursor is a self-renewable entity, (ii) indicate that active Oct4 gene expression (transcription plus translation) is part of its molecular identity, and (iii) provide an in vitro model of early ExEn differentiation.","['Debeb, Bisrat G', 'Galat, Vasiliy', 'Epple-Farmer, Jessica', 'Iannaccone, Steve', 'Woodward, Wendy A', 'Bader, Michael', 'Iannaccone, Philip', 'Binas, Bert']","['Debeb BG', 'Galat V', 'Epple-Farmer J', 'Iannaccone S', 'Woodward WA', 'Bader M', 'Iannaccone P', 'Binas B']","['Department of Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, Texas, United States of America.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090928,United States,PLoS One,PloS one,101285081,"['0 (Octamer Transcription Factor-3)', '0 (Pou5f1 protein, mouse)', '0 (Transcription Factors)']",IM,"['Animals', 'Cell Culture Techniques', 'Cell Differentiation', 'Cell Lineage', 'Cell Separation', 'Embryonic Stem Cells/cytology', 'Endoderm/*cytology/metabolism', 'Female', 'Flow Cytometry', '*Gene Expression Regulation', 'Male', 'Mice', 'Octamer Transcription Factor-3/*metabolism', 'Rats', 'Transcription Factors/metabolism']",2009/09/29 06:00,2010/02/02 06:00,['2009/09/29 06:00'],"['2009/02/06 00:00 [received]', '2009/09/04 00:00 [accepted]', '2009/09/29 06:00 [entrez]', '2009/09/29 06:00 [pubmed]', '2010/02/02 06:00 [medline]']",['10.1371/journal.pone.0007216 [doi]'],epublish,PLoS One. 2009 Sep 28;4(9):e7216. doi: 10.1371/journal.pone.0007216.,PMC2747266,,,,,,,,,,,,,,,,
19783980,NLM,MEDLINE,20091020,20211203,1476-4687 (Electronic) 0028-0836 (Linking),461,7265,2009 Oct 8,JAK2 phosphorylates histone H3Y41 and excludes HP1alpha from chromatin.,819-22,10.1038/nature08448 [doi],"Activation of Janus kinase 2 (JAK2) by chromosomal translocations or point mutations is a frequent event in haematological malignancies. JAK2 is a non-receptor tyrosine kinase that regulates several cellular processes by inducing cytoplasmic signalling cascades. Here we show that human JAK2 is present in the nucleus of haematopoietic cells and directly phosphorylates Tyr 41 (Y41) on histone H3. Heterochromatin protein 1alpha (HP1alpha), but not HP1beta, specifically binds to this region of H3 through its chromo-shadow domain. Phosphorylation of H3Y41 by JAK2 prevents this binding. Inhibition of JAK2 activity in human leukaemic cells decreases both the expression of the haematopoietic oncogene lmo2 and the phosphorylation of H3Y41 at its promoter, while simultaneously increasing the binding of HP1alpha at the same site. Tauhese results identify a previously unrecognized nuclear role for JAK2 in the phosphorylation of H3Y41 and reveal a direct mechanistic link between two genes, jak2 and lmo2, involved in normal haematopoiesis and leukaemia.","['Dawson, Mark A', 'Bannister, Andrew J', 'Gottgens, Berthold', 'Foster, Samuel D', 'Bartke, Till', 'Green, Anthony R', 'Kouzarides, Tony']","['Dawson MA', 'Bannister AJ', 'Gottgens B', 'Foster SD', 'Bartke T', 'Green AR', 'Kouzarides T']","['Cambridge Institute for Medical Research and Department of Haematology, University of Cambridge, Hills Road, Cambridge CB2 0XY, UK.']",['eng'],"['089957/WT_/Wellcome Trust/United Kingdom', '12765/CRUK_/Cancer Research UK/United Kingdom', 'G0800784/MRC_/Medical Research Council/United Kingdom', 'MC_UP_1102/2/MRC_/Medical Research Council/United Kingdom']","['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090927,England,Nature,Nature,0410462,"['0 (Adaptor Proteins, Signal Transducing)', '0 (CBX1 protein, human)', '0 (CBX5 protein, human)', '0 (Chromatin)', '0 (Chromosomal Proteins, Non-Histone)', '0 (DNA-Binding Proteins)', '0 (Histones)', '0 (LIM Domain Proteins)', '0 (LMO2 protein, human)', '0 (Metalloproteins)', '0 (Proto-Oncogene Proteins)', '107283-02-3 (Chromobox Protein Homolog 5)', '42HK56048U (Tyrosine)', 'EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Adaptor Proteins, Signal Transducing', 'Animals', 'Binding Sites', 'Cell Line', 'Cell Nucleus/enzymology', 'Chromatin/chemistry/*metabolism', 'Chromobox Protein Homolog 5', 'Chromosomal Proteins, Non-Histone/*metabolism', 'DNA-Binding Proteins/genetics', 'Gene Expression Regulation, Neoplastic', 'Hematopoiesis/genetics', 'Hematopoietic Stem Cells/cytology/enzymology', 'Histones/chemistry/genetics/*metabolism', 'Humans', 'Janus Kinase 2/antagonists & inhibitors/*metabolism', 'LIM Domain Proteins', 'Leukemia/enzymology/genetics/metabolism/pathology', 'Metalloproteins/genetics', 'Mice', 'Oncogenes/genetics', 'Phosphorylation', 'Promoter Regions, Genetic/genetics', 'Protein Binding', 'Proto-Oncogene Proteins', 'Signal Transduction', 'Tyrosine/metabolism']",2009/09/29 06:00,2009/10/21 06:00,['2009/09/29 06:00'],"['2009/04/27 00:00 [received]', '2009/08/21 00:00 [accepted]', '2009/09/29 06:00 [entrez]', '2009/09/29 06:00 [pubmed]', '2009/10/21 06:00 [medline]']","['nature08448 [pii]', '10.1038/nature08448 [doi]']",ppublish,Nature. 2009 Oct 8;461(7265):819-22. doi: 10.1038/nature08448. Epub 2009 Sep 27.,PMC3785147,['EMS53287'],['NLM: EMS53287'],,,,,,,,,,,,,,
19783970,NLM,MEDLINE,20091125,20100115,1812-9269 (Print) 1812-9269 (Linking),31,3,2009 Sep,Ribonucleases in tumor growth.,127-33,,"This review summarizes data on ambiguous biological functions of ribonucleases (RNases) at tumor growth. In some cases the raised level of enzyme activity in biological fluids can be regarded as an additional marker of malignant growth (pancreas cancer, chronic myeloid leukemia, etc.). At the same time the activity of RNases is often lowered in tumor tissue. High substrate specificity of particular RNases provides metabolic balance between various kinds of RNAs with various half-time exchange turn. RNases are the important factors of epigenetic regulation of gene activity in cells. The activity of RNases is adjustable by inhibitors and other factors, and defines time of existence of different kinds of RNAs. RNases (the modified variants of RNase A, RNases of semen fluid of the cattle, RNase of amphibia oocytes) can be used as anti-tumor therapeutic agents. On the other hand, some inhibitors of RNases of natural or synthetic origin were demonstrated to be perspective drugs that inhibit tumor growth.","['Shlyakhovenko, V A']",['Shlyakhovenko VA'],"['R. E. Kavetsky Institute of Experimental Pathology, Oncology and Radiobiology, NAS of Ukraine, Kiev, Ukraine. vera@onconet.kiev.ua']",['eng'],,"['Journal Article', 'Review']",,Ukraine,Exp Oncol,Experimental oncology,101230541,['EC 3.1.- (Ribonucleases)'],IM,"['Animals', 'Humans', 'Neoplasms/*enzymology/*pathology', 'Ribonucleases/*physiology']",2009/09/29 06:00,2009/12/16 06:00,['2009/09/29 06:00'],"['2009/09/29 06:00 [entrez]', '2009/09/29 06:00 [pubmed]', '2009/12/16 06:00 [medline]']",['40/767 [pii]'],ppublish,Exp Oncol. 2009 Sep;31(3):127-33.,,,,70,,,,,,,,,,,,,
