PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,RN,PMC,RF,TT,CI,CN,GR,CIN,EIN,CON,SI,MID,OID,RPI,SPIN,LID,OTO,OT,GN,RIN,PS,FPS
16286042,NLM,MEDLINE,20060112,20071115,1054-8807 (Print) 1054-8807 (Linking),14,6,2005 Nov-Dec,Chronic lymphocytic leukemia involving the coronary arteries with accompanying acute myocardial infarction.,324-6,"An 83-year-old man with chronic lymphocytic leukemia (CLL) for 10 years presented with dyspnea and hypotension. Blood investigations and electrocardiogram were consistent with acute myocardial infarction. The patient deteriorated quickly and died shortly thereafter. At autopsy, there was severe atherosclerosis of the coronary arteries and an inferolateral left ventricular wall myocardial infarct. Microscopy showed that CLL involved the nodes, liver, spleen, bowel, and kidneys. The coronary artery walls were infiltrated with leukemia cells invading the tunica media and the atheromatous plaque. Infiltration of the coronary arteries by CLL is not common and the possible role in coronary syndromes is discussed.","['Assiri, Ali H', 'Lamba, Manisha', 'Veinot, John P']","['Assiri AH', 'Lamba M', 'Veinot JP']","['Division of Anatomical Pathology, Department of Pathology and Laboratory Medicine, Ottawa Hospital, University of Ottawa, Ontario, Canada K1H 8L6.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cardiovasc Pathol,Cardiovascular pathology : the official journal of the Society for Cardiovascular Pathology,9212060,IM,"['Aged, 80 and over', 'Coronary Artery Disease/*etiology/*pathology', 'Flow Cytometry', 'Humans', 'Immunohistochemistry', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications/*pathology', 'Male', 'Myocardial Infarction/*etiology/pathology']",2005/11/16 09:00,2006/01/13 09:00,['2005/11/16 09:00'],"['2004/10/04 00:00 [received]', '2005/06/10 00:00 [revised]', '2005/07/13 00:00 [accepted]', '2005/11/16 09:00 [pubmed]', '2006/01/13 09:00 [medline]', '2005/11/16 09:00 [entrez]']","['S1054-8807(05)00112-2 [pii]', '10.1016/j.carpath.2005.07.006 [doi]']",ppublish,Cardiovasc Pathol. 2005 Nov-Dec;14(6):324-6. doi: 10.1016/j.carpath.2005.07.006.,,,,,,,,,,,,,,,,,,,,,,,
16285885,NLM,MEDLINE,20060726,20181113,1742-4690 (Electronic) 1742-4690 (Linking),2,,2005 Nov 14,Presence of a functional but dispensable nuclear export signal in the HTLV-2 Tax protein.,70,"BACKGROUND: Human T-cell leukemia virus type 1 and type 2 are related human retroviruses. HTLV-1 is the etiological agent of the Adult T-cell Leukemia/Lymphoma and of the Tropical Spastic Paraparesis/HTLV-1 Associated Myelopathy, whereas, HTLV-2 infection has not been formally associated with any T-cell malignancy. HTLV-1 and 2 genomes encode, respectively, the Tax1 and Tax2 proteins whose role is to transactivate the viral promoter. HTLV-1 and HTLV-2 Tax sequences display 28% divergence at the amino acid level. Tax1 is a shuttling protein that possesses both a non canonical nuclear import (NLS) and a nuclear export (NES) signal. We have recently demonstrated that Tax1 and Tax2 display different subcellular localization and that residues 90-100 are critical for this process. We investigate in the present report, whether Tax2 also possesses a functional NES. RESULTS: We first used a NES prediction method to determine whether the Tax2 protein might contain a NES and the results do suggest the presence of a NES sequence in Tax2. Using Green Fluorescent Protein-NES (GFP-NES) fusion proteins, we demonstrate that the Tax2 sequence encompasses a functional NES (NES2). As shown by microscope imaging, NES2 is able to mediate translocation of GFP from the nucleus, without the context of a full length Tax protein. Furthermore, point mutations or leptomycin B treatment abrogate NES2 function. However, within the context of full length Tax2, similar point mutations in the NES2 leucine rich stretch do not modify Tax2 localization. Finally, we also show that Tax1 NES function is dependent upon the positioning of the nuclear export signal ""vis-a-vis"" GFP. CONCLUSION: HTLV-2 Tax NES is functional but dispensable for the protein localization in vitro.","['Chevalier, Sebastien A', 'Meertens, Laurent', 'Calattini, Sara', 'Gessain, Antoine', 'Kiemer, Lars', 'Mahieux, Renaud']","['Chevalier SA', 'Meertens L', 'Calattini S', 'Gessain A', 'Kiemer L', 'Mahieux R']","[""Unite d'Epidemiologie et Physiopathologie des Virus Oncogenes, Institut Pasteur, Paris, France. schevali@pasteur.fr""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Retrovirology,Retrovirology,101216893,IM,"['Gene Products, tax/*chemistry/*physiology', 'HeLa Cells', 'Humans', 'Karyopherins/physiology', 'Leucine', '*Nuclear Export Signals', 'Protein Transport', 'Receptors, Cytoplasmic and Nuclear/physiology']",2005/11/16 09:00,2006/07/27 09:00,['2005/11/16 09:00'],"['2005/10/14 00:00 [received]', '2005/11/14 00:00 [accepted]', '2005/11/16 09:00 [pubmed]', '2006/07/27 09:00 [medline]', '2005/11/16 09:00 [entrez]']","['1742-4690-2-70 [pii]', '10.1186/1742-4690-2-70 [doi]']",epublish,Retrovirology. 2005 Nov 14;2:70. doi: 10.1186/1742-4690-2-70.,20051114,"['0 (Gene Products, tax)', '0 (Karyopherins)', '0 (Nuclear Export Signals)', '0 (Receptors, Cytoplasmic and Nuclear)', '0 (exportin 1 protein)', 'GMW67QNF9C (Leucine)']",PMC1308865,,,,,,,,,,,,,,,,,,,,
16285602,NLM,MEDLINE,20051213,20191109,0040-8891 (Print) 0040-8891 (Linking),46,1-2,2005 May,Leukemia case in patient with taste dysfunction.,33-6,A blood examination was carried out in order to assess the serum zinc level in a patient with taste dysfunction. A blood cell count was also performed simultaneously and promyelocytic leukemia was identified. This case provides an example of leukemia being detected at the time of a blood test being given to assess taste dysfunction.,"['Tazaki, Masakazu', 'Matsuzaka, Kenichi', 'Ikumoto, Hideyuki', 'Inoue, Takashi']","['Tazaki M', 'Matsuzaka K', 'Ikumoto H', 'Inoue T']","['Department of Physiology, Tokyo Dental College, 1-2-2 Masago, Mihama-ku, Chiba 261-8502, Japan. mtazaki@tdc.ac.jp']",['eng'],"['Case Reports', 'Journal Article']",Japan,Bull Tokyo Dent Coll,The Bulletin of Tokyo Dental College,7505414,,"['Humans', 'Leukemia/blood/*complications/diagnosis', 'Male', 'Middle Aged', 'Taste Disorders/blood/*complications', 'Zinc/blood']",2005/11/16 09:00,2005/12/15 09:00,['2005/11/16 09:00'],"['2005/11/16 09:00 [pubmed]', '2005/12/15 09:00 [medline]', '2005/11/16 09:00 [entrez]']",['10.2209/tdcpublication.46.33 [doi]'],ppublish,Bull Tokyo Dent Coll. 2005 May;46(1-2):33-6. doi: 10.2209/tdcpublication.46.33.,,['J41CSQ7QDS (Zinc)'],,,,,,,,,,,,,,,,,,,,,
16285577,NLM,MEDLINE,20051229,20200929,0392-2936 (Print) 0392-2936 (Linking),26,5,2005,Metastatic disease in the breast from nonmammary neoplasms.,547-50,"Breast cancer is the leading cause of death from cancer in women. The metastatic involvement of the breast from nonmammary neoplasms is a relatively rare condition. Female patients are affected five to six times more frequently than male patients. We present seven patients with metastasis in the breast from extramammary tumors. Females seemed to be more frequently affected (6 women and 1 man) and included a wide range of ages (17-70 years old). All female patients had suspicious-looking abnormalities (B1-RADS 4) or lesions highly suspicious of malignancy (BI-RADS 5) in the mammography, without a confirmative fine needle aspiration cytology. The primary malignancies were equally distributed between non-hematological (1 renal adenocarcinoma, 1 melanoma, 1 leiomyosarcoma) and hematological (1 non-Hodgkin's, 2 Hodgkin's lymphomas and 1 leukemia). Treatment is therefore modified, taking into consideration the treatment and prognosis of the primary disease.","['Smymiotis, V', 'Theodosopoulos, Th', 'Marinis, A', 'Goula, K', 'Psychogios, J', 'Kondi-Pafiti, A']","['Smymiotis V', 'Theodosopoulos T', 'Marinis A', 'Goula K', 'Psychogios J', 'Kondi-Pafiti A']","['Second Department of Surgery, Athens University Medical School, Areteion Hospital, Greece.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",Singapore,Eur J Gynaecol Oncol,European journal of gynaecological oncology,8100357,IM,"['Adenocarcinoma/diagnosis/secondary', 'Adolescent', 'Adult', 'Aged', 'Breast Neoplasms/*diagnosis/*secondary', 'Breast Neoplasms, Male/diagnosis/secondary', 'Diagnosis, Differential', 'Female', 'Hodgkin Disease/diagnosis', 'Humans', 'Kidney Neoplasms/diagnosis/secondary', 'Leiomyosarcoma/diagnosis/secondary', 'Leukemia/diagnosis', 'Lymphoma, Non-Hodgkin/diagnosis', 'Male', 'Melanoma/diagnosis/secondary', 'Neoplasm Metastasis', 'Skin Neoplasms/diagnosis/secondary', 'Uterine Neoplasms/diagnosis/secondary']",2005/11/16 09:00,2005/12/31 09:00,['2005/11/16 09:00'],"['2005/11/16 09:00 [pubmed]', '2005/12/31 09:00 [medline]', '2005/11/16 09:00 [entrez]']",,ppublish,Eur J Gynaecol Oncol. 2005;26(5):547-50.,,,,24,,,,,,,,,,,,,,,,,,,
16285505,NLM,MEDLINE,20090723,20201209,1000-3061 (Print) 1000-3061 (Linking),21,5,2005 Sep,[Construction and expression of single chain variable fragments (ScFv) against human CD19 antigen].,686-91,"The genes encoding for the light and heavy chain variable regions were cloned by RT-PCR from a murine monoclonal hybridoma cell line, which could produce monoclonal antibody to recognize CD19 antigen on human B lymphocyte. Then fused the light and heavy chain variable regions together by a short peptide linker containing 15 amino acid (Gly4Ser)3 using splice-overlap extensive PCR. The recombinant anti-CD19- ScFv was subcloned into the expression vector pET28a and induced to be expressed by IPTG in E. coli BL21. SDS-PAGE and Western blot analysis showed that the recombinant anti-CD19-ScFv gene was expressed in E. coli BL21. ScFv expression was in the form of an inclusion bodies and the purified fusion protein was obtained after a series of purification steps including cell break, inclusion body solubilization, Ni2+ metal affinity chromatography and protein refolding. Flow cytometry analysis showed that the ScFv can react with human CD19 antigen. In conclusion, recombinant anti-CD19-ScFv gene has been successful constructed and expressed in E. coli BL21, which could provide a basic study for the future target therapy to the B lymphoid leukemia and B lymphoma.","['Chen, Sen', 'Rao, Qing', 'Wang, Jian-Xiang', 'Wang, Min']","['Chen S', 'Rao Q', 'Wang JX', 'Wang M']","['Institute of Hematology and Blood Diseases Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Tianjin 300020, China.']",['chi'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Sheng Wu Gong Cheng Xue Bao,Sheng wu gong cheng xue bao = Chinese journal of biotechnology,9426463,IM,"['Antibodies, Monoclonal/biosynthesis/genetics', 'Antigens, CD19/*immunology', 'Cloning, Molecular', 'Escherichia coli/genetics/metabolism', 'Humans', 'Immunoglobulin Fragments/biosynthesis/*genetics/immunology', 'Immunoglobulin Variable Region/biosynthesis/*genetics/immunology', 'Recombinant Proteins/biosynthesis/genetics']",2005/11/16 09:00,2009/07/25 09:00,['2005/11/16 09:00'],"['2005/11/16 09:00 [pubmed]', '2009/07/25 09:00 [medline]', '2005/11/16 09:00 [entrez]']",,ppublish,Sheng Wu Gong Cheng Xue Bao. 2005 Sep;21(5):686-91.,,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD19)', '0 (Immunoglobulin Fragments)', '0 (Immunoglobulin Variable Region)', '0 (Recombinant Proteins)', '0 (immunoglobulin Fv)']",,,,,,,,,,,,,,,,,,,,,
16285405,NLM,MEDLINE,20051205,20181201,0007-9995 (Print) 0007-9995 (Linking),45,2-3,2005 Apr-Sep,[A physician demand and supply forecast model for Nova Scotia].,255-85,"RATIONALE: There is well-founded concern about the current and future availability of Health Human Resources (HHR). Demographic trends are magnifying this concern -- an ageing population will require more medical interventions at a time when the HHR workforce itself is ageing. The lengthy and costly training period for most health care workers, especially physicians, poses a real challenge that requires planning these activities well in advance. Hence, there is definite need for a good HHR forecasting model. OBJECTIVES: To present a physician forecasting model that projects the Full-Time Equivalent (FTE) demand for and supply of physicians in Nova Scotia to the year 2020 for three specialties: general practitioners, medical, and surgical. The model enables gap analysis and assessment of alternative policy options designed to close the gaps. METHODOLOGY: The methodology for estimating demand fo physician services involves three steps: (i) Establishing the FT for each physician. To this end we calculate the income of each physician using Physician Billings Data and then identify the 40th and 60th percentile income levels for each of the 40 specialties. The income levels are then used to calculate the FTE using a formula developed at Health Canada; (ii) Calculating the FTE for each service by distributing the FTE of each physician at the service level (i.e., by patient age, sex, most responsible diagnosis, and hospital status group); and (iii) Using Statistics Canada's population projections to project future demand for three broad medical disciplines: general practitioners, medical specialist, and surgical specialists. The supply side of the model employs a stock/flow approach and exploits time-series and other data for variables, such as emigration, international medical graduates (IMGs), medical school entrants, retirements, mortality, and so on, which in turn allow us to access a host of policy parameters. RESULTS: Under the status quo assumption, demand for physician services will outstrip the growth in supply for all three specialties. CONCLUSIONS: The model can simulate supply-side policy changes (e.g. more IMGs, delayed retirements) and can also reflect changes in demand (e.g. a cure for leukemia; different work intensities for physicians). The model is highly parameterized so that it can accommodate shocks that may influence the future requirements for physicians. Once a future requirement is determined, the supply model can identify the policy levers (new entrants, immigration, emigration, retirement) necessary to close the gap between demand and supply. The model is a user-friendly tool made for policy makers to formulate appropriate physician workforce planning.","['Basu, Kisalaya', 'Gupta, Anil']","['Basu K', 'Gupta A']","[""Economiste principal, Division de la modelisation par microsimulation de l'analyse des donnees, Direction de la recherche appliquee et de l'analyse, Ministere de la Sante, Canada.""]",['fre'],"['Comparative Study', 'Journal Article']",France,Cah Sociol Demogr Med,Cahiers de sociologie et de demographie medicales,0004455,IM,"['Adult', 'Aging', 'Economics, Medical', 'Emigration and Immigration', 'Family Practice/economics', 'Female', 'Forecasting', 'Foreign Medical Graduates', 'General Surgery/economics', 'Health Policy', 'Health Services Needs and Demand', 'Health Workforce', 'Humans', 'Male', 'Middle Aged', 'Models, Theoretical', 'Nova Scotia', 'Physicians/*supply & distribution', 'Population Growth', 'Retirement', 'Specialization']",2005/11/16 09:00,2005/12/13 09:00,['2005/11/16 09:00'],"['2005/11/16 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/11/16 09:00 [entrez]']",,ppublish,Cah Sociol Demogr Med. 2005 Apr-Sep;45(2-3):255-85.,,,,,Un modele previsionnel de l'offre et de la demande de medecins dans la province Canadienne de la Nouvelle-Ecosse.,,,,,,,,,,,,,,,,,,
16285317,NLM,MEDLINE,20051220,20191109,1610-0379 (Print) 1610-0379 (Linking),2,12,2004 Dec,"[Ulcerated red, livid nodule on the scrotum of a 64-year old man].",1027-9,,"['Hordt, Tanja', 'Klemke, Claus-Detlev', 'Dippel, Edgar', 'Goerdt, Sergij']","['Hordt T', 'Klemke CD', 'Dippel E', 'Goerdt S']","['Klinik fur Dermatologie, Venerologie and Allergologie, Universitatsklinikum Mannheim, Ruprecht-Karls-Universitat Heidelberg, Mannheim.']",['ger'],"['Case Reports', 'Journal Article']",Germany,J Dtsch Dermatol Ges,Journal der Deutschen Dermatologischen Gesellschaft = Journal of the German Society of Dermatology : JDDG,101164708,IM,"['Genital Diseases, Male/pathology', 'Genital Neoplasms, Male/*pathology', 'Humans', 'Leukemia/*pathology', 'Leukemia, Lymphocytic, Chronic, B-Cell/*pathology', 'Male', 'Middle Aged', 'Paraneoplastic Syndromes/*pathology', 'Scrotum/*pathology', 'Skin Neoplasms/*pathology', 'Ulcer/*pathology']",2005/11/16 09:00,2005/12/21 09:00,['2005/11/16 09:00'],"['2005/11/16 09:00 [pubmed]', '2005/12/21 09:00 [medline]', '2005/11/16 09:00 [entrez]']",['10.1046/j.1439-0353.2004.04073.x [doi]'],ppublish,J Dtsch Dermatol Ges. 2004 Dec;2(12):1027-9. doi: 10.1046/j.1439-0353.2004.04073.x.,,,,,"Ulzerierter, lividroter Knoten am Skrotum bei einem 64jahrigen Mann.",,,,,,,,,,,,,,,,,,
16285021,NLM,MEDLINE,20060717,20131121,1075-2617 (Print) 1075-2617 (Linking),12,5,2006 May,"Limenin, a defensin-like peptide with multiple exploitable activities from shelf beans.",341-6,"From the seeds of the shelf bean, an antifungal peptide with a molecular mass of 6.5 kDa was isolated. The isolation procedure comprised affinity chromatography on Affi-gel blue gel, ion exchange chromatography on Mono S, and gel filtration on Superdex 75. The peptide was adsorbed on Affi-gel blue gel and Mono S. It potently suppressed mycelial growth in Botrytis cinerea, Fusarium oxysporum, and Mycosphaerella arachidicola with an IC(50) of 2.9, 2.1, and 0.34 microM, respectively. It exerted antibacterial activity toward several bacterial species with an IC(50) approximating 100 microM. [Methyl-(3)H]-thymidine incorporation into isolated mouse splenocytes was stimulated. [Methyl-(3)H]-thymidine incorporation into M1 (myeloma) and L1210 (leukemia) cells was inhibited. The peptide reduced the activity of HIV-1 reverse transcriptase and also inhibited translation in a cell-free rabbit reticulocyte lysate system.","['Wong, Jack H', 'Ng, T B']","['Wong JH', 'Ng TB']","['Department of Biochemistry, Faculty of Medicine, The Chinese University of Hong Kong, Shatin, New Territories, Hong Kong, China.']",['eng'],['Journal Article'],England,J Pept Sci,Journal of peptide science : an official publication of the European Peptide Society,9506309,IM,"['Amino Acid Sequence', 'Animals', 'Anti-Bacterial Agents/isolation & purification/pharmacology', 'Antifungal Agents/*isolation & purification/pharmacology', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Cells, Cultured', 'Chromatography, Affinity', 'Chromatography, Ion Exchange', 'Defensins/genetics/*isolation & purification/pharmacology', 'HIV Reverse Transcriptase/antagonists & inhibitors', 'Humans', 'Mice', 'Mice, Inbred C57BL', 'Molecular Sequence Data', 'Phaseolus/*chemistry', 'Plant Proteins/genetics/*isolation & purification/pharmacology', 'Rabbits', 'Rats', 'Sequence Homology, Amino Acid', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization', 'Spleen/cytology/drug effects/metabolism', 'Thymidine/pharmacokinetics']",2005/11/15 09:00,2006/07/18 09:00,['2005/11/15 09:00'],"['2005/11/15 09:00 [pubmed]', '2006/07/18 09:00 [medline]', '2005/11/15 09:00 [entrez]']",['10.1002/psc.732 [doi]'],ppublish,J Pept Sci. 2006 May;12(5):341-6. doi: 10.1002/psc.732.,,"['0 (Anti-Bacterial Agents)', '0 (Antifungal Agents)', '0 (Defensins)', '0 (Plant Proteins)', '0 (limenin protein, Phaseolus limensis)', 'EC 2.7.7.49 (HIV Reverse Transcriptase)', 'VC2W18DGKR (Thymidine)']",,,,"['Copyright (c) 2005 European Peptide Society and John Wiley & Sons, Ltd.']",,,,,,,,,,,,,,,,,
16284990,NLM,MEDLINE,20060119,20151119,0008-543X (Print) 0008-543X (Linking),104,12,2005 Dec 15,The addition of rituximab to fludarabine improves clinical outcome in untreated patients with ZAP-70-negative chronic lymphocytic leukemia.,2743-52,"BACKGROUND: Clinical trials of monoclonal antibodies in combination with chemotherapy have reported previously unattained response rates in patients with B-cell chronic lymphocytic leukemia (B-CLL); however, the analysis of ZAP-70 protein and/or CD38 may explain better the discordant outcomes independent of treatment. METHODS: The authors conducted a Phase II study, in which rituximab was added to fludarabine for patients with symptomatic, untreated CLL, to evaluate clinical outcomes. Sixty patients with B-CLL received 6 monthly courses of fludarabine (25 mg/m(2) for 5 days) followed by 4 weekly doses of rituximab (375 mg/m(2)). RESULTS: On the basis of National Cancer Institute criteria, 47 of 60 patients (78%) achieved a complete remission, 9 of 60 patients (15%) achieved a partial remission, and 4 of 60 patients (7%) had no response or progressive disease. It is noteworthy that the patients experienced a long progression-free survival (PFS) from treatment (68% at 3 yrs). A significantly shorter PFS was observed in ZAP-70-positive patients (25% vs. 100% at 3 yrs; P = 0.00005), in CD38-positive patients (18% vs. 91% at 3 yrs; P = 0.0002), and in patients who had more minimal residual disease (36% vs. 77% at 2.5 yrs; P = 0.001). CONCLUSIONS: With the addition of rituximab to fludarabine, improved clinical outcomes were obtained, and the stratification of patients by using ZAP-70 and CD38 may help clinicians offer more aggressive and/or experimental approaches to the treatment of patients with high-risk B-CLL subtypes.","['Del Poeta, Giovanni', 'Del Principe, Maria Ilaria', 'Consalvo, Maria Antonietta Irno', 'Maurillo, Luca', 'Buccisano, Francesco', 'Venditti, Adriano', 'Mazzone, Carla', 'Bruno, Antonio', 'Gianni, Laura', 'Capelli, Giovanni', 'Lo Coco, Francesco', 'Cantonetti, Maria', 'Gattei, Valter', 'Amadori, Sergio']","['Del Poeta G', 'Del Principe MI', 'Consalvo MA', 'Maurillo L', 'Buccisano F', 'Venditti A', 'Mazzone C', 'Bruno A', 'Gianni L', 'Capelli G', 'Lo Coco F', 'Cantonetti M', 'Gattei V', 'Amadori S']","['Cattedra di Ematologia, Universita Tor Vergata, Roma, Italy. g.delpoeta@tin.it']",['eng'],"['Clinical Trial, Phase II', 'Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,IM,"['Adult', 'Aged', 'Antibodies, Monoclonal/administration & dosage', 'Antibodies, Monoclonal, Murine-Derived', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Biomarkers, Tumor/analysis', 'Dose-Response Relationship, Drug', 'Drug Administration Schedule', 'Female', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/*drug therapy/genetics/*mortality', 'Male', 'Middle Aged', 'Probability', 'Prognosis', 'Prospective Studies', 'Risk Assessment', 'Rituximab', 'Severity of Illness Index', 'Survival Analysis', 'Treatment Outcome', 'Vidarabine/administration & dosage/analogs & derivatives', 'ZAP-70 Protein-Tyrosine Kinase/analysis/*genetics']",2005/11/15 09:00,2006/01/20 09:00,['2005/11/15 09:00'],"['2005/11/15 09:00 [pubmed]', '2006/01/20 09:00 [medline]', '2005/11/15 09:00 [entrez]']",['10.1002/cncr.21535 [doi]'],ppublish,Cancer. 2005 Dec 15;104(12):2743-52. doi: 10.1002/cncr.21535.,,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Biomarkers, Tumor)', '4F4X42SYQ6 (Rituximab)', 'EC 2.7.10.2 (ZAP-70 Protein-Tyrosine Kinase)', 'EC 2.7.10.2 (ZAP70 protein, human)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",,,,['Copyright 2005 American Cancer Society.'],,,,,,,,,,,,,,,,,
16284985,NLM,MEDLINE,20060119,20171116,0008-543X (Print) 0008-543X (Linking),104,12,2005 Dec 15,"A randomized, postremission comparison of four courses of standard-dose consolidation therapy without maintenance therapy versus three courses of standard-dose consolidation with maintenance therapy in adults with acute myeloid leukemia: the Japan Adult Leukemia Study Group AML 97 Study.",2726-34,"BACKGROUND: A major concern in the treatment of patients with acute myeloid leukemia (AML) is how to prevent disease recurrences. Although intensive consolidation therapy has proven useful, the effectiveness of maintenance therapy remains controversial. METHODS: Seven hundred eighty-nine patients ages 15-64 (median: 45 yrs) with de novo AML received induction therapy, which consisted of cytosine arabinoside (at a dose of 100 mg/m(2) on Days 1-7) and idarubicin (at a dose of 12 mg/m(2) on Days 1-3). The patients who achieved complete remission (CR) were then randomized into groups that received either four courses of standard-dose consolidation therapy without maintenance (Arm A) or three courses of standard-dose consolidation and six courses of maintenance therapy (Arm B). RESULTS: In total, 78.7% of patients achieved CR. The 5-year overall survival (OS) rate for the 789 eligible patients was 46.9%, and the disease-free survival (DFS) rate for the 621 patients who achieved CR was 32.9%. The 5-year OS rate for Arm A was 52.4%, and 58.4% for Arm B (P = 0.599). The 5-year DFS rate for the patients who achieved CR was 35.8% in Arm A and 30.4% in Arm B (P = 0.543). In analyzing the data according to the risk groups, no statistical difference was observed either in the 5-year OS rate or in the 5-year DFS rate between the 2 arms. CONCLUSIONS: In the current study, the Japan Adult Leukemia Study Group's conventional postremission therapy (three courses of standard-dose consolidation and six courses of maintenance therapy) was replaced successfully by a shorter duration of four courses of standard-dose consolidation therapy without the need for additional maintenance therapy.","['Miyawaki, Shuichi', 'Sakamaki, Hisashi', 'Ohtake, Shigeki', 'Emi, Nobuhiko', 'Yagasaki, Fumiharu', 'Mitani, Kinuko', 'Matsuda, Shin', 'Kishimoto, Yuji', 'Miyazaki, Yasushi', 'Asou, Norio', 'Matsushima, Takafumi', 'Takahashi, Masatomo', 'Ogawa, Yoshiaki', 'Honda, Sumihisa', 'Ohno, Ryuzo']","['Miyawaki S', 'Sakamaki H', 'Ohtake S', 'Emi N', 'Yagasaki F', 'Mitani K', 'Matsuda S', 'Kishimoto Y', 'Miyazaki Y', 'Asou N', 'Matsushima T', 'Takahashi M', 'Ogawa Y', 'Honda S', 'Ohno R']","['Division of Hematology, Saiseikai Maebashi Hospital, Maebashi, Japan.']",['eng'],"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Disease-Free Survival', 'Dose-Response Relationship, Drug', 'Drug Administration Schedule', 'Female', 'Follow-Up Studies', 'Humans', 'Idarubicin/administration & dosage', 'Leukemia, Myeloid, Acute/diagnosis/*drug therapy/*mortality', 'Male', 'Mercaptopurine/administration & dosage', 'Middle Aged', 'Mitoxantrone/administration & dosage', 'Probability', 'Remission Induction', 'Risk Assessment', 'Treatment Outcome', 'Vincristine/administration & dosage', 'Vindesine/administration & dosage']",2005/11/15 09:00,2006/01/20 09:00,['2005/11/15 09:00'],"['2005/11/15 09:00 [pubmed]', '2006/01/20 09:00 [medline]', '2005/11/15 09:00 [entrez]']",['10.1002/cncr.21493 [doi]'],ppublish,Cancer. 2005 Dec 15;104(12):2726-34. doi: 10.1002/cncr.21493.,,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', 'BZ114NVM5P (Mitoxantrone)', 'E7WED276I5 (Mercaptopurine)', 'RSA8KO39WH (Vindesine)', 'ZRP63D75JW (Idarubicin)', 'ZS7284E0ZP (Daunorubicin)']",,,,['Copyright 2005 American Cancer Society.'],['Japan Adult Leukemia Study Group AML 97 Study'],,,,,,,,,,,,,,,,
