PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,GR,PMC,SI,OID,EIN,OTO,OT,GN,OAB,OABL
3857176,NLM,MEDLINE,19850611,20211203,0722-2211 (Print) 0722-2211 (Linking),4,1,1985 Feb,Systemic infection with Trichosporon capitatum in two patients with acute leukaemia.,62-4,"Trichosporon capitatum was isolated from the blood of two patients with acute leukaemia who were undergoing induction chemotherapy. Both patients died of their infections, and the fungus was cultured from their tissues after death. Systemic infection was proved by demonstrating the same pattern of fluorescein-labelled lectin staining of fungal elements in the tissues as was shown by the fungal isolates.","['Baird, D R', 'Harris, M', 'Menon, R', 'Stoddart, R W']","['Baird DR', 'Harris M', 'Menon R', 'Stoddart RW']",['eng'],"['Case Reports', 'Journal Article']",Germany,Eur J Clin Microbiol,European journal of clinical microbiology,8219582,IM,"['Adult', 'Aged', 'Female', 'Geotrichosis/*etiology', 'Humans', 'Immunosuppression Therapy', 'Leukemia, Myeloid, Acute/*complications/drug therapy', 'Male', 'Mycoses/*etiology']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",['10.1007/BF02148664 [doi]'],ppublish,Eur J Clin Microbiol. 1985 Feb;4(1):62-4. doi: 10.1007/BF02148664.,,,,,,,,,,,,
3857160,NLM,MEDLINE,19850614,20071115,0012-7183 (Print) 0012-7183 (Linking),101,5,1985,[Improving prognosis in childhood leukemia].,491-7,,"['Rajantie, J', 'Siimes, M A']","['Rajantie J', 'Siimes MA']",['fin'],['Journal Article'],Finland,Duodecim,Duodecim; laaketieteellinen aikakauskirja,0373207,IM,"['Child', 'Humans', 'Leukemia, Lymphoid/diagnosis/*therapy', 'Leukemia, Myeloid, Acute/diagnosis/*therapy', 'Prognosis']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Duodecim. 1985;101(5):491-7.,Lasten leukemian muuttuva ennuste.,,,,,,,,,,,
3857157,NLM,MEDLINE,19850612,20140226,0578-1426 (Print) 0578-1426 (Linking),24,2,1985 Feb,[Long-term survival in acute leukemia: report of 23 cases].,"68-71, 124",,"['Hou, Y H', 'Shan, Y D', 'Jiang, Y L']","['Hou YH', 'Shan YD', 'Jiang YL']",['chi'],"['Case Reports', 'English Abstract', 'Journal Article']",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Child', 'Female', 'Humans', 'Leukemia/*mortality', 'Leukemia, Lymphoid/mortality', 'Leukemia, Monocytic, Acute/mortality', 'Leukemia, Myeloid, Acute/mortality', 'Male', 'Middle Aged', 'Prognosis']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",,ppublish,"Zhonghua Nei Ke Za Zhi. 1985 Feb;24(2):68-71, 124.",,,,,,,,,,,,
3857141,NLM,MEDLINE,19850529,20170214,0009-9228 (Print) 0009-9228 (Linking),24,5,1985 May,Clostridium difficile isolation in leukemic children on maintenance cancer chemotherapy. A preliminary study.,252-5,"Between December 1982 and November 1983, stool specimens from 15 children with acute lymphoblastic leukemia, who were on maintenance cancer chemotherapy, were examined weekly for the presence of Clostridium difficile and its toxin. Four out of 15 patients were positive for C. difficile: three patients had stool specimens that did not contain toxin, but cultures yielded growth of toxigenic C. difficile on only one occasion. The fourth patient, who had a recent history of hospitalization, particularly aggressive cancer chemotherapy, neutropenia, and antibiotic therapy, excreted both C. difficile and its toxin for at least 1 month. All children were asymptomatic at the time of positive cultures. This preliminary study reveals a low rate of C. difficile colonization in leukemic children on maintenance cancer chemotherapy.","['Chiesa, C', 'Gianfrilli, P', 'Occhionero, M', 'Luzzi, I', 'Multari, G', 'Werner, B', 'Pacifico, L', 'Midulla, M']","['Chiesa C', 'Gianfrilli P', 'Occhionero M', 'Luzzi I', 'Multari G', 'Werner B', 'Pacifico L', 'Midulla M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Clin Pediatr (Phila),Clinical pediatrics,0372606,IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects', '*Bacterial Proteins', 'Bacterial Toxins/analysis', 'Child', 'Child, Preschool', 'Clostridium/isolation & purification', 'Clostridium Infections/chemically induced/*microbiology', 'Feces/microbiology', 'Female', 'Humans', 'Leukemia, Lymphoid/drug therapy/*microbiology', 'Male']",1985/05/01 00:00,1985/05/01 00:01,['1985/05/01 00:00'],"['1985/05/01 00:00 [pubmed]', '1985/05/01 00:01 [medline]', '1985/05/01 00:00 [entrez]']",['10.1177/000992288502400502 [doi]'],ppublish,Clin Pediatr (Phila). 1985 May;24(5):252-5. doi: 10.1177/000992288502400502.,,"['0 (Bacterial Proteins)', '0 (Bacterial Toxins)', '0 (toxB protein, Clostridium difficile)']",,,,,,,,,,
3857140,NLM,MEDLINE,19850529,20190720,0363-9762 (Print) 0363-9762 (Linking),10,3,1985 Mar,Nonvisualization of an enlarged spleen on Ga-67 scintigraphy but demonstrated by CT after splenic irradiation.,184-7,"Presence of enlarged spleen using CT with absence of splenic visualization in Ga-67 citrate images in a patient with chronic myelogenous leukemia and splenomegaly after splenic irradiation was observed. Since Howell-Jolly bodies had not been identified in the peripheral circulation, the finding of splenic nonvisualization was explained by disassociated splenic functions, which are not tightly coupled, and some activities that can be suppressed by irradiation without impairing others. The Ga-67 splenic localization mechanism is probably more sensitive and liable to disruption by irradiation, and was independent of spleen size. Ga-67 scintigraphy and Tc-99m sulfur colloid liver-spleen scintigraphy are two organ function-dependent imaging procedures, while CT provides anatomic information.","['Shih, W J', 'Domstad, P A', 'DeLand, F H', 'Maruyama, Y']","['Shih WJ', 'Domstad PA', 'DeLand FH', 'Maruyama Y']",['eng'],"['Case Reports', 'Journal Article']",United States,Clin Nucl Med,Clinical nuclear medicine,7611109,IM,"['*Gallium Radioisotopes', 'Humans', 'Leukemia, Myeloid/radiotherapy', 'Male', 'Middle Aged', 'Radionuclide Imaging', 'Spleen/*radiation effects', 'Splenomegaly/*diagnostic imaging/radiotherapy', '*Tomography, X-Ray Computed']",1985/03/01 00:00,1985/03/01 00:01,['1985/03/01 00:00'],"['1985/03/01 00:00 [pubmed]', '1985/03/01 00:01 [medline]', '1985/03/01 00:00 [entrez]']",['10.1097/00003072-198503000-00012 [doi]'],ppublish,Clin Nucl Med. 1985 Mar;10(3):184-7. doi: 10.1097/00003072-198503000-00012.,,['0 (Gallium Radioisotopes)'],,,,,,,,,,
3857126,NLM,MEDLINE,19850617,20190912,0309-1651 (Print) 0309-1651 (Linking),9,3,1985 Mar,"HL-60 human leukaemic cell line colonies in agar capillaries: comparison of their reactivity to hormones, cytostatics and selective inhibitors of proliferation.",201-7,"Colonies of the HL-60 human leukaemic promyelocytic cell line developing in semisolid agar gel capillaries were established. The endogenous inhibitory fraction GI-3, specific for myeloid cells, hydrocortisone and adriamycin decreased colony number in a dose dependent manner. ED50 values amounted to 220, 10(-1) and 4.5 X 10(-3), micrograms/ml respectively. If administered in combination, the endogenous inhibitor, steroid hormone and cytostatic agent exhibited a marked synergism. They affected HL-60 cells additively, and in some cases, a slight potentiation occurred. The experiments demonstrate the possibility of augmenting the inhibitory activity of cytostatics and hormones on leukaemic cells by endogenous inhibitors without an increase in drug toxicity.","['Mann, J', 'Tapolcai, A', 'Hetenyi, G', 'Balazs, A']","['Mann J', 'Tapolcai A', 'Hetenyi G', 'Balazs A']",['eng'],['Journal Article'],England,Cell Biol Int Rep,Cell biology international reports,7708050,IM,"['Animals', 'Bone Marrow/analysis', 'Cattle', 'Cell Division/drug effects', 'Cell Line', 'Dose-Response Relationship, Drug', 'Doxorubicin/*pharmacology', 'Drug Synergism', 'Humans', 'Hydrocortisone/*pharmacology', 'Leukemia, Myeloid, Acute/*metabolism', 'Mice', 'Sepharose', 'Spleen/analysis', 'Tissue Extracts/pharmacology']",1985/03/01 00:00,1985/03/01 00:01,['1985/03/01 00:00'],"['1985/03/01 00:00 [pubmed]', '1985/03/01 00:01 [medline]', '1985/03/01 00:00 [entrez]']",['10.1016/0309-1651(85)90036-0 [doi]'],ppublish,Cell Biol Int Rep. 1985 Mar;9(3):201-7. doi: 10.1016/0309-1651(85)90036-0.,,"['0 (Tissue Extracts)', '80168379AG (Doxorubicin)', '9012-36-6 (Sepharose)', 'WI4X0X7BPJ (Hydrocortisone)']",,,,,,,,,,
3857125,NLM,MEDLINE,19850620,20191022,0008-8730 (Print) 0008-8730 (Linking),18,3,1985 May,Mathematical model of acute myeloblastic leukaemia: an investigation of the relevant kinetic parameters.,307-19,"A simple model of acute myeloblastic leukaemia (AML) development is introduced, explicitly including cell growth, cell differentiation and cell-cell interaction. Each of these processes is described by a single model parameter. It is hypothesized that the leukaemic cell is characterized by an alteration of only one of these processes. The kinetic behaviour of the AML system is examined separately for possible alterations of each of the three parameters describing the three processes involved. It is shown that, on the basis of the existing data on AML kinetics, the alteration of the growth and cell-cell interaction parameters can be eliminated as a possible source of AML. Thus kinetic data support the modification of the differentiation process as the origin of the AML state. Further, the growth characteristics of normal and leukaemic cells in the presence of each other are analysed. It is shown how the initial growth of leukaemic cells depends on the difference in the differentiation of normal and leukaemic cells and how the same difference determines the decay of normal cells in the presence of the predominantly leukaemic population. Correlations between the kinetic parameters of the normal and leukaemic populations are suggested to characterize the leukaemic state.","['Djulbegovic, B', 'Svetina, S']","['Djulbegovic B', 'Svetina S']",['eng'],['Journal Article'],England,Cell Tissue Kinet,Cell and tissue kinetics,0174107,IM,"['Cell Communication', '*Cell Cycle', 'Cell Differentiation', 'Cell Division', 'Clone Cells/cytology', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Models, Biological', 'Probability']",1985/05/01 00:00,1985/05/01 00:01,['1985/05/01 00:00'],"['1985/05/01 00:00 [pubmed]', '1985/05/01 00:01 [medline]', '1985/05/01 00:00 [entrez]']",['10.1111/j.1365-2184.1985.tb00660.x [doi]'],ppublish,Cell Tissue Kinet. 1985 May;18(3):307-19. doi: 10.1111/j.1365-2184.1985.tb00660.x.,,,,,,,,,,,,
3857124,NLM,MEDLINE,19850607,20190919,0256-7040 (Print) 0256-7040 (Linking),1,1,1985,"Intracranial neoplasms in children in Ibadan, Nigeria.",39-44,"Analysis of 89 intracranial tumors in children presenting at the University College Hospital, Ibadan, Nigeria, between 1960 and 1982 is reported. These tumors are commonest in the first decade of life and occur more in males than in females. Fifty-three per cent of the primary brain tumors are supratentorial. The commonest sites are cerebellum, cerebrum, and the pons. The common histological types are astrocytomas, medulloblastomas, ependymomas, and oligodendrogliomas. Craniopharyngiomas are among the most frequent supratentorial neoplasms in Ibadan children and the central nervous system involvement in cases of Burkitt's lymphoma is a frequent complication.","['Aghadiuno, P U', 'Adeloye, A', 'Olumide, A A', 'Nottidge, V A']","['Aghadiuno PU', 'Adeloye A', 'Olumide AA', 'Nottidge VA']",['eng'],['Journal Article'],Germany,Childs Nerv Syst,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,8503227,IM,"['Adenoma/diagnosis', 'Adolescent', 'Age Factors', 'Astrocytoma/diagnosis', 'Brain Neoplasms/*diagnosis/secondary', 'Burkitt Lymphoma/diagnosis', 'Child', 'Child, Preschool', 'Craniopharyngioma/diagnosis', 'Female', 'Humans', 'Infant', 'Leukemia, Myeloid/diagnosis', 'Male', 'Meningeal Neoplasms/diagnosis', 'Meningioma/diagnosis', 'Nigeria', 'Oligodendroglioma/diagnosis', 'Pituitary Neoplasms/diagnosis', 'Sex Factors']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/BF00706729 [doi]'],ppublish,Childs Nerv Syst. 1985;1(1):39-44. doi: 10.1007/BF00706729.,,,,,,,,,,,,
3857122,NLM,MEDLINE,19850619,20131121,0008-5472 (Print) 0008-5472 (Linking),45,6,1985 Jun,"Changes in cell surface glycoproteins and antigens during differentiation of the human myeloid leukemia cell lines ML-1, ML-2, and HL-60.",2821-6,"Two recently derived human myeloid leukemia cell lines, ML-1 and ML-2, were induced to differentiate by treatment with 12-O-tetradecanoylphorbol-13-acetate (TPA) or with retinoic acid for 5 to 12 days. They were then compared with similarly treated promyelocytic HL-60 cells. TPA-treated ML-1 and ML-2 cells became firmly surface adhesive with a fibroblastoid morphology, while TPA-treated HL-60 cells adhered as rounded macrophages. In contrast, retinoic acid induced only slight morphological changes in all three cell lines. The differentiation-related alterations of the surface membrane glycoproteins were followed by polyacrylamide gel electrophoresis after surface labeling by the periodate-NaB3H4 or galactose oxidase-NaB3H4 methods. The expression of surface membrane differentiation antigens was analyzed with a panel of monoclonal antibodies against myeloid, myelomonocytic, monocytic, and granulocytic determinants using FACS IV flow cytometry. The acquisition of surface adhesiveness by TPA-treated ML-1 and ML-2 cells coincided with the appearance of membrane surface proteins of varying molecular weights, ranging between 90,000 and 155,000, which were not labeled in untreated ML-1 and ML-2 cells. These findings and the results obtained by monoclonal antibody staining and FACS analysis indicate that treatment of the myeloid lines ML-1, ML-2, and HL-60 by TPA induced the expression of antigenic and membrane molecular features compatible with a monocytic-macrophage phenotype, while treatment by retinoic acid induced granulocytic differentiation. The ML-1 and ML-2 cells offer interesting models for studies on the membrane molecular events occurring when nonadherent, monocytic cells become surface adherent.","['Stockbauer, P', 'Gahmberg, C G', 'Andersson, L C']","['Stockbauer P', 'Gahmberg CG', 'Andersson LC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Antigens, Surface/*analysis', 'Cell Differentiation', 'Cell Line', 'Electrophoresis, Polyacrylamide Gel', 'Glycoproteins/*analysis', 'Humans', 'Leukemia, Myeloid/*immunology/pathology', 'Membrane Proteins/*analysis', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tretinoin/pharmacology']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",,ppublish,Cancer Res. 1985 Jun;45(6):2821-6.,,"['0 (Antigens, Surface)', '0 (Glycoproteins)', '0 (Membrane Proteins)', '5688UTC01R (Tretinoin)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",['2 R01 CA 26294-04/CA/NCI NIH HHS/United States'],,,,,,,,,
3857120,NLM,MEDLINE,19850619,20131121,0008-5472 (Print) 0008-5472 (Linking),45,6,1985 Jun,Increased glucocorticoid receptor concentration in macrophage differentiation of myeloid leukemia cells with 12-O-tetradecanoylphorbol-13-acetate.,2456-61,"HL60 cells, human promyelocytic leukemia cells, can be induced to differentiate into more mature myeloid forms by dimethyl sulfoxide (DMSO) or retinoic acid (RA) and into macrophage-like cells by 12-O-tetradecanoylphorbol-13-acetate (TPA) or related compounds. Macrophage differentiation of HL60 cells by TPA treatment induced a 3- to 4-fold increase in glucocorticoid receptor concentration per cell and a 2- to 3-fold increase in glucocorticoid receptor concentration per mg of protein. The ability of TPA derivatives to increase glucocorticoid receptor concentration paralleled their ability to induce macrophage differentiation. Macrophage differentiation of other myeloid leukemia cells by TPA treatment induced a 2- to 3-fold increase in glucocorticoid receptor concentration per cell. Exposure of T-lymphoblasts or erythroleukemia cells to TPA did not affect glucocorticoid receptor concentration. Myeloid differentiation of myeloid leukemia cells by DMSO or RA induced no significant change in glucocorticoid receptor concentration. The increase in glucocorticoid receptor concentration in macrophage differentiation of myeloid leukemia cells with TPA was considered to depend, not on TPA treatment, but on the process of macrophage differentiation. Further, glucocorticoid receptor concentration can be a sensitive marker of macrophage differentiation of myeloid leukemia cells.","['Hirai, H', 'Murakami, T', 'Urabe, A', 'Takaku, F']","['Hirai H', 'Murakami T', 'Urabe A', 'Takaku F']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Cell Count', 'Cell Differentiation', 'Cell Line', 'Cytosol/metabolism', 'DNA, Neoplasm/biosynthesis', 'Humans', 'Leukemia, Myeloid/*pathology', 'Macrophages/drug effects/*pathology', 'Phenotype', 'Phorbols/*pharmacology', 'Receptors, Glucocorticoid/*analysis', 'Receptors, Steroid/*analysis', 'Tetradecanoylphorbol Acetate/*pharmacology']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",,ppublish,Cancer Res. 1985 Jun;45(6):2456-61.,,"['0 (DNA, Neoplasm)', '0 (Phorbols)', '0 (Receptors, Glucocorticoid)', '0 (Receptors, Steroid)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,,,,,,,,
