PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,GR,TT,RF,PS,FPS,OID,OTO,OT,GN
6791149,NLM,MEDLINE,19811029,20190501,0032-5473 (Print) 0032-5473 (Linking),57,664,1981 Feb,Meningitis and bacteraemia due to Listeria monocytogenes in compromised hosts.,77-9,"The clinical history of 3 adult patients infected by Listeria monocytogenes is presented. One patient with chronic lymphatic leukaemia developed purulent meningitis; the 2 others had chronic renal failure and were undergoing routine haemodialysis. Of the latter, one developed meningitis and the other bacteraemia after receiving 2 blood transfusions. Immuno-suppression, or the underlying disease of the hosts, probably played a role in permitting the infection to establish itself. The rural environment may also have been conducive to the transfer of this particular, rarely infectious, micro-organism to these patients.","['Maayan, M C', 'Wajsman, C', 'NITZAN, Y']","['Maayan MC', 'Wajsman C', 'NITZAN Y']",['eng'],"['Case Reports', 'Journal Article']",England,Postgrad Med J,Postgraduate medical journal,0234135,IM,"['Female', 'Humans', 'Kidney Failure, Chronic/complications', 'Leukemia, Lymphoid/complications', 'Listeria monocytogenes/isolation & purification', 'Male', 'Meningitis, Listeria/etiology/*microbiology', 'Middle Aged', 'Sepsis/etiology/*microbiology']",PMC2424806,1981/02/01 00:00,1981/02/01 00:01,['1981/02/01 00:00'],"['1981/02/01 00:00 [pubmed]', '1981/02/01 00:01 [medline]', '1981/02/01 00:00 [entrez]']",['10.1136/pgmj.57.664.77 [doi]'],ppublish,Postgrad Med J. 1981 Feb;57(664):77-9. doi: 10.1136/pgmj.57.664.77.,,,,,,,,,,
6791076,NLM,MEDLINE,19811014,20180216,0030-2414 (Print) 0030-2414 (Linking),38,5,1981,Variation in 17 oxogenic steroid excretion following oral prednisolone in children with lymphoblastic leukaemia.,274-6,"19 children in their first remission from ""standard risk"" lymphoblastic leukaemia had the urinary concentration of 17 oxogenic steroids (OGS) measured after two scheduled 5-day courses of prednisolone, only for the second of which were the parents aware of what the urine would be examined for. Despite a carefully standardised dose of the drug, there was a very wide scatter of OGS excretion which changed from time to time with each patient, but not in a way related to when the parents knew what was being measured. 6 low-excreting patients were reassessed in hospital with controlled compliance but only 1 produced her highest level under such circumstances. These results suggest variable bioavailability of prednisolone, but do not indicate the reason. Non-compliance does not appear to the sole explanation.","['Lilleyman, J S', 'French, A J', 'Young, I P']","['Lilleyman JS', 'French AJ', 'Young IP']",['eng'],['Journal Article'],Switzerland,Oncology,Oncology,0135054,IM,"['17-Hydroxycorticosteroids/*urine', 'Administration, Oral', 'Adolescent', 'Biological Availability', 'Child', 'Child, Preschool', 'Creatinine/urine', 'Female', 'Humans', 'Leukemia, Lymphoid/drug therapy/*urine', 'Male', 'Patient Compliance', 'Prednisolone/metabolism/*therapeutic use']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1159/000225569 [doi]'],ppublish,Oncology. 1981;38(5):274-6. doi: 10.1159/000225569.,"['0 (17-Hydroxycorticosteroids)', '9PHQ9Y1OLM (Prednisolone)', 'AYI8EX34EU (Creatinine)']",,,,,,,,,
6790986,NLM,MEDLINE,19811025,20041117,0028-4793 (Print) 0028-4793 (Linking),305,11,1981 Sep 10,Granulocyte transfusion: where now?,636-8,,"['Higby, D J']",['Higby DJ'],['eng'],['Editorial'],United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['*Blood Transfusion', 'Granulocytes/*transplantation', 'Humans', '*Infection Control', 'Leukemia/complications/*therapy']",,1981/09/10 00:00,1981/09/10 00:01,['1981/09/10 00:00'],"['1981/09/10 00:00 [pubmed]', '1981/09/10 00:01 [medline]', '1981/09/10 00:00 [entrez]']",['10.1056/NEJM198109103051109 [doi]'],ppublish,N Engl J Med. 1981 Sep 10;305(11):636-8. doi: 10.1056/NEJM198109103051109.,,,,,,,,,,
6790985,NLM,MEDLINE,19811025,20171117,0028-4793 (Print) 0028-4793 (Linking),305,11,1981 Sep 10,A controlled trial of prophylactic granulocyte transfusions during initial induction chemotherapy for acute myelogenous leukemia.,597-603,"To evaluate the role of prophylactic granulocyte transfusions during remission-induction chemotherapy for acute myelogenous leukemia (AML) we randomized 102 infected patients either to receive daily granulocyte transfusions when blood granulocytes fell below 0.5 x 10(9) per liter (54 patients) or not to receive them (48). Although the percentage of patients acquiring any infection was similar in the transfusion and control groups (46 and 42 per cent, respectively), granulocyte transfusions decreased the proportion of patients with bacterial septicemia (9 per cent of those with transfusions vs. 27 per cent of the controls; P = 0.01). Granulocyte transfusions did not reduce the incidence of other infections or improve bone-marrow recovery, remission rate and duration, or survival. Seventy-two per cent of the patients given transfusions had transfusion reactions. Pulmonary infiltrates were more common in the transfusion group than in the control group (57 per cent vs. 27 per cent; P = 0.002). Thirty-five per cent of the patients with pulmonary filtrates died, as compared with 5 per cent of those without filtrates. We conclude that prophylactic granulocyte transfusions should not be used during remission-induction chemotherapy in AML because the risks outweigh the benefits.","['Strauss, R G', 'Connett, J E', 'Gale, R P', 'Bloomfield, C D', 'Herzig, G P', 'McCullough, J', 'Maguire, L C', 'Winston, D J', 'Ho, W', 'Stump, D C', 'Miller, W V', 'Koepke, J A']","['Strauss RG', 'Connett JE', 'Gale RP', 'Bloomfield CD', 'Herzig GP', 'McCullough J', 'Maguire LC', 'Winston DJ', 'Ho W', 'Stump DC', 'Miller WV', 'Koepke JA']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['Bacterial Infections/prevention & control', '*Blood Transfusion/methods', 'Clinical Trials as Topic', 'Female', 'Granulocytes/*transplantation', 'Humans', '*Infection Control', 'Leukemia, Myeloid, Acute/complications/drug therapy/*therapy', 'Male', 'Middle Aged', 'Random Allocation', 'Sepsis/prevention & control', 'Transfusion Reaction']",,1981/09/10 00:00,1981/09/10 00:01,['1981/09/10 00:00'],"['1981/09/10 00:00 [pubmed]', '1981/09/10 00:01 [medline]', '1981/09/10 00:00 [entrez]']",['10.1056/NEJM198109103051101 [doi]'],ppublish,N Engl J Med. 1981 Sep 10;305(11):597-603. doi: 10.1056/NEJM198109103051101.,,"['CA 118017/CA/NCI NIH HHS/United States', 'K04-HD 00255/HD/NICHD NIH HHS/United States', 'N01-HB6-2970, 2971, 2972, AND 2973/HB/NHLBI NIH HHS/United States']",,,,,,,,
6790936,NLM,MEDLINE,19811025,20190825,0161-5890 (Print) 0161-5890 (Linking),18,1,1981 Jan,Biochemical properties of biologically active Fc gamma receptors of human B lymphocytes.,55-65,,"['Suzuki, T', 'Taki, T', 'Hachimine, K', 'Sadasivan, R']","['Suzuki T', 'Taki T', 'Hachimine K', 'Sadasivan R']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Mol Immunol,Molecular immunology,7905289,IM,"['Amino Acids/analysis', 'B-Lymphocytes/*immunology', 'Fatty Acids, Nonesterified/analysis', 'Humans', 'Immunoglobulin gamma-Chains', 'Leukemia, Lymphoid/immunology', 'Peptides/analysis', 'Phospholipids/analysis', 'Receptors, Fc/*analysis', 'Rosette Formation', 'Structure-Activity Relationship']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1016/0161-5890(81)90048-1 [doi]'],ppublish,Mol Immunol. 1981 Jan;18(1):55-65. doi: 10.1016/0161-5890(81)90048-1.,"['0 (Amino Acids)', '0 (Fatty Acids, Nonesterified)', '0 (Immunoglobulin gamma-Chains)', '0 (Peptides)', '0 (Phospholipids)', '0 (Receptors, Fc)']",['AI 14876/AI/NIAID NIH HHS/United States'],,,,,,,,
6790934,NLM,MEDLINE,19811025,20131121,0026-895X (Print) 0026-895X (Linking),19,3,1981 May,Inhibition of serine metabolism by tetrahydrohomofolate in L1210 mouse leukemia cells.,481-90,,"['Scanlon, K J', 'Cashmore, A R', 'Moroson, B A', 'Dreyer, R N', 'Bertino, J R']","['Scanlon KJ', 'Cashmore AR', 'Moroson BA', 'Dreyer RN', 'Bertino JR']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Pharmacol,Molecular pharmacology,0035623,IM,"['Animals', 'Cell Division/drug effects', 'Cells, Cultured', 'Folic Acid/*analogs & derivatives/pharmacology', 'Glycine Hydroxymethyltransferase/antagonists & inhibitors', 'Leukemia L1210/*drug therapy/metabolism', 'Methionine/metabolism', 'Mice', 'Serine/*metabolism']",,1981/05/01 00:00,1981/05/01 00:01,['1981/05/01 00:00'],"['1981/05/01 00:00 [pubmed]', '1981/05/01 00:01 [medline]', '1981/05/01 00:00 [entrez]']",,ppublish,Mol Pharmacol. 1981 May;19(3):481-90.,"['452VLY9402 (Serine)', '935E97BOY8 (Folic Acid)', 'AE28F7PNPL (Methionine)', 'EC 2.1.2.1 (Glycine Hydroxymethyltransferase)']","['CA08010/CA/NCI NIH HHS/United States', 'CA16359/CA/NCI NIH HHS/United States']",,,,,,,,
6790918,NLM,MEDLINE,19811025,20190904,0098-1532 (Print) 0098-1532 (Linking),9,4,1981,Nucleoside phosphorylase activity in normal and leukemic cells.,387-91,"Nucleoside phosphorylase (NP) activity was assayed in normal peripheral blood lymphocytes, mature and immature thymocytes fractionated by peanut agglutinability, CLL lymphocytes, and ALL lymphoblasts to determine applicability as an enzymatic cell marker. Circulating lymphocytes had the highest activity, immature thymocytes the lowest, and mature thymocytes were intermediate in NP level. This suggests an increase in NP activity with T-cell maturation. CLL lymphocytes showed very low activity, confirming previous reports. However, the NP activity of the lymphoblasts of 40 patients with B, T, and non-B, non-T ALL was similar to that of normal peripheral blood lymphocytes and could not be used to discriminate between these subgroups of ALL.","['Ben-Bassat, I', 'Brok-Simoni, F', 'Holtzman, F', 'Ramot, B']","['Ben-Bassat I', 'Brok-Simoni F', 'Holtzman F', 'Ramot B']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,IM,"['B-Lymphocytes/enzymology', 'Humans', 'Leukemia, Lymphoid/*enzymology', 'Lymphocytes/*enzymology', 'Pentosyltransferases/*metabolism', 'Purine-Nucleoside Phosphorylase/*metabolism', 'T-Lymphocytes/enzymology', 'Thymus Gland/cytology']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1002/mpo.2950090412 [doi]'],ppublish,Med Pediatr Oncol. 1981;9(4):387-91. doi: 10.1002/mpo.2950090412.,"['EC 2.4.2.- (Pentosyltransferases)', 'EC 2.4.2.1 (Purine-Nucleoside Phosphorylase)']",,,,,,,,,
6790631,NLM,MEDLINE,19811025,20190511,0022-1899 (Print) 0022-1899 (Linking),144,1,1981 Jul,Surveillance cultures.,81-4,,"['Schimpff, S C']",['Schimpff SC'],['eng'],['Journal Article'],United States,J Infect Dis,The Journal of infectious diseases,0413675,IM,"['Axilla/microbiology', 'Bacteriological Techniques/*methods', 'Cross Infection', 'Enterobacter/isolation & purification/pathogenicity', 'Escherichia coli/isolation & purification/pathogenicity', 'Gingiva/microbiology', 'Humans', 'Klebsiella/isolation & purification/pathogenicity', 'Leukemia/*microbiology', 'Nasal Mucosa/microbiology', 'Proteus/isolation & purification/pathogenicity', 'Pseudomonas aeruginosa/isolation & purification/pathogenicity', 'Virulence']",,1981/07/01 00:00,1981/07/01 00:01,['1981/07/01 00:00'],"['1981/07/01 00:00 [pubmed]', '1981/07/01 00:01 [medline]', '1981/07/01 00:00 [entrez]']",['10.1093/infdis/144.1.81 [doi]'],ppublish,J Infect Dis. 1981 Jul;144(1):81-4. doi: 10.1093/infdis/144.1.81.,,,,,,,,,,
6790630,NLM,MEDLINE,19811025,20190511,0022-1899 (Print) 0022-1899 (Linking),144,1,1981 Jul,Patterns of oropharyngeal and fecal flora in patients with acute leukemia.,10-8,"The oropharyngeal and fecal flora in 33 patients hospitalized with acute leukemia was examined. Normal flora predominated on admission. All patients received chemotherapy during the 48 hr after admission and at least one course of antibiotics during hospitalization. By the end of the study, 68% of the initial normal throat flora and 57% of the fecal flora had disappeared. The shift in flora was mainly due to the persistence or acquisition of aerobic gram-negative bacilli. Before antibiotics were given, the normal flora in both sites had already decreased in quantity, and increased numbers of aerobic gram-negative bacilli were found. After the first course of antibiotics, a further decrease in the total number of normal strains was observed. Information obtained from surveillance cultures was helpful for understanding the changes in flora but did not correlate with the microbiology of the infectious processes and could not be used to predict infection.","['Fainstein, V', 'Rodriguez, V', 'Turck, M', 'Hermann, G', 'Rosenbaum, B', 'Bodey, G P']","['Fainstein V', 'Rodriguez V', 'Turck M', 'Hermann G', 'Rosenbaum B', 'Bodey GP']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Infect Dis,The Journal of infectious diseases,0413675,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Aminoglycosides/therapeutic use', 'Bacterial Infections/etiology', 'Candida/isolation & purification', 'Candida albicans/isolation & purification', 'Drug-Related Side Effects and Adverse Reactions', 'Enterobacter/isolation & purification', 'Escherichia coli/isolation & purification', 'Feces/*microbiology', 'Female', 'Humans', 'Klebsiella/isolation & purification', 'Leukemia/*microbiology', 'Male', 'Middle Aged', 'Oropharynx/*microbiology', 'Penicillins/therapeutic use', 'Pseudomonas aeruginosa/isolation & purification', 'Streptococcus pneumoniae/isolation & purification']",,1981/07/01 00:00,1981/07/01 00:01,['1981/07/01 00:00'],"['1981/07/01 00:00 [pubmed]', '1981/07/01 00:01 [medline]', '1981/07/01 00:00 [entrez]']",['10.1093/infdis/144.1.10 [doi]'],ppublish,J Infect Dis. 1981 Jul;144(1):10-8. doi: 10.1093/infdis/144.1.10.,"['0 (Aminoglycosides)', '0 (Penicillins)']",['CA 05831/CA/NCI NIH HHS/United States'],,,,,,,,
6790625,NLM,MEDLINE,19811029,20160422,0022-1767 (Print) 0022-1767 (Linking),127,3,1981 Sep,A novel human T cell antigen preferentially expressed on mature T cells and shared by both well and poorly differentiated B cell leukemias and lymphomas.,987-91,"A new lymphocyte differentiation antigen shared by all normal T cells and some malignant B cells was defined by a monoclonal antibody designated 12.1. This antibody reacted with all peripheral blood T cells but not with normal B cells and B cell lines. Analysis with a fluorescence activated cell sorter showed that the expression of 12.1 antigen changes during T cell maturation. Most thymocytes, blasts of acute T cell leukemia, and cells from established leukemic T cell lines bear a small amount of 12.1 antigen. In contrast the majority of peripheral blood T cells, activated T cells, and leukemic T cells of the Sezary syndrome bear a large amount of 12.1 antigen. Unexpectedly, antibody 12.1 reacted with leukemic cells from most patients with B-type chronic lymphocytic leukemia (CLL) and some patients with lymphosarcoma cell leukemia (LSCL). Among these leukemias, expression of the 12.1 antigen was not correlated with the stage of B cell maturation, with the amount of surface immunoglobulin on the cells, or with the presence or absence of monoclonal gammapathy. In a comparative serologic analysis the antigen defined by antibody 12.1 was distinct from the p67 T cell antigen (defined by monoclonal antibody 10.2) that is also known to be expressed by B-type CLL cells.","['Kamoun, M', 'Kadin, M E', 'Martin, P J', 'Nettleton, J', 'Hansen, J A']","['Kamoun M', 'Kadin ME', 'Martin PJ', 'Nettleton J', 'Hansen JA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Acute Disease', 'Animals', 'Antibodies', 'Antibodies, Monoclonal', 'Antibody-Producing Cells/immunology', '*Antigens, Neoplasm', 'B-Lymphocytes/*immunology', 'Cell Separation', 'Clone Cells/immunology', 'Humans', 'Leukemia/*immunology', 'Leukemia, Lymphoid/immunology', 'Lymphoma/immunology', 'Lymphoma, Non-Hodgkin/immunology', 'Mice', 'Mice, Inbred BALB C', 'Sezary Syndrome/immunology', 'T-Lymphocytes/*immunology']",,1981/09/01 00:00,1981/09/01 00:01,['1981/09/01 00:00'],"['1981/09/01 00:00 [pubmed]', '1981/09/01 00:01 [medline]', '1981/09/01 00:00 [entrez]']",,ppublish,J Immunol. 1981 Sep;127(3):987-91.,"['0 (Antibodies)', '0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)']","['CA 18029/CA/NCI NIH HHS/United States', 'CA 29548/CA/NCI NIH HHS/United States', 'HL 17265/HL/NHLBI NIH HHS/United States']",,,,,,,,
