PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,AB,PMC,OID,OAB,OABL,OTO,OT,RF,PS,FPS
4740502,NLM,MEDLINE,19730924,20200930,0037-9727 (Print) 0037-9727 (Linking),143,3,1973 Jul,Kinin-forming activity of cultured mouse fibroblasts L-929.,769-74,"['Back, N', 'Steger, R']","['Back N', 'Steger R']",['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,"['0 (Kininogens)', '0 (Kinins)', '0 (Phenylpyruvic Acids)', 'EC 3.4.- (Carboxypeptidases)']",IM,"['Animals', 'Carboxypeptidases/pharmacology', 'Cell Fractionation', 'Cells, Cultured', 'Depression, Chemical', 'Fibroblasts/*metabolism', 'Humans', 'Hydrogen-Ion Concentration', 'Kininogens/metabolism', 'Kinins/analysis/*biosynthesis', 'L Cells/metabolism', 'Leukemia, Lymphoid', 'Lymphoma', 'Lymphoma, Non-Hodgkin', 'Mice', 'Neoplasms, Experimental', 'Phenylpyruvic Acids/pharmacology', 'Rats', 'Time Factors', 'Ultracentrifugation']",1973/07/01 00:00,1973/07/01 00:01,['1973/07/01 00:00'],"['1973/07/01 00:00 [pubmed]', '1973/07/01 00:01 [medline]', '1973/07/01 00:00 [entrez]']",['10.3181/00379727-143-37410 [doi]'],ppublish,Proc Soc Exp Biol Med. 1973 Jul;143(3):769-74. doi: 10.3181/00379727-143-37410.,,,,,,,,,,,
4740447,NLM,MEDLINE,19730913,20131121,0021-2180 (Print) 0021-2180 (Linking),9,5,1973 May,Multiple lymphomatous polyposis of the gastrointestinal tract.,648-54,"['Halkin, H', 'Meytes, D', 'Militeanu, J', 'Ramot, B']","['Halkin H', 'Meytes D', 'Militeanu J', 'Ramot B']",['eng'],['Journal Article'],Israel,Isr J Med Sci,Israel journal of medical sciences,0013105,"['18D0SL7309 (Chlorambucil)', 'F8VB5M810T (Tetracycline)', 'VB0R961HZT (Prednisone)']",IM,"['Autopsy', 'Biopsy', 'Celiac Disease/etiology', 'Chlorambucil/therapeutic use', 'Gastrointestinal Neoplasms/drug therapy/pathology', 'Humans', 'Intestinal Polyps/drug therapy/*pathology', 'Israel', 'Leukemia, Lymphoid/drug therapy/*pathology', 'Lymphoma, Non-Hodgkin/drug therapy/*pathology', 'Male', 'Middle Aged', 'Prednisone/therapeutic use', 'Tetracycline/therapeutic use']",1973/05/01 00:00,1973/05/01 00:01,['1973/05/01 00:00'],"['1973/05/01 00:00 [pubmed]', '1973/05/01 00:01 [medline]', '1973/05/01 00:00 [entrez]']",,ppublish,Isr J Med Sci. 1973 May;9(5):648-54.,,,,,,,,,,,
4740153,NLM,MEDLINE,19730803,20051117,0002-838X (Print) 0002-838X (Linking),7,6,1973 Jun,Acute leukemia: the most protean disease of childhood.,84-91,"['Pochedly, C E']",['Pochedly CE'],['eng'],['Journal Article'],United States,Am Fam Physician,American family physician,1272646,,IM,"['Acute Disease', 'Anemia, Aplastic/diagnosis', 'Bacterial Infections/diagnosis', 'Bone Marrow Examination', 'Brain Neoplasms/diagnosis', 'Child', 'Diagnosis, Differential', 'Histiocytosis, Langerhans-Cell/diagnosis', 'Humans', 'Infectious Mononucleosis/diagnosis', 'Leukemia/*diagnosis', 'Leukemoid Reaction/diagnosis', 'Leukocyte Count', 'Leukopenia/complications', 'Lymphocytosis/diagnosis', 'Lymphoma, Non-Hodgkin/diagnosis', 'Meningitis/diagnosis', 'Neuroblastoma/diagnosis', 'Purpura, Thrombocytopenic/diagnosis', 'Splenomegaly/complications', 'Virus Diseases/diagnosis']",1973/06/01 00:00,1973/06/01 00:01,['1973/06/01 00:00'],"['1973/06/01 00:00 [pubmed]', '1973/06/01 00:01 [medline]', '1973/06/01 00:00 [entrez]']",,ppublish,Am Fam Physician. 1973 Jun;7(6):84-91.,,,,,,,,,,,
4740093,NLM,MEDLINE,19730731,20190623,0006-2952 (Print) 0006-2952 (Linking),22,10,1973 May 15,Some determinants of drug responsiveness in bovine leukemia cells.,1161-4,"['Kessel, D', 'Dodd, D C', 'Hall, T C']","['Kessel D', 'Dodd DC', 'Hall TC']",['eng'],['Journal Article'],England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Antineoplastic Agents)', '0 (Cytosine Nucleotides)', '0 (Pentosephosphates)', '5CSZ8459RP (Cytidine)', 'E7WED276I5 (Mercaptopurine)', 'EC 2.4.2.- (Pentosyltransferases)', 'EC 2.7.- (Phosphotransferases)', 'U3P01618RT (Fluorouracil)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Cattle', 'Cells, Cultured', 'Cytidine/pharmacology', 'Cytosine Nucleotides', 'Drug Resistance', 'Fluorouracil/pharmacology', 'Leukemia L1210/enzymology', 'Leukemia, Experimental/*enzymology', 'Lymphoma, Non-Hodgkin/*enzymology', 'Mercaptopurine/pharmacology', 'Mice', 'Mice, Inbred Strains', 'Oxidative Phosphorylation/drug effects', 'Pentosephosphates', 'Pentosyltransferases/metabolism', 'Phosphotransferases/metabolism']",1973/05/15 00:00,1973/05/15 00:01,['1973/05/15 00:00'],"['1973/05/15 00:00 [pubmed]', '1973/05/15 00:01 [medline]', '1973/05/15 00:00 [entrez]']","['0006-2952(73)90232-3 [pii]', '10.1016/0006-2952(73)90232-3 [doi]']",ppublish,Biochem Pharmacol. 1973 May 15;22(10):1161-4. doi: 10.1016/0006-2952(73)90232-3.,,,,,,,,,,,
4739940,NLM,MEDLINE,19730709,20071115,0039-4025 (Print) 0039-4025 (Linking),14,3,1973,[Study of the phospholipids of the lymph nodes in different benign or malignant chronic diseases].,245-8,"['Mihailescu, E', 'Olinescu, V', 'Micu, D']","['Mihailescu E', 'Olinescu V', 'Micu D']",['rum'],['Journal Article'],Romania,Stud Cercet Med Interna,Studii si cercetari de medicina interna,0417346,"['0 (Phosphatidylcholines)', '0 (Phosphatidylethanolamines)', '0 (Phospholipids)', '0 (Sphingomyelins)']",IM,"['Arthritis, Rheumatoid/*metabolism', 'Chromatography, Thin Layer', 'Hodgkin Disease/*metabolism', 'Humans', 'Leukemia, Lymphoid/*metabolism', 'Lupus Erythematosus, Systemic/*metabolism', 'Lymph Nodes/*metabolism', 'Lymphoma, Non-Hodgkin/*metabolism', 'Phosphatidylcholines/metabolism', 'Phosphatidylethanolamines/metabolism', 'Phospholipids/*metabolism', 'Sphingomyelins/metabolism']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",,ppublish,Stud Cercet Med Interna. 1973;14(3):245-8.,Studiul fosfolipidelor din ganglionii limfatici in diferite boli cronice benigne sau maligne.,,,,,,,,,,
4739939,NLM,MEDLINE,19730709,20141120,0039-4025 (Print) 0039-4025 (Linking),14,3,1973,[Different metabolic behavior of leukemic lymphocytes and sarcomatous cells].,233-7,"['Micu, D', 'Mihailescu, E', 'Maximilian, S', 'Olinescu, V']","['Micu D', 'Mihailescu E', 'Maximilian S', 'Olinescu V']",['rum'],['Journal Article'],Romania,Stud Cercet Med Interna,Studii si cercetari de medicina interna,0417346,"['0 (Enzymes)', '63231-63-0 (RNA)']",IM,"['Autoradiography', 'Blood Cells/metabolism', 'Enzymes/metabolism', 'Histocytochemistry', 'Humans', 'In Vitro Techniques', 'Leukemia, Lymphoid/*metabolism', 'Lipid Metabolism', 'Lymphocytes/*metabolism', 'Lymphoid Tissue/metabolism', 'Lymphoma, Non-Hodgkin/*metabolism', 'RNA/metabolism']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",,ppublish,Stud Cercet Med Interna. 1973;14(3):233-7.,Comportamente metabolice diferite la limfocitul leucemic si la cel sarcomatos.,,,,,,,,,,
4739915,NLM,MEDLINE,19730709,20181113,0021-9738 (Print) 0021-9738 (Linking),52,6,1973 Jun,The time for reflection: a luxury of the past.,1518-25,"['Bricker, N S']",['Bricker NS'],['eng'],['Journal Article'],United States,J Clin Invest,The Journal of clinical investigation,7802877,,IM,"['Financing, Government', 'National Institutes of Health (U.S.)', '*Research Support as Topic', 'United States']",1973/06/01 00:00,1973/06/01 00:01,['1973/06/01 00:00'],"['1973/06/01 00:00 [pubmed]', '1973/06/01 00:01 [medline]', '1973/06/01 00:00 [entrez]']",['10.1172/JCI107326 [doi]'],ppublish,J Clin Invest. 1973 Jun;52(6):1518-25. doi: 10.1172/JCI107326.,,"We have examined the in vitro effect of glucocorticoid and nonglucocorticoid steroids on the transport of [3-(14)C]alpha aminoisobutyric acid (AIB) in lymphocytes from patients with chronic lymphocytic leukemia (CLL), and myeloblasts from patients with acute granulocytic leukemia (AGL). AIB uptake by CLL lymphocytes was markedly inhibited at 1.0 muM (52+/-2.1%) and slightly inhibited at 0.1 muM (17+/-3.0%) cortisol. A similar degree of inhibition developed at 50-fold lower concentrations of dexamethasone, indicating that the effect of these steroids on AIB accumulation parallels their glucocorticoid activity in vivo. In contrast, minimal or no inhibition was observed with steroids devoid of glucocorticoid activity (progesterone, testosterone, cortisone). 11-deoxycortisol, a nonglucocorticoid known to impede the binding of cortisol to cellular receptors in animal lymphocytes, failed to inhibit AIB uptake by CLL lymphocytes appreciably, but reduced the effect of cortisol to a statistically significant degree. Hence, cortisol-induced inhibition of AIB transport in CLL lymphocytes is related to its glucocorticoid activity and appears to require initial interaction with glucocorticoid-specific cellular receptors. In contrast, 1.0 muM cortisol enhanced the accumulation of AIB in AGL myeloblasts from each of five patients studied (mean = 19%, range 7-43%). Neither cortisone nor 11-deoxycortisol stimulated AIB uptake, and cortisol-mediated stimulation was not seen during simultaneous treatment with 11-deoxycortisol, suggesting that this effect of cortisol also represents a specific glucocorticoid effect. The divergent effects of cortisol on amino acid transport in CLL lymphocytes and AGL myeloblasts may explain, in part, the contrasting clinical effects of glucocorticoids administered to patients with these lymphoid and granulocytic hematopoietic malignancies.",PMC302417,,,,,,,,
4739734,NLM,MEDLINE,19730621,20141120,0300-9718 (Print) 0300-9718 (Linking),7,1,1973 Feb,Culture of lymphocytes stimulated by phytohaemagglutinin (PHA) in presence of lithium in patients with lymphoma.,87-8,"['Villeneuve, B', 'Villeneuve, A', 'Delage, J M']","['Villeneuve B', 'Villeneuve A', 'Delage JM']",['eng'],['Journal Article'],Germany,Int J Clin Pharmacol,"International journal of clinical pharmacology, therapy and toxicology",7505528,"['0 (DNA, Neoplasm)', '0 (Lectins)', '9FN79X2M3F (Lithium)']",IM,"['Cells, Cultured', 'DNA, Neoplasm/biosynthesis', 'Hodgkin Disease/blood', 'Humans', 'In Vitro Techniques', 'Lectins/*pharmacology', 'Leukemia, Lymphoid/blood', 'Lithium/*pharmacology', 'Lymphocyte Activation/*drug effects', 'Lymphoma/*blood', 'Lymphoma, Non-Hodgkin/blood', 'Mitosis/drug effects']",1973/02/01 00:00,1973/02/01 00:01,['1973/02/01 00:00'],"['1973/02/01 00:00 [pubmed]', '1973/02/01 00:01 [medline]', '1973/02/01 00:00 [entrez]']",,ppublish,Int J Clin Pharmacol. 1973 Feb;7(1):87-8.,,,,,,,,,,,
4739592,NLM,MEDLINE,19730523,20131121,0001-6101 (Print) 0001-6101 (Linking),193,3,1973 Mar,Acquired haemolytic anaemia. I. Incidence and aetiology.,223-6,"['Bottiger, L E', 'Westerholm, B']","['Bottiger LE', 'Westerholm B']",['eng'],['Journal Article'],Sweden,Acta Med Scand,Acta medica Scandinavica,0370330,"['0 (Sulfonamides)', '56LH93261Y (Methyldopa)']",IM,"['Adolescent', 'Adult', 'Aged', 'Anemia, Hemolytic/chemically induced/epidemiology/*etiology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Lymphoid/complications', 'Lymphoma, Non-Hodgkin/complications', 'Male', 'Methyldopa/adverse effects', 'Middle Aged', 'Pregnancy', 'Pregnancy Complications, Hematologic', 'Sex Factors', 'Sulfonamides/adverse effects']",1973/03/01 00:00,1973/03/01 00:01,['1973/03/01 00:00'],"['1973/03/01 00:00 [pubmed]', '1973/03/01 00:01 [medline]', '1973/03/01 00:00 [entrez]']",,ppublish,Acta Med Scand. 1973 Mar;193(3):223-6.,,,,,,,,,,,
4739574,NLM,MEDLINE,19730518,20190511,0027-8874 (Print) 0027-8874 (Linking),50,1,1973 Jan,Evidence for virus-related and unrelated antigens on murine lymphomas induced by chemical carcinogens.,173-80,"['Colnaghi, M I', 'Della Porta, G']","['Colnaghi MI', 'Della Porta G']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antigens, Neoplasm)', '0 (Antigens, Viral)', '0 (Benz(a)Anthracenes)', '0 (Carcinogens)', '0 (Nitrosourea Compounds)', '3IN71E75Z5 (Urethane)', '9007-36-7 (Complement System Proteins)']",IM,"['AKR murine leukemia virus/immunology', 'Animals', '*Antigens, Neoplasm', '*Antigens, Viral', 'Benz(a)Anthracenes', '*Carcinogens', 'Cell Membrane/immunology', 'Complement System Proteins', 'Cytotoxicity Tests, Immunologic', 'Female', 'Leukemia, Experimental/immunology', 'Lymphoma/*chemically induced/immunology', 'Lymphoma, Non-Hodgkin/chemically induced/immunology', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Nitrosourea Compounds', 'Sarcoma, Experimental/chemically induced/immunology', 'Thymus Neoplasms/chemically induced/immunology', 'Urethane']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",['10.1093/jnci/50.1.173 [doi]'],ppublish,J Natl Cancer Inst. 1973 Jan;50(1):173-80. doi: 10.1093/jnci/50.1.173.,,,,,,,,,,,
