PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,TT,PMC,AB,OID
5291054,NLM,MEDLINE,19720511,20041117,0022-1961 (Print) 0022-1961 (Linking),28,5,1971,[Case of myelogenous leukemia complicated with early stomach cancer and gastric ulcer].,982-7,"['Uchida, S', 'Miyamoto, N', 'Murao, H', 'Saito, T']","['Uchida S', 'Miyamoto N', 'Murao H', 'Saito T']",['jpn'],['Journal Article'],Japan,Naika,Naika. Internal medicine,0413541,IM,"['Adenocarcinoma/*complications', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Middle Aged', 'Stomach Neoplasms/*complications', 'Stomach Ulcer/*complications']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",ppublish,Naika. 1971;28(5):982-7.,,,,,,
5291026,NLM,MEDLINE,19720509,20190709,0022-2623 (Print) 0022-2623 (Linking),14,9,1971 Sep,Substituted hydroxylaminopurines and related derivatives. Synthesis and screening tests.,816-9,"['Giner-Sorolla, A', 'Burchenal, J H']","['Giner-Sorolla A', 'Burchenal JH']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis', 'Fluorine/therapeutic use', 'Hydroxylamines/*chemical synthesis', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Methylation', 'Mice', 'Nucleosides/chemical synthesis/therapeutic use', 'Osteosarcoma/drug therapy', 'Purines/*chemical synthesis/therapeutic use', 'Sarcoma, Experimental/drug therapy', 'Structure-Activity Relationship', 'Sulfhydryl Compounds/chemical synthesis/therapeutic use']",1971/09/01 00:00,1971/09/01 00:01,['1971/09/01 00:00'],"['1971/09/01 00:00 [pubmed]', '1971/09/01 00:01 [medline]', '1971/09/01 00:00 [entrez]']",ppublish,J Med Chem. 1971 Sep;14(9):816-9. doi: 10.1021/jm00291a010.,"['0 (Antineoplastic Agents)', '0 (Hydroxylamines)', '0 (Nucleosides)', '0 (Purines)', '0 (Sulfhydryl Compounds)', '284SYP0193 (Fluorine)']",['10.1021/jm00291a010 [doi]'],,,,
5291024,NLM,MEDLINE,19720508,20131121,0018-3326 (Print),27,1,1970,[The busulfan lung].,84-97,"['Pintos Fuentes, R J', 'Reissenweber, N']","['Pintos Fuentes RJ', 'Reissenweber N']",['spa'],"['Case Reports', 'Journal Article']",Uruguay,Hoja Tisiol,Hoja tisiologica,0011672,IM,"['Adult', 'Busulfan/*adverse effects', 'Female', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Lung/*drug effects', 'Pulmonary Fibrosis/*chemically induced', 'Respiratory Insufficiency/*chemically induced']",1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",ppublish,Hoja Tisiol. 1970;27(1):84-97.,['G1LN9045DK (Busulfan)'],,El pulmon de busulfan.,,,
5291000,NLM,MEDLINE,19720503,20071115,0024-3507 (Print) 0024-3507 (Linking),16,10,1971 Dec,[Sideroblastic refractory anemias (apropos of 3 cases)].,1427-9,"['Mizon, J P', 'Gentit, F', 'Billecocq, G']","['Mizon JP', 'Gentit F', 'Billecocq G']",['fre'],['Journal Article'],France,Lille Med,Lille medical : journal de la Faculte de medecine et de pharmacie de l'Universite de Lille,8203780,IM,"['Aged', 'Anemia, Sideroblastic/classification/complications/*etiology', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/etiology', 'Middle Aged']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",ppublish,Lille Med. 1971 Dec;16(10):1427-9.,,,Les anemies refractaires sideroblastiques (a propos de 3 observations.,,,
5290973,NLM,MEDLINE,19720501,20190908,0036-553X (Print) 0036-553X (Linking),8,6,1971,Relation between karyotype and cytology in chronic myelogenous leukaemia.,494-504,"['Pedersen, B']",['Pedersen B'],['eng'],['Journal Article'],Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,IM,"['Chromosome Aberrations', 'Cytogenetics', 'Diploidy', 'Hemoglobins', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*pathology', 'Leukocyte Count', 'Leukocytes/*pathology']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",ppublish,Scand J Haematol. 1971;8(6):494-504. doi: 10.1111/j.1600-0609.1971.tb00904.x.,['0 (Hemoglobins)'],['10.1111/j.1600-0609.1971.tb00904.x [doi]'],,,,
5290940,NLM,MEDLINE,19720501,20071115,0370-8241 (Print) 0370-8241 (Linking),26,12,1971 Dec,[Lysozyme activities in various leukemias--with special reference to monocytic leukemia].,2386-93,"['Ota, H', 'Nagase, H']","['Ota H', 'Nagase H']",['jpn'],['Journal Article'],Japan,Saishin Igaku,Saishin igaku. Modern medicine,0413561,IM,"['Adolescent', 'Adult', 'Aged', 'Clinical Enzyme Tests', 'Female', 'Humans', 'Leukemia/*enzymology', 'Leukemia, Myeloid/diagnosis/*enzymology', 'Leukocytes/enzymology', 'Male', 'Middle Aged', 'Muramidase/*analysis/blood/urine']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",ppublish,Saishin Igaku. 1971 Dec;26(12):2386-93.,['EC 3.2.1.17 (Muramidase)'],,,,,
5290929,NLM,MEDLINE,19720501,20181130,0031-403X (Print) 0031-403X (Linking),50,12,1971 Dec,[Daily rhythm in the functioning of the adrenal cortex in children with acute leukemia].,43-5,"['Kalashnikova, G V']",['Kalashnikova GV'],['rus'],['Journal Article'],Russia (Federation),Pediatriia,Pediatriia,0405563,IM,"['Adolescent', 'Adrenal Cortex Hormones/metabolism', 'Adrenal Glands/*physiopathology', 'Child', 'Child, Preschool', '*Circadian Rhythm', 'Humans', 'Leukemia, Lymphoid/drug therapy/*physiopathology', 'Leukemia, Myeloid, Acute/drug therapy/*physiopathology', 'Prednisolone/therapeutic use']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",ppublish,Pediatriia. 1971 Dec;50(12):43-5.,"['0 (Adrenal Cortex Hormones)', '9PHQ9Y1OLM (Prednisolone)']",,"Sutochnyi ritm funktsii kory nadpochechnikov u detei, bol'nykh ostrym leikozom.",,,
5290915,NLM,MEDLINE,19720501,20190501,0007-1161 (Print) 0007-1161 (Linking),55,12,1971 Dec,Proptosis as a manifestation of acute myeloid leukaemia.,844-7,"['Jha, B K', 'Lamba, P A']","['Jha BK', 'Lamba PA']",['eng'],['Journal Article'],England,Br J Ophthalmol,The British journal of ophthalmology,0421041,IM,"['Blood Cell Count', 'Bone Marrow Examination', 'Child', 'Child, Preschool', 'Diagnosis, Differential', 'Exophthalmos/diagnosis/*etiology', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications/diagnosis', 'Male']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",ppublish,Br J Ophthalmol. 1971 Dec;55(12):844-7. doi: 10.1136/bjo.55.12.844.,,['10.1136/bjo.55.12.844 [doi]'],,PMC1208595,,
5290906,NLM,MEDLINE,19720501,20170306,,47,4,1971 Oct,[Effect of short-term culture of white blood cells on proteins present in the medium].,339-42,"['Bogdanikowa, B', 'Drozd, J', 'Kiersnowska, B']","['Bogdanikowa B', 'Drozd J', 'Kiersnowska B']",['pol'],['Journal Article'],Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,IM,"['Animals', 'Blood Proteins/*analysis', 'Cattle', '*Cells, Cultured', 'Culture Media/*analysis', 'Humans', 'Leukemia, Myeloid/blood', '*Leukocytes', 'Time Factors']",1971/10/01 00:00,1971/10/01 00:01,['1971/10/01 00:00'],"['1971/10/01 00:00 [pubmed]', '1971/10/01 00:01 [medline]', '1971/10/01 00:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1971 Oct;47(4):339-42.,"['0 (Blood Proteins)', '0 (Culture Media)']",,Wplyw krotkotrwalej hodowli krwinek bialych na obraz bialek zawartych w podlozu.,,,
5290866,NLM,MEDLINE,19720501,20171116,0069-0112 (Print) 0069-0112 (Linking),54,6,1970 Dec,Clinical note: allergic reaction to daunomycin (NSC-82151).,475-6,"['Freeman, A I']",['Freeman AI'],['eng'],['Journal Article'],United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,IM,"['Adolescent', 'Angioedema/chemically induced', 'Daunorubicin/*adverse effects', '*Drug Hypersensitivity', 'Female', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Prednisone/therapeutic use', 'Remission, Spontaneous', 'Urticaria/chemically induced', 'Vincristine/therapeutic use']",1970/12/01 00:00,1970/12/01 00:01,['1970/12/01 00:00'],"['1970/12/01 00:00 [pubmed]', '1970/12/01 00:01 [medline]', '1970/12/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1970 Dec;54(6):475-6.,"['5J49Q6B70F (Vincristine)', 'E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",,,,,
5290859,NLM,MEDLINE,19720501,20071115,0005-2086 (Print) 0005-2086 (Linking),15,4,1971 Oct-Dec,Lymphoproliferative diseases of fowl--radiologic evidence of transplantable nature of lymphoblastic leukemia (JM-V).,672-9,"['Olmsted, J', 'Kenyon, A J']","['Olmsted J', 'Kenyon AJ']",['eng'],['Journal Article'],United States,Avian Dis,Avian diseases,0370617,IM,"['Animals', 'Avian Leukosis/*microbiology', 'Bursa of Fabricius/radiation effects', 'Chickens', 'Leukemia, Lymphoid/blood/etiology/pathology/*veterinary', 'Lymphoid Tissue/radiation effects', 'Neoplasm Transplantation', 'Poultry Diseases/*etiology', '*Radiation Effects', 'Spleen/radiation effects']",1971/10/01 00:00,1971/10/01 00:01,['1971/10/01 00:00'],"['1971/10/01 00:00 [pubmed]', '1971/10/01 00:01 [medline]', '1971/10/01 00:00 [entrez]']",ppublish,Avian Dis. 1971 Oct-Dec;15(4):672-9.,,,,,,
