PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,PMC,AB,OID,OAB,OABL,OTO,OT,RF
5120610,NLM,MEDLINE,19720125,20180216,0009-3157 (Print) 0009-3157 (Linking),16,2,1971,Effect of treatment with two related dimethanesulfonates on the life span and spleen and bone marrow cells of leukemic and nonleukemic mice.,65-75,"['Vadlamudi, S', 'Padarathsingh, M', 'Waravdekar, V S', 'Goldin, A']","['Vadlamudi S', 'Padarathsingh M', 'Waravdekar VS', 'Goldin A']",['eng'],"['Comparative Study', 'Journal Article']",Switzerland,Chemotherapy,Chemotherapy,0144731,"['0 (Amino Alcohols)', '0 (Propylene Glycols)', '0 (Sulfonic Acids)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Amino Alcohols/pharmacology', 'Animals', 'Bone Marrow/*drug effects', '*Bone Marrow Cells', 'Cell Survival/drug effects', 'Cyclophosphamide/*pharmacology/therapeutic use', 'Leukemia L1210/*drug therapy/mortality', '*Life Expectancy', 'Mice', 'Mice, Inbred Strains', 'Propylene Glycols/pharmacology', 'Spleen/*drug effects', 'Sulfonic Acids/*pharmacology/therapeutic use']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",['10.1159/000220715 [doi]'],ppublish,Chemotherapy. 1971;16(2):65-75. doi: 10.1159/000220715.,,,,,,,,,
5120609,NLM,MEDLINE,19720125,20180216,0009-3157 (Print) 0009-3157 (Linking),16,2,1971,Increased lifespan of leukemic mice treated with drugs related to (-)-emetine.,109-29,"['Jondorf, W R', 'Abbott, B J', 'Greenberg, N H', 'Mead, J A']","['Jondorf WR', 'Abbott BJ', 'Greenberg NH', 'Mead JA']",['eng'],"['Comparative Study', 'Journal Article']",Switzerland,Chemotherapy,Chemotherapy,0144731,"['0 (Alkaloids)', 'X8D5EPO80M (Emetine)']",IM,"['Alkaloids/therapeutic use', 'Animals', 'Chemical Phenomena', 'Chemistry', 'Emetine/administration & dosage/*therapeutic use/toxicity', 'Female', 'Injections, Intraperitoneal', 'Leukemia L1210/*drug therapy/mortality', 'Mice', 'Mice, Inbred Strains', 'Time Factors']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",['10.1159/000220718 [doi]'],ppublish,Chemotherapy. 1971;16(2):109-29. doi: 10.1159/000220718.,,,,,,,,,
5120509,NLM,MEDLINE,19720125,20041117,0036-4355 (Print) 0036-4355 (Linking),16,3,1971,[Epidemiology of leukemia and of lymphomas in a region of the province of Buenos Aires (1967). Comparison with 1965-66. II. Lymphomas].,258-72,"['Delfor Podesta, L', 'Quiroga MICHEO, E', 'Calcagno, E J', 'Calabria, S I', 'De Olivos, N L']","['Delfor Podesta L', 'Quiroga MICHEO E', 'Calcagno EJ', 'Calabria SI', 'De Olivos NL']",['spa'],['Journal Article'],Spain,Sangre (Barc),Sangre,0404373,,IM,"['Adolescent', 'Adult', 'Aged', 'Argentina', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia/*epidemiology/mortality', 'Lymphoma/*epidemiology/mortality', 'Male', 'Middle Aged']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1971;16(3):258-72.,Epidemiologia de la leucemia y de los linfomas en un area de la provincia de Buenos Aires (ano 1967). Comparacion con anos 1965-66. II. Linfomas.,,,,,,,,
5120490,NLM,MEDLINE,19720125,20071115,0552-2080 (Print) 0552-2080 (Linking),16,4,1971,[Antibodies to DNA in the serum of patients with chronic lymphatic leukemia].,31-3,"['Stefani, N V']",['Stefani NV'],['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,"['0 (Antibodies)', '0 (DNA, Neoplasm)']",IM,"['Adult', 'Antibodies/*analysis', 'Antibody Formation', '*DNA, Neoplasm', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Middle Aged']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1971;16(4):31-3.,Antitela k DNK v syvorotke bol'nykh khronicheskim limfoleikozoma.,,,,,,,,
5120413,NLM,MEDLINE,19720125,20171116,0027-8874 (Print) 0027-8874 (Linking),47,6,1971 Dec,Role of interferon in the protective effect of the double-stranded polyribonucleotide against murine tumors induced by Moloney sarcoma virus.,1345-55,"['De Clercq, E', 'De Somer, P']","['De Clercq E', 'De Somer P']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Polynucleotides)', '9008-11-1 (Interferons)', 'O84C90HH2L (Poly I-C)']",IM,"['Animals', 'Animals, Newborn', 'Interferons/*biosynthesis', 'Leukemia, Experimental/*prevention & control', 'Mice', 'Moloney murine leukemia virus/*immunology', 'Poly I-C/administration & dosage/therapeutic use', 'Polynucleotides/*biosynthesis']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1971 Dec;47(6):1345-55.,,,,,,,,,
5120303,NLM,MEDLINE,19720125,20031114,0008-5472 (Print) 0008-5472 (Linking),31,12,1971 Dec,Increase of leukemia L1210 immunogenicity by Vibrio cholerae neuraminidase treatment.,2130-2,"['Bekesi, J G', 'St-Arneault, G', 'Holland, J F']","['Bekesi JG', 'St-Arneault G', 'Holland JF']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antigens)', '0 (Antigens, Neoplasm)', '0 (Neuraminic Acids)', 'EC 3.2.1.18 (Neuraminidase)']",IM,"['Animals', '*Antigens', 'Antigens, Neoplasm', 'Leukemia L1210/*immunology', 'Mice', 'Mice, Inbred Strains', 'Neuraminic Acids/*metabolism', 'Neuraminidase/*pharmacology', 'Vibrio/enzymology']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,Cancer Res. 1971 Dec;31(12):2130-2.,,,,,,,,,
5120297,NLM,MEDLINE,19720125,20131121,0008-5472 (Print) 0008-5472 (Linking),31,12,1971 Dec,Differences in the immunogenicity of leukemia L1210 sublines in DBA-2 mice.,1999-2003,"['Mihich, E', 'Kitano, M']","['Mihich E', 'Kitano M']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Anilides)', '0 (Antigens, Neoplasm)', '0 (Antineoplastic Agents)', '0 (Hydrazones)', '0 (Imidazoles)', '04079A1RDZ (Cytarabine)', '5Z93L87A1R (Guanine)', '8W8T17847W (Urea)']",IM,"['Anilides/therapeutic use', 'Animals', 'Antigens, Neoplasm', 'Antineoplastic Agents/therapeutic use', 'Cell Line/drug effects/*immunology', 'Cytarabine/therapeutic use', 'Female', 'Guanine/therapeutic use', 'Hydrazones/therapeutic use', 'Imidazoles/therapeutic use', 'Leukemia L1210/drug therapy/*immunology', 'Mice', 'Mice, Inbred Strains', 'Radiation Effects', 'Urea/therapeutic use']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,Cancer Res. 1971 Dec;31(12):1999-2003.,,,,,,,,,
5120296,NLM,MEDLINE,19720125,20081121,0008-5472 (Print) 0008-5472 (Linking),31,12,1971 Dec,Alterations in morphology and growth pattern in a transplantable leukemia of rats.,1990-8,"['Zawidzka, Z Z', 'Grice, H C']","['Zawidzka ZZ', 'Grice HC']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,,IM,"['Animals', 'Bone Marrow Cells', 'Female', 'Leukemia, Experimental/*pathology', 'Leukocyte Count', 'Liver/pathology', 'Lymph Nodes/pathology', 'Male', 'Neoplasm Transplantation', 'Primary Myelofibrosis/pathology', 'Rats', 'Spleen/pathology']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,Cancer Res. 1971 Dec;31(12):1990-8.,,,,,,,,,
5120294,NLM,MEDLINE,19720125,20131121,0008-5472 (Print) 0008-5472 (Linking),31,12,1971 Dec,Interference of daunomycin and adriamycin on the growth and aggression of murine sarcoma virus (Moloney) tumors in mice.,1971-6,"['Casazza, M', 'Di Marco, A', 'Di Cuonzo, G']","['Casazza M', 'Di Marco A', 'Di Cuonzo G']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antibiotics, Antineoplastic)', '0 (Immunosuppressive Agents)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*pharmacology', 'Daunorubicin/*pharmacology', 'Depression, Chemical', 'Immunosuppressive Agents', 'Mice', 'Moloney murine leukemia virus', 'Neoplasm Recurrence, Local/chemically induced', 'Neoplasm Regression, Spontaneous/*prevention & control', 'Neutralization Tests', 'Sarcoma, Experimental/*prevention & control', 'Spleen/microbiology']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,Cancer Res. 1971 Dec;31(12):1971-6.,,,,,,,,,
5120290,NLM,MEDLINE,19720125,20141120,0008-5472 (Print) 0008-5472 (Linking),31,12,1971 Dec,Biological and biochemical differences between tubercidin (7-deazaadenosine) and its 5'-phosphate methyl ester.,1923-9,"['Bhuyan, B K', 'Neil, G L', 'Smith, C G', 'Olin, E J', 'Li, L H']","['Bhuyan BK', 'Neil GL', 'Smith CG', 'Olin EJ', 'Li LH']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', '0 (Culture Media)', '0 (DNA, Neoplasm)', '0 (Nucleosides)', '0 (Phosphates)', '0 (Pyrimidines)', '0 (Pyrroles)', '0 (RNA, Neoplasm)', '10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Blood', 'Carcinoma', 'Cell Line/drug effects/metabolism', 'Chromatography, Paper', 'Culture Media', 'DNA, Neoplasm/biosynthesis', 'Depression, Chemical', 'Humans', 'Hydrolysis', 'In Vitro Techniques', 'Leukemia L1210/metabolism', 'Mouth Neoplasms', 'Nucleosides/*pharmacology', 'Phosphates/pharmacology', 'Pyrimidines/pharmacology', 'Pyrroles/pharmacology', 'RNA, Neoplasm/biosynthesis', 'Thymidine/metabolism', 'Tritium', 'Uridine/metabolism']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,Cancer Res. 1971 Dec;31(12):1923-9.,,,,,,,,,
