PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,CON,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,CIN,GR,RF,SI,PMC,TT,CI,CN,MID,EIN,OID,OTO,OT,GN,LID
9426527,NLM,MEDLINE,19980204,20190512,0002-9173 (Print) 0002-9173 (Linking),109,1,1998 Jan,Conflicting results in the use of antibody panels.,116-7,"['Eisenhart, G V']",['Eisenhart GV'],['eng'],"['Letter', 'Comment']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Antibodies)', '0 (Antigens, CD)', '0 (CD79 Antigens)', '0 (CD79A protein, human)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Am J Clin Pathol. 1996 Oct;106(4):462-8. PMID: 8853033', 'Am J Clin Pathol. 1997 Apr;107(4):410-8. PMID: 9124209']","['Adult', 'Antibodies/*analysis', 'Antigens, CD/*analysis', 'CD79 Antigens', 'Female', 'Humans', 'Immunohistochemistry/methods', 'Leukemia/*immunology', 'Male', 'Middle Aged', 'Receptors, Antigen, B-Cell/*analysis', 'Reproducibility of Results', 'Sensitivity and Specificity']",1998/01/14 00:00,1998/01/14 00:01,['1998/01/14 00:00'],"['1998/01/14 00:00 [pubmed]', '1998/01/14 00:01 [medline]', '1998/01/14 00:00 [entrez]']",['10.1093/ajcp/109.1.116 [doi]'],ppublish,Am J Clin Pathol. 1998 Jan;109(1):116-7. doi: 10.1093/ajcp/109.1.116.,,,,,,,,,,,,,,,,,
9426515,NLM,MEDLINE,19980204,20190512,0002-9173 (Print) 0002-9173 (Linking),109,1,1998 Jan,Acute myeloid leukemia with minimal differentiation. A multiple parameter study.,32-8,"['Cohen, P L', 'Hoyer, J D', 'Kurtin, P J', 'Dewald, G W', 'Hanson, C A']","['Cohen PL', 'Hoyer JD', 'Kurtin PJ', 'Dewald GW', 'Hanson CA']",['eng'],['Journal Article'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Antigens, CD)']",IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Antigens, CD/metabolism', 'Blood Cell Count', 'Bone Marrow/immunology/*pathology', 'Female', 'Flow Cytometry', 'Humans', 'Immunohistochemistry', 'Immunophenotyping', 'Karyotyping', 'Leukemia, Myeloid, Acute/immunology/mortality/*pathology', 'Male', 'Middle Aged', 'Survival Rate']",1998/01/14 00:00,1998/01/14 00:01,['1998/01/14 00:00'],"['1998/01/14 00:00 [pubmed]', '1998/01/14 00:01 [medline]', '1998/01/14 00:00 [entrez]']",['10.1093/ajcp/109.1.32 [doi]'],ppublish,Am J Clin Pathol. 1998 Jan;109(1):32-8. doi: 10.1093/ajcp/109.1.32.,"Acute myeloid leukemia with minimal differentiation (AML-M0) is a recently described entity, and few large studies are available to characterize its clinical and pathologic features. We reviewed blood and bone marrow morphology, cytochemistry, immunophenotyping, and cytogenetics, as well as the clinical findings, of 17 patients with AML-M0. Most patients were male, with a median age of 62 years. Minimal background myelodysplastic features were identified in only 5 of 15 patients. Cytochemical stains for myeloperoxidase and alpha-naphthyl butyrate esterase were negative in the leukemic blasts of all specimens. Positivity for one or both myeloid-associated antigens, CD13 and CD33, was seen in all patients. Both CD34 and HLA-DR were positive in all tested cases. Lymphoid-associated antigens were identified in seven patients; these antigens were typically dim or weak in intensity. Terminal deoxynucleotidyltransferase positivity was seen in 14 of 14 tested patients; monoclonal anti-myeloperoxidase reactivity was seen in the blasts of 2 patients. Abnormal clonal karyotypes were found in 6 of 14 patients. Abnormalities of chromosomes 7 and 13 were the most common findings, most frequently manifested by monosomy 7 and trisomy 13. The median follow-up was 8 months. Eight patients died of their disease, three are alive with disease, and six are in first or second remission (including three patients treated with bone marrow transplantation). When narrowly defined, AML-M0 appears to be a homogeneous entity that affects older and predominantly male patients. It has no single karyotypic abnormality, but complex karyotypes with monosomy 7 and trisomy 13 are commonly found. Acute myeloid leukemia with minimal differentiation is relatively resistant to chemotherapy; however, bone marrow transplantation may provide a better outcome for eligible patients.","['Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, MN 55905, USA.']",['Am J Clin Pathol. 1998 Jan;109(1):3-5. PMID: 9426510'],,,,,,,,,,,,,,
9426514,NLM,MEDLINE,19980204,20190512,0002-9173 (Print) 0002-9173 (Linking),109,1,1998 Jan,"A comparative analysis of FISH, RT-PCR, and cytogenetics for the diagnosis of bcr-abl-positive leukemias.",24-31,"['Cox, M C', 'Maffei, L', 'Buffolino, S', 'Del Poeta, G', 'Venditti, A', 'Cantonetti, M', 'Aronica, G', 'Aquilina, P', 'Masi, M', 'Amadori, S']","['Cox MC', 'Maffei L', 'Buffolino S', 'Del Poeta G', 'Venditti A', 'Cantonetti M', 'Aronica G', 'Aquilina P', 'Masi M', 'Amadori S']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Fluorescent Dyes)', '0 (Oncogene Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RNA, Neoplasm)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 2.7.10.2 (Proto-Oncogene Proteins c-abl)', 'EC 2.7.11.1 (BCR protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-bcr)']",IM,,"['Bone Marrow/chemistry', 'Chromosome Banding', 'Fluorescent Dyes/analysis', 'Fusion Proteins, bcr-abl/*genetics', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia/*genetics', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics', 'Leukemia, Myeloid, Acute/genetics', 'Leukemia, Myelomonocytic, Chronic/genetics', 'Leukocytes/chemistry', 'Myeloproliferative Disorders/*genetics', 'Oncogene Proteins/*genetics', 'Polycythemia Vera/genetics', 'Polymerase Chain Reaction', '*Protein-Tyrosine Kinases', '*Proto-Oncogene Proteins', 'Proto-Oncogene Proteins c-abl/*genetics', 'Proto-Oncogene Proteins c-bcr', 'RNA, Neoplasm/analysis', 'Thrombocythemia, Essential/genetics', '*Translocation, Genetic']",1998/01/14 00:00,1998/01/14 00:01,['1998/01/14 00:00'],"['1998/01/14 00:00 [pubmed]', '1998/01/14 00:01 [medline]', '1998/01/14 00:00 [entrez]']",['10.1093/ajcp/109.1.24 [doi]'],ppublish,Am J Clin Pathol. 1998 Jan;109(1):24-31. doi: 10.1093/ajcp/109.1.24.,"Philadelphia (Ph) chromosome-positive leukemias, with the bcr-abl gene translocation, have a dismal prognosis. The identification of Ph-positive patients is vitally important because only aggressive therapeutic approaches, such as allogeneic bone marrow transplantation, may result in long-term disease-free survival. Routine diagnostic methods, such as Southern blot analysis and cytogenetics, may lead to false-negative results. Reverse transcriptase-polymerase chain reaction (RT-PCR) analysis is considered the most sensitive tool for the detection of the bcr-abl translocation, and it is widely used alone or in combination with karyotyping or Southern blot analysis to identify Ph-positive cases. In this study, we used fluorescence in situ hybridization (FISH) with BCR and ABL double-color probes for detecting Ph-positive leukemias. The FISH results were compared with the results of cytogenetic and RT-PCR analyses in 75 patients with leukemia or other myeloproliferative syndromes (chronic myeloid leukemia, 30; acute lymphoblastic leukemia, 24; acute myelogenous leukemia, 6; essential (hemorrhagic) thrombocythemia, 12; chronic myelomonocytic leukemia, 2; and polycythemia vera, 1). FISH analysis proved to be simple, extremely reliable and sensitive; bcr-abl fusion detection was successful in the presence of all types of molecular junctions i.e., (b2a2, b3a2, and e1a2). Furthermore, a Ph-positive case that proved fusion negative by RT-PCR was identified as positive by FISH. The sensitivity of RT-PCR and FISH related to Ph-positive cases were 97% and 100%, respectively. Regarding specificity, in 4 (5%) of 75 patients, RT-PCR provided false-positive results. Cross-contamination was identified because a new specimen was harvested and reanalyzed when FISH, cytogenetics, and RT-PCR results were contradictory. We believe FISH is an optimal diagnostic method to detect bcr-abl translocation that can be used alone or to validate the results of RT-PCR analysis.","[""Department of Hematology, University of Tor Vergata, Ospedale S'Eugenio, Rome, Italy.""]",,,,,,,,,,,,,,,
9426513,NLM,MEDLINE,19980204,20190512,0002-9173 (Print) 0002-9173 (Linking),109,1,1998 Jan,Comparative analysis of interphase FISH and RT-PCR to detect bcr-abl translocation in chronic myelogenous leukemia and related disorders.,16-23,"['Tbakhi, A', 'Pettay, J', 'Sreenan, J J', 'Abdel-Razeq, H', 'Kalaycio, M', 'Hoeltge, G', 'Miller, M L', 'Tubbs, R R']","['Tbakhi A', 'Pettay J', 'Sreenan JJ', 'Abdel-Razeq H', 'Kalaycio M', 'Hoeltge G', 'Miller ML', 'Tubbs RR']",['eng'],"['Comparative Study', 'Journal Article']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Fluorescent Dyes)', '0 (Oncogene Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 2.7.11.1 (BCR protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-bcr)']",IM,,"['Blotting, Southern/economics', 'Bone Marrow/chemistry', 'Chromosomes, Human, Pair 22', 'Chromosomes, Human, Pair 9', 'Colorimetry', 'Fluorescent Dyes/analysis', 'Fusion Proteins, bcr-abl/*genetics', 'Genes, abl/*genetics', 'Humans', 'In Situ Hybridization, Fluorescence/economics', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Leukocytes/chemistry', 'Oncogene Proteins/*genetics', 'Polymerase Chain Reaction/economics', '*Protein-Tyrosine Kinases', '*Proto-Oncogene Proteins', 'Proto-Oncogene Proteins c-bcr', 'RNA, Messenger/analysis', 'RNA, Neoplasm/analysis', 'Transcription, Genetic', '*Translocation, Genetic']",1998/01/14 00:00,1998/01/14 00:01,['1998/01/14 00:00'],"['1998/01/14 00:00 [pubmed]', '1998/01/14 00:01 [medline]', '1998/01/14 00:00 [entrez]']",['10.1093/ajcp/109.1.16 [doi]'],ppublish,Am J Clin Pathol. 1998 Jan;109(1):16-23. doi: 10.1093/ajcp/109.1.16.,"The t(9;22)(q34;q1 1) between the abl and bcr genes plays a pivotal role in the diagnosis and pathogenesis of chronic myelogenous leukemia (CML). Its detection is routinely accomplished by Southern blot analysis and karyotyping. Interphase fluorescence in situ hybridization (FISH) and reverse transcriptase-polymerase chain reaction (RT-PCR) are emerging molecular techniques that offer viable alternatives. We analyzed 40 samples of peripheral blood and bone marrow (CML, 16; acute myelogenous leukemia, 6; acute lymphoblastic leukemia [ALL], 1; chronic lymphoblastic leukemia, 2; myelodysplasias, 4; myeloproliferative disorders, unclassified, 3; nonleukemic hematologic malignancies, 3; hypercellular bone marrow, 1; normal control samples, 2; and K562 cell line samples, 2) for the presence of bcr-abl fusion gene and its messenger RNA (mRNA) transcript by FISH and RT-PCR, respectively. We compared the results with results of Southern blot analysis and karyotyping when available. Cost analysis was performed. Thirty-three samples were evaluable by FISH; 14 of 14 evaluable CML samples and one ALL sample were positive for bcr-abl by FISH (100%). The other 15 evaluable samples were negative; 16 of 16 (100%) and 13 of 16 (81%) of CML cases were positive for bcr-abl mRNA by RT-PCR (chemiluminescent blot method) and RT-PCR (colorimetric method), respectively. The ALL sample was positive by both RT-PCR methods. All other samples were negative by RT-PCR (chemiluminescent blot method), and all but 1 case of myeloproliferative disorder tested negative by RT-PCR (colorimetric method). We conclude the utility of FISH and RT-PCR is associated with certain limitations, such as insufficient RNA for RT-PCR and the occasional absence of internal positive FISH control signals. However, each procedure offers (with a high concordance rate) a specific and cost-effective alternative to Southern blot analysis and karyotyping and improved turnaround time for the detection of bcr-abl fusion gene or its mRNA transcript.","['Department of Clinical Pathology, Cleveland Clinic Foundation, OH 44195, USA.']",['Am J Clin Pathol. 1998 Jan;109(1):3-5. PMID: 9426510'],,,,,,,,,,,,,,
9426510,NLM,MEDLINE,19980204,20190512,0002-9173 (Print) 0002-9173 (Linking),109,1,1998 Jan,Detection of chromosomal translocations in leukemia. Is there a best way?,3-5,"['Hess, J L']",['Hess JL'],['eng'],"['Comment', 'Editorial']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Am J Clin Pathol. 1998 Jan;109(1):16-23. PMID: 9426513', 'Am J Clin Pathol. 1998 Jan;109(1):32-8. PMID: 9426515']","['Blotting, Southern', 'Blotting, Western', 'Cytogenetics', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia/*genetics', 'Polymerase Chain Reaction', 'Sensitivity and Specificity', 'Transcription, Genetic', '*Translocation, Genetic']",1998/01/14 00:00,1998/01/14 00:01,['1998/01/14 00:00'],"['1998/01/14 00:00 [pubmed]', '1998/01/14 00:01 [medline]', '1998/01/14 00:00 [entrez]']",['10.1093/ajcp/109.1.3 [doi]'],ppublish,Am J Clin Pathol. 1998 Jan;109(1):3-5. doi: 10.1093/ajcp/109.1.3.,,,,,,,,,,,,,,,,,
9426341,NLM,MEDLINE,19980202,20200203,0923-7534 (Print) 0923-7534 (Linking),8,11,1997 Nov,Fulminant cardiac tamponade in chronic lymphocytic leukaemia.,1168-9,"['Giannini, O', 'Schonenberger-Berzins, R']","['Giannini O', 'Schonenberger-Berzins R']",['eng'],"['Case Reports', 'Letter']",England,Ann Oncol,Annals of oncology : official journal of the European Society for Medical Oncology,9007735,,IM,,"['Aged', 'Cardiac Tamponade/*etiology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications', 'Male', 'Pericardial Effusion/diagnosis/pathology']",1998/01/14 00:00,1998/01/14 00:01,['1998/01/14 00:00'],"['1998/01/14 00:00 [pubmed]', '1998/01/14 00:01 [medline]', '1998/01/14 00:00 [entrez]']","['10.1023/a:1008249320333 [doi]', 'S0923-7534(19)64035-4 [pii]']",ppublish,Ann Oncol. 1997 Nov;8(11):1168-9. doi: 10.1023/a:1008249320333.,,,,,,,,,,,,,,,,,
9426340,NLM,MEDLINE,19980202,20200203,0923-7534 (Print) 0923-7534 (Linking),8,11,1997 Nov,Local and systemic sequelae of mediastinal daunorubicin extravasation in a patient with acute myelomonocytic leukemia.,1167-8,"['Duhrsen, U', 'Heinrichs, V', 'Beecken, W D', 'Herbst, K', 'Mross, K', 'Hossfeld, D K']","['Duhrsen U', 'Heinrichs V', 'Beecken WD', 'Herbst K', 'Mross K', 'Hossfeld DK']",['eng'],"['Case Reports', 'Letter']",England,Ann Oncol,Annals of oncology : official journal of the European Society for Medical Oncology,9007735,"['0 (Antibiotics, Antineoplastic)', 'ZS7284E0ZP (Daunorubicin)']",IM,,"['Antibiotics, Antineoplastic/*adverse effects', 'Catheterization, Central Venous', 'Daunorubicin/*adverse effects', '*Extravasation of Diagnostic and Therapeutic Materials', 'Female', 'Humans', 'Injections, Intravenous', 'Leukemia, Myelomonocytic, Acute/*drug therapy', 'Mediastinum', 'Middle Aged', 'Pleural Effusion/chemically induced']",1998/01/14 00:00,1998/01/14 00:01,['1998/01/14 00:00'],"['1998/01/14 00:00 [pubmed]', '1998/01/14 00:01 [medline]', '1998/01/14 00:00 [entrez]']","['10.1023/a:1008268716931 [doi]', 'S0923-7534(19)64034-2 [pii]']",ppublish,Ann Oncol. 1997 Nov;8(11):1167-8. doi: 10.1023/a:1008268716931.,,,,,,,,,,,,,,,,,
9426308,NLM,MEDLINE,19980323,20190720,0302-766X (Print) 0302-766X (Linking),291,2,1998 Feb,Ciliary neurotrophic factor blocks rod photoreceptor differentiation from postmitotic precursor cells in vitro.,207-16,"['Kirsch, M', 'Schulz-Key, S', 'Wiese, A', 'Fuhrmann, S', 'Hofmann, H']","['Kirsch M', 'Schulz-Key S', 'Wiese A', 'Fuhrmann S', 'Hofmann H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Cell Tissue Res,Cell and tissue research,0417625,"['0 (Ciliary Neurotrophic Factor)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (Intermediate Filament Proteins)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '0 (Nerve Tissue Proteins)', '0 (Nes protein, rat)', '0 (Nestin)', '0 (Rod Opsins)']",IM,,"['Animals', 'Animals, Newborn', 'Cell Differentiation/drug effects', 'Cells, Cultured', 'Ciliary Neurotrophic Factor', 'Depression, Chemical', 'Growth Inhibitors/pharmacology', '*Interleukin-6', 'Intermediate Filament Proteins/metabolism', 'Leukemia Inhibitory Factor', 'Lymphokines/pharmacology', 'Mitosis', 'Nerve Tissue Proteins/*pharmacology', 'Nestin', 'Rats', 'Rats, Sprague-Dawley', 'Retinal Rod Photoreceptor Cells/*drug effects', 'Rod Opsins/metabolism', 'Stem Cells/*drug effects']",1998/03/28 00:00,1998/03/28 00:01,['1998/03/28 00:00'],"['1998/03/28 00:00 [pubmed]', '1998/03/28 00:01 [medline]', '1998/03/28 00:00 [entrez]']",['10.1007/s004410050991 [doi]'],ppublish,Cell Tissue Res. 1998 Feb;291(2):207-16. doi: 10.1007/s004410050991.,"The development of photoreceptors in the mammalian retina is thought to be controlled by extrinsic signals. We have shown previously that ciliary neurotrophic factor (CNTF) potently inhibits photoreceptor differentiation in cultures of rat retina. The present study analyzes which developmental processes are affected by CNTF. Rod differentiation as determined by opsin and recoverin immunocytochemistry was effectively blocked by CNTF and leukemia inhibitory factor, but not by other neurotrophic agents tested. CNTF did not influence proliferation, cell death, or survival, and had no effect on the downregulation of nestin immunoreactivity in progenitor cells. Opsin-positive rods could be reverted to an opsin-negative state initially, but became unresponsive to CNTF later. No compensatory increase in the number of other cell types was observed. Application of neutralizing antibodies against CNTF revealed that rod development was partially blocked by an endogenous CNTF-like molecule in control cultures. Our results suggest that CNTF can act as a specific negative regulator of rod differentiation. Its action on photoreceptor precursor cells could serve to synchronize the maturation of photoreceptors, which are born over an extended period of time. Together with other stimulatory signals, CNTF may thus control the temporally and numerically correct integration of photoreceptors into the retinal network.","['Institute of Anatomy, University of Freiburg, P.O. Box 111, D-79001 Freiburg, Germany.']",,,,,,,,,,,,,,,
9426276,NLM,MEDLINE,19980320,20161124,0301-0449 (Print) 0301-0449 (Linking),28,1,1998 Jan,Umbilical metastasis (Sister Mary Joseph's nodule) in a child.,56-8,"['Norman, J T', 'Wagner, M L', 'Chintagumpala, M']","['Norman JT', 'Wagner ML', 'Chintagumpala M']",['eng'],"['Case Reports', 'Journal Article']",Germany,Pediatr Radiol,Pediatric radiology,0365332,,IM,,"['Abdominal Neoplasms/*diagnostic imaging/*secondary', 'Adenocarcinoma/*diagnostic imaging/pathology/*secondary', 'Child', 'Child, Preschool', 'Colonic Neoplasms/*pathology', 'Humans', 'Male', 'Mediastinal Neoplasms/drug therapy/pathology', 'Neoplasms, Multiple Primary/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/pathology', 'Tomography, X-Ray Computed', '*Umbilicus']",1998/03/28 00:00,1998/03/28 00:01,['1998/03/28 00:00'],"['1998/03/28 00:00 [pubmed]', '1998/03/28 00:01 [medline]', '1998/03/28 00:00 [entrez]']",['10.1007/s002470050293 [doi]'],ppublish,Pediatr Radiol. 1998 Jan;28(1):56-8. doi: 10.1007/s002470050293.,"Metastatic malignancy to the umbilicus, also known as Sister Mary Joseph's nodule, is a rare condition, which to our knowledge has not been reported in a child. We present a case of an umbilical metastasis from carcinoma of the colon in a boy who was also receiving chemotherapy for mediastinal lymphoblastic lymphoma.","[""Department of Diagnostic Imaging, Texas Children's Hospital, 6621 Fannin Street, Houston, TX 77030, USA.""]",,,,,,,,,,,,,,,
9426204,NLM,MEDLINE,19980122,20190610,0006-3002 (Print) 0006-3002 (Linking),1333,3,1997 Dec 9,Signal transduction by wild-type and leukemogenic Abl proteins.,F201-16,"['Raitano, A B', 'Whang, Y E', 'Sawyers, C L']","['Raitano AB', 'Whang YE', 'Sawyers CL']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Intracellular Signaling Peptides and Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-crk)', 'EC 2.7.1.- (Phosphatidylinositol 3-Kinases)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 2.7.10.2 (Proto-Oncogene Proteins c-abl)', 'EC 2.7.11.1 (BCR protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-bcr)', 'EC 2.7.11.17 (Calcium-Calmodulin-Dependent Protein Kinases)', 'EC 3.1.3.48 (PTPN11 protein, human)', 'EC 3.1.3.48 (PTPN6 protein, human)', 'EC 3.1.3.48 (Protein Tyrosine Phosphatase, Non-Receptor Type 11)', 'EC 3.1.3.48 (Protein Tyrosine Phosphatase, Non-Receptor Type 6)', 'EC 3.1.3.48 (Protein Tyrosine Phosphatases)', 'EC 3.6.5.2 (HRAS protein, human)', 'EC 3.6.5.2 (Proto-Oncogene Proteins p21(ras))']",IM,,"['Apoptosis', 'Calcium-Calmodulin-Dependent Protein Kinases/physiology', 'Cell Adhesion', 'Cell Cycle', 'Cell Transformation, Neoplastic', 'DNA Damage', 'Enzyme Activation', 'Fusion Proteins, bcr-abl/physiology', 'Humans', 'Intracellular Signaling Peptides and Proteins', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*physiopathology', 'Phosphatidylinositol 3-Kinases/physiology', 'Protein Binding', 'Protein Tyrosine Phosphatase, Non-Receptor Type 11', 'Protein Tyrosine Phosphatase, Non-Receptor Type 6', 'Protein Tyrosine Phosphatases/physiology', 'Protein-Tyrosine Kinases/*physiology', 'Proto-Oncogene Proteins/physiology', 'Proto-Oncogene Proteins c-abl/*physiology', 'Proto-Oncogene Proteins c-bcr', 'Proto-Oncogene Proteins c-crk', 'Proto-Oncogene Proteins p21(ras)/physiology', 'Signal Transduction']",1998/01/13 04:43,2000/02/19 09:00,['1998/01/13 04:43'],"['1998/01/13 04:43 [pubmed]', '2000/02/19 09:00 [medline]', '1998/01/13 04:43 [entrez]']","['S0304-419X(97)00023-1 [pii]', '10.1016/s0304-419x(97)00023-1 [doi]']",ppublish,Biochim Biophys Acta. 1997 Dec 9;1333(3):F201-16. doi: 10.1016/s0304-419x(97)00023-1.,,"['Hematology-Oncology, Department of Medicine, UCLA School of Medicine, Los Angeles, CA 90095-1678, USA.']",,['CA 32727/CA/NCI NIH HHS/United States'],167,,,,,,,,,,,,
