PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,AB,PMC,TT,OID
5818058,NLM,MEDLINE,19691031,20031114,0005-2086 (Print) 0005-2086 (Linking),13,3,1969 Aug,Lymphoproliferative diseases of fowl--high LDH levels associated with lymphoblastic leukemia (JM-V).,579-84,"['Jones, N D', 'Kenyon, A J', 'Helmboldt, C F', 'Sevoian, M']","['Jones ND', 'Kenyon AJ', 'Helmboldt CF', 'Sevoian M']",['eng'],['Journal Article'],United States,Avian Dis,Avian diseases,0370617,['EC 1.1.1.27 (L-Lactate Dehydrogenase)'],IM,"['Animals', 'Avian Leukosis/*blood', 'L-Lactate Dehydrogenase/*blood', 'Poultry Diseases/*blood']",1969/08/01 00:00,1969/08/01 00:01,['1969/08/01 00:00'],"['1969/08/01 00:00 [pubmed]', '1969/08/01 00:01 [medline]', '1969/08/01 00:00 [entrez]']",ppublish,Avian Dis. 1969 Aug;13(3):579-84.,,,,,
5817629,NLM,MEDLINE,19691022,20190511,0009-9236 (Print) 0009-9236 (Linking),10,5,1969 Sep-Oct,The effect of amphotericin B on the fungal flora in feces.,675-80,"['Bodey, G P']",['Bodey GP'],['eng'],['Journal Article'],United States,Clin Pharmacol Ther,Clinical pharmacology and therapeutics,0372741,['7XU7A7DROE (Amphotericin B)'],IM,"['Adolescent', 'Adult', 'Aged', 'Amphotericin B/administration & dosage/analysis/blood/*pharmacology', 'Candida/drug effects', 'Feces/analysis/*microbiology', 'Female', 'Fungi/*drug effects', 'Humans', 'Leukemia/microbiology', 'Male', 'Middle Aged', 'Mitosporic Fungi/drug effects', 'Neoplasm Metastasis', 'Saccharomyces/drug effects']",1969/09/01 00:00,1969/09/01 00:01,['1969/09/01 00:00'],"['1969/09/01 00:00 [pubmed]', '1969/09/01 00:01 [medline]', '1969/09/01 00:00 [entrez]']",ppublish,Clin Pharmacol Ther. 1969 Sep-Oct;10(5):675-80. doi: 10.1002/cpt1969105675.,"['0009-9236(69)90100-3 [pii]', '10.1002/cpt1969105675 [doi]']",,,,
5817329,NLM,MEDLINE,19691017,20110727,0047-1852 (Print) 0047-1852 (Linking),27,4,1969 Apr,[Autopsy case of acute leukemia with marked generalized osteoporosis].,1279-89,"['Majima, E', 'Gamou, T', 'Saito, T', 'Kikui, M']","['Majima E', 'Gamou T', 'Saito T', 'Kikui M']",['jpn'],['Journal Article'],Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,,IM,"['Acute Disease', 'Child', 'Humans', 'Leukemia/complications/*pathology', 'Male', 'Osteoporosis/*complications/pathology']",1969/04/01 00:00,1969/04/01 00:01,['1969/04/01 00:00'],"['1969/04/01 00:00 [pubmed]', '1969/04/01 00:01 [medline]', '1969/04/01 00:00 [entrez]']",ppublish,Nihon Rinsho. 1969 Apr;27(4):1279-89.,,,,,
5817180,NLM,MEDLINE,19691015,20041117,0047-1860 (Print) 0047-1860 (Linking),17,3,1969 Mar,[Clinical studies of leukocyte isoantibodies].,219-24,"['Miura, M', 'Hirano, M']","['Miura M', 'Hirano M']",['jpn'],['Journal Article'],Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,['0 (Isoantibodies)'],IM,"['Adolescent', 'Agranulocytosis/immunology', 'Anemia, Hemolytic/immunology', 'Blood Transfusion', 'Encephalitis, St. Louis/immunology', 'Female', 'Humans', 'Isoantibodies/*analysis', 'Leukemia/immunology', 'Leukocytes/*immunology', 'Male', 'Middle Aged', 'Serologic Tests']",1969/03/01 00:00,1969/03/01 00:01,['1969/03/01 00:00'],"['1969/03/01 00:00 [pubmed]', '1969/03/01 00:01 [medline]', '1969/03/01 00:00 [entrez]']",ppublish,Rinsho Byori. 1969 Mar;17(3):219-24.,,,,,
5817101,NLM,MEDLINE,19691007,20200724,0022-538X (Print) 0022-538X (Linking),4,1,1969 Jul,Suppression of established Friend virus leukemia by statolon. I. Demonstration of a latent infection in clinically normal mice.,1-6,"['Wheelock, E F', 'Caroline, N L', 'Moore, R D']","['Wheelock EF', 'Caroline NL', 'Moore RD']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (Polysaccharides)', '9008-11-1 (Interferons)']",IM,"['Animals', 'Biological Assay', 'Female', '*Friend murine leukemia virus', '*Interferons/analysis/biosynthesis', 'Leukemia, Experimental/*drug therapy/immunology', 'Mice', 'Neoplasm Transplantation', 'Polysaccharides/*therapeutic use', 'Spleen/immunology/microbiology/pathology/transplantation']",1969/07/01 00:00,1969/07/01 00:01,['1969/07/01 00:00'],"['1969/07/01 00:00 [pubmed]', '1969/07/01 00:01 [medline]', '1969/07/01 00:00 [entrez]']",ppublish,J Virol. 1969 Jul;4(1):1-6. doi: 10.1128/JVI.4.1.1-6.1969.,['10.1128/JVI.4.1.1-6.1969 [doi]'],"A single inoculation of statolon into mice with established Friend virus (FV) leukemia can suppress the viral infection and produce a clinical remission lasting many months. Eventually, however, most of the mice develop characteristic FV leukemia. Persistence of FV activity in the spleens of mice during clinical remission can be demonstrated by cell transfer and histopathologic studies. Transfer to normal mice of a large number of spleen cells (10(7)) from mice in remission produces FV leukemia, and transfer of a small number of cells (10(2)) produces immunity to FV challenge. Histopathologic examination reveals clusters of abnormal FV leukemia-like cells directly beneath the capsules of the spleens of mice in clinical remission.",PMC375829,,
5816834,NLM,MEDLINE,19691003,20110727,0047-1852 (Print) 0047-1852 (Linking),27,6,1969 Jun,[Chemotherapy of leukemia--application of anti-leukemic agents].,1671-8,"['Kimura, I', 'Kitajima, K']","['Kimura I', 'Kitajima K']",['jpn'],['Journal Article'],Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,"['0 (Alkylating Agents)', '0 (Antibiotics, Antineoplastic)', '0 (Antimetabolites)', '0 (Hormones)']",IM,"['Adult', 'Alkylating Agents/*therapeutic use', 'Antibiotics, Antineoplastic/*therapeutic use', 'Antimetabolites/*therapeutic use', 'Hormones/*therapeutic use', 'Humans', 'Leukemia/*drug therapy', 'Male', 'Middle Aged']",1969/06/01 00:00,1969/06/01 00:01,['1969/06/01 00:00'],"['1969/06/01 00:00 [pubmed]', '1969/06/01 00:01 [medline]', '1969/06/01 00:00 [entrez]']",ppublish,Nihon Rinsho. 1969 Jun;27(6):1671-8.,,,,,
5816825,NLM,MEDLINE,19691003,20131121,0047-1852 (Print) 0047-1852 (Linking),27,6,1969 Jun,[On resistance to antineoplastic drugs].,1566-70,"['Hoshino, A']",['Hoshino A'],['jpn'],['Journal Article'],Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,"['0 (Antineoplastic Agents)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', '*Drug Tolerance', 'Leukemia/drug therapy', 'Leukemia, Experimental/drug therapy', 'Methotrexate/therapeutic use', 'Mice', 'Sarcoma, Yoshida/drug therapy']",1969/06/01 00:00,1969/06/01 00:01,['1969/06/01 00:00'],"['1969/06/01 00:00 [pubmed]', '1969/06/01 00:01 [medline]', '1969/06/01 00:00 [entrez]']",ppublish,Nihon Rinsho. 1969 Jun;27(6):1566-70.,,,,,
5816373,NLM,MEDLINE,19690919,20031114,0002-9645 (Print) 0002-9645 (Linking),30,8,1969 Aug,Immunoelectrophoretic analysis of serum from a leukemic cow.,1475-7,"['Trainin, Z']",['Trainin Z'],['eng'],['Journal Article'],United States,Am J Vet Res,American journal of veterinary research,0375011,['0 (Immunoglobulin M)'],IM,"['Animals', 'Cattle', 'Cattle Diseases/*blood', 'Chromatography, Gel', 'Immunoelectrophoresis', 'Immunoglobulin M', 'Leukemia/blood/*veterinary', 'Ultracentrifugation']",1969/08/01 00:00,1969/08/01 00:01,['1969/08/01 00:00'],"['1969/08/01 00:00 [pubmed]', '1969/08/01 00:01 [medline]', '1969/08/01 00:00 [entrez]']",ppublish,Am J Vet Res. 1969 Aug;30(8):1475-7.,,,,,
5816029,NLM,MEDLINE,19690905,20191210,0022-3549 (Print) 0022-3549 (Linking),58,5,1969 May,Differential agar-diffusion bioassay for cytotoxic substances.,633-4,"['Perlman, D', 'Lummis, W L', 'Geiersbach, H J']","['Perlman D', 'Lummis WL', 'Geiersbach HJ']",['eng'],['Journal Article'],United States,J Pharm Sci,Journal of pharmaceutical sciences,2985195R,"['0 (Antineoplastic Agents)', '500-85-6 (Indophenol)', '9002-18-0 (Agar)']",IM,"['Agar', 'Animals', 'Antineoplastic Agents/*therapeutic use', 'Carcinoma, Squamous Cell/drug therapy', 'Cell Line', 'Culture Techniques', 'Diffusion', 'Humans', '*Indophenol', 'L Cells', 'Leukemia L1210/drug therapy', 'Methods', 'Neoplasms, Experimental/*drug therapy']",1969/05/01 00:00,1969/05/01 00:01,['1969/05/01 00:00'],"['1969/05/01 00:00 [pubmed]', '1969/05/01 00:01 [medline]', '1969/05/01 00:00 [entrez]']",ppublish,J Pharm Sci. 1969 May;58(5):633-4. doi: 10.1002/jps.2600580530.,"['S0022-3549(15)36848-9 [pii]', '10.1002/jps.2600580530 [doi]']",,,,
5815814,NLM,MEDLINE,19690830,20031114,0019-1604 (Print) 0019-1604 (Linking),78,2,1969 Feb 2,[Electron microscopic study of the development of virus in the spleen of mice with Rauscher leukemia].,55-8,"['Nago, T', 'Suga, Y', 'Kitajima, K', 'Hiraki, K']","['Nago T', 'Suga Y', 'Kitajima K', 'Hiraki K']",['jpn'],['Journal Article'],Japan,Igaku To Seibutsugaku,Igaku to seibutsugaku. Medicine and biology,0417441,,IM,"['Animals', 'Leukemia, Experimental/*pathology', 'Male', 'Mice', 'Microscopy, Electron', 'Rauscher Virus/*growth & development', 'Spleen/*pathology']",1969/02/02 00:00,1969/02/02 00:01,['1969/02/02 00:00'],"['1969/02/02 00:00 [pubmed]', '1969/02/02 00:01 [medline]', '1969/02/02 00:00 [entrez]']",ppublish,Igaku To Seibutsugaku. 1969 Feb 2;78(2):55-8.,,,,,
5815697,NLM,MEDLINE,19690824,20041117,0032-6518 (Print) 0032-6518 (Linking),202,210,1969 Apr,Blood diseases of childhood.,505-14,"['Willoughby, M L']",['Willoughby ML'],['eng'],['Journal Article'],England,Practitioner,The Practitioner,0404245,,IM,"['Child', 'Erythroblastosis, Fetal', 'Female', 'Folic Acid Deficiency', '*Hematologic Diseases', 'Hemophilia A', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia', 'Pregnancy', 'Purpura, Thrombocytopenic']",1969/04/01 00:00,1969/04/01 00:01,['1969/04/01 00:00'],"['1969/04/01 00:00 [pubmed]', '1969/04/01 00:01 [medline]', '1969/04/01 00:00 [entrez]']",ppublish,Practitioner. 1969 Apr;202(210):505-14.,,,,,
5815385,NLM,MEDLINE,19690820,20091111,0012-0847 (Print) 0012-0847 (Linking),76,11,1969 Jun 1,[The present state of research on Marek's disease].,277-83,"['Schettler, H']",['Schettler H'],['ger'],['Journal Article'],Germany,Dtsch Tierarztl Wochenschr,Deutsche tierarztliche Wochenschrift,0033620,,IM,"['Animals', 'Avian Leukosis/*pathology', '*Chickens', 'Nerve Tissue/pathology']",1969/06/01 00:00,1969/06/01 00:01,['1969/06/01 00:00'],"['1969/06/01 00:00 [pubmed]', '1969/06/01 00:01 [medline]', '1969/06/01 00:00 [entrez]']",ppublish,Dtsch Tierarztl Wochenschr. 1969 Jun 1;76(11):277-83.,,,,Der gegenwartige Stand der Forschungen auf dem Gebiete der Marek'schen Krankheit.,
5815278,NLM,MEDLINE,19690808,20190623,0006-2952 (Print) 0006-2952 (Linking),18,5,1969 May,"Accumulation of two alkylating agents, nitrogen mustard and busulfan, by murine leukemia cells in vitro.",1229-34,"['Kessel, D', 'Myers, M', 'Wodinsky, I']","['Kessel D', 'Myers M', 'Wodinsky I']",['eng'],['Journal Article'],England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Amines)', '0 (Nucleic Acids)', '50D9XSG0VR (Mechlorethamine)', '56HH86ZVCT (Uracil)', 'G1LN9045DK (Busulfan)', 'VC2W18DGKR (Thymidine)']",IM,"['Amines/metabolism', 'Animals', 'Busulfan/*metabolism', 'In Vitro Techniques', 'Leukemia L1210/metabolism', 'Leukemia, Experimental/*metabolism', 'Mechlorethamine/*metabolism', 'Nucleic Acids/biosynthesis/metabolism', 'Protein Binding', 'Temperature', 'Thymidine/metabolism', 'Uracil/metabolism']",1969/05/01 00:00,1969/05/01 00:01,['1969/05/01 00:00'],"['1969/05/01 00:00 [pubmed]', '1969/05/01 00:01 [medline]', '1969/05/01 00:00 [entrez]']",ppublish,Biochem Pharmacol. 1969 May;18(5):1229-34. doi: 10.1016/0006-2952(69)90126-9.,"['0006-2952(69)90126-9 [pii]', '10.1016/0006-2952(69)90126-9 [doi]']",,,,
5815075,NLM,MEDLINE,19690803,20200930,0037-9727 (Print) 0037-9727 (Linking),131,2,1969 Jun,Rat leukemia derived 9H virus (9HV). I. Properties of the virus and evidence for the development of heterogeneity in cell culture.,392-8,"['Eisenstein, S', 'Bergs, V V', 'Bergs, M']","['Eisenstein S', 'Bergs VV', 'Bergs M']",['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,"['0 (Chlorides)', '0 (Culture Media)', '0 (Solvents)', '1KSV9V4Y4I (Cesium)']",IM,"['Animals', 'Cell Line', 'Centrifugation, Density Gradient', 'Cesium/pharmacology', 'Chlorides/pharmacology', 'Chromatography', 'Culture Media', '*Culture Techniques', 'Cytopathogenic Effect, Viral', '*DNA Viruses', 'Embryo, Mammalian', 'Glass', 'Hemagglutination', 'Hydrogen-Ion Concentration', 'Methods', 'Rats', 'Solvents/pharmacology', 'Temperature', '*Virus Cultivation']",1969/06/01 00:00,1969/06/01 00:01,['1969/06/01 00:00'],"['1969/06/01 00:00 [pubmed]', '1969/06/01 00:01 [medline]', '1969/06/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1969 Jun;131(2):392-8. doi: 10.3181/00379727-131-33886.,['10.3181/00379727-131-33886 [doi]'],,,,
5814942,NLM,MEDLINE,19690801,20131121,0012-0472 (Print) 0012-0472 (Linking),94,25,1969 Jun 20,[Low folic acid diet in malignant tumors].,1342,"['Schmidt, C G']",['Schmidt CG'],['ger'],['Journal Article'],Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,['935E97BOY8 (Folic Acid)'],IM,"['Choriocarcinoma/therapy', '*Diet Therapy', 'Female', '*Folic Acid', 'Humans', 'Leukemia/therapy', 'Neoplasm Metastasis', 'Neoplasms/*therapy', 'Pregnancy']",1969/06/20 00:00,1969/06/20 00:01,['1969/06/20 00:00'],"['1969/06/20 00:00 [pubmed]', '1969/06/20 00:01 [medline]', '1969/06/20 00:00 [entrez]']",ppublish,Dtsch Med Wochenschr. 1969 Jun 20;94(25):1342.,,,,Folsaurearme Diat bei Malignomen.,
5814664,NLM,MEDLINE,19690725,20110726,0021-4493 (Print) 0021-4493 (Linking),61,4,1969 Feb 15,[Chemotherapy of malignant tumors in children].,498-508,"['Hanawa, Y']",['Hanawa Y'],['jpn'],['Journal Article'],Japan,Nihon Ishikai Zasshi,Nihon Ishikai zasshi. Journal of the Japan Medical Association,0413545,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Antineoplastic Agents/*therapeutic use', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Male', 'Neoplasms/*drug therapy', 'Neuroblastoma/drug therapy']",1969/02/15 00:00,1969/02/15 00:01,['1969/02/15 00:00'],"['1969/02/15 00:00 [pubmed]', '1969/02/15 00:01 [medline]', '1969/02/15 00:00 [entrez]']",ppublish,Nihon Ishikai Zasshi. 1969 Feb 15;61(4):498-508.,,,,,
