PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,CON,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,AB,CI,OTO,OT,PMC,CN,SI,GR,MID,TT,CIN,COIS,AUID,EIN,OID,IR,FIR
24243851,NLM,MEDLINE,20140829,20181202,1552-4957 (Electronic) 1552-4949 (Linking),86,1,2014 Jan,"Residual disease in AML, a target that can move in more than one direction.",15-7,10.1002/cyto.b.21140 [doi],"['Loken, Michael R']",['Loken MR'],"['Hematologics, Seattle, WA.']",['eng'],"['Journal Article', 'Comment']",20131115,United States,Cytometry B Clin Cytom,"Cytometry. Part B, Clinical cytometry",101235690,IM,['Cytometry B Clin Cytom. 2014 Jan;86(1):3-14. PMID: 24151248'],"['Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Neoplasm Recurrence, Local/*diagnosis/*prevention & control', 'Neoplasm, Residual/*diagnosis/*prevention & control']",2013/11/19 06:00,2014/08/30 06:00,['2013/11/19 06:00'],"['2013/11/19 06:00 [entrez]', '2013/11/19 06:00 [pubmed]', '2014/08/30 06:00 [medline]']",['10.1002/cyto.b.21140 [doi]'],ppublish,Cytometry B Clin Cytom. 2014 Jan;86(1):15-7. doi: 10.1002/cyto.b.21140. Epub 2013 Nov 15.,,,,,,,,,,,,,,,,,,
24243829,NLM,MEDLINE,20140829,20181202,1552-4957 (Electronic) 1552-4949 (Linking),86,1,2014 Jan,Complementarity of evaluation of myeloperoxidase expression by flow cytometry and immunohistochemistry on bone marrow trephine biopsy sections in acute myeloid leukemia.,70-3,10.1002/cyto.b.21129 [doi],"['Abdulsalam, Abbas Hashim', 'Nadal-Melsio, Elisabet', 'Naresh, Kikkeri N']","['Abdulsalam AH', 'Nadal-Melsio E', 'Naresh KN']","['Directorate of Pathology, Imperial College Healthcare NHS Trust, Hammersmith Hospital campus, London, United Kingdom, Visiting fellow, Al-NahrainUniversity, Baghdad, Iraq.']",['eng'],"['Letter', 'Comment']",20131115,United States,Cytometry B Clin Cytom,"Cytometry. Part B, Clinical cytometry",101235690,IM,['Cytometry B Clin Cytom. 2013 Mar;84(2):114-8. PMID: 23325578'],"['Humans', 'Leukemia/*classification/*diagnosis', 'Leukemia, Biphenotypic, Acute/*diagnosis', 'Leukemia, Myeloid, Acute/*diagnosis', 'Peroxidase/*analysis']",2013/11/19 06:00,2014/08/30 06:00,['2013/11/19 06:00'],"['2013/11/19 06:00 [entrez]', '2013/11/19 06:00 [pubmed]', '2014/08/30 06:00 [medline]']",['10.1002/cyto.b.21129 [doi]'],ppublish,Cytometry B Clin Cytom. 2014 Jan;86(1):70-3. doi: 10.1002/cyto.b.21129. Epub 2013 Nov 15.,['EC 1.11.1.7 (Peroxidase)'],,,,,,,,,,,,,,,,,
24243815,NLM,MEDLINE,20150116,20181202,1552-4957 (Electronic) 1552-4949 (Linking),86,2,2014 Mar,CD200 has an important role in the differential diagnosis of mature B-cell neoplasms by multiparameter flow cytometry.,98-105,10.1002/cyto.b.21128 [doi],"['Sandes, Alex F', 'de Lourdes Chauffaille, Maria', 'Oliveira, Claudia Regina M C', 'Maekawa, Yumi', 'Tamashiro, Nair', 'Takao, Tania T', 'Ritter, Estela C', 'Rizzatti, Edgar G']","['Sandes AF', 'de Lourdes Chauffaille M', 'Oliveira CR', 'Maekawa Y', 'Tamashiro N', 'Takao TT', 'Ritter EC', 'Rizzatti EG']","['Division of Hematology, Fleury Group, Sao Paulo, Brazil.']",['eng'],['Journal Article'],20131008,United States,Cytometry B Clin Cytom,"Cytometry. Part B, Clinical cytometry",101235690,IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Antigens, CD/*analysis/immunology', 'Diagnosis, Differential', 'Female', '*Flow Cytometry', 'Humans', 'Immunophenotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnosis/immunology', 'Lymphoma, Mantle-Cell/diagnosis/immunology', 'Male', 'Middle Aged']",2013/11/19 06:00,2015/01/17 06:00,['2013/11/19 06:00'],"['2013/04/18 00:00 [received]', '2013/07/19 00:00 [revised]', '2013/08/09 00:00 [accepted]', '2013/11/19 06:00 [entrez]', '2013/11/19 06:00 [pubmed]', '2015/01/17 06:00 [medline]']",['10.1002/cyto.b.21128 [doi]'],ppublish,Cytometry B Clin Cytom. 2014 Mar;86(2):98-105. doi: 10.1002/cyto.b.21128. Epub 2013 Oct 8.,"['0 (Antigens, CD)', 'UQ4V77A8VA (antigens, CD200)']","BACKGROUND: Multiparameter flow cytometry is a useful tool for the diagnostic evaluation of mature B-cell neoplasms (MBN). Recently, it has been shown that CD200 may improve the distinction between chronic lymphocytic leukemia (CLL; CD200+) and mantle cell lymphoma (MCL; CD200-), but the role of CD200 expression in atypical CLL and other MBN remains to be established. METHODS: To address this issue, we investigated the expression of CD200 in 159 consecutive cases of MBN. RESULTS: CD200 was strongly expressed in CLL and was revealed to be an excellent marker to distinguish CLL from MCL, even in cases of atypical CLL. However, lack of CD200 was not an exclusive finding of MCL, being also observed in other MBNs. Furthermore, CD200 was highly expressed in hairy cell leukemia, being useful in the differential diagnosis of lymphomas with villous lymphocytes. Herein, we propose an algorithm to classify CD5+ MBNs based on the expression of CD200, CD11c, heavy chain immunoglobulins, and Matutes score. CONCLUSIONS: These results expand the understanding of the CD200 expression in MBNs, giving further support for the inclusion of this marker in the routine investigation by flow cytometry.",['(c) 2013 Clinical Cytometry Society.'],['NOTNLM'],"['CD200', 'chronic lymphocytic leukemia', 'flow cytometry', 'lymphoma', 'mantle cell lymphoma']",,,,,,,,,,,,,
24243706,NLM,MEDLINE,20140515,20151119,1545-5017 (Electronic) 1545-5009 (Linking),61,5,2014 May,Impact of chemoreduction for conservative therapy for retinoblastoma in Argentina.,821-6,10.1002/pbc.24857 [doi],"['Chantada, Guillermo L', 'Fandino, Adriana C', 'Schvartzman, Enrique', 'Raslawski, Elsa', 'Schaiquevich, Paula', 'Manzitti, Julio']","['Chantada GL', 'Fandino AC', 'Schvartzman E', 'Raslawski E', 'Schaiquevich P', 'Manzitti J']","['Service of Hemato-Oncology, Hospital JP Garrahan, Buenos Aires, Argentina.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20131114,United States,Pediatr Blood Cancer,Pediatric blood & cancer,101186624,IM,,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', '*Brachytherapy', 'Carboplatin/administration & dosage', 'Child', 'Child, Preschool', '*Eye Enucleation', 'Female', 'Follow-Up Studies', 'Humans', 'Hydrophthalmos/diagnosis/*prevention & control', 'Infant', 'Infant, Newborn', 'Male', 'Prognosis', 'Retinal Neoplasms/mortality/*therapy', 'Retinoblastoma/mortality/*therapy', 'Retrospective Studies', 'Survival Rate', 'Vincristine/administration & dosage']",2013/11/19 06:00,2014/05/16 06:00,['2013/11/19 06:00'],"['2013/07/17 00:00 [received]', '2013/10/18 00:00 [accepted]', '2013/11/19 06:00 [entrez]', '2013/11/19 06:00 [pubmed]', '2014/05/16 06:00 [medline]']",['10.1002/pbc.24857 [doi]'],ppublish,Pediatr Blood Cancer. 2014 May;61(5):821-6. doi: 10.1002/pbc.24857. Epub 2013 Nov 14.,"['5J49Q6B70F (Vincristine)', 'BG3F62OND5 (Carboplatin)']","BACKGROUND: Few studies were reported from developing countries regarding patient outcome and ocular survival in children with bilateral retinoblastoma treated with chemoreduction compared to external beam radiotherapy (EBRT). PROCEDURE: We undertook a retrospective study of three treatment eras: (1) (1988-1995) n = 68 when EBRT was used as primary conservative therapy; (2) (1995-2003) n = 46 when carboplatin-based systemic chemoreduction was introduced and (3) (2003-2009) (n = 83) when additional periocular chemotherapy was added for advanced tumors and pre-enucleation chemotherapy was given for those with massive buphthalmia. RESULTS: The probability of 5-year disease-free survival was 0.94 (95% confidence interval [CI] 0.91-0.98%) without significant differences among the three eras. Chemoreduction reduced the use of EBRT from 84.6% to 68.7% in eras 1 and 3, respectively (P = 0.008), which was more evident in cases with less advanced disease. Chemoreduction also significantly improved the 5-year probability of preservation of eyes with advanced disease from 0.13 (95% CI 0.04-0.27) during era 1 to 0.49 (95% CI 0.34-0.62) in era 3 (P < 0.0001). Chemoreduction was not associated with changes in the probability of extraocular relapse, which was reduced after the introduction of pre-enucleation chemotherapy. Second malignancies occurred in nine cases, acute myeloid leukemia being the most fatal one. Trilateral retinoblastoma occurred in three cases and all of them had been exposed to chemotherapy. CONCLUSIONS: Chemoreduction reduced the need for EBRT in eyes with less advanced disease and improved the preservation of eyes with advanced disease while its effects on secondary malignancies or trilateral disease remain unclear.","['(c) 2013 Wiley Periodicals, Inc.']",['NOTNLM'],"['chemotherapy', 'developing countries', 'retinoblastoma', 'second malignancies']",,,,,,,,,,,,,
24243691,NLM,MEDLINE,20140408,20140207,1545-5017 (Electronic) 1545-5009 (Linking),61,4,2014 Apr,Clinical outcome of childhood lymphoblastic lymphoma in Shanghai China 2001-2010.,659-63,10.1002/pbc.24848 [doi],"['Gao, Yi-Jin', 'Pan, Ci', 'Tang, Jing-Yan', 'Lu, Feng-Juan', 'Chen, Jing', 'Xue, Hui-Liang', 'Zhai, Xiao-Wen', 'Li, Jun', 'Ye, Qi-Dong', 'Zhou, Min', 'Wang, Hong-Sheng', 'Miao, Hui', 'Qian, Xiao-Wen', 'Xu, Zhou', 'Meng, Jian-Hua']","['Gao YJ', 'Pan C', 'Tang JY', 'Lu FJ', 'Chen J', 'Xue HL', 'Zhai XW', 'Li J', 'Ye QD', 'Zhou M', 'Wang HS', 'Miao H', 'Qian XW', 'Xu Z', 'Meng JH']","[""Children's Hospital, Shanghai Medical College, Fudan University, Shanghai, China.""]",['eng'],['Journal Article'],20131114,United States,Pediatr Blood Cancer,Pediatric blood & cancer,101186624,IM,,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Child', 'Child, Preschool', 'Female', 'Follow-Up Studies', 'Humans', 'Infant', 'Male', 'Neoplasm Recurrence, Local/drug therapy/*mortality/pathology', 'Neoplasm Staging', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*mortality/pathology', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*mortality/pathology', 'Prognosis', 'Retrospective Studies', 'Survival Rate', 'Time Factors', 'Young Adult']",2013/11/19 06:00,2014/04/09 06:00,['2013/11/19 06:00'],"['2013/06/28 00:00 [received]', '2013/10/14 00:00 [accepted]', '2013/11/19 06:00 [entrez]', '2013/11/19 06:00 [pubmed]', '2014/04/09 06:00 [medline]']",['10.1002/pbc.24848 [doi]'],ppublish,Pediatr Blood Cancer. 2014 Apr;61(4):659-63. doi: 10.1002/pbc.24848. Epub 2013 Nov 14.,,"BACKGROUND: This retrospective cohort study analysed the clinical characteristics and outcomes of patients with childhood lymphoblastic lymphoma (LBL) treated in Shanghai, China. PROCEDURE: From 2001 to 2010, 108 evaluable patients </=16 years of age who were newly diagnosed with biopsy-proven LBL were treated with one of three treatment protocols: CCCG-99, SCMC-T-NHL-2002, or LBL-CHOF-2006. RESULTS: Two patients had Stage I disease, 5 had Stage II, 55 had Stage III, and 46 had Stage IV. The immunophenotype was T-cell LBL in 92 patients (85.2%) and precursor B-cell LBL in 16 (14.8%). The abandonment rate was 11.5%. Twenty-five patients (23.2%) suffered from resistant disease, including 1 with isolated central nervous system (CNS) relapse. At a median follow-up of 40.4 months (range, 0-114 months), the 5-year probability of event-free survival (pEFS) was 63.9 +/- 4.6% in all patients. The 5-year pEFS for patients with pB-LBL was better than for patients with T-LBL (100% vs. 61.3 +/- 5.1%, P = 0.007). Patients who had achieved complete remission on day 33 of induction had significantly better pEFS than those who had not (78.8 +/- 4.6% vs. 28.2 +/- 9.0%, P = 0.000). Three of 25 patients who experienced resistant disease were alive at the end of the study period. CONCLUSIONS: The abandonment rate was lower for patients with LBL than for patients with acute lymphoblastic leukemia. Prophylactic cranial radiation can be omitted for patients with LBL even when advanced-stage disease is present, as intensive systemic chemotherapy with intrathecal therapy is sufficient to prevent CNS relapse. The survival of patients with resistant disease was very poor.","['(c) 2013 Wiley Periodicals, Inc.']",['NOTNLM'],"['childhood', 'developing country', 'lymphoblastic lymphoma', 'non-Hodgkin lymphoma']",,,,,,,,,,,,,
24243578,NLM,MEDLINE,20140908,20140129,1099-1263 (Electronic) 0260-437X (Linking),34,4,2014 Apr,Cytotoxicity and ROS production of manufactured silver nanoparticles of different sizes in hepatoma and leukemia cells.,413-23,10.1002/jat.2957 [doi],"['Avalos, Alicia', 'Haza, Ana Isabel', 'Mateo, Diego', 'Morales, Paloma']","['Avalos A', 'Haza AI', 'Mateo D', 'Morales P']","['Departamento de Nutricion, Bromatologia y Tecnologia de los Alimentos, Facultad de Veterinaria, Universidad Complutense de Madrid, 28040, Madrid, Spain.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20131115,England,J Appl Toxicol,Journal of applied toxicology : JAT,8109495,IM,,"['Acetylcysteine/pharmacology', 'Cell Culture Techniques', 'Cell Survival/drug effects', 'Free Radical Scavengers/pharmacology', 'Glutathione/metabolism', 'HL-60 Cells', 'Hep G2 Cells', 'Humans', 'Metal Nanoparticles/chemistry/*toxicity', 'Microscopy, Electron, Transmission', 'Particle Size', 'Reactive Oxygen Species/*metabolism', 'Silver/chemistry/*toxicity', 'Superoxide Dismutase/metabolism', 'Surface Properties']",2013/11/19 06:00,2014/09/10 06:00,['2013/11/19 06:00'],"['2013/07/12 00:00 [received]', '2013/09/10 00:00 [revised]', '2013/09/28 00:00 [accepted]', '2013/11/19 06:00 [entrez]', '2013/11/19 06:00 [pubmed]', '2014/09/10 06:00 [medline]']",['10.1002/jat.2957 [doi]'],ppublish,J Appl Toxicol. 2014 Apr;34(4):413-23. doi: 10.1002/jat.2957. Epub 2013 Nov 15.,"['0 (Free Radical Scavengers)', '0 (Reactive Oxygen Species)', '3M4G523W1G (Silver)', 'EC 1.15.1.1 (Superoxide Dismutase)', 'GAN16C9B8O (Glutathione)', 'WYQ7N0BPYC (Acetylcysteine)']","Silver nanoparticles (AgNPs), which have well-known antimicrobial properties, are extensively used in various medical and general applications. In spite of the widespread use of AgNPs, relatively few studies have been undertaken to determine the cytotoxic effects of AgNPs. The aim of this study was investigate how AgNPs of different sizes (4.7 and 42 nm) interact with two different tumoral human cell lines (hepatoma [HepG2] and leukemia [HL-60]). In addition, glutathione depletion, inhibition of superoxide dismutase (SOD) and reactive oxygen species (ROS) generation were used to evaluate feasible mechanisms by which AgNPs exerted its toxicity. AgNPs of 4.7 nm and 42 nm exhibited a dramatic difference in cytotoxicity. Small AgNPs were much more cytotoxic than large AgNPs. A difference in the cellular response to AgNPs was found. HepG2 cells showed a higher sensitivity to the AgNPs than HL-60. However, the cytotoxicity induced by AgNPs was efficiently prevented by NAC treatment, which suggests that oxidative stress is primarily responsible for the cytotoxicity of AgNPs. Furthermore, cellular antioxidant status was disturbed: AgNPs exposure caused ROS production, glutathione depletion and slight, but not statistically significant inactivation of SOD.","['Copyright (c) 2013 John Wiley & Sons, Ltd.']",['NOTNLM'],"['N-acetyl-cisteine', 'cytotoxicity', 'glutathione', 'reactive oxygen species', 'silver nanoparticles', 'superoxide dismutase']",,,,,,,,,,,,,
24243420,NLM,MEDLINE,20140929,20131219,1521-3765 (Electronic) 0947-6539 (Linking),19,52,2013 Dec 23,A chemical-biological evaluation of rhodium(I) N-heterocyclic carbene complexes as prospective anticancer drugs.,17871-80,10.1002/chem.201302819 [doi],"['Oehninger, Luciano', 'Kuster, Laura Nadine', 'Schmidt, Claudia', 'Munoz-Castro, Alvaro', 'Prokop, Aram', 'Ott, Ingo']","['Oehninger L', 'Kuster LN', 'Schmidt C', 'Munoz-Castro A', 'Prokop A', 'Ott I']","['Institute of Medicinal and Pharmaceutical Chemistry, Technische Universitat Braunschweig, Beethovenstrasse 55, 38106 Braunschweig (Germany), Fax: (+49) 531 391 8456.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20131115,Germany,Chemistry,"Chemistry (Weinheim an der Bergstrasse, Germany)",9513783,IM,,"['Antineoplastic Agents/*chemistry/pharmacology', 'Humans', 'Methane/*analogs & derivatives/chemistry', 'Rhodium/*chemistry/pharmacology']",2013/11/19 06:00,2014/09/30 06:00,['2013/11/19 06:00'],"['2013/07/18 00:00 [received]', '2013/09/17 00:00 [revised]', '2013/11/19 06:00 [entrez]', '2013/11/19 06:00 [pubmed]', '2014/09/30 06:00 [medline]']",['10.1002/chem.201302819 [doi]'],ppublish,Chemistry. 2013 Dec 23;19(52):17871-80. doi: 10.1002/chem.201302819. Epub 2013 Nov 15.,"['0 (Antineoplastic Agents)', '2465-56-7 (carbene)', 'DMK383DSAC (Rhodium)', 'OP0UW79H66 (Methane)']","Rhodium(I) complexes bearing N-heterocyclic carbene (NHC) ligands have been widely used in catalytic chemistry, but there are very few reports of biological properties of these organometallics. A series of Rh(I)-NHC derivatives with 1,5-cyclooctadiene and CO as secondary ligands were synthesized, characterized, and biologically investigated as prospective antitumor drug candidates. Pronounced antiproliferative effects were noted for all complexes, along with moderate inhibitory activity of thioredoxin reductase (TrxR) and efficient binding to biomolecules (DNA, albumin). Biodistribution studies showed that the presence of albumin lowered the cellular uptake and confirmed the transport of rhodium into the nuclei. Changes in the mitochondrial membrane potential (MMP) were observed as well as DNA fragmentation in wild-type and daunorubicin- or vincristine-resistant Nalm-6 leukemia cells. Overall, these studies indicated that Rh(I)-NHC fragments could be used as partial structures of new antitumor agents, in particular in those drugs designed to address resistant malignant tissues.","['Copyright (c) 2013 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.']",['NOTNLM'],"['antitumor agents', 'carbenes', 'cytotoxicity', 'drug resistance', 'rhodium', 'thioredoxin reductase']",,,,,,,,,,,,,
24242992,NLM,MEDLINE,20141218,20211021,2210-7711 (Electronic),36,1,2014 Feb,Imatinib adherence associated clinical outcomes of chronic myeloid leukaemia treatment in Taiwan.,172-81,10.1007/s11096-013-9876-7 [doi],"['Chen, Teng-Chou', 'Chen, Li-Chia', 'Huang, Yaw-Bin', 'Chang, Chao-Sung']","['Chen TC', 'Chen LC', 'Huang YB', 'Chang CS']","['Graduate Institute of Clinical Pharmacy, Kaohsiung Medical University, Kaohsiung, Taiwan.']",['eng'],['Journal Article'],20131119,Netherlands,Int J Clin Pharm,International journal of clinical pharmacy,101554912,IM,,"['Adult', 'Antineoplastic Agents/adverse effects/*therapeutic use', 'Benzamides/adverse effects/*therapeutic use', 'Cohort Studies', 'Female', 'Humans', 'Imatinib Mesylate', 'Kaplan-Meier Estimate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/mortality/psychology', 'Logistic Models', 'Male', 'Medication Adherence/psychology/*statistics & numerical data', 'Middle Aged', 'Piperazines/adverse effects/*therapeutic use', 'Pyrimidines/adverse effects/*therapeutic use', 'Retrospective Studies', 'Taiwan', 'Treatment Outcome']",2013/11/19 06:00,2014/12/19 06:00,['2013/11/19 06:00'],"['2013/05/31 00:00 [received]', '2013/10/25 00:00 [accepted]', '2013/11/19 06:00 [entrez]', '2013/11/19 06:00 [pubmed]', '2014/12/19 06:00 [medline]']",['10.1007/s11096-013-9876-7 [doi]'],ppublish,Int J Clin Pharm. 2014 Feb;36(1):172-81. doi: 10.1007/s11096-013-9876-7. Epub 2013 Nov 19.,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']","BACKGROUND: Since the launch of imatinib, chronic myeloid leukaemia has become a chronic condition requiring costly long-term treatment. Emerging evidence from several short-term studies has raised concerns on the detrimental clinical outcomes and waste of resources associated with poor adherence to imatinib. OBJECTIVE: This study aims to evaluate the effects of long-term imatinib adherence on clinical treatment responses and mortality. SETTING: This retrospective cohort study was conducted in a medical centre in southern Taiwan. METHOD: Chronic myeloid leukaemia patients who were prescribed for more than 1 month of imatinib were identified and their medical charts were reviewed from the first date of imatinib prescription to the last date of medical record or upon patients' death. Patients' basic characteristics, imatinib prescriptions, results of laboratory tests, episodes of imatinib-related side effects and mortality rate were recorded. MAIN OUTCOME MEASURE: Participants' basic characteristics, medication possession ratio and their mortality rate; the association between the medication possession ratio and treatment responses. RESULTS: Of the 119 included patients, the mean follow-up time was 3.9 +/- 2.9 patient-years and the mean medication possession ratio was 89.7 %. At the 18th month of imatinib treatment, 67.2, 54.3 and 34.5 % patients achieved complete cytogenetic, major molecular and complete molecular responses, respectively. There was a significant difference in the 4-year survival rate between the adherence (n = 87) and non-adherence (n = 32) groups (91 vs. 72 %; p = 0.0076). Logistic regression analysis revealed that imatinib adherence was the only factor that significantly influenced the 18th month complete cytogenetic response [odds ratio (OR) 11.6; 95 % confidence interval (CI) 1.7, 114.7; p = 0.0131] and major molecular response (OR 5.1; 95 % CI 1.1, 26.8; p = 0.0351). Cox regression analysis demonstrated that a medication possession ratio greater than 90 % significantly reduced the mortality risk (hazard ratio 0.1; 95 % CI 0.01, 0.60; p = 0.0118). CONCLUSION: Chronic myeloid leukaemia patients' long-term adherence to imatinib is significantly associated with the 18th month treatment responses including the cytogenetic response, molecular response and the long-term survival rate in clinical practice.",,,,PMC3890042,,,,,,,,,,,,
24242761,NLM,MEDLINE,20140731,20211021,1559-0755 (Electronic) 0257-277X (Linking),57,1-3,2013 Dec,A20-mediated negative regulation of canonical NF-kappaB signaling pathway.,166-71,10.1007/s12026-013-8463-2 [doi],"['Pujari, Rajeshree', 'Hunte, Richard', 'Khan, Wasif N', 'Shembade, Noula']","['Pujari R', 'Hunte R', 'Khan WN', 'Shembade N']","['Department of Microbiology and Immunology, Sylvester Comprehensive Cancer Center, Miller School of Medicine, University of Miami, Miami, FL, 33136, USA.']",['eng'],"['Journal Article', 'Review']",,United States,Immunol Res,Immunologic research,8611087,IM,,"['Animals', 'DNA-Binding Proteins/*metabolism', 'Humans', 'I-kappa B Kinase/metabolism', 'Intracellular Signaling Peptides and Proteins/*metabolism', 'Multiprotein Complexes/metabolism', 'NF-kappa B/*metabolism', 'Nuclear Proteins/*metabolism', '*Signal Transduction', 'Tumor Necrosis Factor alpha-Induced Protein 3', 'Ubiquitination']",2013/11/19 06:00,2014/08/01 06:00,['2013/11/19 06:00'],"['2013/11/19 06:00 [entrez]', '2013/11/19 06:00 [pubmed]', '2014/08/01 06:00 [medline]']",['10.1007/s12026-013-8463-2 [doi]'],ppublish,Immunol Res. 2013 Dec;57(1-3):166-71. doi: 10.1007/s12026-013-8463-2.,"['0 (DNA-Binding Proteins)', '0 (Intracellular Signaling Peptides and Proteins)', '0 (Multiprotein Complexes)', '0 (NF-kappa B)', '0 (Nuclear Proteins)', 'EC 2.7.11.10 (I-kappa B Kinase)', 'EC 3.4.19.12 (TNFAIP3 protein, human)', 'EC 3.4.19.12 (Tumor Necrosis Factor alpha-Induced Protein 3)']","The nuclear factor kappa B (NF-kappaB) plays vital role in the immune system by regulating innate and adaptive immunity, development and survival of lymphocytes, and lymphoid organogenesis. All known NF-kappaB activators converge on the IkappaB kinase (IKK) complex to activate the canonical and non-canonical NF-kappaB pathways. The IKK complex contains two catalytic subunits (IKKalpha and IKKbeta) and a regulatory subunit NEMO/IKKgamma that regulates the canonical NF-kappaB pathway, whereas IKKalpha regulates the non-canonical pathway. The process of IKKalpha activation and its role in the regulation of canonical NF-kappaB activation remain elusive. The canonical pathway is rapidly activated and produces a potent inflammatory response to bacterial and viral infections as well as different types of stress; however, uncontrolled NF-kappaB activation can lead to autoimmune diseases and cancers. Therefore, to keep the inflammatory response in check, elaborate negative regulatory mechanisms operate to terminate NF-kappaB activation at multiple levels by de novo synthesis of NF-kappaB inhibitory proteins, and orchestration of protein ubiquitination and deubiquitination. The NF-kappaB target genes, IkappaBalpha and A20, play critical roles in termination of the active canonical NF-kappaB pathway. In this review, we discuss our recent findings describing a novel function for IKKalpha in nucleating the ubiquitin-editing enzyme A20 complex, a major negative regulator of canonical NF-kappaB signaling. Consistently with an inhibitory function of IKKalpha, it is targeted by the human T-cell leukemia virus 1 (HTLV-1) oncoprotein, Tax, to prevent assembly of the A20 complex to maintain persistent NF-kappaB activation that promotes transformation and survival of virus-transformed cells.",,,,,,,,,,,,,,,,
24242132,NLM,MEDLINE,20141007,20211021,1672-0415 (Print) 1672-0415 (Linking),20,1,2014 Jan,Rubus parvifolius L. inhibited the growth of leukemia K562 cells in vitro and in vivo.,36-42,10.1007/s11655-013-1537-0 [doi],"['Zhang, Xue-jin', 'Xu, Xiao-feng', 'Gao, Rui-lan', 'Xu, Jian-feng']","['Zhang XJ', 'Xu XF', 'Gao RL', 'Xu JF']","['Division of Hematology, Hangzhou Red Cross Hospital, Hangzhou, 310000, China.']",['eng'],['Journal Article'],20131116,China,Chin J Integr Med,Chinese journal of integrative medicine,101181180,IM,,"['Agar', 'Animals', 'Cell Proliferation/drug effects', 'Chromatography, High Pressure Liquid', 'Humans', 'K562 Cells', 'Leukemia/drug therapy/*pathology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Nude', 'Plant Extracts/*pharmacology/therapeutic use', 'Rosaceae/*chemistry', 'Saponins/pharmacology/therapeutic use', 'Subcutaneous Tissue/pathology', 'Tumor Stem Cell Assay', 'Xenograft Model Antitumor Assays']",2013/11/19 06:00,2014/10/08 06:00,['2013/11/19 06:00'],"['2011/08/24 00:00 [received]', '2013/11/19 06:00 [entrez]', '2013/11/19 06:00 [pubmed]', '2014/10/08 06:00 [medline]']",['10.1007/s11655-013-1537-0 [doi]'],ppublish,Chin J Integr Med. 2014 Jan;20(1):36-42. doi: 10.1007/s11655-013-1537-0. Epub 2013 Nov 16.,"['0 (Plant Extracts)', '0 (Saponins)', '9002-18-0 (Agar)']","OBJECTIVE: To determine the antiproliferative activity of Rubus parvifolius L. (RP) extract, its medicinal serum and RP total saponins (RPTS) against K562 cells in vitro and in vivo. METHODS: Nude mice models bearing leukemia tumors were treated with different concentrations of RP extract. The size, weight and histopathological change of leukemic tumors were determined. Semi-solid agar culture and methylthiazolyl tetrazolium (MTT) assay were used to determine in vitro the inhibition of colony formation and proliferation of K562 cells respectively by different concentrations of RP medicinal serum and RPTS. RESULTS: RP extract had a tumor inhibition rate of 84.8% when administered to mice at a dose of 1.0 g/day of crude RP root equivalent. Semi-solid agar culture of K562 cells in the presence of 20% (v/v) of RP medicinal serum and 150 mg/L RPTS demonstrated a 50.8% and 100% inhibition of the colony forming unit (CFU)-K562, respectively. The same doses of RP medicinal serum and RPTS showed a proliferation inhibition of 31.4% and 86.3%, respectively against K562 cells in MTT assay. CONCLUSION: RP extract and RPTS show effective antiproliferative activity against myeloid leukemia cells in vitro and in vivo.",,,,,,,,,,,,,,,,
