PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,RN,CI,CIN,GR,DEP,CON,PMC,CN,SI,MID,EIN,OID,OTO,OT,GN,PS,FPS,LID
12455886,NLM,MEDLINE,20021227,20191106,1433-7398 (Print) 1433-7398 (Linking),19,1,2002,Tubular (acinar) transformation of the choroid plexus epithelium.,31-4,"The choroid plexus in the normal state shows a beautiful papillary (or villous) architecture supported by the intricately ramifying, thin fibrovascular stroma. This configuration is retained in benign and malignant neoplasms derived therefrom. The choroid plexus was involved in the pathological process of leukemic cell infiltration in one case reported here and in chronic cryptococcal leptomeningitis in the other case. The epithelial cells of the choroid plexus of the lateral ventricle were arranged extensively in a tubular (acinar) configuration, in association with remarkable stromal fibrosis caused by an infiltration of leukemic or inflammatory cells. In addition, choroid plexus epithelial cells in the first case contained a moderate amount of intracytoplasmic glycogen. These two cases indicate that the non-neoplastic choroid plexus epithelium can undergo transformation into a tubular (acinar) structure as a response or adaptation to the fibrotic processes of the stroma. This finding should be differentiated from metastatic adenocarcinoma. This finding also provides some suggestions as to the pathogenesis of ""tubular (acinar) adenoma,"" a rare variant of benign choroid plexus neoplasm.","['Shintaku, Masayuki']",['Shintaku M'],"['Department of Pathology, Osaka Red Cross Hospital, Tennoji, Osaka 543-8555, Japan. shintaku@orion.ocn.ne.jp']",['eng'],['Journal Article'],Japan,Brain Tumor Pathol,Brain tumor pathology,9716507,IM,"['Arachnoid/pathology', 'Choroid Plexus/*pathology', 'Cryptococcosis/complications/pathology', 'Diagnosis, Differential', 'Epithelium/*pathology', 'Female', 'Fibrosis/complications', 'Humans', 'Leukemia, T-Cell/complications/pathology', 'Male', 'Meningitis, Cryptococcal/complications/pathology', 'Middle Aged']",2002/11/29 04:00,2002/12/28 04:00,['2002/11/29 04:00'],"['2002/11/29 04:00 [pubmed]', '2002/12/28 04:00 [medline]', '2002/11/29 04:00 [entrez]']",['10.1007/BF02482453 [doi]'],ppublish,Brain Tumor Pathol. 2002;19(1):31-4. doi: 10.1007/BF02482453.,,,,,,,,,,,,,,,,,,,,
12455813,NLM,MEDLINE,20021212,20190910,0300-9742 (Print) 0300-9742 (Linking),31,5,2002,Hematological manifestations of rheumatoid arthritis.,251-9,"OBJECTIVE: To inform clinical rheumatologists about the common and rarer hematological manifestations of rheumatoid arthritis with an emphasis on diagnosis and therapy and a particular reference to Felty's syndrome. METHODS: Literature review. RESULTS: The hematological manifestations can be conveniently categorized into the broad areas of; anemia, particularly NSAID induced iron deficiency anemia and the anemia of chronic disease, neutropenia, particularly Felty's syndrome and the large granular lymphocyte syndrome and drug induced neutropenia; thrombocytopenia, particularly autoimmune and drug induced thrombocytopenia; and hematological malignancy. Rarer conditions, their diagnosis and therapy are also described in this review. CONCLUSION: Hematological manifestations of rheumatoid arthritis are very common. A logical approach using easily available tests should allow straightforward decisions about diagnosis and therapy to be made, even in patients with some of the rarer manifestations.","['Bowman, S J']",['Bowman SJ'],"['Rheumatology Department, Division of Immunity and Infection, The Medical School, University of Birmingham, UK. s.j.bowman@bham.ac.uk']",['eng'],"['Journal Article', 'Review']",England,Scand J Rheumatol,Scandinavian journal of rheumatology,0321213,IM,"['Anemia/etiology', '*Arthritis, Rheumatoid/blood/complications/diagnosis', 'Blood Platelet Disorders/etiology', 'Databases, Bibliographic', 'Felty Syndrome/blood/complications/diagnosis', '*Hematologic Diseases/diagnosis/etiology', 'Humans', 'Immunocompromised Host', 'Leukemia, Lymphoid/blood/complications/diagnosis', 'Lymphoma/etiology']",2002/11/29 04:00,2002/12/13 04:00,['2002/11/29 04:00'],"['2002/11/29 04:00 [pubmed]', '2002/12/13 04:00 [medline]', '2002/11/29 04:00 [entrez]']",['10.1080/030097402760375124 [doi]'],ppublish,Scand J Rheumatol. 2002;31(5):251-9. doi: 10.1080/030097402760375124.,122,,,,,,,,,,,,,,,,,,,
12455378,NLM,MEDLINE,20030116,20131121,0041-3771 (Print) 0041-3771 (Linking),44,7,2002,[Inhibiting and stimulating effect of amiloride on potential-dependent cation channels in K562 cells].,676-80,"Non-voltage-gated ion channels play an essential role in cellular signalling and ionic homeostasis in nonexcitable cells. The patch clamp method in cell-attached configuration was used to search for the effects of amiloride and gadolinium (Gd3+) exerted on two types of voltage-insensitive cationic channels in plasma membrane of human leukemia K562 cells: Na-selective channels activated by actin disassembly, and mechanosensitive channels. Here we demonstrate that amiloride in high concentrations (1 mM) caused a full inhibition of mechanosensitive channels in K562 cells similarly to Gd3+ effect in micromolecular concentration range. Na-selective channels controlled by actin dynamics were shown to be unaffected by Gd3+ similarly as by amiloride. We also found that application of amiloride to the extracellular surface of membrane patch resulted in a significant increase in the activity of sodium channels. This unexpected stimulatory effect of amiloride may represent an unknown mechanism of activation of non-voltage-gated sodium channels. The data show an essential difference of the activation and blockage of these types of cation-selective channels.","['Starushchenko, A V', 'Neguliaev, Iu A', 'Morachevskaia, E Z']","['Starushchenko AV', 'Neguliaev IuA', 'Morachevskaia EZ']","['Institute of Cytology RAS, St. Petersburg. star@mail.cytspb.rssi.ru']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Tsitologiia,Tsitologiia,0417363,IM,"['Amiloride/*pharmacology', 'Gadolinium/metabolism', 'Humans', 'Ion Channel Gating', 'Ion Channels/*drug effects/physiology', 'K562 Cells', 'Membrane Potentials/drug effects']",2002/11/29 04:00,2003/01/17 04:00,['2002/11/29 04:00'],"['2002/11/29 04:00 [pubmed]', '2003/01/17 04:00 [medline]', '2002/11/29 04:00 [entrez]']",,ppublish,Tsitologiia. 2002;44(7):676-80.,,Ingibiruiushchee i stimuliruiushchee deistvie amilorida na potentsialnezavisimye kationnye kanaly v kletkakh K562.,"['0 (Ion Channels)', '7DZO8EB0Z3 (Amiloride)', 'AU0V1LM3JT (Gadolinium)']",,,,,,,,,,,,,,,,,
12455371,NLM,MEDLINE,20030116,20061115,0041-3771 (Print) 0041-3771 (Linking),44,7,2002,[Induction of murine bone marrow stromal cell differentiation into nerve cells].,637-42,"The in vitro induced differentiation of mouse bone marrow stromal cells into nerve cells by retinoic acid and leukemia inhibitory factor has been shown, using morphological, histochemical and immunocytochemical analyses. The developed techniques allow to obtain up to 30% of neural cells in vitro. A suggestion about pluripotency of bone marrow stromal cells and possibility of their application to the cell therapy is discussed.","[""Shchegel'skaia, Iu E"", 'Mikulinskii, Iu E', 'Revishchin, A V', ""Omel'chenko, E A"", ""Kul'shin, V E"", 'Grishchenko, V I', 'Korochkin, L I']","[""Shchegel'skaia IuE"", 'Mikulinskii IuE', 'Revishchin AV', ""Omel'chenko EA"", ""Kul'shin VE"", 'Grishchenko VI', 'Korochkin LI']","['Institute for Problems of Cryobiology and Cryomedicine, National Academy of Sciences of the Ukraine, Kharkov.']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Tsitologiia,Tsitologiia,0417363,IM,"['Animals', 'Bone Marrow Cells/*cytology', 'Mice', 'Neurons/*cytology', 'Stromal Cells/*cytology']",2002/11/29 04:00,2003/01/17 04:00,['2002/11/29 04:00'],"['2002/11/29 04:00 [pubmed]', '2003/01/17 04:00 [medline]', '2002/11/29 04:00 [entrez]']",,ppublish,Tsitologiia. 2002;44(7):637-42.,,Indutsirovannaia differentsirovka kletok stromy kostnogo mozga myshi v nervnye kletki.,,,,,,,,,,,,,,,,,,
12455360,NLM,MEDLINE,20021217,20131121,0507-3758 (Print) 0507-3758 (Linking),48,3,2002,[Treatment of acute lymphoblastic leukemia in children according to the ALL-BFM-90m protocol in the Russian Federation and the Republic of Belarus].,347-51,"Prognosis for children treated according to the BFM-90m protocol (Berlin-Frankfurt-Munster Group) for acute lymphoblastic leukemia (ALL) improved significantly as compared with previous modalities. Methotrexate was used in the dose of 1,000 mg/m2, 36 h. The paper presents the 10-year results for this modification. Patients aged 0-15 years were treated at hematological hospitals of Moscow, other Russian towns and in Minsk, Belarus, (July 5, 1990-November 11, 2000). BFM-90m treatment was given to 682 children out of 1,326 with primary diagnosis of ALL; a comparative trial of the MB-91 protocol hed been carried out at the same clinics since 1991. During 10 years, recurrence-free survival was 72% while overall survival--77%. Toxicity of side-effects was tolerable. The BFM-90m treatment showed significantly better results in both countries.","['Miakova, N V', 'Aleinikova, O V', 'Hartmann, R', 'Rudneva, A E', 'Trubina, N M', 'Fechina, L G', 'Timakov, A M', 'Shamardina, A V', 'Lebedev, V V', 'Varfolomeeva, S Iu', 'Dudkin, S D', 'Dyshlevaia, Z M', 'Timofeeva, V N', 'Rumiantsev, A G', 'Henze, H', 'Karachunskii, A I']","['Miakova NV', 'Aleinikova OV', 'Hartmann R', 'Rudneva AE', 'Trubina NM', 'Fechina LG', 'Timakov AM', 'Shamardina AV', 'Lebedev VV', 'Varfolomeeva SIu', 'Dudkin SD', 'Dyshlevaia ZM', 'Timofeeva VN', 'Rumiantsev AG', 'Henze H', 'Karachunskii AI']","[""Research Institute of Pediatric Hematology and Oncology, Ministry of Health of the RF, Russian Children's Clinical Hospital, Moscow.""]",['rus'],"['Clinical Trial', 'Comparative Study', 'English Abstract', 'Journal Article', 'Multicenter Study']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Adolescent', 'Age Factors', 'Antimetabolites, Antineoplastic/administration & dosage', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Chi-Square Distribution', 'Child', 'Child, Preschool', 'Data Interpretation, Statistical', 'Female', 'Follow-Up Studies', 'Humans', 'Infant', 'Infant, Newborn', 'Leucovorin/administration & dosage', 'Male', 'Methotrexate/administration & dosage', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality', 'Prognosis', 'Republic of Belarus', 'Risk Factors', 'Russia', 'Sex Factors', 'Survival Analysis', 'Time Factors']",2002/11/29 04:00,2002/12/18 04:00,['2002/11/29 04:00'],"['2002/11/29 04:00 [pubmed]', '2002/12/18 04:00 [medline]', '2002/11/29 04:00 [entrez]']",,ppublish,Vopr Onkol. 2002;48(3):347-51.,,Lechenie ostrogo limfoblastnogo leikoza u detei po protokolu OLL-BFM-90m v Rossiiskoi Federatsii i Respublike Belarus'.,"['0 (Antimetabolites, Antineoplastic)', 'Q573I9DVLP (Leucovorin)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,,,,,,,
12455359,NLM,MEDLINE,20021217,20171116,0507-3758 (Print) 0507-3758 (Linking),48,3,2002,[Results of the treatment of childhood acute lymphoblastic leukemia according to the Berlin-Moscow-91 protocol in 1991-2000].,340-6,"The report deals with the results of application of an original protocol--the Berlin-Moscow-91 (BM-91)--for the treatment of acute lymphoblastic leukemia (ALL) in children. The researchers' major concern was to improve survival and cut down side-effects incidence as well as to prevent and successfully manage occult neuroleukemia as a potential source of relapse. Patients aged 5 months-15 years received the BM-91 and ALL BFM-90m treatment first at one clinic and later at several centers. Out of 852 children with primary diagnosis of ALL admitted to Russian hematological hospitals (March 2, 1991-November 3, 2000), 687 were included into the study; 329 received the MB-91 protocol. Nine-year recurrence-free survival was 73% while overall survival--80%. Toxic side-effects after L-asparaginase were reported in 27 (7.9%). It is concluded that good results in childhood ALL treatment can be achieved without resorting to high-dosage chemotherapy and radiation in most cases.","['Miakova, N V', 'Hartmann, R', 'Rudneva, A E', 'Trubina, N M', 'Fechina, L G', 'Timakov, A M', 'Shamardina, A V', 'Lebedev, V V', 'Varfolomeeva, S R', 'Dudkin, S D', 'Dyshlevaia, Z M', 'Timofeeva, V N', 'Rumiantsev, A G', 'Henze, H', 'Karachunskii, A I']","['Miakova NV', 'Hartmann R', 'Rudneva AE', 'Trubina NM', 'Fechina LG', 'Timakov AM', 'Shamardina AV', 'Lebedev VV', 'Varfolomeeva SR', 'Dudkin SD', 'Dyshlevaia ZM', 'Timofeeva VN', 'Rumiantsev AG', 'Henze H', 'Karachunskii AI']","[""Research Institute of Pediatric Hematology and Oncology, Ministry of Health of the RF, Russian Children's Clinical Hospital, Moscow.""]",['rus'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Adolescent', 'Antimetabolites, Antineoplastic/administration & dosage', 'Antineoplastic Agents/administration & dosage', 'Antineoplastic Agents, Hormonal/administration & dosage', 'Antineoplastic Agents, Phytogenic/administration & dosage', '*Antineoplastic Combined Chemotherapy Protocols', 'Asparaginase/administration & dosage', 'Child', 'Child, Preschool', 'Cytarabine/administration & dosage', 'Data Interpretation, Statistical', 'Daunorubicin/administration & dosage', 'Dexamethasone/administration & dosage', 'Female', 'Follow-Up Studies', 'Humans', 'Infant', 'Male', 'Mercaptopurine/administration & dosage', 'Methotrexate/administration & dosage', 'Moscow', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality', 'Remission Induction', 'Risk Factors', 'Russia', 'Survival Analysis', 'Time Factors', 'Vincristine/administration & dosage']",2002/11/29 04:00,2002/12/18 04:00,['2002/11/29 04:00'],"['2002/11/29 04:00 [pubmed]', '2002/12/18 04:00 [medline]', '2002/11/29 04:00 [entrez]']",,ppublish,Vopr Onkol. 2002;48(3):340-6.,,Rezul'taty lecheniia ostrogo limfoblastnogo leikoza u detei po protokolu Moskva-Berlin-91 v 1991-2000 gg.,"['0 (Antimetabolites, Antineoplastic)', '0 (Antineoplastic Agents)', '0 (Antineoplastic Agents, Hormonal)', '0 (Antineoplastic Agents, Phytogenic)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '7S5I7G3JQL (Dexamethasone)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.5.1.1 (Asparaginase)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,,,,,,,,,,,,
12455355,NLM,MEDLINE,20021217,20151119,0507-3758 (Print) 0507-3758 (Linking),48,3,2002,[Immunological subtypes of childhood T-cell acute lymphoblastic leukemia and their prognostic significance].,322-6,"The data on examination and treatment of 39 children with T-cell acute lymphoblastic leukemia (T-ALL) were assessed; all patients received ALL BFM-90-M treatment. The fraction of children with T-ALL among ALL patients in Belarus was 12.2% (pre-T-ALL--15, cortical T-ALL--46 and mature T-ALL--23%). Also, a subtype of T-ALL with atypical expression of markers was identified (13%). Overall 7-year survival in T-ALL patients was 47(20%). The worst prognosis was recorded in the T-ALL subgroup with atypical expression of markers (p < 0.001 as compared with the other subgroups). As for outcome--from best to worst, T-ALL subtypes ranged as follows: cortical T-ALL, mature T-ALL, pre-T-ALL and T-ALL with atypical expression of markers.","['Proleskovskaia, I V', 'Buglova, S E', 'Aleinikova, O V']","['Proleskovskaia IV', 'Buglova SE', 'Aleinikova OV']","['Republican Center for Pediatric Oncology and Hematology Research, Minsk, Belarus.']",['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Adolescent', 'Biomarkers', 'Chi-Square Distribution', 'Child', 'Child, Preschool', 'Chromosome Aberrations', 'Histocytochemistry', 'Humans', 'Immunophenotyping', 'Infant', 'Leukemia-Lymphoma, Adult T-Cell/*classification/genetics/*immunology/mortality', 'Prognosis', 'Survival Analysis']",2002/11/29 04:00,2002/12/18 04:00,['2002/11/29 04:00'],"['2002/11/29 04:00 [pubmed]', '2002/12/18 04:00 [medline]', '2002/11/29 04:00 [entrez]']",,ppublish,Vopr Onkol. 2002;48(3):322-6.,,Immunologicheskie subtipy T-lineinykh ostrykh limfoblastnykh leikozov u detei i ikh prognosticheskoe znachenie.,['0 (Biomarkers)'],,,,,,,,,,,,,,,,,
12455351,NLM,MEDLINE,20021217,20101118,0507-3758 (Print) 0507-3758 (Linking),48,3,2002,[Epidemiological aspects of childhood onco-hematological morbidity in the Republic of Belarus].,301-5,,"['Petrovich, S V', 'Aleinikova, O V', 'Shumikhina, T P', 'Chunikhovskii, S P', 'Fedorova, L Iu', 'Sakharova, O G', 'Buglova, S E', 'Iutskevich, R I', 'Savitskaia, T V', 'Furmanchuk, A V', 'Iunevich, E I', 'Dubrovskii, A Ch', 'Kletskii, S K', 'Konoplia, N E', 'Sachivko, N V', 'Ponomarenko, N V', 'Proleskovskaia, I V', 'Lukashevich, L N', 'Petina, O V', 'Borisevich, N V', 'Morozova, S K', 'Bydanov, O I']","['Petrovich SV', 'Aleinikova OV', 'Shumikhina TP', 'Chunikhovskii SP', 'Fedorova LIu', 'Sakharova OG', 'Buglova SE', 'Iutskevich RI', 'Savitskaia TV', 'Furmanchuk AV', 'Iunevich EI', 'Dubrovskii ACh', 'Kletskii SK', 'Konoplia NE', 'Sachivko NV', 'Ponomarenko NV', 'Proleskovskaia IV', 'Lukashevich LN', 'Petina OV', 'Borisevich NV', 'Morozova SK', 'Bydanov OI']",,['rus'],"['Comparative Study', 'Journal Article']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Adolescent', 'Age Factors', 'Burkitt Lymphoma/epidemiology', 'Child', 'Child, Preschool', 'Data Interpretation, Statistical', 'Female', 'Hodgkin Disease/epidemiology', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/*epidemiology', 'Leukemia, Myeloid, Acute/epidemiology', 'Linear Models', 'Lymphoma/*epidemiology', 'Lymphoma, Non-Hodgkin/epidemiology', 'Male', 'Poisson Distribution', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology', 'Registries', 'Republic of Belarus/epidemiology', 'Sex Factors']",2002/11/29 04:00,2002/12/18 04:00,['2002/11/29 04:00'],"['2002/11/29 04:00 [pubmed]', '2002/12/18 04:00 [medline]', '2002/11/29 04:00 [entrez]']",,ppublish,Vopr Onkol. 2002;48(3):301-5.,,Epidemiologicheskie aspekty onkogematologicheskikh zabolevanii u detei v Respublike Belarus'.,,,,,,,,,,,,,,,,,,
12455348,NLM,MEDLINE,20021217,20061115,0507-3758 (Print) 0507-3758 (Linking),48,3,2002,[Basic principles of diagnosis and treatment of infections of the central nervous system in children with hematologic and oncologic diseases].,274-82,,"['Mitiushkina, T A']",['Mitiushkina TA'],,['rus'],"['Comparative Study', 'Journal Article', 'Review']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Age Factors', 'Anti-Bacterial Agents/therapeutic use', 'Brain Abscess/diagnosis/drug therapy/*etiology/microbiology', 'Brain Neoplasms/*complications/surgery', 'Cerebrospinal Fluid/microbiology', 'Child', 'Child, Preschool', 'Encephalitis/diagnosis/drug therapy/*etiology/microbiology', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/*complications', 'Meningitis/diagnosis/drug therapy/*etiology/microbiology', 'Middle Aged', 'Neurosurgery', 'Postoperative Complications']",2002/11/29 04:00,2002/12/18 04:00,['2002/11/29 04:00'],"['2002/11/29 04:00 [pubmed]', '2002/12/18 04:00 [medline]', '2002/11/29 04:00 [entrez]']",,ppublish,Vopr Onkol. 2002;48(3):274-82.,16,Osnovnye printsipy diagnostiki i lecheniia infektsii tsentral'noi nervnoi sistemy u detei s gematologicheskimi i onkologicheskimi zabolevaniiami.,['0 (Anti-Bacterial Agents)'],,,,,,,,,,,,,,,,,
12455285,NLM,MEDLINE,20030113,20161124,0004-0614 (Print) 0004-0614 (Linking),55,8,2002 Oct,[Splenic hematoma after extracorporeal lithotripsy: apropos of a case].,943-6,"OBJECTIVE: To emphasise a case of splenic hematoma secondary to ESWL. METHODS: We report the case of a 69 year old patient with the diagnosis of left kidney stone who underwent ESWL. The treatment was performed with an electric lithotripter after pre-treatment antibiotic prophylaxis; 2000 shock waves of 18 Kv were given to the patient. RESULTS: Patient presented abdominal pain and hematocrit descent after lithotripsy. The diagnosis of splenic hematoma was established after abdominal ultrasound and CT-scan and the patient was treated conservatively. He required a posterior emergency splenectomy secondary to infection of the hematoma, with the result of death secondary to septic shock. CONCLUSION: Splenic lesion is an exceptional complication after ESWL. There are no studies about the effect of shock waves on the spleen, having been reported only four cases. It is believed that extreme care should be taken in cases with splenic pathology: leukaemia, lymphoma, etc.","['Conde Redondo, Consuelo', 'Estebanez Zarranz, Javier', 'Amon Sesmero, Jose', 'Manzanas, Manolo', 'Alonso Fernandez, Daniel', 'Rodriguez Toves, Luis Antonio', 'Martinez Sagarra, Jose Maria']","['Conde Redondo C', 'Estebanez Zarranz J', 'Amon Sesmero J', 'Manzanas M', 'Alonso Fernandez D', 'Rodriguez Toves LA', 'Martinez Sagarra JM']","['Servicio de Urologia, Hospital Universitario Rio Hortega, Valladolid, Espana. cconde@airtel.net']",['spa'],"['Case Reports', 'Journal Article', 'Review']",Spain,Arch Esp Urol,Archivos espanoles de urologia,0064757,IM,"['Abdominal Pain/etiology', 'Abscess/etiology', 'Acute Kidney Injury/etiology', 'Aged', 'Anti-Bacterial Agents/therapeutic use', 'Endocarditis, Bacterial/etiology', 'Enterococcus faecalis', 'Fatal Outcome', 'Gram-Positive Bacterial Infections/etiology', 'Heart Valve Diseases/complications', 'Hematoma/diagnostic imaging/*etiology/surgery', 'Humans', 'Kidney Calculi/complications/*therapy', 'Lithotripsy/*adverse effects', 'Male', 'Pleural Effusion/etiology', 'Premedication', 'Shock, Septic/etiology', 'Spleen/diagnostic imaging/*injuries/surgery', 'Splenectomy', 'Tomography, X-Ray Computed', 'Ultrasonography']",2002/11/29 04:00,2003/01/14 04:00,['2002/11/29 04:00'],"['2002/11/29 04:00 [pubmed]', '2003/01/14 04:00 [medline]', '2002/11/29 04:00 [entrez]']",,ppublish,Arch Esp Urol. 2002 Oct;55(8):943-6.,14,Hematoma de bazo tras litotricia extracorporea: a proposito de un caso.,['0 (Anti-Bacterial Agents)'],,,,,,,,,,,,,,,,,
