PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,GR,DEP,CIN,EIN,PMC,SI,MID,CI,TT,CON,CN,LID,SFM
15981233,NLM,MEDLINE,20050909,20151119,0361-8609 (Print) 0361-8609 (Linking),79,3,2005 Jul,Veno-occlusive disease of the liver associated with chronic myelomonocytic leukemia treated with vincristine and standard doses of cytarabine.,216-9,"A unique case of a 72-year-old man with chronic myelomonocytic leukemia (CMML) who developed hepatic veno-occlusive disease (VOD) after treatment with a single dose of vincristine and standard doses of cytarabine is described. Unexpected peroneal nerve palsy suggestive of vincristine neurotoxicity occurred concurrently and pointed to vincristine as the most likely cause of the VOD. To the best of our knowledge, association between vincristine and hepatic VOD has not been previously described in chemotherapy-naive patients with CMML.","['Boula, A M', 'Mantadakis, E', 'Xilouri, I M', 'Christoforidou, A V', 'Foudoulakis, A M', 'Samonis, G']","['Boula AM', 'Mantadakis E', 'Xilouri IM', 'Christoforidou AV', 'Foudoulakis AM', 'Samonis G']","['Department of Hematology, University Hospital of Heraklion, Heraklion, Crete, Greece.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)']",IM,"['Aged', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects/therapeutic use', 'Cytarabine/therapeutic use', 'Disease Progression', 'Fatal Outcome', 'Hepatic Veno-Occlusive Disease/*chemically induced/diagnosis', 'Humans', 'Hypoalbuminemia', 'Leukemia, Myelomonocytic, Chronic/*complications/drug therapy', 'Male', 'Paresis', 'Renal Insufficiency', 'Thrombocytopenia', 'Vincristine/*adverse effects/therapeutic use']",2005/06/28 09:00,2005/09/10 09:00,['2005/06/28 09:00'],"['2005/06/28 09:00 [pubmed]', '2005/09/10 09:00 [medline]', '2005/06/28 09:00 [entrez]']",['10.1002/ajh.20338 [doi]'],ppublish,Am J Hematol. 2005 Jul;79(3):216-9. doi: 10.1002/ajh.20338.,,,,,,,,,,,,,,
15981231,NLM,MEDLINE,20050909,20091119,0361-8609 (Print) 0361-8609 (Linking),79,3,2005 Jul,Polymorphisms of drug-metabolizing enzymes and risk of childhood acute lymphoblastic leukemia.,202-5,"The involvement of phase I and II enzymes is well documented in the metabolism of a wide range of drugs and xenobiotics. Single-nucleotide polymorphisms (SNPs) of these enzymes are also known to alter their protein expression and function. Moreover, genetic susceptibility and environmental exposure have been proposed to be an etiology of cancer. We hypothesized that polymorphisms of these enzymes might affect the risk of childhood acute lymphoblastic leukemia (ALL). CYP 1A1, CYP 3A4*1B, CYP 3A5*3, CYP 3A5*6, GSTM1, and GSTT1 polymorphisms were genotyped by using PCR-RFLP in 107 children with ALL and 320 healthy controls. Allele and genotype frequencies of each of the SNPs were compared between two groups. It was found that the allele frequencies of CYP 1A1*1, *2A, *2B, and *4 were not different between cases and controls. CYP 3A4*1B allele frequency was only 0.8% and 0.9% in ALL and controls, respectively. CYP 3A5*1/*1, *1/*3, and *3/*3 genotype frequencies showed no statistically significant difference between patients and controls. CYP 3A5*6 was not detected in our population. The GSTM1 null genotype was significantly increased in children with ALL (OR 1.7; 95% CI, 1.0, 2.7). In contrast, the GSTT1 null genotype did not show this effect. Our data thus demonstrate that the GSTM1 null genotype might increase the risk of childhood ALL in a Thai population.","['Pakakasama, S', 'Mukda, E', 'Sasanakul, W', 'Kadegasem, P', 'Udomsubpayakul, U', 'Thithapandha, A', 'Hongeng, S']","['Pakakasama S', 'Mukda E', 'Sasanakul W', 'Kadegasem P', 'Udomsubpayakul U', 'Thithapandha A', 'Hongeng S']","['Department of Pediatrics, Faculty of Medicine, Ramathibodi Hospital, Mahidol University, Bangkok, Thailand. rasam@mhidol.ac.th']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Pharmaceutical Preparations)', '9035-51-2 (Cytochrome P-450 Enzyme System)', 'EC 2.5.1.- (glutathione S-transferase T1)', 'EC 2.5.1.18 (Glutathione Transferase)', 'EC 2.5.1.18 (glutathione S-transferase M1)']",IM,"['Adolescent', 'Case-Control Studies', 'Child', 'Child, Preschool', 'Cytochrome P-450 Enzyme System/*genetics', 'Female', 'Gene Frequency', 'Genetic Predisposition to Disease', 'Genotype', 'Glutathione Transferase/*genetics', 'Humans', 'Infant', 'Male', 'Molecular Epidemiology', 'Pharmaceutical Preparations/metabolism', '*Polymorphism, Genetic', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology/etiology/*genetics', 'Thailand/epidemiology']",2005/06/28 09:00,2005/09/10 09:00,['2005/06/28 09:00'],"['2005/06/28 09:00 [pubmed]', '2005/09/10 09:00 [medline]', '2005/06/28 09:00 [entrez]']",['10.1002/ajh.20404 [doi]'],ppublish,Am J Hematol. 2005 Jul;79(3):202-5. doi: 10.1002/ajh.20404.,,,,,,,,,,,,,,
15981228,NLM,MEDLINE,20050909,20181201,0361-8609 (Print) 0361-8609 (Linking),79,3,2005 Jul,Fluid retention during arsenic trioxide treatment in acute promyelocytic leukemia.,247-8,,"['Arai, Ayako', 'Kitano, Asako', 'Kurosu, Tetsuya', 'Yamamoto, Koh', 'Miki, Tohru', 'Murakami, Naomi', 'Miura, Osamu']","['Arai A', 'Kitano A', 'Kurosu T', 'Yamamoto K', 'Miki T', 'Murakami N', 'Miura O']",,['eng'],"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Arsenicals)', '0 (Oxides)', 'S7V92P67HO (Arsenic Trioxide)']",IM,"['Aged', 'Arsenic Trioxide', 'Arsenicals/*adverse effects', 'Bone Marrow Cells', 'Edema/*etiology', 'Humans', 'Leukemia, Promyelocytic, Acute/drug therapy/*pathology', 'Leukocyte Count', 'Male', 'Oxides/*adverse effects']",2005/06/28 09:00,2005/09/10 09:00,['2005/06/28 09:00'],"['2005/06/28 09:00 [pubmed]', '2005/09/10 09:00 [medline]', '2005/06/28 09:00 [entrez]']",['10.1002/ajh.20324 [doi]'],ppublish,Am J Hematol. 2005 Jul;79(3):247-8. doi: 10.1002/ajh.20324.,,,,,,,,,,,,,,
15981223,NLM,MEDLINE,20050909,20131121,0361-8609 (Print) 0361-8609 (Linking),79,3,2005 Jul,Extrapulmonary tuberculous abscess in chronic lymphocytic leukaemia (CLL) treated with fludarabine: case report and review of literature.,246-7,,"['Leung, W H', 'Tsang, S F D', 'Chim, C S']","['Leung WH', 'Tsang SF', 'Chim CS']",,['eng'],"['Case Reports', 'Letter', 'Review']",United States,Am J Hematol,American journal of hematology,7610369,"['FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications/drug therapy/immunology', 'Male', 'Middle Aged', 'Mycobacterium tuberculosis/isolation & purification', 'Tomography, X-Ray Computed', 'Tuberculosis/chemically induced/*etiology/pathology', 'Vidarabine/adverse effects/*analogs & derivatives']",2005/06/28 09:00,2005/09/10 09:00,['2005/06/28 09:00'],"['2005/06/28 09:00 [pubmed]', '2005/09/10 09:00 [medline]', '2005/06/28 09:00 [entrez]']",['10.1002/ajh.20322 [doi]'],ppublish,Am J Hematol. 2005 Jul;79(3):246-7. doi: 10.1002/ajh.20322.,3,,,,,,,,,,,,,
15981220,NLM,MEDLINE,20050909,20071115,0361-8609 (Print) 0361-8609 (Linking),79,3,2005 Jul,Megakaryoblastic leukemia with involvement of the pleural fluid.,238-9,,"['Farray, Daniel', 'Al-Masri, Hytham', 'Hattersley, Elise', 'Smith, Scott E']","['Farray D', 'Al-Masri H', 'Hattersley E', 'Smith SE']","['Loyola University Medical Center, Maywood, Illinois 60153, USA. dfarray@lumc.edu']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Antigens, CD)', '0 (Azure Stains)']",IM,"['Antigens, CD/analysis', 'Azure Stains', 'Blast Crisis/pathology', 'Bone Marrow Examination', 'Female', 'Humans', 'Immunophenotyping', 'Leukemia, Megakaryoblastic, Acute/diagnosis/*pathology', 'Middle Aged', 'Pleural Effusion, Malignant/*etiology']",2005/06/28 09:00,2005/09/10 09:00,['2005/06/28 09:00'],"['2005/06/28 09:00 [pubmed]', '2005/09/10 09:00 [medline]', '2005/06/28 09:00 [entrez]']",['10.1002/ajh.20357 [doi]'],ppublish,Am J Hematol. 2005 Jul;79(3):238-9. doi: 10.1002/ajh.20357.,,,,,,,,,,,,,,
15980979,NLM,MEDLINE,20050922,20181113,0167-594X (Print) 0167-594X (Linking),73,3,2005 Jul,An unusual complication of cancer treatment for acute lymphoblastic leukemia.,269-72,"Childhood cancer is a leading cause of mortality in children less than 15 years of age, accounting for about 10.4 of total childhood deaths [Robinson LL: In: Pizzo PA, Polack DA (eds) Principles and Practice of Pediatric Oncology, 3rd edn. Lippincott--Raven, Philadelphia--NewYork, 1997, pp. 1-10.]. As more aggressive therapeutic regimens have been adopted and ostensibly cured patients are being followed for longer periods of time, it has become increasingly clear that the treatment of cancer can have significant late effects on the growing child, one of the more troublesome of which is the induction of secondary malignancy. We report an 11-year-old child who, as supported by both clinical course and neuroimaging studies, developed an unusual complication eight years after completing therapy for acute lymphoblastic leukemia, gliomatosis cerebri.","['Riel-Romero, Rosario Maria S', 'Baumann, Robert J', 'Smith, Charles D']","['Riel-Romero RM', 'Baumann RJ', 'Smith CD']","['Department of Neurology, University of Kentucky, College of Medicine, Lexington, Kentucky, USA. rmriel2@pop.uky.edu']",['eng'],"['Case Reports', 'Journal Article']",United States,J Neurooncol,Journal of neuro-oncology,8309335,,IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Brain Neoplasms/etiology/*pathology/physiopathology', 'Child', 'Female', 'Humans', 'Magnetic Resonance Imaging', 'Neoplasms, Neuroepithelial/etiology/*pathology/physiopathology', 'Neoplasms, Second Primary/etiology/*pathology/physiopathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/*radiotherapy']",2005/06/28 09:00,2005/09/24 09:00,['2005/06/28 09:00'],"['2005/06/28 09:00 [pubmed]', '2005/09/24 09:00 [medline]', '2005/06/28 09:00 [entrez]']",['10.1007/s11060-004-4058-z [doi]'],ppublish,J Neurooncol. 2005 Jul;73(3):269-72. doi: 10.1007/s11060-004-4058-z.,,,,,,,,,,,,,,
15980883,NLM,MEDLINE,20051121,20071115,0268-3369 (Print) 0268-3369 (Linking),36,5,2005 Sep,Favourable response to antithymocyte globulin therapy in resistant acute graft-versus-host disease.,459,,"['Tagliabue, A', 'Corti, P', 'Vigano, E', 'Bonanomi, S', 'Uderzo, C']","['Tagliabue A', 'Corti P', 'Vigano E', 'Bonanomi S', 'Uderzo C']",,['eng'],['Letter'],England,Bone Marrow Transplant,Bone marrow transplantation,8702459,"['0 (Antilymphocyte Serum)', '0 (Immunosuppressive Agents)']",IM,"['Adolescent', 'Antilymphocyte Serum/*administration & dosage', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Disease-Free Survival', 'Female', 'Graft vs Host Disease/mortality/*prevention & control', 'Humans', 'Immunosuppressive Agents/*administration & dosage', 'Male', 'Myelodysplastic Syndromes/mortality/*therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/mortality/*therapy']",2005/06/28 09:00,2005/12/13 09:00,['2005/06/28 09:00'],"['2005/06/28 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/06/28 09:00 [entrez]']","['1705065 [pii]', '10.1038/sj.bmt.1705065 [doi]']",ppublish,Bone Marrow Transplant. 2005 Sep;36(5):459. doi: 10.1038/sj.bmt.1705065.,,,,,,,,,,,,,,
15980879,NLM,MEDLINE,20051121,20210103,0268-3369 (Print) 0268-3369 (Linking),36,5,2005 Sep,Donor lymphocyte infusions can result in sustained remissions in patients with residual or relapsed lymphoid malignancy following allogeneic haemopoietic stem cell transplantation.,437-41,"We treated 17 patients with refractory (n = 7) or relapsed lymphoid malignancy (n = 10) following allogeneic HSCT with donor lymphocyte infusions (DLI). Patients with low-grade disease received DLI alone (n = 7) or following radiotherapy (n = 1). Patients with aggressive disease (n = 9) received prior chemotherapy. Nine out of 15 patients receiving DLI from sibling donors responded after one (n = 6), two (n = 2) and three (n = 1) infusions. Both MUD recipients achieved CR after two and three DLI. In all, 10/17 patients achieved CR including 3/4 patients with chronic lymphatic leukaemia (CLL), 4/4 with mantle cell lymphoma (MCL), 3/4 with follicular NHL but 0/5 with aggressive NHL/Richters. The median CD3 cell dose to achieve CR for siblings was 2 x 10(7)/kg. One patient with CLL had a second transplant following DLI-induced aplasia and is in CR at 14 months giving a final CR rate of 64%. Grade II-IV acute GVHD developed in 45% and chronic GVHD in 8/9 evaluable patients. Of the 11 patients finally achieving CR, one patient with MCL relapsed at 18 months post-DLI but all others remain in remission with a median follow-up of 40 months (range 12-64 months). Low-grade NHL and MCL have a high response rate and sustained remissions following DLI. Aggressive disease responds poorly however, despite pre-DLI chemotherapy.","['Russell, N H', 'Byrne, J L', 'Faulkner, R D', 'Gilyead, M', 'Das-Gupta, E P', 'Haynes, A P']","['Russell NH', 'Byrne JL', 'Faulkner RD', 'Gilyead M', 'Das-Gupta EP', 'Haynes AP']","['Department of Haematology, Nottingham City Hospital, Nottingham, UK.']",['eng'],['Journal Article'],England,Bone Marrow Transplant,Bone marrow transplantation,8702459,,IM,"['Adult', 'Female', 'Graft vs Host Disease/mortality/*therapy', '*Hematopoietic Stem Cell Transplantation', 'Humans', '*Living Donors', '*Lymphocyte Transfusion/methods', 'Lymphoproliferative Disorders/mortality/*therapy', 'Male', 'Middle Aged', 'Neoplasm, Residual', 'Radiotherapy', 'Recurrence', 'Remission Induction', 'Retrospective Studies', 'T-Lymphocytes/*transplantation', 'Transplantation, Homologous']",2005/06/28 09:00,2005/12/13 09:00,['2005/06/28 09:00'],"['2005/06/28 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/06/28 09:00 [entrez]']","['1705074 [pii]', '10.1038/sj.bmt.1705074 [doi]']",ppublish,Bone Marrow Transplant. 2005 Sep;36(5):437-41. doi: 10.1038/sj.bmt.1705074.,,,,,,,,,,,,,,
15980865,NLM,MEDLINE,20050811,20161019,1078-8956 (Print) 1078-8956 (Linking),11,7,2005 Jul,Disabling poxvirus pathogenesis by inhibition of Abl-family tyrosine kinases.,731-9,"The Poxviridae family members vaccinia and variola virus enter mammalian cells, replicate outside the nucleus and produce virions that travel to the cell surface along microtubules, fuse with the plasma membrane and egress from infected cells toward apposing cells on actin-filled membranous protrusions. We show that cell-associated enveloped virions (CEV) use Abl- and Src-family tyrosine kinases for actin motility, and that these kinases act in a redundant fashion, perhaps permitting motility in a greater range of cell types. Additionally, release of CEV from the cell requires Abl- but not Src-family tyrosine kinases, and is blocked by STI-571 (Gleevec), an Abl-family kinase inhibitor used to treat chronic myelogenous leukemia in humans. Finally, we show that STI-571 reduces viral dissemination by five orders of magnitude and promotes survival in infected mice, suggesting possible use for this drug in treating smallpox or complications associated with vaccination. This therapeutic approach may prove generally efficacious in treating microbial infections that rely on host tyrosine kinases, and, because the drug targets host but not viral molecules, this strategy is much less likely to engender resistance compared to conventional antimicrobial therapies.","['Reeves, Patrick M', 'Bommarius, Bettina', 'Lebeis, Sarah', 'McNulty, Shannon', 'Christensen, Jens', 'Swimm, Alyson', 'Chahroudi, Ann', 'Chavan, Rahul', 'Feinberg, Mark B', 'Veach, Darren', 'Bornmann, William', 'Sherman, Melanie', 'Kalman, Daniel']","['Reeves PM', 'Bommarius B', 'Lebeis S', 'McNulty S', 'Christensen J', 'Swimm A', 'Chahroudi A', 'Chavan R', 'Feinberg MB', 'Veach D', 'Bornmann W', 'Sherman M', 'Kalman D']","['Microbiology and Molecular Genetics Graduate Program, Emory University School of Medicine, 615 Michael Street, Whitehead Research Building #144, Atlanta, Georgia 30322, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Nat Med,Nature medicine,9502015,"['0 (Actins)', '0 (Benzamides)', '0 (PD 166326)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyridines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Proto-Oncogene Proteins c-abl)', 'EC 2.7.10.2 (src-Family Kinases)']",IM,"['Actins/antagonists & inhibitors/metabolism', 'Animals', 'Benzamides', 'Cells, Cultured', 'Female', 'Imatinib Mesylate', 'Mice', 'Mice, Inbred C57BL', 'Mice, Mutant Strains', 'Piperazines/*pharmacology', 'Poxviridae/drug effects/*pathogenicity', 'Poxviridae Infections/drug therapy', 'Protein Kinase Inhibitors/*pharmacology', 'Proto-Oncogene Proteins c-abl/*antagonists & inhibitors/metabolism', 'Pyridines/pharmacology', 'Pyrimidines/*pharmacology', 'Survival Rate', 'Vaccinia/drug therapy/mortality', 'Vaccinia virus/metabolism', 'Virion/drug effects/metabolism', 'src-Family Kinases/antagonists & inhibitors/metabolism']",2005/06/28 09:00,2005/08/12 09:00,['2005/06/28 09:00'],"['2004/10/24 00:00 [received]', '2005/06/02 00:00 [accepted]', '2005/06/28 09:00 [pubmed]', '2005/08/12 09:00 [medline]', '2005/06/28 09:00 [entrez]']","['nm1265 [pii]', '10.1038/nm1265 [doi]']",ppublish,Nat Med. 2005 Jul;11(7):731-9. doi: 10.1038/nm1265. Epub 2005 Jun 26.,,"['P01 AI 46007/AI/NIAID NIH HHS/United States', 'P30 CA008748/CA/NCI NIH HHS/United States', 'P01 AI046007/AI/NIAID NIH HHS/United States', 'R01 AI056067/AI/NIAID NIH HHS/United States', 'R01-AI056067-01/AI/NIAID NIH HHS/United States']",20050626,['Nat Med. 2005 Jul;11(7):711-2. PMID: 16015355'],['Nat Med. 2005 Dec;11(12):1361'],,,,,,,,,
15980254,NLM,MEDLINE,20050811,20091119,0146-0404 (Print) 0146-0404 (Linking),46,7,2005 Jul,Leukemia inhibitory factor blocks expression of Crx and Nrl transcription factors to inhibit photoreceptor differentiation.,2601-10,"PURPOSE: Activating ligands of gp130, including leukemia inhibitory factor (LIF), can block differentiation and function of retinal neurons. This study focused on determining whether LIF inhibits differentiation of photoreceptors by altering cell fate or by blocking the expression of essential transcription factors in vivo. METHODS: Transgenic mice were generated that had lens-specific expression of the secreted human LIF protein. Retinal differentiation was assessed by histology and by gene expression analysis, with in situ hybridization, immunohistochemistry, and real-time qRT-PCR. Electroretinograms were used to assess retinal function. RESULTS: LIF did not prevent or alter the timing of outer and inner nuclear layer separation, but it inhibited phototransduction gene expression in both rods and cones, thereby blocking functional maturation of photoreceptors. LIF also reduced the expression of Crx, Nrl, and Nr2e3, and upregulated the expression of transcription inhibitors Baf and Fiz1. CONCLUSIONS: LIF expression did not appear to alter photoreceptor cell fate specification, but it inhibited subsequent differentiation. These results suggest that gp130 ligands can inhibit photoreceptor functional differentiation by reducing Crx- and Nrl-dependent transcription.","['Graham, Dianca R', 'Overbeek, Paul A', 'Ash, John D']","['Graham DR', 'Overbeek PA', 'Ash JD']","['Department of Ophthalmology, University of Oklahoma Health Sciences Center, Oklahoma City, 73104, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Invest Ophthalmol Vis Sci,Investigative ophthalmology & visual science,7703701,"['0 (Basic-Leucine Zipper Transcription Factors)', '0 (DNA-Binding Proteins)', '0 (Eye Proteins)', '0 (Fiz1 protein, mouse)', '0 (Homeodomain Proteins)', '0 (Interleukin-6)', '0 (Intracellular Signaling Peptides and Proteins)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Nr2e3 protein, mouse)', '0 (Nrl protein, mouse)', '0 (Orphan Nuclear Receptors)', '0 (Proteins)', '0 (Receptors, Cytoplasmic and Nuclear)', '0 (Rod Opsins)', '0 (Trans-Activators)', '0 (cone rod homeobox protein)']",IM,"['Animals', 'Basic-Leucine Zipper Transcription Factors', '*Cell Differentiation', 'DNA-Binding Proteins/*genetics', 'Electroretinography', 'Enzyme-Linked Immunosorbent Assay', 'Eye Proteins/*genetics', 'Gene Expression Regulation, Developmental/*physiology', 'Homeodomain Proteins/*genetics', 'In Situ Hybridization', 'Interleukin-6', 'Intracellular Signaling Peptides and Proteins/metabolism', 'Lens, Crystalline/metabolism', 'Leukemia Inhibitory Factor', 'Mice', 'Mice, Inbred C57BL', 'Mice, Transgenic', 'Orphan Nuclear Receptors', 'Photoreceptor Cells, Vertebrate/*pathology', 'Proteins/*physiology', 'Receptors, Cytoplasmic and Nuclear/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Rod Opsins/metabolism', 'Trans-Activators/*genetics', 'Up-Regulation', 'Vision, Ocular/genetics']",2005/06/28 09:00,2005/08/12 09:00,['2005/06/28 09:00'],"['2005/06/28 09:00 [pubmed]', '2005/08/12 09:00 [medline]', '2005/06/28 09:00 [entrez]']","['46/7/2601 [pii]', '10.1167/iovs.05-0129 [doi]']",ppublish,Invest Ophthalmol Vis Sci. 2005 Jul;46(7):2601-10. doi: 10.1167/iovs.05-0129.,,"['EY10448/EY/NEI NIH HHS/United States', 'EY10803/EY/NEI NIH HHS/United States', 'EY11348/EY/NEI NIH HHS/United States', 'EY14206/EY/NEI NIH HHS/United States', 'P30 EY012190/EY/NEI NIH HHS/United States', 'RR017703/RR/NCRR NIH HHS/United States']",,,,,,,,,,,,
