PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,PMC,AID,TT,SI,CIN,EIN
3468555,NLM,MEDLINE,19870317,20071115,0033-7587 (Print) 0033-7587 (Linking),109,1,1987 Jan,Myeloid leukemia in male RFM mice following irradiation with fission spectrum neutrons or gamma rays.,165-70,The induction of myeloid leukemia following fission neutron irradiation was examined over the 0-80 rad dose range. Over this dose range the dose response could be described by the linear regression equation: y = 0.94 + 0.18X. A comparison of these data with data obtained following gamma irradiation from this study and a previous study indicated that the relative biological effectiveness for myeloid leukemia induction was 2.8. These results appear to be compatible with those reported by other investigators.,"['Ullrich, R L', 'Preston, R J']","['Ullrich RL', 'Preston RJ']",['eng'],['Y01-CM-20111/CM/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Radiat Res,Radiation research,0401245,IM,"['Animals', 'Dose-Response Relationship, Radiation', 'Fast Neutrons', 'Gamma Rays', 'Leukemia, Experimental/*etiology', 'Leukemia, Myeloid/etiology', 'Leukemia, Myeloid, Acute/etiology', 'Leukemia, Radiation-Induced/*etiology', 'Mice']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Radiat Res. 1987 Jan;109(1):165-70.,,,,,,,
3468518,NLM,MEDLINE,19870312,20151119,0361-7742 (Print) 0361-7742 (Linking),223,,1986,Biochemical mechanism for resistance to anthracycline antibiotics.,35-44,,"['Inaba, M']",['Inaba M'],['eng'],,['Journal Article'],United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,IM,"['Animals', 'Antibiotics, Antineoplastic/metabolism/*pharmacology', 'Cell Line', 'Daunorubicin/metabolism', 'Drug Resistance', 'Leukemia P388/drug therapy', 'Naphthacenes/metabolism/pharmacology', 'Vincristine/metabolism/pharmacology']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,Prog Clin Biol Res. 1986;223:35-44.,"['0 (Antibiotics, Antineoplastic)', '0 (Naphthacenes)', '5J49Q6B70F (Vincristine)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,
3468517,NLM,MEDLINE,19870312,20071115,0361-7742 (Print) 0361-7742 (Linking),223,,1986,Cross-resistance patterns and antigen expression in Vinca alkaloid- and other multiple drug-resistant human leukemic cell lines.,3-10,"The studies presented in this report demonstrate that Vinca alkaloid-resistant human leukemic lymphoblasts display patterns of cross-resistance to other drugs that differ from those of cell lines selected for primary resistance to anthracyclines or epipodophyllotoxins. These various drug-resistant cell lines also showed differential expression of an antigen recognized by an antibody that distinguishes VLB-resistant from VLB-sensitive cells. Furthermore, comparable levels of resistance or cross-resistance to one drug are not predictive of cross-resistance to other drugs. Our data suggest, then, that the MDR phenotype is complex and may be the result of many and different biochemical lesions. Thus, in order to predict MDR, it may be necessary to document more than one of these changes with specific reagents.","['Beck, W T', 'Danks, M K', 'Cirtain, M C', 'van Heiningen, J N']","['Beck WT', 'Danks MK', 'Cirtain MC', 'van Heiningen JN']",['eng'],"['CA 06795/CA/NCI NIH HHS/United States', 'CA 21765/CA/NCI NIH HHS/United States', 'CA 30103/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,IM,"['Antibodies, Monoclonal/immunology', 'Antigens, Neoplasm/*analysis', 'Antigens, Surface/*analysis', 'Antimetabolites, Antineoplastic/pharmacology', 'Cell Line', 'Drug Resistance', 'Flow Cytometry', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Vinca Alkaloids/*pharmacology']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,Prog Clin Biol Res. 1986;223:3-10.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Antimetabolites, Antineoplastic)', '0 (Vinca Alkaloids)']",,,,,,
3468516,NLM,MEDLINE,19870312,20151119,0361-7742 (Print) 0361-7742 (Linking),223,,1986,Acquired vs innate multidrug resistance and the effect of calcium channel blockers.,203-16,"Innate drug resistance as well as acquired multidrug resistance are directly related to ineffectiveness and failure of the cancer chemotherapy. The mechanisms of such resistance, especially those of innate resistance, have not been fully elucidated. We have established vincristine (VCR)- and Adriamycin (ADM)-resistant sublines of human myelogenous leukemia K562 by continuous drug exposure. These resistant sublines contained double minute chromosomes and express a glycoprotein with a 180,000 dalton M.W. Analysis of VCR and ADM sensitivities of several isolated clones from these resistant sublines revealed a tight relationship between these two resistant mechanisms. However, ADM resistant sublines are always highly resistant to VCR, but VCR resistant sublines are not necessarily highly resistant to ADM, suggesting the presence different mechanisms of ADM and VCR resistance. Calcium channel blockers inhibit the drug efflux in these resistant tumor cells, thereby overcoming of drug resistance. Greater potentition was observed with antitumor agents to which VCR- and ADM-resistant cells were highly cross-resistant. Calcium channel blockers always show higher potentiation with VCR than ADM, and the clones with greater resistance to VCR generally accumulated less VCR and generally possessed a higher rate of VCR efflux. These results might indicate that a major mechanism of VCR resistance could be a defficiency in drug transport and this mechanism can be reversed by calcium channel blockers, while the ADM resistance mechanisms are partly related to drug efflux and only this mechanism of the ADM resistance can be modulated by calcium channel blockers. Calcium channel blockers also potentiate the drug effects, especially that of vinca alkaloids, in innately resistant tumors cells, indicating that such innate resistant cells also share a similar resistance mechanism to that observed in acquired drug resistance. From these results, the mechanisms of acquired and innate drug resistance are discussed.","['Tsuruo, T']",['Tsuruo T'],['eng'],,['Journal Article'],United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,IM,"['Animals', 'Antineoplastic Agents/metabolism/*pharmacology', 'Calcium Channel Blockers/*pharmacology', 'Cell Line', 'Doxorubicin/pharmacology', 'Drug Resistance', 'Drug Synergism', 'Glycoproteins/analysis', 'Humans', 'Leukemia P388/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Verapamil/pharmacology', 'Vinblastine/pharmacology', 'Vincristine/pharmacology', 'Vindesine/pharmacology']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,Prog Clin Biol Res. 1986;223:203-16.,"['0 (Antineoplastic Agents)', '0 (Calcium Channel Blockers)', '0 (Glycoproteins)', '5J49Q6B70F (Vincristine)', '5V9KLZ54CY (Vinblastine)', '80168379AG (Doxorubicin)', 'CJ0O37KU29 (Verapamil)', 'RSA8KO39WH (Vindesine)']",,,,,,
3468485,NLM,MEDLINE,19870306,20190501,0305-1048 (Print) 0305-1048 (Linking),14,24,1986 Dec 22,Transcriptional and post-transcriptional regulation of c-myc expression during the differentiation of murine erythroleukemia Friend cells.,9653-66,c-myc RNA rapidly decreases to barely detectable levels in Friend erythroleukemia cells induced to differentiate upon the addition of dimethylsulfoxide. We show here that c-myc gene is down-regulated both at the transcriptional level presumably by a block in the elongation of primary transcripts and at the post-transcriptional level by an increase in the degradation of its mRNA.,"['Mechti, N', 'Piechaczyk, M', 'Blanchard, J M', 'Marty, L', 'Bonnieu, A', 'Jeanteur, P', 'Lebleu, B']","['Mechti N', 'Piechaczyk M', 'Blanchard JM', 'Marty L', 'Bonnieu A', 'Jeanteur P', 'Lebleu B']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Nucleic Acids Res,Nucleic acids research,0411011,IM,"['Animals', 'Cell Differentiation', 'Cell Division', 'Dactinomycin/pharmacology', 'Dimethyl Sulfoxide/pharmacology', '*Genes, Regulator', 'Kinetics', 'Leukemia, Erythroblastic, Acute/genetics/pathology', 'Leukemia, Experimental/*genetics/pathology', 'Mice', '*Oncogenes', 'Plasmids', '*RNA Processing, Post-Transcriptional', 'RNA, Messenger/genetics', '*Transcription, Genetic/drug effects']",1986/12/22 00:00,1986/12/22 00:01,['1986/12/22 00:00'],"['1986/12/22 00:00 [pubmed]', '1986/12/22 00:01 [medline]', '1986/12/22 00:00 [entrez]']",ppublish,Nucleic Acids Res. 1986 Dec 22;14(24):9653-66. doi: 10.1093/nar/14.24.9653.,"['0 (RNA, Messenger)', '1CC1JFE158 (Dactinomycin)', 'YOW8V9698H (Dimethyl Sulfoxide)']",PMC341326,['10.1093/nar/14.24.9653 [doi]'],,,,
3468473,NLM,MEDLINE,19870225,20091021,0030-6002 (Print) 0030-6002 (Linking),127,52,1986 Dec 28,[Significance of terminal deoxynucleotidyl transferase in lymphoproliferative diseases].,3183-6,,"['Telek, B', 'Ember, I', 'Kiss, A', 'Pecze, K']","['Telek B', 'Ember I', 'Kiss A', 'Pecze K']",['hun'],,"['English Abstract', 'Journal Article']",Hungary,Orv Hetil,Orvosi hetilap,0376412,IM,"['DNA Nucleotidylexotransferase/*blood', 'DNA Nucleotidyltransferases/*blood', 'Diagnosis, Differential', 'Humans', 'Leukemia, Lymphoid/diagnosis/enzymology', 'Leukemia, Myeloid/diagnosis/enzymology', 'Lymphoma/diagnosis/enzymology', 'Lymphoproliferative Disorders/diagnosis/*enzymology']",1986/12/28 00:00,1986/12/28 00:01,['1986/12/28 00:00'],"['1986/12/28 00:00 [pubmed]', '1986/12/28 00:01 [medline]', '1986/12/28 00:00 [entrez]']",ppublish,Orv Hetil. 1986 Dec 28;127(52):3183-6.,"['EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",,,A terminalis deoxynucleotidyl transferase (TdT) vizsgalatanak jelentosege a lymphoproliferativ betegsegek elkuloniteseben.,,,
3468454,NLM,MEDLINE,19870319,20190726,0161-6420 (Print) 0161-6420 (Linking),93,12,1986 Dec,Acute monocytic leukemia presenting in the eyelid. An immunohistochemical and electron microscopic study.,1628-31,A 28-year-old woman was evaluated for a firm subcutaneous nodule of the left upper eyelid. Results from the examination showed multiple red to brown subcutaneous nodules on her upper extremities and thorax. An excisional biopsy specimen showed the nodules to be cutaneous involvement of acute monocytic leukemia. Acute monocytic leukemia should be considered in the differential diagnosis of a subcutaneous nodule in the eyelid.,"['Thall, E', 'Grossniklaus, H', 'Cappaert, W', 'Radivoyevitch, M']","['Thall E', 'Grossniklaus H', 'Cappaert W', 'Radivoyevitch M']",['eng'],,"['Case Reports', 'Journal Article']",United States,Ophthalmology,Ophthalmology,7802443,IM,"['Adult', 'Diagnosis, Differential', 'Eyelid Diseases/*diagnosis', 'Female', 'Histocytochemistry', 'Humans', 'Immunochemistry', 'Leukemia, Monocytic, Acute/*diagnosis/diagnostic imaging/pathology', 'Microscopy, Electron', 'Tomography, X-Ray Computed']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",ppublish,Ophthalmology. 1986 Dec;93(12):1628-31. doi: 10.1016/s0161-6420(86)33534-6.,,,"['S0161-6420(86)33534-6 [pii]', '10.1016/s0161-6420(86)33534-6 [doi]']",,,,
3468419,NLM,MEDLINE,19870305,20041117,0028-8446 (Print) 0028-8446 (Linking),99,814,1986 Nov 26,Three uncommon complications of chronic granulocytic leukaemia (CGL),912,,"['Wilkinson, M J', 'Stuart, R A']","['Wilkinson MJ', 'Stuart RA']",['eng'],,"['Case Reports', 'Letter']",New Zealand,N Z Med J,The New Zealand medical journal,0401067,IM,"['Bone Neoplasms/*pathology', 'Elbow', 'Female', 'Gangrene', 'Humans', 'Leukemia, Myeloid/*complications', 'Middle Aged', 'Pyoderma/*complications/pathology', 'Tuberculosis, Pulmonary/*complications']",1986/11/26 00:00,1986/11/26 00:01,['1986/11/26 00:00'],"['1986/11/26 00:00 [pubmed]', '1986/11/26 00:01 [medline]', '1986/11/26 00:00 [entrez]']",ppublish,N Z Med J. 1986 Nov 26;99(814):912.,,,,,,,
3468410,NLM,MEDLINE,19870317,20131121,0028-8446 (Print) 0028-8446 (Linking),100,816,1987 Jan 28,Low dose cytosar in the treatment of chronic granulocytic leukaemia--blast crisis.,31,,"['Kumar, L', 'Kochipillai, V', 'Dua, H']","['Kumar L', 'Kochipillai V', 'Dua H']",['eng'],,"['Case Reports', 'Letter']",New Zealand,N Z Med J,The New Zealand medical journal,0401067,IM,"['Adult', '*Blast Crisis', 'Cytarabine/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid/*drug therapy/pathology']",1987/01/28 00:00,1987/01/28 00:01,['1987/01/28 00:00'],"['1987/01/28 00:00 [pubmed]', '1987/01/28 00:01 [medline]', '1987/01/28 00:00 [entrez]']",ppublish,N Z Med J. 1987 Jan 28;100(816):31.,['04079A1RDZ (Cytarabine)'],,,,,,
3468343,NLM,MEDLINE,19870317,20071115,0026-9298 (Print) 0026-9298 (Linking),134,11,1986 Nov,[Behavior of glucosephosphate isomerase in children with malignant diseases].,789-93,"The normal range of glucose-phosphate-isomerase (GPI) in the plasma of children during the first month of life is up to 80 U/l; until the end of the second year of life between 11 and 50 U/l; thereafter the upper limit is 46 U/l. In osteogenic sarcoma or medulloblastoma there is a good correlation between activity of GPI in plasma and clinical tumor stage. In a lot of other tumors sensitivity of this enzyme is either very low as in Ewing-sarcoma or myeloic leukemia or there is no consistent relation to the extent of the tumor. High activities of GPI are equally obtained in children suffering from cystic fibrosis, diabetes mellitus or muscular dystrophy. GPI is not valid as a tumor marker even being raised in sarcoma and medulloblastoma as mentioned. So it is not necessary to check GPI activity as a part of routine enzyme chemistry.","['Hohenberger, P', 'Graf, N', 'Sitzmann, F C', 'Rupp, S']","['Hohenberger P', 'Graf N', 'Sitzmann FC', 'Rupp S']",['ger'],,"['English Abstract', 'Journal Article']",Germany,Monatsschr Kinderheilkd,Monatsschrift Kinderheilkunde : Organ der Deutschen Gesellschaft fur Kinderheilkunde,8206462,IM,"['Adolescent', 'Age Factors', 'Bone Neoplasms/enzymology', 'Cerebellar Neoplasms/enzymology', 'Child', 'Child, Preschool', 'Follow-Up Studies', 'Glucose-6-Phosphate Isomerase/*blood', 'Humans', 'Infant', 'Leukemia, Lymphoid/enzymology', 'Medulloblastoma/enzymology', 'Neoplasms/diagnosis/*enzymology', 'Osteosarcoma/enzymology', 'Reference Values']",1986/11/01 00:00,1986/11/01 00:01,['1986/11/01 00:00'],"['1986/11/01 00:00 [pubmed]', '1986/11/01 00:01 [medline]', '1986/11/01 00:00 [entrez]']",ppublish,Monatsschr Kinderheilkd. 1986 Nov;134(11):789-93.,['EC 5.3.1.9 (Glucose-6-Phosphate Isomerase)'],,,Verhalten der Glucose-Phosphat-Isomerase bei Kindern mit malignen Erkrankungen.,,,
