PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,GR,AID,PMC,TT,OID,OAB,OABL,OTO,OT,GN,SI,RF
6572565,NLM,MEDLINE,19830527,20131121,0361-5960 (Print) 0361-5960 (Linking),67,3,1983 Mar,Dantrolene and potentially fatal hyperthermia secondary to L-asparaginase.,318-9,"['Smithson, W A', 'Gronert, G A', 'Moss, K K']","['Smithson WA', 'Gronert GA', 'Moss KK']",['eng'],"['Case Reports', 'Letter']",United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['0 (Antineoplastic Agents)', 'EC 3.5.1.1 (Asparaginase)', 'F64QU97QCR (Dantrolene)']",IM,"['Adolescent', 'Antineoplastic Agents/*therapeutic use', 'Asparaginase/*adverse effects', 'Dantrolene/*therapeutic use', 'Drug Therapy, Combination', 'Fever/*chemically induced/drug therapy', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Male']",1983/03/01 00:00,1983/03/01 00:01,['1983/03/01 00:00'],"['1983/03/01 00:00 [pubmed]', '1983/03/01 00:01 [medline]', '1983/03/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1983 Mar;67(3):318-9.,,,,,,,,,,,,,
6572563,NLM,MEDLINE,19830527,20131121,0008-5472 (Print) 0008-5472 (Linking),43,5,1983 May,Clinical correlations of leukemic clonogenic cell chemosensitivity assessed by in vitro continuous exposure to drugs.,2346-9,"['Park, C H', 'Wiernik, P H', 'Morrison, F S', 'Amare, M', 'Van Sloten, K V', 'Maloney, T R']","['Park CH', 'Wiernik PH', 'Morrison FS', 'Amare M', 'Van Sloten KV', 'Maloney TR']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antibiotics, Antineoplastic)', '0 (Naphthacenes)', '04079A1RDZ (Cytarabine)']",IM,"['Adult', 'Aged', 'Antibiotics, Antineoplastic/*administration & dosage', 'Bone Marrow/drug effects', 'Clone Cells', 'Cytarabine/administration & dosage', 'Drug Administration Schedule', 'Drug Evaluation, Preclinical/*methods', 'Drug Therapy, Combination', 'Drug Tolerance', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Male', 'Methods', 'Middle Aged', 'Naphthacenes/administration & dosage']",1983/05/01 00:00,1983/05/01 00:01,['1983/05/01 00:00'],"['1983/05/01 00:00 [pubmed]', '1983/05/01 00:01 [medline]', '1983/05/01 00:00 [entrez]']",ppublish,Cancer Res. 1983 May;43(5):2346-9.,"This study was performed to assess the value of prolonged, as opposed to short-pulse, in vitro exposure of leukemic cells to chemotherapeutic drugs in leukemic clonogenic assay for prediction of clinical response. In 21 patients with acute nonlymphocytic leukemia treated with intensive combination chemotherapy based on an anthracycline and 1-beta-D-arabinofuranosylcytosine infusion, chemotherapy sensitivity of leukemic clonogenic cells was assessed in comparison with that of normal myeloid clonogenic cells by the in vitro continuous exposure to drugs throughout the entire culture period. Analysis of these in vitro data in terms of prediction of achieving clinical complete remission was carried out in comparison with data on 22 cases in which in vitro sensitivity was assessed by the pulse 1-hr exposure. The in vitro sensitivity index, expressed as a log odds ratio, was positive (greater than 0) in 8 of 11 patients achieving complete remission and negative (less than 0) in 7 of 10 patients failing to achieve complete remission, with an overall correlation of 71%. This is at least as good as the pulse exposure method, which has a correlation of 68%. If sensitivity indexes of marginal magnitudes (--1.0 approximately +1.0) are excluded, the correlation increases to 92% (12 of 13 patients). The correlation appears to improve especially for 1-beta-D-arabinofuranosylcytosine by the continuous exposure method (71%) as compared with the pulse method (57%). This study establishes the feasibility of an in vitro chemotherapy sensitivity testing of leukemic clonogenic cells by continuous in vitro drug exposure and suggests that the continuous exposure method may be better than the pulse method for antimetabolites such as 1-beta-D-arabinofuranosylcytosine. The data also suggest that simulation of the in vivo drug schedule may be important in this in vitro test.","['CA16385/CA/NCI NIH HHS/United States', 'CA20717/CA/NCI NIH HHS/United States', 'CA32107/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,,
6572562,NLM,MEDLINE,19830527,20131121,0008-5472 (Print) 0008-5472 (Linking),43,5,1983 May,Pharmacokinetics of oral methotrexate in children.,2342-5,"['Balis, F M', 'Savitch, J L', 'Bleyer, W A']","['Balis FM', 'Savitch JL', 'Bleyer WA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Absorption', 'Administration, Oral', 'Adolescent', 'Child', 'Child, Preschool', 'Drug Administration Schedule', 'Fasting', 'Female', 'Humans', 'Kinetics', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Metabolic Clearance Rate', 'Methotrexate/*administration & dosage/metabolism', 'Tetrahydrofolate Dehydrogenase/metabolism']",1983/05/01 00:00,1983/05/01 00:01,['1983/05/01 00:00'],"['1983/05/01 00:00 [pubmed]', '1983/05/01 00:01 [medline]', '1983/05/01 00:00 [entrez]']",ppublish,Cancer Res. 1983 May;43(5):2342-5.,"The absorption and disposition kinetics of p.o. methotrexate were studied in 15 children. Serum levels and urinary excretion of methotrexate, as measured by the dihydrofolate reductase inhibition assay, were monitored following a routine p.o. dose (6.3 to 28.1 mg/sq m) administered after an overnight fast. Significant interindividual variability was noted in peak levels (range, 0.27 to 1.1 microM), time to peak (1 to 5 hr), area under the serum concentration-time curve (1.08 to 5.00 microM . hr), and the fraction of the dose absorbed (23 to 95%). Patients taking doses greater than 12 mg/sq m had a more prolonged absorptive phase and absorbed a smaller fraction of their dose, indicating that the mechanism of absorption may be saturable in some patients within the commonly administered dosage range. Urinary excretion was rapid, and the mean renal clearance of methotrexate was 1.6 times greater than was creatinine clearance, consistent with renal tubular secretion of the drug. While the marked degree of variability observed suggests a potential role for therapeutic drug monitoring in optimizing p.o. methotrexate therapy, the critical time points to monitor, the therapeutic and toxic ranges, and the intrapatient consistency of absorption must be defined before it will be practical and useful.",['CA 09351/CA/NCI NIH HHS/United States'],,,,,,,,,,,
6572561,NLM,MEDLINE,19830527,20131121,0008-5472 (Print) 0008-5472 (Linking),43,5,1983 May,Development of a cell kinetic approach to curative therapy of acute myelocytic leukemia in remission using the cell cycle-specific drug 1-beta-D-arabinofuranosylcytosine in a rat model.,2005-9,"['Vaughan, W P', 'Burke, P J']","['Vaughan WP', 'Burke PJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['04079A1RDZ (Cytarabine)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Animals', 'Cell Cycle/drug effects', 'Cyclophosphamide/administration & dosage', 'Cytarabine/*administration & dosage', 'Drug Administration Schedule', 'Female', 'Leukemia, Experimental/drug therapy', 'Leukemia, Myeloid/*drug therapy', 'Rats']",1983/05/01 00:00,1983/05/01 00:01,['1983/05/01 00:00'],"['1983/05/01 00:00 [pubmed]', '1983/05/01 00:01 [medline]', '1983/05/01 00:00 [entrez]']",ppublish,Cancer Res. 1983 May;43(5):2005-9.,"The timing of sequentially administered antineoplastic drugs is one determinant of toxicity and therapeutic benefit. We have conducted a series of studies with 1-beta-D-arabinofuranosylcytosine (ara-C) in the rat model (Lewis X brown Norway F1 hybrid rats bearing brown Norway myelocytic leukemia) for human acute myelocytic leukemia to examine the factors determining optimum timing of sequential administration of this cell cycle DNA synthesis phase-specific drug. Late-stage disease in this model is not curable with ara-C, but the maximum survival is achieved by rats given serial 2-day courses of ara-C 6 days apart. ara-C given in 2- or 4-day-interval sequences to rats with late-stage disease is more toxic and not more effective. However, Lewis X brown Norway F1 hybrid rats bearing brown Norway myelocytic leukemia in early complete remission are curable with ara-C given in optimum timed sequence. In these experiments, groups of rats in early complete remission were given a 2-day course of ara-C in every-8-hr s.c. injections, and then a second 2-day course was given after 2-, 4-, 6-, 8-, 10-, or 12-day intervals. The best cure rate of rats surviving toxicity was achieved when sequentially administered 2-day courses of ara-C were given at 2- to 4-day intervals to rats in early complete remission. In the minimal residual disease state, as in late-stage disease, 2- and 4-day-interval sequencing was the most toxic. No significant number of cures of minimal residual disease could be obtained by even the maximum tolerated dose of ara-C given in longer than 6-day-interval sequences or by various continuous or intermittent schedules. The fact that the Lewis X brown Norway F1 hybrid rats bearing brown Norway myelocytic leukemia, while relatively refractory to ara-C, are curable with this drug when used in optimum timed sequence in early remission is encouraging for similar clinical trials in humans and suggests some principles for the design of such trials.","['CA-06973/CA/NCI NIH HHS/United States', 'CA-23973/CA/NCI NIH HHS/United States']",,,,,,,,,,,
6572560,NLM,MEDLINE,19830527,20131121,0008-5472 (Print) 0008-5472 (Linking),43,5,1983 May,Prominent glutamine oxidation activity in mitochondria of hematopoietic tumors.,1990-3,"['Abou-Khalil, W H', 'Yunis, A A', 'Abou-Khalil, S']","['Abou-Khalil WH', 'Yunis AA', 'Abou-Khalil S']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Glutamates)', '03L9OT429T (Rotenone)', '0RH81L854J (Glutamine)', '8L70Q75FXE (Adenosine Triphosphate)', 'EC 3.5.1.2 (Glutaminase)']",IM,"['Adenosine Triphosphate/biosynthesis', 'Animals', 'Cell Fractionation', 'Glutamates/metabolism', 'Glutaminase/metabolism', 'Glutamine/*metabolism', 'Kinetics', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Leukemia, Myeloid/*metabolism', 'Male', 'Mice', 'Mitochondria/*enzymology/metabolism', 'Neoplasms, Experimental/metabolism', 'Polarography', 'Rabbits', 'Rats', 'Rotenone/pharmacology']",1983/05/01 00:00,1983/05/01 00:01,['1983/05/01 00:00'],"['1983/05/01 00:00 [pubmed]', '1983/05/01 00:01 [medline]', '1983/05/01 00:00 [entrez]']",ppublish,Cancer Res. 1983 May;43(5):1990-3.,"Well-coupled mitochondria of hematopoietic tumors were isolated from mouse erythroleukemia and rat chloroma tumors grown in male DBA/2J mice and Long-Evans rats, respectively. We used erythroleukemia and chloroma mitochondria to determine their ability to utilize glutamine as an energy source for adenosine triphosphate formation. Oxypolarographic tests showed the following. (a) Presence of a prominent glutaminase activity in erythroleukemia and chloroma mitochondria is evidenced by their active glutamine-supported respiratory state 3. (b) Glutamine oxidation is mediated through a nicotinamide adenine dinucleotide-linked reaction inhibited by rotenone. (c) Under similar conditions, mitochondria isolated from rabbit bone marrow have shown a feeble glutamine oxidation activity, while in mitochondria from rat liver the activity was not detectable and in those from rat kidney it was prominent as expected. (d) The determination of apparent Km and Vmax values for substrate-supported adenosine triphosphate formation has shown 8- to 10-fold lower Km values for glutamine oxidation as compared to that of glutamate, with virtually the same Vmax for each substrate in each mitochondria. These results clearly show the presence of a high glutamine oxidation activity in erythroleukemia and chloroma mitochondria and suggest that one of the glutamine hydrolysis products in those mitochondria may have an important role in supplying adenosine triphosphate in the corresponding malignant cells.",['AM26218/AM/NIADDK NIH HHS/United States'],,,,,,,,,,,
6572558,NLM,MEDLINE,19830505,20071115,0008-5472 (Print) 0008-5472 (Linking),43,4,1983 Apr,Evidence of a treatment dose response in acute nonlymphocytic leukemias which occur after therapy of non-Hodgkin's lymphoma.,1891-8,"['Greene, M H', 'Young, R C', 'Merrill, J M', 'DeVita, V T']","['Greene MH', 'Young RC', 'Merrill JM', 'DeVita VT']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Drug Therapy, Combination', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*etiology', 'Leukemia, Radiation-Induced/*etiology', 'Lung Neoplasms/etiology', 'Lymphoma/drug therapy/radiotherapy/*therapy', 'Male', 'Middle Aged', 'Radiotherapy/*adverse effects', 'Risk', 'Smoking']",1983/04/01 00:00,1983/04/01 00:01,['1983/04/01 00:00'],"['1983/04/01 00:00 [pubmed]', '1983/04/01 00:01 [medline]', '1983/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1983 Apr;43(4):1891-8.,"We evaluated the occurrence of second cancers among 517 patients with non-Hodgkin's lymphoma (NHL) treated at the National Cancer Institute. Nine cases of acute nonlymphocytic leukemia (ANL) were observed compared to 0.08 cases expected (ratio of observed to expected cases, 105; 95% confidence limits, 48; 199). The excess risk of ANL was 4.1 cases per 1000 patients per year; the cumulative risk of ANL at 10 years was 7.9 +/- 3.2% (S.E.). A case-control study within the NHL cohort revealed that patients treated with both radiation and chemotherapy were at greater risk of ANL than were patients who received single-modality therapy (relative risk, 6.0; p less than 0.05), especially if the therapy included total-body or hemibody radiation. A positive correlation between cumulative radiation dose to the bone marrow and risk of ANL was demonstrated, independent of chemotherapy duration. A similar correlation between chemotherapy dose and risk of ANL was suggested but could not be proven with the available data. An apparent association between ANL risk and indolent NHL histological subtypes was due to the significantly larger amounts of potentially leukemogenic therapy to which these patients were repeatedly exposed. Only one case of ANL occurred among NHL patients whose initial therapy produced a durable complete remission. Our data are compatible with a multistep model of leukemogenesis and also underscore the need for curative NHL treatment regimens which minimize the duration and quantity of therapy required for optimum patient management.",['N01-CP-01054/CP/NCI NIH HHS/United States'],,,,,,,,,,,
6572557,NLM,MEDLINE,19830505,20061115,0008-5472 (Print) 0008-5472 (Linking),43,4,1983 Apr,Establishment and characterization of a differentiating myeloid cell line obtained from a rat myelomonocytic leukemia.,1875-9,"['Fujii, T', 'Takeichi, N', 'Kasai, M', 'Moriuchi, T', 'Kobayashi, H']","['Fujii T', 'Takeichi N', 'Kasai M', 'Moriuchi T', 'Kobayashi H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,['9007-36-7 (Complement System Proteins)'],IM,"['Animals', 'Cell Differentiation', 'Cell Line', 'Complement System Proteins/immunology', 'Cytotoxicity, Immunologic', 'Leukemia, Experimental/immunology/pathology/*physiopathology', 'Leukemia, Myeloid/immunology/pathology/*physiopathology', 'Rats', 'Rats, Inbred Strains', 'Rosette Formation']",1983/04/01 00:00,1983/04/01 00:01,['1983/04/01 00:00'],"['1983/04/01 00:00 [pubmed]', '1983/04/01 00:01 [medline]', '1983/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1983 Apr;43(4):1875-9.,"A long-term suspension culture line (c-WRT-7) was successfully established from a transplantable myelomonocytic leukemia induced by a neonatal injection of Rauscher leukemia virus in a WKA/Hok rat. A c-WRT-7 cell line was capable of being transplanted into syngeneic rats, and when transplanted, increased numbers of macrophage-like cells were observed in the peripheral blood of rats after i.v. injection. In in vitro culture, about 10% of the c-WRT-7 cells naturally differentiated into macrophage-like cells, which adhered to the bottom of a culture flask, and also possessed phagocytic activity. By means of cytological examination, about 30% of the c-WRT-7 cells were observed to be monoblastic with alpha-naphthyl butyrate esterase activity. The nature of these c-WRT-7 cells as a myelomonocytic leukemia line was constant during in vitro passages of more than 30 generations. In vitro treatment of c-WRT-7 cells with lipopolysaccharide, 12-O-tetradecanoylphorbol-13-acetate, or retinoic acid increased the numbers of differentiated cells with phagocytic activity to 80%. Treatment of the c-WRT-7 cells with the inducers also induced 15 to 20% of the cells to differentiate into metamyelocytes and segmented neutrophils. The Fc receptor and the complement receptor both became detectable on the surface of c-WRT-7 cells after treatment with lipopolysaccharide, 12-O-tetradecanoylphorbol-13-acetate, or retinoic acid. However, rosette-forming activity of sheep erythrocytes pretreated with neuraminidase which has been known as a marker of normal rat macrophages was not induced in c-WRT-7 cells. This shows that differentiated leukemic cells are not exactly identical with normal macrophages.",,,,,,,,,,,,
6572554,NLM,MEDLINE,19830505,20131121,0008-5472 (Print) 0008-5472 (Linking),43,4,1983 Apr,"Effects of the epipodophyllotoxin VP-16-213 on cell cycle traverse, DNA synthesis, and DNA strand size in cultures of human leukemic lymphoblasts.",1592-7,"['Kalwinsky, D K', 'Look, A T', 'Ducore, J', 'Fridland, A']","['Kalwinsky DK', 'Look AT', 'Ducore J', 'Fridland A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (DNA, Neoplasm)', '6PLQ3CP4P3 (Etoposide)', 'L36H50F353 (Podophyllotoxin)']",IM,"['Cell Cycle/*drug effects', 'Cell Line', 'DNA Replication/*drug effects', 'DNA, Neoplasm/*biosynthesis', 'Etoposide/*toxicity', 'Humans', 'Kinetics', 'Leukemia, Lymphoid/*physiopathology', 'Podophyllotoxin/*analogs & derivatives']",1983/04/01 00:00,1983/04/01 00:01,['1983/04/01 00:00'],"['1983/04/01 00:00 [pubmed]', '1983/04/01 00:01 [medline]', '1983/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1983 Apr;43(4):1592-7.,"Serial studies of human leukemic lymphoblasts (CCRF-CEM line) cultured with 0.25 to 2.5 microM VP-16-213 for 0 to 6 hr indicated that the mechanism of cytotoxicity of this compound involves a primary effect on DNA. The most striking early change shown by flow cytometry in VP-16-213-treated cells was a delay in S-phase transit before arrest of cells in G2. Coinciding with this S-phase delay was a selective inhibition of thymidine incorporation into DNA as well as concentration-dependent scission of DNA strands. Using alkaline elution methods, we were able to detect DNA breakage at concentrations of VP-16-213 well below the level required to demonstrate kinetic effects or inhibition of DNA synthesis. These data suggest that DNA strand scission is the initial event in the sequence of kinetic and biosynthetic changes leading to growth inhibition and death of VP-16-213-treated cells. Inhibition of replicon initiation due to strand scission is a plausible explanation for the cytotoxic action of this podophyllotoxin derivative.","['CA-20180/CA/NCI NIH HHS/United States', 'CA-21765/CA/NCI NIH HHS/United States']",,,,,,,,,,,
6572552,NLM,MEDLINE,19830527,20190816,0165-4608 (Print) 0165-4608 (Linking),8,4,1983 Apr,Masked Philadelphia chromosome caused by translocation (9;11;22).,319-23,"['Sessarego, M', 'Pasquali, F', 'Bianchi Scarra, G L', 'Ajmar, F']","['Sessarego M', 'Pasquali F', 'Bianchi Scarra GL', 'Ajmar F']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['*Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 6-12 and X', 'Female', 'Genetic Variation', 'Humans', 'Leukemia, Myeloid/*genetics', 'Middle Aged', '*Translocation, Genetic']",1983/04/01 00:00,1983/04/01 00:01,['1983/04/01 00:00'],"['1983/04/01 00:00 [pubmed]', '1983/04/01 00:01 [medline]', '1983/04/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1983 Apr;8(4):319-23. doi: 10.1016/0165-4608(83)90074-2.,"In a patient with chronic myelocytic leukemia (CML), chromosome analysis revealed a translocation involving chromosomes No. 9, 11, and 22, with three break points, thus giving origin to a so-called ""masked"" Philadelphia chromosome (Ph1). A review of similar cases reported in the literature indicates that a masked Ph1 is very rare, that the chromosomes involved vary from case to case, and that in most cases the pattern of the rearrangement is quite different from that of two- and three-chromosome variant Ph1 translocations.",,"['0165-4608(83)90074-2 [pii]', '10.1016/0165-4608(83)90074-2 [doi]']",,,,,,,,,,
6572550,NLM,MEDLINE,19830505,20190816,0165-4608 (Print) 0165-4608 (Linking),8,1,1983 Jan,A case of chronic myeloid leukemia without Ph1 translocation.,75-9,"['Rolovic, Z', 'Ciric, M', 'Mijovic, A']","['Rolovic Z', 'Ciric M', 'Mijovic A']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Adult', 'Bone Marrow/ultrastructure', 'Chromosome Deletion', 'Chromosomes, Human, 21-22 and Y/*ultrastructure', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', '*Translocation, Genetic']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1983 Jan;8(1):75-9. doi: 10.1016/0165-4608(83)90066-3.,"A case of chronic myeloid leukemia (CML) with a short survival (11 months) is described. Cytogenetic peculiarities of the bone marrow cells analyzed by G-banding consisted of a Ph1 chromosome with no translocation and a translocation t(5;13). Hematological characteristics were marked leukocytosis and massive splenomegaly. After treatment with busulfan complete hematological remission was achieved, followed by the appearance of a normal clone. However, 6 months later the patient entered the blastic crisis and a hyperdiploid clone appeared. The usual chemotherapy was given, but the patient responded only partially and died with a prevalence of pathologic myeloblasts in the bone marrow, corresponding to progression of the hyperdiploid clone.",,"['0165-4608(83)90066-3 [pii]', '10.1016/0165-4608(83)90066-3 [doi]']",,,,,,,,,,
