PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,AB,TT,PMC
5635365,NLM,MEDLINE,19680303,20131121,0008-5472 (Print) 0008-5472 (Linking),28,1,1968 Jan,Sparing action of uridine on the activity of arabinosylcytosine with normal and leukemic mice.,11-20,"['Saslaw, L D', 'Grindey, G B', 'Kline, I', 'Waravdekar, V S']","['Saslaw LD', 'Grindey GB', 'Kline I', 'Waravdekar VS']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Nucleosides)', '0 (Uracil Nucleotides)', '04079A1RDZ (Cytarabine)', '10028-17-8 (Tritium)', '8J337D1HZY (Cytosine)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Chromatography', 'Cytarabine/*therapeutic use', 'Cytosine/*pharmacology', '*Drug Synergism', 'Leukemia L1210/*drug therapy', 'Male', 'Mice', 'Nucleosides/therapeutic use', 'Spleen/analysis', 'Thymidine', 'Tritium', 'Uracil Nucleotides/*pharmacology', 'Uridine/administration & dosage/*pharmacology/toxicity']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Cancer Res. 1968 Jan;28(1):11-20.,,,,
5635318,NLM,MEDLINE,19680303,20190619,0003-4819 (Print) 0003-4819 (Linking),68,1,1968 Jan,The direct Coombs' test: its clinical significance. Study in a large university hospital.,19-32,"['Bohnen, R F', 'Ultmann, J E', 'Gorman, J G', 'Farhangi, M', 'Scudder, J']","['Bohnen RF', 'Ultmann JE', 'Gorman JG', 'Farhangi M', 'Scudder J']",['eng'],['Journal Article'],United States,Ann Intern Med,Annals of internal medicine,0372351,,IM,"['Adult', 'Aged', 'Anemia, Hemolytic/immunology', 'Anemia, Hemolytic, Autoimmune/immunology', 'Anemia, Pernicious/immunology', 'Blood Protein Disorders/complications', 'Blood Transfusion', 'Child, Preschool', 'Colitis, Ulcerative/immunology', 'Collagen Diseases/immunology', '*Coombs Test', 'Demyelinating Diseases/immunology', 'Drug Hypersensitivity/complications', 'Female', 'Hematologic Diseases/*immunology', 'Hepatomegaly/complications', 'Humans', 'Leukemia/immunology', 'Lymphoma/immunology', 'Male', 'Middle Aged', 'Neoplasms/immunology', 'New York City', 'Retrospective Studies', 'Thrombocytopenia/immunology']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1968 Jan;68(1):19-32. doi: 10.7326/0003-4819-68-1-19.,['10.7326/0003-4819-68-1-19 [doi]'],,,
5635310,NLM,MEDLINE,19680303,20190619,0003-4819 (Print) 0003-4819 (Linking),68,1,1968 Jan,Autoimmune hemolytic anemia and neoplasia of the reticuloendothelium. With a hypothesis concerning etiologic relationships.,109-21,"['Pirofsky, B']",['Pirofsky B'],['eng'],['Journal Article'],United States,Ann Intern Med,Annals of internal medicine,0372351,,IM,"['Adult', 'Aged', 'Anemia, Hemolytic, Autoimmune/*complications/etiology', 'Blood Cell Count', 'Blood Chemical Analysis', 'Bone Marrow Examination', 'Female', 'Hematocrit', 'Humans', 'Leukemia/*complications/etiology', 'Lymphoma/*complications/etiology', 'Male', 'Middle Aged', 'Thymoma/*complications/etiology']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1968 Jan;68(1):109-21. doi: 10.7326/0003-4819-68-1-109.,['10.7326/0003-4819-68-1-109 [doi]'],,,
5635074,NLM,MEDLINE,19680216,20131121,0003-9926 (Print) 0003-9926 (Linking),121,1,1968 Jan,"Chronic lymphocytic leukemia, Hodgkin's disease, and the nephrotic syndrome.",71-5,"['Brodovsky, H S', 'Samuels, M L', 'Migliore, P J', 'Howe, C D']","['Brodovsky HS', 'Samuels ML', 'Migliore PJ', 'Howe CD']",['eng'],['Journal Article'],United States,Arch Intern Med,Archives of internal medicine,0372440,"['0 (Cobalt Isotopes)', '18D0SL7309 (Chlorambucil)']",IM,"['Blood Protein Electrophoresis', 'Chlorambucil/therapeutic use', 'Cobalt Isotopes', 'Electrophoresis', 'Female', 'Hodgkin Disease/*complications/radiotherapy', 'Humans', 'Leukemia, Lymphoid/*complications/drug therapy', 'Male', 'Middle Aged', 'Nephrotic Syndrome/*complications/drug therapy', 'Proteinuria', 'Radioisotope Teletherapy']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Arch Intern Med. 1968 Jan;121(1):71-5.,,,,
5635061,NLM,MEDLINE,19680216,20190716,0002-922X (Print) 0002-922X (Linking),115,1,1968 Jan,Chronic granulocytic leukemia. Early blast crisis simulating acute leukemia.,66-70,"['Neerhout, R C']",['Neerhout RC'],['eng'],['Journal Article'],United States,Am J Dis Child,American journal of diseases of children (1960),0370471,,IM,"['Acute Disease', 'Child', 'Chronic Disease', 'Diagnosis, Differential', 'Erythrocyte Count', 'Erythrocytes', 'Female', 'Humans', 'Leukemia/*diagnosis', 'Leukocyte Count']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Am J Dis Child. 1968 Jan;115(1):66-70. doi: 10.1001/archpedi.1968.02100010068013.,['10.1001/archpedi.1968.02100010068013 [doi]'],,,
5635019,NLM,MEDLINE,19680216,20041117,0027-8874 (Print) 0027-8874 (Linking),40,1,1968 Jan,"Chromosome conditions of hypodiploid moloney virus-induced mouse leukemia, its transplantability and inductivity.",97-105,"['Ida, N', 'Ohba, Y', 'Fukuhara, A', 'Kohno, M']","['Ida N', 'Ohba Y', 'Fukuhara A', 'Kohno M']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Animals', 'Bone Marrow Cells', 'Cell-Free System', '*Chromosome Aberrations', 'Culture Techniques', 'Female', 'Injections, Intraperitoneal', 'Karyotyping', 'Leukemia, Experimental/*etiology', 'Liver/cytology', 'Lymph Nodes/cytology', 'Male', 'Mice', 'Moloney murine leukemia virus/*pathogenicity', 'Neoplasm Transplantation', 'Spleen/cytology', 'Thymus Gland/cytology']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1968 Jan;40(1):97-105.,,,,
5634968,NLM,MEDLINE,19680215,20041117,0028-4793 (Print) 0028-4793 (Linking),278,3,1968 Jan 18,If a child must die.,138-42,"['Evans, A E', 'Edin, S']","['Evans AE', 'Edin S']",['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,,IM,"['Child', 'Death', 'Humans', 'Leukemia/therapy', '*Parent-Child Relations', '*Physician-Patient Relations', '*Terminal Care']",1968/01/18 00:00,1968/01/18 00:01,['1968/01/18 00:00'],"['1968/01/18 00:00 [pubmed]', '1968/01/18 00:01 [medline]', '1968/01/18 00:00 [entrez]']",ppublish,N Engl J Med. 1968 Jan 18;278(3):138-42. doi: 10.1056/NEJM196801182780304.,['10.1056/NEJM196801182780304 [doi]'],,,
5634841,NLM,MEDLINE,19680215,20190620,0008-543X (Print) 0008-543X (Linking),21,1,1968 Jan,Human appendix and neoplasia.,109-18,"['Bierman, H R']",['Bierman HR'],['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Appendectomy', 'Appendicitis/epidemiology', '*Appendix/cytology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/epidemiology', 'Lymphoma/epidemiology', 'Male', 'Middle Aged', 'Neoplasms/*epidemiology', 'Retrospective Studies', 'Sex Factors', 'Vascular Diseases/epidemiology']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Cancer. 1968 Jan;21(1):109-18. doi: 10.1002/1097-0142(196801)21:1<109::aid-cncr2820210117>3.0.co;2-#.,['10.1002/1097-0142(196801)21:1<109::aid-cncr2820210117>3.0.co;2-# [doi]'],,,
5634663,NLM,MEDLINE,19680214,20190618,0036-8075 (Print) 0036-8075 (Linking),159,3813,1968 Jan 26,Leukemia virus suppression of antibody-forming cells: ultrastructure of infected spleens.,437-9,"['Chan, G', 'Rancourt, M W', 'Ceglowski, W S', 'Friedman, H']","['Chan G', 'Rancourt MW', 'Ceglowski WS', 'Friedman H']",['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,['0 (Hemolysin Proteins)'],IM,"['Animals', '*Antibody Formation', 'Erythrocytes', 'Friend murine leukemia virus/*pathogenicity', 'Hemolysin Proteins/biosynthesis', 'Inclusion Bodies, Viral', 'Leukemia, Experimental/*immunology/*pathology', 'Lymphocytes/microbiology', 'Mice', 'Microscopy, Electron', 'Spleen/*immunology/microbiology/*pathology', 'Splenomegaly']",1968/01/26 00:00,1968/01/26 00:01,['1968/01/26 00:00'],"['1968/01/26 00:00 [pubmed]', '1968/01/26 00:01 [medline]', '1968/01/26 00:00 [entrez]']",ppublish,Science. 1968 Jan 26;159(3813):437-9. doi: 10.1126/science.159.3813.437.,['10.1126/science.159.3813.437 [doi]'],Infection of adult BALB/c mice with Friend disease virus results in a leukemia-like disease characterized by erythropoietic changes and splenomegaly. A marked depression of formation of cellular and serum antibody occurs in infected animals. Electron-microscopic examination of the ultrastructure of spleen sections from infected mice with depressed immunity revealed that virus particles can be detected only in immature blastlike lymphoid cells and not in plasmocytes characteristic of the immune response in spleens of noninfected mice immunized with sheep erythrocytes.,,
5634629,NLM,MEDLINE,19680214,20190704,0007-1048 (Print) 0007-1048 (Linking),14,1,1968 Jan,Effect of vincristine on synthesis of ribonucleic acid and protein in leukaemic leucocytes.,21-9,"['Cline, M J']",['Cline MJ'],['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (Amino Acids)', '0 (Carbon Isotopes)', '10028-17-8 (Tritium)', '5J49Q6B70F (Vincristine)', '63231-63-0 (RNA)', 'IY9XDZ35W2 (Glucose)', 'WHI7HQ7H85 (Uridine)']",IM,"['Amino Acids/metabolism', 'Carbon Isotopes', 'Centrifugation, Density Gradient', 'Glucose/metabolism', 'Humans', 'Leukemia/*drug therapy', 'Leukocytes/*drug effects', 'Protein Biosynthesis', 'RNA/*biosynthesis', 'Tritium', 'Uridine/metabolism', 'Vincristine/*pharmacology']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Br J Haematol. 1968 Jan;14(1):21-9. doi: 10.1111/j.1365-2141.1968.tb01469.x.,['10.1111/j.1365-2141.1968.tb01469.x [doi]'],,,
5634457,NLM,MEDLINE,19680210,20161122,0007-1285 (Print) 0007-1285 (Linking),41,481,1968 Jan,Bone changes in adult acute leukaemia.,66-8,"['Ngan, H', 'James, K W', 'McCready, V R', 'Macdonald, J S']","['Ngan H', 'James KW', 'McCready VR', 'Macdonald JS']",['eng'],['Journal Article'],England,Br J Radiol,The British journal of radiology,0373125,,IM,"['Acute Disease', 'Adult', 'Bone and Bones/*diagnostic imaging', 'Humans', 'Leukemia/*diagnostic imaging', 'Male', 'Radiography', 'Radionuclide Imaging', 'Shoulder/diagnostic imaging']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Br J Radiol. 1968 Jan;41(481):66-8. doi: 10.1259/0007-1285-41-481-66.,['10.1259/0007-1285-41-481-66 [doi]'],,,
