PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,RN,SB,CON,MH,AID,CI,AD,GR,TT,DEP,RF,CIN,PS,FPS,MID,CN,SI,EIN,LID,OID,GN,OTO,OT
17422403,NLM,PubMed-not-MEDLINE,20100628,20181113,0008-5286 (Print) 0008-5286 (Linking),25,5,1984 May,Multicentric fibrosarcoma in a cat and a review of the literature.,207-10,"A case of multicentric fibrosarcoma in a ten month old domestic short-haired cat is presented and discussed. Tumor tissue was found to involve the right distal forepaw, right shoulder area and a popliteal lymph node. This anaplastic neoplasm was concentrated primarily in subcutaneous tissues but also extended to muscle, bone and lung. The cat was found to be positive for feline leukemia virus by the ELISA test. Based on these findings, it is likely that the lesions in this case result from an interaction between the feline leukemia virus and feline sarcoma virus.","['Harasen, G L']",['Harasen GL'],['eng'],['Journal Article'],Canada,Can Vet J,The Canadian veterinary journal = La revue veterinaire canadienne,0004653,PMC1790562,1984/05/01 00:00,1984/05/01 00:01,['1984/05/01 00:00'],"['1984/05/01 00:00 [pubmed]', '1984/05/01 00:01 [medline]', '1984/05/01 00:00 [entrez]']",ppublish,Can Vet J. 1984 May;25(5):207-10.,,,,,,,,,,,,,,,,,,,,,,,
17422270,NLM,PubMed-not-MEDLINE,20100628,20181113,0008-5286 (Print) 0008-5286 (Linking),24,6,1983 Jun,A strategy for control of bovine leukemia virus infection: test and corrective management.,192-5,"Test and corrective management was applied in one dairy herd (130 milking cows) to control bovine leukemia virus infection. It consisted of: raising uninfected calves in order to establish a pool of uninfected replacement heifers, preventing transmission of bovine leukemia virus through transfer of blood from animal to animal and closing the herd. Regular herd testing was combined with selected changes in herd management. These procedures have been followed since January 1979. Prevalence of antibodies (as determined by gel-immunodiffusion) has declined markedly since the program was implemented.","['Ruppanner, R', 'Behymer, D E', 'Paul, S', 'Miller, J M', 'Theilen, G H']","['Ruppanner R', 'Behymer DE', 'Paul S', 'Miller JM', 'Theilen GH']",['eng'],['Journal Article'],Canada,Can Vet J,The Canadian veterinary journal = La revue veterinaire canadienne,0004653,PMC1790377,1983/06/01 00:00,1983/06/01 00:01,['1983/06/01 00:00'],"['1983/06/01 00:00 [pubmed]', '1983/06/01 00:01 [medline]', '1983/06/01 00:00 [entrez]']",ppublish,Can Vet J. 1983 Jun;24(6):192-5.,,,,,,,,,,,,,,,,,,,,,,,
17421664,NLM,PubMed-not-MEDLINE,20070727,20181113,0008-5286 (Print) 0008-5286 (Linking),5,1,1964 Jan,Leukemia in a Cat.,17-8,,"['Nelson, F C', 'Flowers, F H']","['Nelson FC', 'Flowers FH']",['eng'],['Journal Article'],Canada,Can Vet J,The Canadian veterinary journal = La revue veterinaire canadienne,0004653,PMC1695546,1964/01/01 00:00,1964/01/01 00:01,['1964/01/01 00:00'],"['1964/01/01 00:00 [pubmed]', '1964/01/01 00:01 [medline]', '1964/01/01 00:00 [entrez]']",ppublish,Can Vet J. 1964 Jan;5(1):17-8.,,,,,,,,,,,,,,,,,,,,,,,
17421102,NLM,MEDLINE,20070502,20201209,0090-3493 (Print) 0090-3493 (Linking),35,3,2007 Mar,Understanding another acute respiratory distress syndrome.,974-5,,"['Zimmerman, Jerry J']",['Zimmerman JJ'],['eng'],"['Editorial', 'Comment']",United States,Crit Care Med,Critical care medicine,0355501,,2007/04/11 09:00,2007/05/03 09:00,['2007/04/11 09:00'],"['2007/04/11 09:00 [pubmed]', '2007/05/03 09:00 [medline]', '2007/04/11 09:00 [entrez]']",ppublish,Crit Care Med. 2007 Mar;35(3):974-5. doi: 10.1097/01.ccm.0000257230.24850.84.,"['0 (Antineoplastic Agents)', '0 (CXCL1 protein, human)', '0 (Chemokine CXCL1)', '0 (Chemokines, CXC)', '0 (Interleukin-8)', '5688UTC01R (Tretinoin)']",IM,['Crit Care Med. 2007 Mar;35(3):879-85. PMID: 17235257'],"['Antineoplastic Agents/administration & dosage/*toxicity', 'Cell Line, Tumor', 'Cell Movement/drug effects', 'Chemokine CXCL1', 'Chemokines, CXC/*physiology', 'Chemotaxis, Leukocyte/*drug effects/physiology', 'Epithelial Cells/drug effects/immunology', 'Flow Cytometry', 'Humans', 'In Vitro Techniques', 'Interleukin-8/*physiology', 'Leukemia, Promyelocytic, Acute/*drug therapy/immunology', 'Pulmonary Alveoli/*drug effects/immunology', 'Respiratory Distress Syndrome/*chemically induced/immunology', 'Syndrome', 'Tretinoin/administration & dosage/*toxicity']",['10.1097/01.ccm.0000257230.24850.84 [doi]'],,,,,,,,,,,,,,,,,,
17420992,NLM,MEDLINE,20080108,20151119,1545-5017 (Electronic) 1545-5009 (Linking),50,1,2008 Jan,Initial testing (stage 1) of the proteasome inhibitor bortezomib by the pediatric preclinical testing program.,37-45,"BACKGROUND: Bortezomib is a proteasome inhibitor that has been approved by FDA for the treatment of multiple myeloma and that has completed phase 1 testing in children. The purpose of the current study was to evaluate the antitumor activity of bortezomib against the in vitro and in vivo childhood cancer preclinical models of the Pediatric Preclinical Testing Program (PPTP). PROCEDURES: Bortezomib was tested against the PPTP in vitro panel at concentrations ranging from 0.1 nM to 1.0 microM and was tested in vivo at a dose of 1 mg/kg for a planned duration of 6 weeks. RESULTS: Bortezomib was uniformly active against the PPTP's in vitro panel, with a median IC(50) of 23 nM and with a steep dose-response curve. The four acute lymphoblastic leukemia (ALL) cell lines had significantly lower IC(50) values compared to the remaining lines of the in vitro panel. Limited in vivo activity was observed for bortezomib against the solid tumor xenografts tested, with one line meeting criteria for intermediate activity for the time to event measure and with the remaining lines showing low activity for this measure. Bortezomib demonstrated in vivo activity against the ALL panel, inducing two complete and two partial responses among seven evaluable lines. CONCLUSIONS: Administered at its MTD in mice, bortezomib demonstrated activity against selected lines of the PPTP's ALL in vivo panel. Further studies are indicated to determine the activity of bortezomib when combined with standard agents to treat childhood ALL.","['Houghton, Peter J', 'Morton, Christopher L', 'Kolb, E Anders', 'Lock, Richard', 'Carol, Hernan', 'Reynolds, C Patrick', 'Keshelava, Nino', 'Maris, John M', 'Keir, Stephen T', 'Wu, Jianrong', 'Smith, Malcolm A']","['Houghton PJ', 'Morton CL', 'Kolb EA', 'Lock R', 'Carol H', 'Reynolds CP', 'Keshelava N', 'Maris JM', 'Keir ST', 'Wu J', 'Smith MA']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",United States,Pediatr Blood Cancer,Pediatric blood & cancer,101186624,,2007/04/11 09:00,2008/01/09 09:00,['2007/04/11 09:00'],"['2007/04/11 09:00 [pubmed]', '2008/01/09 09:00 [medline]', '2007/04/11 09:00 [entrez]']",ppublish,Pediatr Blood Cancer. 2008 Jan;50(1):37-45. doi: 10.1002/pbc.21214.,"['0 (Antineoplastic Agents)', '0 (Boronic Acids)', '0 (Protease Inhibitors)', '0 (Pyrazines)', '69G8BD63PP (Bortezomib)']",IM,,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Boronic Acids/*therapeutic use', 'Bortezomib', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Dose-Response Relationship, Drug', 'Female', 'In Vitro Techniques', 'Mice', 'Mice, Inbred Strains', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/pathology', 'Protease Inhibitors/*therapeutic use', 'Pyrazines/*therapeutic use', '*Xenograft Model Antitumor Assays']",['10.1002/pbc.21214 [doi]'],"['(c) 2007 Wiley-Liss, Inc.']","[""St. Jude Children's Research Hospital, Memphis, Tennessee, USA. peter.houghton@stjude.org""]",['N01-CM-42216/CM/NCI NIH HHS/United States'],,,,,,,,,,,,,,,
17420987,NLM,MEDLINE,20070730,20070501,1045-2257 (Print) 1045-2257 (Linking),46,7,2007 Jul,Haemopoietic growth factors significantly improve the mitotic index and chromosome quality in cytogenetic cultures of myeloid neoplasia.,670-4,"Haemopoietic growth factors stimulate bone marrow cell division, differentiation, and survival in vivo. We have investigated the use of recombinant human haemopoietic growth factors in vitro to improve cytogenetic cultures. Using a combination of granulocyte colony stimulating factor, granulocyte macrophage colony stimulating factor, stem cell factor, and interleukin-3, we developed an additive for bone marrow cultures intended to stimulate myeloid cell growth. Sixty-seven paired parallel cultures were analyzed, of which 50 were abnormal. The growth factor (GF) cultures showed a median four- to five-fold increase in mitotic index (MI) (P < 0.0001). In addition, the chromosome morphology was significantly improved in the GF cultures with a median increase in United Kingdom National External Quality Assessment Scheme quality score of 1.25 points (P < 0.0001). There was no statistically significant difference in the number of abnormal cells between the two culture methods. The combination of higher MI and improved chromosome quality substantially reduces the time required to process a case; furthermore, the GF medium is cheaper than the medium with which it was compared. This method is suitable for both diagnostic and follow-up cytogenetic analysis of acute and chronic myeloid neoplasia and is particularly useful for poorly cellular marrow samples or blood samples that would be expected to fail on standard culture. The use of this method has enabled substantial improvements in work efficiency in our oncology cytogenetic laboratory and reduced average reporting times from 9.0 days (2004/5) to 7.1 days (2005/6), despite a 6% increase in sample numbers.","['Earle, Victoria L', 'Ross, Fiona', 'Fisher, Andrew', 'Strike, Paul', 'Berrington, Samantha', 'Chiecchio, Laura', 'Cabanas, Elisabet Dachs', 'Washbourne, Rebecca', 'Watts, Kathryn', 'Grand, Francis']","['Earle VL', 'Ross F', 'Fisher A', 'Strike P', 'Berrington S', 'Chiecchio L', 'Cabanas ED', 'Washbourne R', 'Watts K', 'Grand F']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Genes Chromosomes Cancer,"Genes, chromosomes & cancer",9007329,,2007/04/11 09:00,2007/07/31 09:00,['2007/04/11 09:00'],"['2007/04/11 09:00 [pubmed]', '2007/07/31 09:00 [medline]', '2007/04/11 09:00 [entrez]']",ppublish,Genes Chromosomes Cancer. 2007 Jul;46(7):670-4. doi: 10.1002/gcc.20450.,['0 (Hematopoietic Cell Growth Factors)'],IM,,"['Acute Disease', '*Chromosomes, Human', 'Hematopoietic Cell Growth Factors/*pharmacology', 'Humans', 'Leukemia, Myeloid/*genetics/*pathology', 'Mitosis/*drug effects', 'Tumor Cells, Cultured']",['10.1002/gcc.20450 [doi]'],,"['Wessex Regional Genetics Laboratory, Salisbury District Hospital, Salisbury SP2 8BJ, UK. victoria.earle@salibury.nhs.uk']",,,,,,,,,,,,,,,,
17420886,NLM,MEDLINE,20080303,20190917,0104-4230 (Print) 0104-4230 (Linking),53,1,2007 Jan-Feb,[Lung disease associated with acute myeloid leukemia and hyperleukocitosis. ].,13,,"['Arkader, Ronaldo', 'Horigoshi, Nelson K', 'Lee, Maria Lucia M', 'Benites, Eliana C', 'de Carvalho, Werther B']","['Arkader R', 'Horigoshi NK', 'Lee ML', 'Benites EC', 'de Carvalho WB']",['por'],"['Case Reports', 'Journal Article']",Brazil,Rev Assoc Med Bras (1992),Revista da Associacao Medica Brasileira (1992),9308586,,2007/04/11 09:00,2008/03/04 09:00,['2007/04/11 09:00'],"['2007/04/11 09:00 [pubmed]', '2008/03/04 09:00 [medline]', '2007/04/11 09:00 [entrez]']",ppublish,Rev Assoc Med Bras (1992). 2007 Jan-Feb;53(1):13. doi: 10.1590/s0104-42302007000100011.,,IM,,"['Acute Disease', 'Adolescent', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*diagnostic imaging', 'Leukostasis/*diagnostic imaging', 'Lung Diseases/*diagnostic imaging', 'Tomography, X-Ray Computed']","['S0104-42302007000100011 [pii]', '10.1590/s0104-42302007000100011 [doi]']",,"['Departamento de Terapia Intensiva Pediatrica e Onco-Hematologia, Pronto-Socorro Infantil Hospital Sabara, Sao Paulo, SP, Brazil.']",,Doenca pulmonar associada a leucemia mieloide aguda e hiperleucocitose.,,,,,,,,,,,,,,
17420287,NLM,MEDLINE,20070920,20210206,0006-4971 (Print) 0006-4971 (Linking),110,4,2007 Aug 15,"VEGFR-1 (FLT-1), beta1 integrin, and hERG K+ channel for a macromolecular signaling complex in acute myeloid leukemia: role in cell migration and clinical outcome.",1238-50,"Leukemia cell motility and transendothelial migration into extramedullary sites are regulated by angiogenic factors and are considered unfavorable prognostic factors in acute leukemias. We have studied cross talk among (1) the vascular endothelial growth factor receptor-1, FLT-1; (2) the human eag-related gene 1 (hERG1) K(+) channels; and (3) integrin receptors in acute myeloid leukemia (AML) cells. FLT-1, hERG1, and the beta(1) integrin were found to form a macromolecular signaling complex. The latter mostly recruited the hERG1B isoform of hERG1 channels, and its assembly was necessary for FLT-1 signaling activation and AML cell migration. Both effects were inhibited when hERG1 channels were specifically blocked. A FLT-1/hERG1/beta(1) complex was also observed in primary AML blasts, obtained from a population of human patients. The co-expression of FLT-1 and hERG1 conferred a pro-migratory phenotype to AML blasts. Such a phenotype was also observed in vivo. The hERG1-positive blasts were more efficient in invading the peripheral circulation and the extramedullary sites after engraftment into immunodeficient mice. Moreover, hERG1 expression in leukemia patients correlated with a higher probability of relapse and shorter survival periods. We conclude that in AML, hERG1 channels mediate the FLT-1-dependent cell migration and invasion, and hence confer a greater malignancy.","['Pillozzi, Serena', 'Brizzi, Maria Felice', 'Bernabei, Pietro Antonio', 'Bartolozzi, Benedetta', 'Caporale, Roberto', 'Basile, Venere', 'Boddi, Vieri', 'Pegoraro, Luigi', 'Becchetti, Andrea', 'Arcangeli, Annarosa']","['Pillozzi S', 'Brizzi MF', 'Bernabei PA', 'Bartolozzi B', 'Caporale R', 'Basile V', 'Boddi V', 'Pegoraro L', 'Becchetti A', 'Arcangeli A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,,2007/04/11 09:00,2007/09/21 09:00,['2007/04/11 09:00'],"['2007/04/11 09:00 [pubmed]', '2007/09/21 09:00 [medline]', '2007/04/11 09:00 [entrez]']",ppublish,Blood. 2007 Aug 15;110(4):1238-50. doi: 10.1182/blood-2006-02-003772. Epub 2007 Apr 9.,"['0 (Ether-A-Go-Go Potassium Channels)', '0 (Integrin beta1)', '0 (KCNH1 protein, human)', '0 (RNA, Small Interfering)', 'EC 2.7.10.1 (Vascular Endothelial Growth Factor Receptor-1)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-akt)']",IM,,"['Acute Disease', 'Adult', 'Aged', 'Cell Adhesion', '*Cell Movement', 'Cell Survival', 'Ether-A-Go-Go Potassium Channels/*metabolism', 'Female', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Immunoenzyme Techniques', 'Integrin beta1/*metabolism', 'Leukemia, Myeloid/*metabolism/pathology', 'Male', 'Middle Aged', 'Neoplasm Invasiveness/pathology', 'Phosphorylation', 'Proto-Oncogene Proteins c-akt/antagonists & inhibitors/genetics/metabolism', 'RNA, Small Interfering/pharmacology', 'Signal Transduction', 'Tumor Cells, Cultured', 'Vascular Endothelial Growth Factor Receptor-1/*metabolism']","['S0006-4971(20)49497-2 [pii]', '10.1182/blood-2006-02-003772 [doi]']",,"['Department of Experimental Pathology and Oncology, University of Firenze, Firenze, Italy.']",,,20070409,,,,,,,,,,,,,
17420285,NLM,MEDLINE,20070913,20210206,0006-4971 (Print) 0006-4971 (Linking),110,2,2007 Jul 15,RNAi screen identifies UBE2D3 as a mediator of all-trans retinoic acid-induced cell growth arrest in human acute promyelocytic NB4 cells.,640-50,"All-trans retinoic acid (ATRA) has been widely used in differentiation therapy for acute promyelocytic leukemia (APL). ATRA binds to retinoic acid receptor (RAR) and triggers the formation of the transcription coactivator complex, which leads to changes in gene expression, APL cell-cycle arrest and differentiation, and clinical remission. The mechanisms responsible for ATRA's beneficial effects are still ill-defined. Here, we conducted a large-scale, unbiased short hairpin RNA (shRNA) screen aiming to identify mediators of ATRA-induced differentiation and growth arrest of APL cells. Twenty-six proteins were identified. They cover a wide range of cellular functions, including gene expression, intracellular signaling, cell death control, stress responses, and metabolic regulation, indicating the complexity of ATRA-induced cell growth control and differentiation in APL. One of these proteins, the ubiquitin-conjugating enzyme UBE2D3, is up-regulated in ATRA-treated acute promyelocytic NB4 cells. UBE2D3 is physically associated with cyclin D1 and mediates ATRA-induced cyclin D1 degradation. Knocking down UBE2D3 by RNA interference (RNAi) leads to blockage of ATRA-induced cyclin D1 degradation and cell-cycle arrest. Thus, our results highlight the involvement of the ubiquitin-mediated proteolysis pathway in ATRA-induced cell-cycle arrest and provide a novel strategy for modulating ATRA-elicited cellular effects.","['Hattori, Hidenori', 'Zhang, Xueqing', 'Jia, Yonghui', 'Subramanian, Kulandayan K', 'Jo, Hakryul', 'Loison, Fabien', 'Newburger, Peter E', 'Luo, Hongbo R']","['Hattori H', 'Zhang X', 'Jia Y', 'Subramanian KK', 'Jo H', 'Loison F', 'Newburger PE', 'Luo HR']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,PMC1924478,2007/04/11 09:00,2007/09/14 09:00,['2007/04/11 09:00'],"['2007/04/11 09:00 [pubmed]', '2007/09/14 09:00 [medline]', '2007/04/11 09:00 [entrez]']",ppublish,Blood. 2007 Jul 15;110(2):640-50. doi: 10.1182/blood-2006-11-059048. Epub 2007 Apr 9.,"['0 (RNA, Small Interfering)', '5688UTC01R (Tretinoin)', 'EC 2.3.2.23 (UBE2D3 protein, human)', 'EC 2.3.2.23 (Ubiquitin-Conjugating Enzymes)']",IM,,"['Cell Cycle', 'Cell Division/*drug effects', 'Cell Line, Tumor', 'Drug Resistance, Neoplasm', 'Humans', 'Leukemia, Promyelocytic, Acute/*genetics/pathology', 'Oligonucleotide Array Sequence Analysis', '*RNA Interference', 'RNA, Small Interfering/*genetics', 'Signal Transduction', 'Tretinoin/*pharmacology', 'Ubiquitin-Conjugating Enzymes/*genetics']","['S0006-4971(20)41275-3 [pii]', '10.1182/blood-2006-11-059048 [doi]']",,,"['NS052200/NS/NINDS NIH HHS/United States', 'R21 NS052200/NS/NINDS NIH HHS/United States', 'R01 DK054369/DK/NIDDK NIH HHS/United States', 'R01 GM076084/GM/NIGMS NIH HHS/United States', 'DK054369/DK/NIDDK NIH HHS/United States', 'R01 HL085100/HL/NHLBI NIH HHS/United States', 'GM076084/GM/NIGMS NIH HHS/United States', 'HL085100/HL/NHLBI NIH HHS/United States']",,20070409,,,,,,,,,,,,,
17420284,NLM,MEDLINE,20070913,20210206,0006-4971 (Print) 0006-4971 (Linking),110,2,2007 Jul 15,"Haploinsufficiency of EGR1, a candidate gene in the del(5q), leads to the development of myeloid disorders.",719-26,"Loss of a whole chromosome 5 or a deletion of the long arm, del(5q), is a recurring abnormality in myelodysplastic syndromes (MDSs) and acute myeloid leukemia (AML). To identify a leukemia-related gene on chromosome 5, we previously delineated a 970-kb segment of 5q31 that is deleted in all patients examined, and prepared a transcript map of this region. EGR1 is a candidate tumor suppressor gene within the commonly deleted segment of 5q, and encodes a zinc finger transcription factor. To test the hypothesis that loss of function of Egr1 is an initiating event in the pathogenesis of AML/MDS, Egr1-deficient mice were treated with a potent DNA alkylating agent, N-ethyl-nitrosourea (ENU), to induce secondary cooperating mutations. Egr1(+/-) and Egr1(-/-) mice treated with ENU developed immature T-cell lymphomas (CD4(+), CD8(+)) or a myeloproliferative disorder (MPD) at increased rates and with shorter latencies than that of wild-type littermates. The MPD was characterized by an elevated white blood cell count, anemia, and thrombocytopenia with ineffective erythropoiesis. Biallelic mutations of Egr1 were not observed in MPDs in Egr1(+/-) mice. Our data suggest that haploinsufficiency for Egr1 plays a role in murine leukemogenesis, and in the development of AML/MDS characterized by abnormalities of chromosome 5.","['Joslin, John M', 'Fernald, Anthony A', 'Tennant, Thelma R', 'Davis, Elizabeth M', 'Kogan, Scott C', 'Anastasi, John', 'Crispino, John D', 'Le Beau, Michelle M']","['Joslin JM', 'Fernald AA', 'Tennant TR', 'Davis EM', 'Kogan SC', 'Anastasi J', 'Crispino JD', 'Le Beau MM']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",United States,Blood,Blood,7603509,PMC1924479,2007/04/11 09:00,2007/09/14 09:00,['2007/04/11 09:00'],"['2007/04/11 09:00 [pubmed]', '2007/09/14 09:00 [medline]', '2007/04/11 09:00 [entrez]']",ppublish,Blood. 2007 Jul 15;110(2):719-26. doi: 10.1182/blood-2007-01-068809. Epub 2007 Apr 9.,"['0 (EGR1 protein, human)', '0 (Early Growth Response Protein 1)', '0 (Egr1 protein, mouse)']",IM,,"['Animals', 'Bone Marrow Cells/pathology', 'Cell Differentiation', 'Chromosome Mapping', '*Chromosomes, Human, Pair 5', 'Early Growth Response Protein 1/deficiency/*genetics', 'Humans', 'Leukemia, Myeloid/*genetics', 'Mice', 'Mice, Knockout', 'Mutagenesis', 'Myelodysplastic Syndromes/*genetics', 'Polymorphism, Single-Stranded Conformational', '*Sequence Deletion', 'Stem Cells/pathology/physiology']","['S0006-4971(20)41283-2 [pii]', '10.1182/blood-2007-01-068809 [doi]']",,"['Section of Hematology/Oncology and the Cancer Research Center, University of Chicago, IL 60637, USA.']","['R01 CA101774-06/CA/NCI NIH HHS/United States', 'CA40046/CA/NCI NIH HHS/United States', 'P01 CA040046/CA/NCI NIH HHS/United States', 'U01 CA084221/CA/NCI NIH HHS/United States', 'CA84221/CA/NCI NIH HHS/United States', 'R01 CA101774/CA/NCI NIH HHS/United States']",,20070409,,,,,,,,,,,,,
