PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RF,GR,IP,AID,CIN,PMC,TT,SI,CON,EIN,DEP,CN,IR,FIR,OID,OAB,OABL,OTO,OT,GN,LID,RIN
9209419,NLM,MEDLINE,19970807,20130304,0887-6924 (Print) 0887-6924 (Linking),11 Suppl 3,1997 Apr,Role of alternative splicing of the rat erythropoietin receptor gene in normal and erythroleukemia cells.,444-5,"An alternatively splicing of the rat erythropoietin receptor (EpoR) gene was identified in normal and erythroleukemia cells by the reverse transcription PCR method. Insertion of a 105 bp fragment at the region corresponding to the extracellular domain of rat EpoR was found. The insert sequence, which encodes additional 21 amino acids, is similar to that previously found in the mouse EpoR gene, however, has an additional 27 bp direct repeat. Due to the presence of a stop codon in the insert, the alternative transcript is translated to a truncated and soluble form of EpoR which is preferentially expressed in liver, spleen, kidney, heart, and bone marrow cells as well as cultured erythroleukemia cells. These findings suggest that alternative splicing of the EpoR gene may play an important role in proliferation and differentiation of rat erythroid cells.","['Fujita, M', 'Takahashi, R', 'Liang, P', 'Saya, H', 'Ashoori, F', 'Tachi, M', 'Kitazawa, S', 'Maeda, S']","['Fujita M', 'Takahashi R', 'Liang P', 'Saya H', 'Ashoori F', 'Tachi M', 'Kitazawa S', 'Maeda S']","['Second Department of Pathology, Kobe University School of Medicine, Japan.']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,"['0 (DNA Primers)', '0 (DNA Transposable Elements)', '0 (Receptors, Erythropoietin)']",IM,"['*Alternative Splicing', 'Animals', 'Base Sequence', 'DNA Primers', 'DNA Transposable Elements', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Mice', 'Organ Specificity', 'Polymerase Chain Reaction', 'Protein Biosynthesis', 'Rats', 'Receptors, Erythropoietin/*biosynthesis/genetics', 'Reference Values', 'Repetitive Sequences, Nucleic Acid', 'Tumor Cells, Cultured']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",ppublish,Leukemia. 1997 Apr;11 Suppl 3:444-5.,,,,,,,,,,,,,,,,,,,,,,
9209418,NLM,MEDLINE,19970807,20151119,0887-6924 (Print) 0887-6924 (Linking),11 Suppl 3,1997 Apr,Prognostic significance of TNF alpha and its p55 soluble receptor in malignant lymphomas.,441-3,"In 93 newly diagnosed lymphoma patients, tumor necrosis factor alpha (TNF alpha) and its p55 soluble receptor (p55-sR), were prospectively determined in plasma by IRMA and ELISA methods respectively. These 93 patients included 31 patients with low grade lymphoma, 55 with intermediate or high grade lymphoma and 7 with Hodgkin's disease. Median TNF alpha plasma values were 20 pg/mL (range 5-380 pg/mL) in patients versus 7 pg/mL (range 4-9 pg/mL) in healthy control subjects. Presence of TNF alpha level equal or greater than 20 pg/mL was significantly associated with elevated LDH level, serum beta 2-microglobulin level > or = 3 mg/L, hemoglobin < or = 12 g/dL, Ann Arbor stage III or IV disease, and with bulky tumor. High level of TNF alpha was also associated, although less strongly, with B symptoms, poor performance status, and serum albumin < or = 35 g/L, yet it was not associated with change in acute phase protein levels. Levels of p55-sR were also markedly elevated in these lymphoma patients (median of 3.5 ng/mL, range 0.8-18.8 ng/mL) versus 1.45 ng/mL in control subjects (range 1.1-2.3 ng/mL). Level of p55-sR equal or greater than 3.5 ng/mL was significantly associated with poor performance status, B symptoms, beta 2-microglobulin levels > or = 3 mg/L, serum albumin < or = 35 g/L, C-reactive protein > 6 mg/L, hemoglobin < or = 12 g/dL, and bulky tumor. In the whole group of 93 patients, both high TNF alpha and p55-sR levels strongly predicted short freedom from progression and overall survival. This study suggests that elevated TNF alpha and p55-sR plasma levels have a high correlation with other adverse prognostic factors in lymphoma patients and predict their poor outcome.","['Warzocha, K', 'Salles, G', 'Bienvenu, J', 'Barbier, Y', 'Bastion, Y', 'Doche, C', 'Rieux, C', 'Coiffier, B']","['Warzocha K', 'Salles G', 'Bienvenu J', 'Barbier Y', 'Bastion Y', 'Doche C', 'Rieux C', 'Coiffier B']","[""Service d'Hematologie, Centre Hospitalier Lyon-Sud, Pierre Benite, France.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antigens, CD)', '0 (Biomarkers, Tumor)', '0 (Receptors, Tumor Necrosis Factor)', '0 (Receptors, Tumor Necrosis Factor, Type I)', '0 (Serum Albumin)', '0 (Tumor Necrosis Factor-alpha)', '0 (beta 2-Microglobulin)', '9007-41-4 (C-Reactive Protein)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']",IM,"['Antigens, CD/*blood', 'Biomarkers, Tumor/*blood', 'C-Reactive Protein/analysis', 'Disease Progression', 'Hodgkin Disease/blood/immunology/mortality/pathology', 'Humans', 'Immunoradiometric Assay', 'L-Lactate Dehydrogenase/blood', 'Lymphoma/*blood/immunology/mortality/pathology', 'Neoplasm Staging', 'Prognosis', 'Prospective Studies', 'Receptors, Tumor Necrosis Factor/*blood', 'Receptors, Tumor Necrosis Factor, Type I', 'Reference Values', 'Serum Albumin/analysis', 'Survival Rate', 'Time Factors', 'Tumor Necrosis Factor-alpha/*analysis', 'beta 2-Microglobulin/analysis']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",ppublish,Leukemia. 1997 Apr;11 Suppl 3:441-3.,,,,,,,,,,,,,,,,,,,,,,
9209417,NLM,MEDLINE,19970807,20130304,0887-6924 (Print) 0887-6924 (Linking),11 Suppl 3,1997 Apr,DNA damage-induced apoptosis and Ice gene induction in mitogenically activated T lymphocytes require IRF-1.,439-40,"Lymphocytes are highly sensitive to DNA damage-induced apoptosis. In thymocytes, the tumor suppressor p53 has been shown to be required for this type of apoptosis. However an as yet unknown, p53-independent pathway(s) appears to mediate the same event in mitogenically activated mature T lymphocytes. By using mice with a null mutation in the IRF-1 gene, we revealed that DNA damage-induced apoptosis in the latter cell type is dependent on the anti-oncogenic transcription factor interferon regulatory factor-1 (IRF-1). Thus two different anti-oncogenic transcription factors, p53 and IRF-1, are required for distinct apoptotic pathways in T lymphocytes. Furthermore, we found that mitogen induction of the interleukin-1 beta-converting enzyme (Ice) gene, a mammalian homolog of the Caenorhabditis elegans cell death gene ced-3, is also IRF-1-dependent. An IRF-1 binding sequence was identified in the 5' flanking region of the Ice gene. In addition, ectopic overexpression of IRF-1 results in the activation of the endogenous Ice gene and enhances the sensitivity of cells to radiation-induced apoptosis. Thus, induction of Ice gene may be involved in IRF-1 dependent DNA damage-induced apoptosis in activated mature T lymphocytes.","['Tamura, T', 'Ishihara, M', 'Lamphier, M S', 'Tanaka, N', 'Oishi, I', 'Aizawa, S', 'Matsuyama, T', 'Mak, T W', 'Taki, S', 'Taniguchi, T']","['Tamura T', 'Ishihara M', 'Lamphier MS', 'Tanaka N', 'Oishi I', 'Aizawa S', 'Matsuyama T', 'Mak TW', 'Taki S', 'Taniguchi T']","['Institute for Molecular and Cellular Biology, Osaka University, Japan.']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,"['0 (DNA-Binding Proteins)', '0 (Interferon Regulatory Factor-1)', '0 (Interleukin-2)', '0 (Irf1 protein, mouse)', '0 (Phosphoproteins)', '0 (Transcription Factors)', '11028-71-0 (Concanavalin A)', 'EC 3.4.22.- (Cysteine Endopeptidases)', 'EC 3.4.22.36 (Caspase 1)']",IM,"['Animals', 'Apoptosis/*physiology', 'Caenorhabditis elegans/genetics/physiology', 'Caspase 1', 'Cell Survival/drug effects/physiology/radiation effects', 'Concanavalin A', 'Cysteine Endopeptidases/*biosynthesis', '*DNA Damage', 'DNA-Binding Proteins/genetics/*metabolism', 'Enzyme Induction', 'Gamma Rays', 'Interferon Regulatory Factor-1', 'Interleukin-2/pharmacology', 'Lymphocyte Activation', 'Mice', 'Mice, Knockout', 'Phosphoproteins/genetics/*metabolism', 'Spleen/immunology', 'T-Lymphocytes/cytology/immunology/*physiology', 'Transcription Factors/*metabolism']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",ppublish,Leukemia. 1997 Apr;11 Suppl 3:439-40.,,,,,,,,,,,,,,,,,,,,,,
9209416,NLM,MEDLINE,19970807,20130304,0887-6924 (Print) 0887-6924 (Linking),11 Suppl 3,1997 Apr,Regulation of megakaryocytopoiesis by thrombopoietin and stromal cells.,435-8,"Thrombopoietin (Tpo) is a cytokine which stimulates megakaryocyte maturation. We found that Tpo is constitutively and ubiquitously expressed in all tissues examined, including bone marrow stromal cells, even in thrombocytopenia, thrombosis and steady-state condition in mice. Thus, platelet level in circulation is not regulated by Tpo gene expression. Furthermore, when the purified megakaryocytes were cocultured with the stromal cells, most of the megakaryocytes adhered to the stromal cells and remained unchanged, while free megakaryocytes induced proplatelet formation. Thus the stromal cells in bone marrow secrete Tpo and stimulate megakaryocytopoiesis, but the interaction of megakaryocytes with the stromal cells may suppress platelet formation. Study on signal transduction through Mp1 revealed that Tpo induces activation of JAK2 and Tyk2, which in turn activate STAT1, STAT3 and STAT5. Further, Tpo stimulates transcription factors GATA-1 and NF-E2, which induce differentiation markers, GPIIb/IIIa and Pm-1. In addition, Shc, Vav, Ras, Raf-1, MAPKK, MAPK and Pim-1 are also activated. Thus, Tpo activates a lineage-specific cascade as well as a specific JAK-STAT cascade and a common signaling cascade.","['Nagata, Y', 'Nagahisa, H', 'Nagasawa, T', 'Todokoro, K']","['Nagata Y', 'Nagahisa H', 'Nagasawa T', 'Todokoro K']",,['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,"['0 (DNA-Binding Proteins)', '0 (Milk Proteins)', '0 (Proteins)', '0 (Proto-Oncogene Proteins)', '0 (STAT1 Transcription Factor)', '0 (STAT3 Transcription Factor)', '0 (STAT5 Transcription Factor)', '0 (Stat1 protein, mouse)', '0 (Stat3 protein, mouse)', '0 (Trans-Activators)', '0 (Transcription Factors)', '9014-42-0 (Thrombopoietin)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Jak2 protein, mouse)', 'EC 2.7.10.2 (Janus Kinase 2)', 'EC 2.7.10.2 (TYK2 Kinase)', 'EC 2.7.10.2 (Tyk2 protein, mouse)']",IM,"['Animals', '*Bone Marrow Cells', 'Cell Differentiation', 'DNA-Binding Proteins/metabolism', 'Hematopoietic Stem Cells/*cytology/physiology', 'Janus Kinase 2', 'Megakaryocytes/*cytology/physiology', 'Mice', '*Milk Proteins', 'Protein-Tyrosine Kinases/metabolism', 'Proteins/metabolism', '*Proto-Oncogene Proteins', 'STAT1 Transcription Factor', 'STAT3 Transcription Factor', 'STAT5 Transcription Factor', '*Signal Transduction', 'Stromal Cells/cytology', 'TYK2 Kinase', 'Thrombopoietin/biosynthesis/*physiology', 'Trans-Activators/metabolism', 'Transcription Factors/metabolism']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",ppublish,Leukemia. 1997 Apr;11 Suppl 3:435-8.,,,,,,,,,,,,,,,,,,,,,,
9209415,NLM,MEDLINE,19970807,20161124,0887-6924 (Print) 0887-6924 (Linking),11 Suppl 3,1997 Apr,Activation of the JAK1-STAT5 pathway by binding of the Friend virus gp55 glycoprotein to the erythropoietin receptor.,432-4,"Friend spleen focus forming-virus (F-SFFV) induces acute erythroleukemia in susceptible mice. Initiation of the erythroleukemia is due to binding of the env-related glycoprotein gp55 encoded by F-SFFV to the erythropoietin receptor (EPOR). The gp55/EPOR interaction induces prolonged and growth factor independent proliferation in a factor-dependent cell line. In erythropoietin (EPO) signaling, the JAK2/STAT5 pathway was shown to be activated downstream of the EPOR to transmit the signal to the cells. To determine members of the JAK family and the STAT transcription factor family involved in the gp55/EPOR signaling, we examined tyrosine phosphorylation of JAKs and STATs in F-SFFV-infected erythroid or erythroleukemic cells. JAK1 and STAT5 were constitutively tyrosine-phosphorylated but the DNA binding activity of STAT5 was not induced without EPO stimulation in erythroblastoid cells from spleens of F-SFFV-infected mice and erythroleukemia cell lines derived from gp55-transgenic mice. These results indicate that JAK1 is involved in the gp55/EPOR signaling but STAT5 is not playing an essential role in the growth of those erythroid cells.","['Yamamura, Y', 'Senda, H', 'Noda, M', 'Ikawa, Y']","['Yamamura Y', 'Senda H', 'Noda M', 'Ikawa Y']","['Department of Retroviral Regulation, Tokyo Medical and Dental University, Tokyo, Japan.']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,"['0 (DNA-Binding Proteins)', '0 (Milk Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Receptors, Erythropoietin)', '0 (STAT5 Transcription Factor)', '0 (Trans-Activators)', '0 (Transcription Factors)', '0 (Viral Envelope Proteins)', '0 (glycoprotein gp55, Friend spleen focus-forming virus)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Jak1 protein, mouse)', 'EC 2.7.10.2 (Jak2 protein, mouse)', 'EC 2.7.10.2 (Janus Kinase 1)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Animals', 'DNA-Binding Proteins/*metabolism', 'Enzyme Activation', 'Friend murine leukemia virus/*physiology', 'Genes, env', 'Janus Kinase 1', 'Janus Kinase 2', 'Leukemia, Erythroblastic, Acute/metabolism', 'Mice', 'Mice, Inbred DBA', '*Milk Proteins', 'Protein Binding', 'Protein-Tyrosine Kinases/*metabolism', '*Proto-Oncogene Proteins', 'Receptors, Erythropoietin/*metabolism', 'STAT5 Transcription Factor', '*Signal Transduction', 'Spleen', 'Spleen Focus-Forming Viruses/*physiology', 'Trans-Activators/*metabolism', 'Transcription Factors', 'Viral Envelope Proteins/*metabolism']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",ppublish,Leukemia. 1997 Apr;11 Suppl 3:432-4.,,,,,,,,,,,,,,,,,,,,,,
9209414,NLM,MEDLINE,19970807,20131121,0887-6924 (Print) 0887-6924 (Linking),11 Suppl 3,1997 Apr,P210 Bcr-Abl interacts with the interleukin-3 beta c subunit and constitutively activates Jak2.,428-31,"Chronic myelogenous leukemia is a neoplasm of pluripotent hematopoietic cells. Cytokines such as interleukin-3 and granulocyte-macrophage colony-stimulating factor regulate the growth and differentiation of hematopoietic precursors. These cytokines activate two distinct signals to the nucleus. One signal is through the Ras pathway, and the second involves activation of Jak2. We demonstrated that Bcr-Abl co-immunoprecipitates with and constitutively phosphorylates the common beta c chain of the interleukin-3 (IL-3) and granulocyte-macrophage-macrophage colony-stimulating factor (GM-CSF) receptors. Our data show that formation of this complex leads to the constitutive activation of Jak2. Previously, it has been demonstrated that Bcr-Abl interacts with Grb2 and Shc, which in turn activates the Ras pathway. Thus, Bcr-Abl can activate signalling through both pathways in a factor-independent fashion.","['Wilson-Rawls, J', 'Liu, J', 'Laneuville, P', 'Arlinghaus, R B']","['Wilson-Rawls J', 'Liu J', 'Laneuville P', 'Arlinghaus RB']","['Department of Molecular Pathology, University of Texas, M. D. Anderson Cancer Center, Houston 77030, USA.']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,"['0 (Proto-Oncogene Proteins)', '0 (Receptors, Granulocyte-Macrophage Colony-Stimulating Factor)', '0 (Receptors, Interleukin-3)', '0 (Recombinant Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)', 'EC 3.6.5.2 (ras Proteins)']",IM,"['Cell Line', 'Enzyme Activation', 'Fusion Proteins, bcr-abl/biosynthesis/isolation & purification/*metabolism', 'Humans', 'Janus Kinase 2', 'Models, Biological', 'Phosphorylation', 'Protein-Tyrosine Kinases/*metabolism', '*Proto-Oncogene Proteins', 'Receptors, Granulocyte-Macrophage Colony-Stimulating Factor/chemistry/isolation & purification/metabolism', 'Receptors, Interleukin-3/chemistry/isolation & purification/*metabolism', 'Recombinant Proteins/biosynthesis/isolation & purification/metabolism', '*Signal Transduction', 'ras Proteins/metabolism']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",ppublish,Leukemia. 1997 Apr;11 Suppl 3:428-31.,,,,,,,,,,,,,,,,,,,,,,
9209413,NLM,MEDLINE,19970807,20130304,0887-6924 (Print) 0887-6924 (Linking),11 Suppl 3,1997 Apr,Thrombopoietin: basic biology and clinical promise.,426-7,,"['Kaushansky, K']",['Kaushansky K'],"['University of Washington, Division of Hematology, Seattle 98195, USA.']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,"['11096-26-7 (Erythropoietin)', '9014-42-0 (Thrombopoietin)']",IM,"['Animals', 'Bone Marrow Cells', 'Cell Division/drug effects', 'Colony-Forming Units Assay', 'Erythropoiesis/drug effects', 'Erythropoietin/pharmacology', 'Hematopoietic Stem Cells/*cytology/drug effects', 'Megakaryocytes/*cytology/drug effects', 'Mice', 'Spleen/cytology', 'Thrombopoietin/*pharmacology/physiology/therapeutic use']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",ppublish,Leukemia. 1997 Apr;11 Suppl 3:426-7.,,,,,,,,,,,,,,,,,,,,,,
9209412,NLM,MEDLINE,19970807,20161124,0887-6924 (Print) 0887-6924 (Linking),11 Suppl 3,1997 Apr,The role of erythropoietin receptor tyrosine phosphorylation in erythropoietin-induced proliferation.,423-5,"Although studies with truncated erythropoietin receptors (EpoRs) have suggested the tyrosine phosphorylation (Yphos) of the EpoR may not play a significant role in Epo-induced proliferation, we found, using a full length EpoR mutant designed Null, in which all 8 of the intracellular tyrosines (Ys) were substituted with phenylalanines (Fs), that Null cells required 5-10 fold more Epo than wild type (WT) EpoR containing cells in order to proliferate as well. Moreover, a comparison of Epo-induced proliferation with Epo-induced Yphos patterns, using DA-3 cells expressing WT, Null and various Y to F EpoR point mutants revealed that Stat5 Yphos and activation correlated directly with proliferation and was mediated primarily throuhg the most membrane proximal Y, i.e., Y343, although other tyrosines (most likely Y401 and Y431) within the EpoR could activate Stat5 in its absence. We also found that EpoR Yphos was essential for the Yphos of Shc and for the Yphos and association of a 145 kDa protein with Shc. We purified and cloned this Shc-associated 145 kDa protein and found that it was a unique SH2 containing inositol polyphosphate-5-phosphatase. This novel enzyme, which we have called SHIP for SH2-containing inositol-phosphatase, may modulate both Ras and inositol signaling pathways.","['Damen, J E', 'Liu, L', 'Wakao, H', 'Miyajima, A', 'Rosten, P', 'Jefferson, A B', 'Majerus, P W', 'Krosl, J', 'Humphries, R K', 'Krystal, G']","['Damen JE', 'Liu L', 'Wakao H', 'Miyajima A', 'Rosten P', 'Jefferson AB', 'Majerus PW', 'Krosl J', 'Humphries RK', 'Krystal G']","['Terry Fox Laboratory, British Columbia, Canada.']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,"['0 (DNA-Binding Proteins)', '0 (Milk Proteins)', '0 (Receptors, Erythropoietin)', '0 (Recombinant Proteins)', '0 (STAT5 Transcription Factor)', '0 (Trans-Activators)', '11096-26-7 (Erythropoietin)', '42HK56048U (Tyrosine)', '47E5O17Y3R (Phenylalanine)', 'EC 3.1.3.2 (Phosphoric Monoester Hydrolases)', 'EC 3.1.3.56 (Inositol Polyphosphate 5-Phosphatases)']",IM,"['Amino Acid Sequence', 'Animals', 'Cell Division/*drug effects', 'Cell Line', 'DNA-Binding Proteins/metabolism', 'Erythropoietin/*pharmacology', 'Inositol Polyphosphate 5-Phosphatases', '*Milk Proteins', 'Models, Biological', 'Mutagenesis, Site-Directed', 'Phenylalanine', 'Phosphoric Monoester Hydrolases/isolation & purification/*metabolism', 'Phosphorylation', 'Receptors, Erythropoietin/biosynthesis/chemistry/*physiology', 'Recombinant Proteins/chemistry/metabolism', 'STAT5 Transcription Factor', 'Trans-Activators/metabolism', '*Tyrosine', 'src Homology Domains']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",ppublish,Leukemia. 1997 Apr;11 Suppl 3:423-5.,,,,,,,,,,,,,,,,,,,,,,
9209411,NLM,MEDLINE,19970807,20130304,0887-6924 (Print) 0887-6924 (Linking),11 Suppl 3,1997 Apr,"Signal transduction by the GM-CSF, IL-3 and IL-5 receptors.",418-22,,"['Miyajima, A', 'Kinoshita, T', 'Wakao, H', 'Hara, T', 'Yoshimura, A', 'Nishinakamura, R', 'Murray, R', 'Mui, A']","['Miyajima A', 'Kinoshita T', 'Wakao H', 'Hara T', 'Yoshimura A', 'Nishinakamura R', 'Murray R', 'Mui A']","['Institute of Molecular and Cellular Biosciences, University of Tokyo, Japan.']",['eng'],"['Journal Article', 'Review']",England,Leukemia,Leukemia,8704895,"['0 (Interleukin-3)', '0 (Interleukin-5)', '0 (Receptors, Granulocyte-Macrophage Colony-Stimulating Factor)', '0 (Receptors, Interleukin)', '0 (Receptors, Interleukin-3)', '0 (Receptors, Interleukin-5)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Animals', 'Granulocyte-Macrophage Colony-Stimulating Factor/pharmacology/physiology', 'Hematopoietic Stem Cells/*physiology', 'Humans', 'Interleukin-3/pharmacology/physiology', 'Interleukin-5/pharmacology/physiology', 'Receptors, Granulocyte-Macrophage Colony-Stimulating Factor/chemistry/genetics/*physiology', 'Receptors, Interleukin/chemistry/genetics/*physiology', 'Receptors, Interleukin-3/chemistry/genetics/*physiology', 'Receptors, Interleukin-5', '*Signal Transduction', 'T-Lymphocytes/immunology']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",ppublish,Leukemia. 1997 Apr;11 Suppl 3:418-22.,16,,,,,,,,,,,,,,,,,,,,,
9209410,NLM,MEDLINE,19970807,20161124,0887-6924 (Print) 0887-6924 (Linking),11 Suppl 3,1997 Apr,Regulation of IL-2 signaling.,416-7,"Several tyrosine kinases such as Jak1, Jak3, Lck and Syk are known to participate in IL-2-mediated intracellular signal transduction. Jak1, Lck and Syk are associated with the cytoplasmic domain of the beta chain, whereas Jak3 is associated with the cytoplasmic domain of the gamma chain, which is shared among receptors for IL-2, IL-4, IL-7 and IL-15. We first demonstrated that Jak1 is associated with the alpha chains of receptors for IL-4, IL-7 and IL-15 as well as the IL-2 receptor beta chain. Furthermore, we revealed that two proline residues in the box1 region, which is conserved in the IL-2 receptor beta chain and the alpha chains of the cytokine receptors, are essentially involved in association with Jak1. The MOLT4 transfectants with the box1 mutants of the IL-2 receptor beta chain lacking Jak1 association showed IL-2 responsiveness, in terms of activations of Jak3 and Stat5 and induction of cell growth, indicating that Jak1 is dispensable for IL-2-mediated cell growth signaling, and that Jak1 activation is not required for activation of Jak3 and Stat5 in the MOLT4 transfectants.","['Higuchi, M', 'Asao, H', 'Tanaka, N', 'Oda, K', 'Takeshita, T', 'Sugamura, K']","['Higuchi M', 'Asao H', 'Tanaka N', 'Oda K', 'Takeshita T', 'Sugamura K']",,['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,"['0 (Enzyme Precursors)', '0 (Interleukin-2)', '0 (Intracellular Signaling Peptides and Proteins)', '0 (Receptors, Interleukin)', '0 (Receptors, Interleukin-2)', '0 (Recombinant Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (JAK1 protein, human)', 'EC 2.7.10.2 (JAK3 protein, human)', 'EC 2.7.10.2 (Janus Kinase 1)', 'EC 2.7.10.2 (Janus Kinase 3)', 'EC 2.7.10.2 (Lymphocyte Specific Protein Tyrosine Kinase p56(lck))', 'EC 2.7.10.2 (SYK protein, human)', 'EC 2.7.10.2 (Syk Kinase)', 'EC 2.7.10.2 (src-Family Kinases)']",IM,"['Amino Acid Sequence', 'Cell Line', 'Conserved Sequence', 'Enzyme Precursors/metabolism', 'Humans', 'Interleukin-2/pharmacology/*physiology', 'Intracellular Signaling Peptides and Proteins', 'Janus Kinase 1', 'Janus Kinase 3', 'Lymphocyte Specific Protein Tyrosine Kinase p56(lck)', 'Mutagenesis, Site-Directed', 'Point Mutation', 'Protein-Tyrosine Kinases/*metabolism', 'Receptors, Interleukin/physiology', 'Receptors, Interleukin-2/chemistry/physiology', 'Recombinant Proteins/metabolism', '*Signal Transduction', 'Syk Kinase', 'Transfection', 'src-Family Kinases/metabolism']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",ppublish,Leukemia. 1997 Apr;11 Suppl 3:416-7.,,,,,,,,,,,,,,,,,,,,,,
