PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,SI,GR,PMC,RF,TT,CIN,CON,EIN,CRF,OTO,OT,PS,FPS,OID,GN,LID,ROF
9000883,NLM,MEDLINE,19970212,20061115,0032-0943 (Print) 0032-0943 (Linking),62,6,1996 Dec,Tonkinelin: a novel annonaceous acetogenin from Uvaria tonkinensis.,512-4,"Further studies on the root bark of Uvaria tonkinensis Finet et Gagnep. (Annonacease) led to the isolation of a new Annonaceous acetogenin, tonkinelin (1). The structure of 1 was elucidated on the basis of spectral data and chemical evidence. This compound represents an unusual type of C37 Annonaceous acetogenin, having neither tetrahydrofuran (THF) nor epoxide rings and possessing only a vicinal diol in the hydrocarbon chain. Preliminary pharmacological tests showed that tonkinelin (1) inhibits human leukemia (HL-60) and human colon adenocarcinoma (HCT-8) cell lines in vitro.","['Chen, Y', 'Yu, D Q']","['Chen Y', 'Yu DQ']","[""Institute of Materia Medica, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, People's Republic of China.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Planta Med,Planta medica,0066751,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Drugs, Chinese Herbal)', '0 (Furans)', '0 (Lactones)', '0 (tonkinelin)']",IM,"['Antineoplastic Agents, Phytogenic/chemistry/*isolation & purification/pharmacology', 'Drug Screening Assays, Antitumor', '*Drugs, Chinese Herbal', 'Furans/chemistry/*isolation & purification/pharmacology', 'Humans', 'Lactones/chemistry/*isolation & purification/pharmacology', 'Tumor Cells, Cultured']",1996/12/01 00:00,1996/12/01 00:01,['1996/12/01 00:00'],"['1996/12/01 00:00 [pubmed]', '1996/12/01 00:01 [medline]', '1996/12/01 00:00 [entrez]']",['10.1055/s-2006-957959 [doi]'],ppublish,Planta Med. 1996 Dec;62(6):512-4. doi: 10.1055/s-2006-957959.,,,,,,,,,,,,,,,,,
9000841,NLM,MEDLINE,19970305,20031114,0025-5246 (Print) 0025-5246 (Linking),27,4,1995 Oct-Dec,"Synthesis of novel, aminoalkanolic derivatives of 5,7-dihydroxy-2-phenylbenzopyran-4-on as the potential cytostatic agents.",157-9,"The 7-(2,3-epoxypropoxy)-2-phenyl-5-hydroxy-4H-benzopyran-4-on and its aminoalkanolic derivatives were prepared as the potential cytostatic (antileukemic) compounds. They were tested in vivo on mice leukemia L1210.","['Mazur, A', 'Balicka, E', 'Zawadowski, T', 'Miks, B', 'Kawiak, J']","['Mazur A', 'Balicka E', 'Zawadowski T', 'Miks B', 'Kawiak J']","['Medical Academy of Warsaw, Department of Medical Chemistry, Poland.']",['eng'],['Journal Article'],Poland,Mater Med Pol,Materia medica Polona. Polish journal of medicine and pharmacy,0236526,"['0 (Antineoplastic Agents)', '0 (Benzopyrans)']",IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis', 'Benzopyrans/*chemical synthesis/pharmacology', 'Female', 'Leukemia L1210/*drug therapy', 'Mice', 'Mice, Inbred Strains']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Mater Med Pol. 1995 Oct-Dec;27(4):157-9.,,,,,,,,,,,,,,,,,
9000634,NLM,MEDLINE,19970212,20071114,0022-2836 (Print) 0022-2836 (Linking),264,5,1996 Dec 20,Three-dimensional structure of the HTLV-II matrix protein and comparative analysis of matrix proteins from the different classes of pathogenic human retroviruses.,1117-31,"The matrix protein performs similar roles in all retroviruses, initially directing membrane localization of the assembling viral particle and subsequently forming a stable structural shell associated with the inner surface of the mature viral membrane. Although conserved structural elements are likely to perform these functions in all retroviral matrix proteins, invariant motifs are not evident at the primary sequence level and three-dimensional structures have been available for only the primate lentiviral matrix proteins. We have therefore used NMR spectroscopy to determine the structure of the matrix protein from human T-cell leukemia virus type II (HTLV-II), a member of the human oncovirus subclass of retroviruses. A total of 577 distance restraints were used to build 20 refined models that superimpose with an rmsd of 0.71 A for the backbone atoms of the structured regions. The globular HTLV-II matrix structure is composed of four alpha-helices and a 3(10) helix. Exposed basic residues near the C terminus of helix II form a putative membrane binding surface which could act in concert with the N-terminal myristoyl group to anchor the protein on the viral membrane surface. Clear structural similarities between the HTLV-II and HIV-1 matrix proteins suggest that the topology and exposed cationic membrane binding surface are likely to be conserved features of retroviral matrix proteins.","['Christensen, A M', 'Massiah, M A', 'Turner, B G', 'Sundquist, W I', 'Summers, M F']","['Christensen AM', 'Massiah MA', 'Turner BG', 'Sundquist WI', 'Summers MF']","['Department of Biochemistry, University of Utah, Salt Lake City 84132, USA.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,J Mol Biol,Journal of molecular biology,2985088R,"['0 (Recombinant Proteins)', '0 (Viral Matrix Proteins)']",IM,"['Amino Acid Sequence', 'Escherichia coli/genetics', 'HIV-1/chemistry/genetics', 'Human T-lymphotropic virus 1/chemistry/genetics', 'Human T-lymphotropic virus 2/*chemistry/genetics', 'Humans', 'Magnetic Resonance Spectroscopy', 'Models, Molecular', 'Molecular Sequence Data', 'Protein Conformation', 'Protein Structure, Secondary', 'Protein Structure, Tertiary', 'Recombinant Proteins/chemistry/genetics', 'Retroviridae/*chemistry/classification/pathogenicity', 'Sequence Homology, Amino Acid', 'Species Specificity', 'Viral Matrix Proteins/*chemistry/genetics']",1996/12/20 00:00,1996/12/20 00:01,['1996/12/20 00:00'],"['1996/12/20 00:00 [pubmed]', '1996/12/20 00:01 [medline]', '1996/12/20 00:00 [entrez]']","['S0022-2836(96)90700-7 [pii]', '10.1006/jmbi.1996.0700 [doi]']",ppublish,J Mol Biol. 1996 Dec 20;264(5):1117-31. doi: 10.1006/jmbi.1996.0700.,['PDB/1JVR'],"['AI30917/AI/NIAID NIH HHS/United States', 'R01 AI37524/AI/NIAID NIH HHS/United States']",,,,,,,,,,,,,,,
9000608,NLM,MEDLINE,19970212,20190515,0007-0920 (Print) 0007-0920 (Linking),75,1,1997,Second malignancy in patients with Hodgkin's disease treated at the Royal Marsden Hospital.,116-23,"Risk of second primary malignancy was assessed in follow-up to June 1991 of 1039 patients first treated for Hodgkin's disease at the Royal Marsden Hospital during 1963-91. A total of 77 second malignancies occurred. There were significantly raised risks of stomach [standardized incidence ratio (SIR)=4.0], lung (SIR=3.8), bone (SIR=26.5), soft tissue (SIR=16.9) and non-melanoma skin (SIR=3.9) cancers, non-Hodgkin's lymphoma (SIR=4.6), and acute and non-lymphocytic leukaemia (SIR=31.3), with a relative risk of 3.3 for all second cancers other than non-melanoma skin cancer. Solid cancer risk was raised to a similar extent in patients treated only with radiotherapy (SIR=2.6, P<0.001), only with chemotherapy (SIR=2.1, P=0.08) and with both (SIR=3.1, P<0.001). Leukaemia risk was raised only in those receiving chemotherapy, whether alone or with radiotherapy. The relative risk for solid cancers was much greater in patients who were younger at first treatment (trend P<0.001), whereas leukaemia risk was greatest for those first treated at ages 25-44. For solid cancers (P<0.001) but not leukaemia (P=0.05) there was a strong gradient of greater relative risks at younger attained ages. The relative risk of second cancers overall was 27.5 at ages under 25 and 2.0 at ages 55 and above. Leukaemia and solid cancer risks in patients treated with chlorambucil, vinblastine, procarbazine and prednisone (ChlVPP) were not significantly greater than those in patients treated with mustine, vincristine, procarbazine and prednisone (MOPP). Number of cycles of chemotherapy was significantly related to risk of leukaemia (P<0.001), and there was a trend in the same direction for solid cancers (P=0.07). The study adds to evidence that alkylating chemotherapy may increase the risk of solid cancers, and that ChlVPP does not provide a less carcinogenic alternative to MOPP chemotherapy. The very large relative risks found for solid cancers at young attained ages and in patients treated when young may have important implications as, in the long term, the majority of second malignancies after Hodgkin's disease are solid cancers. The risks of solid malignancies need clarification by larger collaborative epidemiological studies.","['Swerdlow, A J', 'Barber, J A', 'Horwich, A', 'Cunningham, D', 'Milan, S', 'Omar, R Z']","['Swerdlow AJ', 'Barber JA', 'Horwich A', 'Cunningham D', 'Milan S', 'Omar RZ']","['Epidemiological Monitoring Unit, Department of Epidemiology & Population Sciences, London School of Hygiene & Tropical Medicine, UK.']",['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,"['18D0SL7309 (Chlorambucil)', '35S93Y190K (Procarbazine)', '50D9XSG0VR (Mechlorethamine)', '5J49Q6B70F (Vincristine)', '5V9KLZ54CY (Vinblastine)', 'VB0R961HZT (Prednisone)', 'CHIVPP protocol', 'MOPP protocol']",IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Child, Preschool', 'Chlorambucil/therapeutic use', 'Female', 'Hodgkin Disease/*complications/therapy', 'Humans', 'Male', 'Mechlorethamine/therapeutic use', 'Middle Aged', 'Neoplasms, Second Primary/*epidemiology', 'Prednisone/therapeutic use', 'Procarbazine/therapeutic use', 'Risk', 'Risk Factors', 'Vinblastine/therapeutic use', 'Vincristine/therapeutic use']",1997/01/01 00:00,1997/01/01 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/01/01 00:01 [medline]', '1997/01/01 00:00 [entrez]']",['10.1038/bjc.1997.19 [doi]'],ppublish,Br J Cancer. 1997;75(1):116-23. doi: 10.1038/bjc.1997.19.,,,PMC2222705,,,,,,,,,,,,,,
9000579,NLM,MEDLINE,19970211,20061115,0008-5472 (Print) 0008-5472 (Linking),57,2,1997 Jan 15,Transforming function of the HOX11/TCL3 homeobox gene.,337-45,"The HOX11/TCL3 homeobox gene was identified at the breakpoint region in pediatric T-cell acute lymphoblastic leukemia harboring 10q24 chromosomal translocations. We previously reported that primary murine bone marrow cells transduced ex vivo with a recombinant HOX11-containing retrovirus, MSCV-HOX11, gave rise to cell lines at high frequency having characteristics of early myeloid cells. Cell lines were also established from the bone marrow and spleen of transplant recipients sacrificed 5 months after engraftment with MSCV-HOX11-transduced bone marrow cells. These latter lines, which exhibited a more differentiated myelomonocytic phenotype, harbored proviruses encoding a smaller HOX11 protein. None of the mice that received HOX11-expressing bone marrow cells or myeloid cell lines developed leukemia during 6-month observation periods. Here, we report that two bone marrow transplant recipients eventually developed T-cell acute lymphoblastic leukemia-like malignancies at 7 and 12 months posttransplant, indicating that progression to a fully malignant state required additional mutations. One tumor synthesized full-length HOX11 whereas the other expressed the smaller version of the protein. The smaller HOX11 protein suffered a carboxyl-terminal truncation. We subsequently constructed MSCV-based retroviral vectors expressing deleted forms of HOX11 and identified an amino-terminal region that was dispensible for generation of myeloid cell lines having a similar phenotype as those induced by full-length HOX11. We thus conclude that regions near the amino and carboxyl termini of HOX11 are not essential for transforming function, nor do they appear to determine the lineage or stage of differentiation of the target cell for transformation.","['Hawley, R G', 'Fong, A Z', 'Reis, M D', 'Zhang, N', 'Lu, M', 'Hawley, T S']","['Hawley RG', 'Fong AZ', 'Reis MD', 'Zhang N', 'Lu M', 'Hawley TS']","['Department of Medical Biophysics, University of Toronto, Ontario, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Homeodomain Proteins)', '0 (Oncogene Proteins)', '0 (Tlx1 protein, mouse)']",IM,"['Animals', 'Bone Marrow Transplantation', 'Cell Transformation, Viral/*genetics', 'Female', 'Genes, Homeobox/*physiology', 'Genetic Vectors/*genetics', 'Homeodomain Proteins/*genetics', 'Leukemia, T-Cell/*genetics/virology', 'Mice', 'Mice, Inbred BALB C', 'Molecular Sequence Data', 'Oncogene Proteins/*genetics', 'Retroviridae/*genetics', '*Sequence Deletion', 'Transfection', 'Tumor Cells, Cultured']",1997/01/15 00:00,1997/01/15 00:01,['1997/01/15 00:00'],"['1997/01/15 00:00 [pubmed]', '1997/01/15 00:01 [medline]', '1997/01/15 00:00 [entrez]']",,ppublish,Cancer Res. 1997 Jan 15;57(2):337-45.,['GENBANK/S38742'],,,,,,,,,,,,,,,,
9000568,NLM,MEDLINE,19970211,20141120,0008-5472 (Print) 0008-5472 (Linking),57,2,1997 Jan 15,"Preclinical antitumor activity of 6-hydroxymethylacylfulvene, a semisynthetic derivative of the mushroom toxin illudin S.",279-83,"6-Hydroxymethylacylfulvene (HMAF; MGI 114) is a novel semisynthetic antitumor agent derived from the sesquiterpene mushroom toxin illudin S. In vitro cytotoxicity determinations produced IC50 concentrations (concentrations required for 50% inhibition of growth) ranging from 160 nM in sensitive MCF-7 human mammary carcinoma cells to 17 microM in relatively insensitive murine B16 melanoma cells. In vivo antitumor activity was consistent with in vitro sensitivity. HMAF was very effective in human tumor xenograft models, including MX-1 breast carcinoma, MV522 lung adenocarcinoma, and HT-29 colon carcinoma, but not murine B16 melanoma or P388 leukemia. Excellent responses were observed in animals bearing MX-1 tumors administered i.v. or i.p. doses of 3-7.5 mg/kg daily for 5 days, with complete regression recorded in 29 of 30 animals administered i.v. HMAF. Extensive tumor shrinkage was also observed with MV522, and significant tumor growth inhibition was obtained with HT-29 when animals received 5 daily i.p. doses ranging from 3.75 to 7.5 mg/kg. Complete regressions were also observed in individual animals with MV522 and HT-29. The excellent activity of HMAF in several human solid tumor xenografts, including the more refractory MV522 and HT-29 models, warrants the further investigation of this novel agent in clinical trials.","['MacDonald, J R', 'Muscoplat, C C', 'Dexter, D L', 'Mangold, G L', 'Chen, S F', 'Kelner, M J', 'McMorris, T C', 'Von Hoff, D D']","['MacDonald JR', 'Muscoplat CC', 'Dexter DL', 'Mangold GL', 'Chen SF', 'Kelner MJ', 'McMorris TC', 'Von Hoff DD']","['MGI PHARMA, Inc., Minnetonka, Minnesota 55343-9667, USA.']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antibiotics, Antineoplastic)', '0 (Sesquiterpenes)', '6B799IH05A (irofulven)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*therapeutic use', 'Breast Neoplasms/drug therapy', 'Drug Screening Assays, Antitumor', 'Female', 'HT29 Cells/drug effects', 'Humans', 'Leukemia P388/drug therapy', 'Lung Neoplasms/drug therapy', 'Melanoma, Experimental/drug therapy', 'Mice', 'Mice, Nude', 'Sesquiterpenes/*therapeutic use', 'Transplantation, Heterologous']",1997/01/15 00:00,1997/01/15 00:01,['1997/01/15 00:00'],"['1997/01/15 00:00 [pubmed]', '1997/01/15 00:01 [medline]', '1997/01/15 00:00 [entrez]']",,ppublish,Cancer Res. 1997 Jan 15;57(2):279-83.,,,,,,,,,,,,,,,,,
9000561,NLM,MEDLINE,19970211,20131121,0008-5472 (Print) 0008-5472 (Linking),57,2,1997 Jan 15,Comparative molecular field analysis-based predictive model of structure-function relationships of polyamine transport inhibitors in L1210 cells.,234-9,"Maintenance of intracellular polyamine concentrations necessary for cell growth and proliferation is regulated in part by an energy-dependent polyamine uptake system. To obtain information on the characteristics of the polyamine uptake system in L1210 leukemia cells, we have applied computational chemistry techniques to the study of relationships between structure and function of 57 polyamine analogues. Ki values of polyamine analogues, derived from competitive inhibition of [3H]spermidine transport into L1210 cells, were chosen as the measure of biological activity. Using comparative molecular field analysis (CoMFA), a model was constructed to relate molecular structure with biological activity. The model was based on 4 monocationic, 8 dicationic, 14 tricationic, and 20 tetracationic polyamine analogues with a range of Ki values for the inhibition of [3H]spermidine uptake of 0.97-521 microM. The CoMFA model successfully predicted the inhibitory potency of 11 polyamines that had not previously been tested for polyamine uptake inhibitory activity. The 11 values predicted were within 33 +/- 62% of the actual Ki values. The test group included aziridinyl diamines, acetylated spermidines, two new oxazolidinonyl spermidines, monoaziridinyl spermidines, and a diaziridinyl spermine. Several of the compounds from this test group have been shown to have anticancer activity in mice. Consistent with the CoMFA model, certain basic functional groups, such as aziridines that have pKa values in the range of 6-7, seem to interact with the polyamine transporter in a cationic form. The results suggest that the CoMFA model is useful in drug design strategies as a predictive tool for the discovery of new anticancer agents that utilize a polyamine transporter for cellular uptake.","['Li, Y', 'MacKerell, A D Jr', 'Egorin, M J', 'Ballesteros, M F', 'Rosen, D M', 'Wu, Y Y', 'Blamble, D A', 'Callery, P S']","['Li Y', 'MacKerell AD Jr', 'Egorin MJ', 'Ballesteros MF', 'Rosen DM', 'Wu YY', 'Blamble DA', 'Callery PS']","['Department of Pharmaceutical Sciences, School of Pharmacy, University of Maryland, Baltimore 21201, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Polyamines)', 'U87FK77H25 (Spermidine)']",IM,"['Animals', 'Leukemia L1210/metabolism', 'Mice', '*Models, Chemical', 'Polyamines/*antagonists & inhibitors/chemistry/metabolism', 'Spermidine/antagonists & inhibitors/chemistry/metabolism', 'Structure-Activity Relationship']",1997/01/15 00:00,2001/03/28 10:01,['1997/01/15 00:00'],"['1997/01/15 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1997/01/15 00:00 [entrez]']",,ppublish,Cancer Res. 1997 Jan 15;57(2):234-9.,,,,,,,,,,,,,,,,,
9000560,NLM,MEDLINE,19970211,20181130,0008-5472 (Print) 0008-5472 (Linking),57,2,1997 Jan 15,Bcl2 is the guardian of microtubule integrity.,229-33,"We have investigated the ability of several drugs commonly used in the treatment of human cancer to induce bcl2 phosphorylation and cell death in human cell lines derived from acute leukemia, lymphoma, breast cancer, and prostate cancer. The results of this analysis indicate that drugs affecting the integrity of microtubules induce bc12 phosphorylation, whereas anticancer drugs damaging DNA do not. Comparison of the effects of taxol and its analogue, taxotere, indicates that taxotere is capable of inducing bcl2 phosphorylation and apoptotic cell death at 100-fold lower concentrations than taxol. Induction of cancer cell death through phosphorylation of bcl2 thus provides an opportunity not only for more refined targeting of therapeutic drugs but for understanding of an important pathway leading to apoptosis. Phosphorylation of bcl2 in drug-treated cancer cells occurs in G2-M, the phase of the cell cycle in which this class of drugs is active. No induction of bcl2 phosphorylation occurs in chronic lymphocytic leukemia cells that overexpress bcl2 but are blocked at G0-G1. Thus, prevention of polymerization or depolymerization of cellular microtubules by this class of cancer therapeutic drugs causes phosphorylation of bcl2, abrogating the normal antiapoptotic function of bcl2 and initiating the apoptotic program in the cycling cancer cells; these results are consistent with a normal physiological role of bcl2 as ""guardian of microtubule integrity.""","['Haldar, S', 'Basu, A', 'Croce, C M']","['Haldar S', 'Basu A', 'Croce CM']","['Kimmel Cancer Center, Jefferson Medical College, Philadelphia, Pennsylvania 19107, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Taxoids)', '15H5577CQD (Docetaxel)', 'P88XT4IS4D (Paclitaxel)']",IM,"['Antineoplastic Agents/*pharmacology', 'Antineoplastic Agents, Phytogenic/pharmacology', 'Apoptosis/*drug effects', 'Chronic Disease', 'Docetaxel', 'G2 Phase', 'Humans', 'Leukemia/metabolism/pathology', 'Lymphoma, B-Cell/drug therapy/metabolism', 'Male', 'Microtubules/*drug effects', 'Paclitaxel/analogs & derivatives/pharmacology', 'Phosphorylation', 'Prostatic Neoplasms/drug therapy/metabolism', 'Proto-Oncogene Proteins c-bcl-2/*drug effects/metabolism/physiology', '*Taxoids', 'Tumor Cells, Cultured/drug effects']",1997/01/15 00:00,1997/01/15 00:01,['1997/01/15 00:00'],"['1997/01/15 00:00 [pubmed]', '1997/01/15 00:01 [medline]', '1997/01/15 00:00 [entrez]']",,ppublish,Cancer Res. 1997 Jan 15;57(2):229-33.,,['CA39860/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,
9000542,NLM,MEDLINE,19970210,20190516,0741-5400 (Print) 0741-5400 (Linking),61,1,1997 Jan,Expression of the human NRAMP1 gene in professional primary phagocytes: studies in blood cells and in HL-60 promyelocytic leukemia.,96-105,"In the mouse, mutations at the natural resistance-associated macrophage protein 1 (Nramp1) gene abrogate resistance to infection with antigenically unrelated intracellular parasites such as Mycobacterium, Salmonella, and Leishmania. Nramp1 expression is restricted to reticuloendothelial organs and peripheral blood leukocytes, where the protein may function as a membrane transporter of an as yet to be identified substrate. To identify the human blood cell type(s) expressing NRAMP1 mRNA and determine how Nramp1 expression is regulated in these cells, we have examined separated populations of peripheral blood leukocytes and in vitro cell lines. We observed that polymorphonuclear leukocytes (PMN) are the major site of NRAMP1 expression, followed to a lesser degree by monocytes (MN). Migration of MN to tissues (alveolar macrophages) or maturation in vitro (long-term culture) was associated with a higher level of NRAMP1 expression compared with blood MN. Northern analyses of RNA from model cultured cells showed absence of NRAMP1 expression in transformed cell lines from either erythroid or lymphoid T or B lineages as well as progenitors of the monocyte/macrophage pathway (KG1, U937, THP1), and the HL-60 promyelocytic leukemia. Induction of differentiation of HL-60 cells toward either the monocyte/macrophage (vitamin D3, phorbol ester) or the granulocyte pathways (DMF, DMSO), as measured by induction of IL8-Rb, c-FMS, and CD14 marker gene expression, was concomitant with a strong induction of NRAMP1 expression. These results suggest that NRAMP1 expression is specific to the myeloid lineage and is acquired during the maturation of PMN and MN. The possibility that NRAMP1 may be a component of the phagosomal/endosomal apparatus common to PMN and MN is discussed.","['Cellier, M', 'Shustik, C', 'Dalton, W', 'Rich, E', 'Hu, J', 'Malo, D', 'Schurr, E', 'Gros, P']","['Cellier M', 'Shustik C', 'Dalton W', 'Rich E', 'Hu J', 'Malo D', 'Schurr E', 'Gros P']","['Department of Biochemistry, McGill University, Montreal, Canada.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Leukoc Biol,Journal of leukocyte biology,8405628,"['0 (Carrier Proteins)', '0 (Cation Transport Proteins)', '0 (Membrane Proteins)', '0 (RNA, Messenger)', '0 (natural resistance-associated macrophage protein 1)']",IM,"['Base Sequence', 'Carrier Proteins/genetics/*metabolism', '*Cation Transport Proteins', 'HL-60 Cells/metabolism', 'Humans', 'Jurkat Cells/metabolism', 'Membrane Proteins/genetics/*metabolism', 'Molecular Sequence Data', 'Neutrophils/*metabolism', 'RNA, Messenger/*metabolism', 'Sequence Alignment', 'Species Specificity', 'Tumor Cells, Cultured/metabolism']",1997/01/01 00:00,1997/01/01 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/01/01 00:01 [medline]', '1997/01/01 00:00 [entrez]']",['10.1002/jlb.61.1.96 [doi]'],ppublish,J Leukoc Biol. 1997 Jan;61(1):96-105. doi: 10.1002/jlb.61.1.96.,['GENBANK/U40958'],['1 RO1 AI 35237-01/AI/NIAID NIH HHS/United States'],,,,,,,,,,,,,,,
9000505,NLM,MEDLINE,19970211,20190621,0014-5793 (Print) 0014-5793 (Linking),400,1,1997 Jan 2,"Ceramides induce a form of apoptosis in human acute lymphoblastic leukemia cells that is inhibited by Bcl-2, but not by CrmA.",15-8,"The generation of ceramides by the action of acidic and/or neutral sphingomyelinases has been implicated in many forms of apoptosis. We investigated whether exposure to ceramides is sufficient to induce apoptosis in human leukemia cells and, if so, what the characteristics of this form of apoptosis might be. Treatment of the acute lymphoblastic T-cell line CEM-C7H2 with short- and medium-chain ceramide analogs (C2-, C6-, and C8-ceramide) resulted in apoptosis, whereas the inactive C2-dihydroceramide had no effect on cell survival. Induction of apoptosis was relatively slow (approximately 40% after 24 h) and required high concentrations of ceramide analogs (40-100 microM). To investigate a possible involvement of interleukin 1-beta-converting enzyme (ICE) or ICE-related proteases, we treated CEM-C7H2 sublines constitutively expressing the vaccinia virus protease inhibitor crmA with ceramide analogs. Although such cells were completely resistant to apoptosis induced by antibodies to the Apo-1/Fas surface receptor (a form of apoptosis known to be inhibitable by CrmA), they were not protected from ceramide-induced cell death. In contrast, tetracycline-regulated overexpression of Bcl-2 protected CEM-C7H2 sublines stably transfected with corresponding constructs from ceramide-induced apoptosis. Thus, in these human leukemia cells, ceramides induce a relatively slow death response that can be prevented by Bcl-2, but is independent of CrmA-inhibitable proteases. These characteristics distinguish ceramide-induced from other forms of apoptosis, such as Apo-1/Fas-induced cell death where ceramide production has been causally implicated.","['Geley, S', 'Hartmann, B L', 'Kofler, R']","['Geley S', 'Hartmann BL', 'Kofler R']","['Institute for General and Experimental Pathology, Division of Molecular Pathophysiology, University of Innsbruck, Medical School, Austria.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,FEBS Lett,FEBS letters,0155157,"['0 (Ceramides)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Serpins)', '0 (Viral Proteins)', '0 (fas Receptor)', '96282-35-8 (interleukin-1beta-converting enzyme inhibitor)', 'EC 3.4.22.- (Cysteine Endopeptidases)', 'EC 3.4.22.36 (Caspase 1)']",IM,"['Apoptosis/*drug effects/physiology', 'Caspase 1', 'Ceramides/*pharmacology', 'Cysteine Endopeptidases/metabolism', 'Gene Expression', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell', 'Proto-Oncogene Proteins c-bcl-2/genetics/*physiology', 'Serpins/*physiology', 'Tumor Cells, Cultured', '*Viral Proteins', 'fas Receptor/physiology']",1997/01/02 00:00,1997/01/02 00:01,['1997/01/02 00:00'],"['1997/01/02 00:00 [pubmed]', '1997/01/02 00:01 [medline]', '1997/01/02 00:00 [entrez]']","['S0014-5793(96)01284-7 [pii]', '10.1016/s0014-5793(96)01284-7 [doi]']",ppublish,FEBS Lett. 1997 Jan 2;400(1):15-8. doi: 10.1016/s0014-5793(96)01284-7.,,,,,,,,,,,,,,,,,
