PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,AB,PMC,RF,CIN,GR,PS,FPS
4430013,NLM,MEDLINE,19750218,20190824,0009-2797 (Print) 0009-2797 (Linking),9,4,1974 Oct,Nonspecific inhibition of precursor uptake by alkyl-substituted purines and prednisolone.,237-44,"['Hill, D L', 'Wingo, R']","['Hill DL', 'Wingo R']",['eng'],"['Comparative Study', 'Journal Article']",Ireland,Chem Biol Interact,Chemico-biological interactions,0227276,"['0 (Acetates)', '0 (Carbon Radioisotopes)', '0 (DNA, Neoplasm)', '0 (Ethanolamines)', '0 (Glycoproteins)', '0 (Lipids)', '0 (Neoplasm Proteins)', '04079A1RDZ (Cytarabine)', '10028-17-8 (Tritium)', '9PHQ9Y1OLM (Prednisolone)', 'JAC85A2161 (Adenine)', 'N08U5BOQ1K (Glucosamine)', 'N91BDP6H0X (Choline)', 'VC2W18DGKR (Thymidine)']",IM,"['Acetates/metabolism', 'Adenine/*analogs & derivatives/*pharmacology', 'Adenocarcinoma/*metabolism', 'Animals', 'Carbon Radioisotopes', 'Cell Division', 'Cell Line', 'Choline/metabolism', 'Cytarabine/pharmacology', 'DNA, Neoplasm/biosynthesis', 'Ethanolamines/metabolism', 'Glucosamine/metabolism', 'Glycoproteins/biosynthesis', 'Isotope Labeling', 'Leukemia L1210/*metabolism', 'Lipids/biosynthesis', 'Mice', 'Neoplasm Proteins/biosynthesis', 'Prednisolone/*pharmacology', 'Thymidine/metabolism', 'Time Factors', 'Tritium']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']","['0009-2797(74)90014-3 [pii]', '10.1016/0009-2797(74)90014-3 [doi]']",ppublish,Chem Biol Interact. 1974 Oct;9(4):237-44. doi: 10.1016/0009-2797(74)90014-3.,,,,,,,,
4429964,NLM,MEDLINE,19750213,20211203,0008-5472 (Print) 0008-5472 (Linking),34,12,1974 Dec,Cancer immunity after treatment of Ehrlich tumor with diphtheria toxin.,3481-6,"['Buzzi, S', 'Buzzi, L']","['Buzzi S', 'Buzzi L']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antigens, Neoplasm)', '0 (Diphtheria Toxin)', 'WI4X0X7BPJ (Hydrocortisone)']",IM,"['Animals', 'Antigens, Neoplasm', 'Carcinoma, Ehrlich Tumor/*prevention & control', 'Cross Reactions', '*Diphtheria Toxin/pharmacology', '*Graft Rejection', 'Hydrocortisone/pharmacology', 'Hydrogen-Ion Concentration', 'Immunity/radiation effects', '*Immunization', 'Immunosuppression Therapy', 'Leukemia L1210/immunology', 'Male', 'Mice', 'Mice, Inbred DBA', 'Neoplasm Transplantation', 'Sarcoma 180/immunology', 'Time Factors', 'Transplantation, Homologous']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",,ppublish,Cancer Res. 1974 Dec;34(12):3481-6.,,,,,,,,
4429954,NLM,MEDLINE,19750213,20131121,0008-5472 (Print) 0008-5472 (Linking),34,12,1974 Dec,The intracellular concentration dependence of antifolate inhibition of DNA synthesis in L1210 leukemia cells.,332-40,"['Sirotnak, F M', 'Donsbach, R C']","['Sirotnak FM', 'Donsbach RC']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (DNA, Neoplasm)', '10028-17-8 (Tritium)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Cells, Cultured', 'DNA, Neoplasm/*biosynthesis', 'Depression, Chemical', 'Dose-Response Relationship, Drug', 'Leukemia L1210/enzymology/*metabolism', 'Methotrexate/*metabolism/pharmacology/therapeutic use', 'Mice', 'Tetrahydrofolate Dehydrogenase/metabolism', 'Thymidine/metabolism', 'Time Factors', 'Tritium', 'Uridine/metabolism']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",,ppublish,Cancer Res. 1974 Dec;34(12):332-40.,,,,,,,,
4429763,NLM,MEDLINE,19750213,20061115,0300-0893 (Print) 0300-0893 (Linking),21,3,1974 Mar 20,Experimental screening of 3 forms and 19 derivatives or analogs of ellipticine: oncostatic effect on l 1210 leukaemia and immunosuppressive effect of 4 of them.,101-6,"['Hayat, M', 'Mathe, G', 'Janot, M M', 'Potier, P', 'Dat-Xuong, N', 'Cave, A', 'Sevenet, T', 'Kan-Fan, C', 'Poisson, J', 'Miet, J', 'Le Men, J', 'Le Goffic, F', 'Gouyette, A', 'Ahond, A', 'Dalton, L K', 'Connors, T A']","['Hayat M', 'Mathe G', 'Janot MM', 'Potier P', 'Dat-Xuong N', 'Cave A', 'Sevenet T', 'Kan-Fan C', 'Poisson J', 'Miet J', 'Le Men J', 'Le Goffic F', 'Gouyette A', 'Ahond A', 'Dalton LK', 'Connors TA']",['eng'],"['Comparative Study', 'Journal Article']",France,Biomedicine,Biomedicine / [publiee pour l'A.A.I.C.I.G.],0361342,"['0 (Alkaloids)', '0 (Antineoplastic Agents)', '0 (Carbazoles)', '0 (Immunosuppressive Agents)', '0 (Pyridines)']",IM,"['Alkaloids/*therapeutic use', 'Animals', 'Antineoplastic Agents/*therapeutic use', 'Carbazoles/*therapeutic use', 'Drug Evaluation, Preclinical', 'Immunosuppressive Agents/therapeutic use', 'Leukemia L1210/*drug therapy', 'Mice', 'Pyridines/therapeutic use', 'Time Factors']",1974/03/20 00:00,1974/03/20 00:01,['1974/03/20 00:00'],"['1974/03/20 00:00 [pubmed]', '1974/03/20 00:01 [medline]', '1974/03/20 00:00 [entrez]']",,ppublish,Biomedicine. 1974 Mar 20;21(3):101-6.,,,,,,,,
4429428,NLM,MEDLINE,19750122,20061115,0003-911X (Print) 0003-911X (Linking),43,4,1974,[Coincidence of pregnancy and malignant neoplasms (author's transl)].,377-80,"['Pontuch, A', 'Zajacova, E', 'Blaskova, O', 'Zilak, A', 'Bardosova, A', 'Somska, E', 'Chabada, J']","['Pontuch A', 'Zajacova E', 'Blaskova O', 'Zilak A', 'Bardosova A', 'Somska E', 'Chabada J']",['ger'],"['English Abstract', 'Journal Article']",Germany,Arch Geschwulstforsch,Archiv fur Geschwulstforschung,0372411,,IM,"['Adult', 'Breast Neoplasms/epidemiology', 'Czechoslovakia', 'Female', 'Hodgkin Disease/epidemiology', 'Humans', 'Laryngeal Neoplasms/epidemiology', 'Leukemia/epidemiology', 'Neoplasms/*diagnosis/epidemiology', 'Pregnancy', 'Pregnancy Complications/*diagnosis/epidemiology', 'Sarcoma/epidemiology', 'Thyroid Neoplasms/epidemiology', 'Time Factors', 'Uterine Cervical Neoplasms/epidemiology']",1974/01/01 00:00,1974/01/01 00:01,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '1974/01/01 00:01 [medline]', '1974/01/01 00:00 [entrez]']",,ppublish,Arch Geschwulstforsch. 1974;43(4):377-80.,Die Koinzidenz von Graviditat und malignen Neoplasmen,,,,,,,
4428761,NLM,MEDLINE,19750127,20071115,0043-5325 (Print) 0043-5325 (Linking),86,10,1974 May 17,[Investigations of the kinetics of chromium-labelled lymphocytes in chronic lymphocytic leukaemia (author's transl)].,268-72,"['Neumann, E', 'Mittermayer, K', 'Honetz, N', 'Novotny, R', 'Frischauf, H']","['Neumann E', 'Mittermayer K', 'Honetz N', 'Novotny R', 'Frischauf H']",['ger'],"['English Abstract', 'Journal Article']",Austria,Wien Klin Wochenschr,Wiener klinische Wochenschrift,21620870R,['0 (Chromium Radioisotopes)'],IM,"['Aged', 'Blood Transfusion, Autologous', '*Cell Movement', 'Chromium Radioisotopes', 'Female', 'Humans', 'Kinetics', 'Leukemia, Lymphoid/*blood', 'Liver', 'Lymphocytes/*physiology', 'Male', 'Middle Aged', 'Myocardium', 'Sacrum', 'Spleen']",1974/05/17 00:00,1974/05/17 00:01,['1974/05/17 00:00'],"['1974/05/17 00:00 [pubmed]', '1974/05/17 00:01 [medline]', '1974/05/17 00:00 [entrez]']",,ppublish,Wien Klin Wochenschr. 1974 May 17;86(10):268-72.,Untersuchungen zur Kinetik chrommarkierter Lymphozyten bei chronisch lymphatischer Leukamie,,,,,,,
4428661,NLM,MEDLINE,19750203,20131121,0507-3758 (Print) 0507-3758 (Linking),20,9,1974,[Action of gamma irradiation and vinblastine on transplanted leukemia cells in mice].,90-4,"['Khenkin, E V']",['Khenkin EV'],['rus'],['Journal Article'],Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,['5V9KLZ54CY (Vinblastine)'],IM,"['Animals', 'Cell Survival/drug effects/radiation effects', 'Dose-Response Relationship, Drug', 'Dose-Response Relationship, Radiation', 'Gamma Rays/*therapeutic use', 'Injections, Intraperitoneal', 'Leukemia, Experimental/drug therapy/pathology/*radiotherapy', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Neoplasm Transplantation', '*Radiotherapy', 'Radiotherapy Dosage', 'Time Factors', 'Vinblastine/administration & dosage/*therapeutic use']",1974/01/01 00:00,1974/01/01 00:01,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '1974/01/01 00:01 [medline]', '1974/01/01 00:00 [entrez]']",,ppublish,Vopr Onkol. 1974;20(9):90-4.,Vozdeistvie gamma-izlucheniia i vinblastina na kletki perevivnogo leikoza u myshei,,,,,,,
4428498,NLM,MEDLINE,19750129,20171213,0300-8916 (Print) 0300-8916 (Linking),60,3,1974 May-Jun,[Macrophage electrophoretic migration test for lymphocyte sensitization to tumor antigens (author's transl)].,203-10,"['Tognella, S', 'Mantovani, G', 'Floris, C', 'Cengiarotti, L', 'Del Giacco, G S', 'Grifoni, V']","['Tognella S', 'Mantovani G', 'Floris C', 'Cengiarotti L', 'Del Giacco GS', 'Grifoni V']",['ita'],"['English Abstract', 'Journal Article']",United States,Tumori,Tumori,0111356,"['0 (Antigens, Neoplasm)']",IM,"['Antigens, Neoplasm', '*Cell Migration Inhibition', 'Hodgkin Disease/diagnosis/immunology', 'Humans', 'Leukemia, Lymphoid/diagnosis/immunology', 'Lymphocytes/*immunology', 'Macrophages/*immunology', 'Neoplasms/*diagnosis/immunology', 'Sarcoma/diagnosis/immunology']",1974/05/01 00:00,1974/05/01 00:01,['1974/05/01 00:00'],"['1974/05/01 00:00 [pubmed]', '1974/05/01 00:01 [medline]', '1974/05/01 00:00 [entrez]']",,ppublish,Tumori. 1974 May-Jun;60(3):203-10.,Test citoferometrico per l'evidenziazione di linfociti sensibilizzati ad antigeni neoplastici (MEM test),,,,,,,
4428440,NLM,MEDLINE,19750129,20211203,0040-4675 (Print) 0040-4675 (Linking),32,2,1974 Summer,A research note on recent trends and differentials in cancer mortality in Texas.,519-34,"['Lee, E S', 'Roberts, R E', 'Labarthe, D R']","['Lee ES', 'Roberts RE', 'Labarthe DR']",['eng'],['Journal Article'],United States,Tex Rep Biol Med,Texas reports on biology and medicine,2984820R,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Breast Neoplasms/mortality', 'Child', 'Child, Preschool', 'Ethnicity', 'Female', 'Gastrointestinal Neoplasms/mortality', 'Humans', 'Infant', 'Leukemia/mortality', 'Male', 'Middle Aged', 'Neoplasms/*mortality', 'Racial Groups', 'Respiratory Tract Neoplasms/mortality', 'Sex Factors', 'Socioeconomic Factors', 'Texas', 'Urogenital Neoplasms/mortality']",1974/01/01 00:00,1974/01/01 00:01,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '1974/01/01 00:01 [medline]', '1974/01/01 00:00 [entrez]']",,ppublish,Tex Rep Biol Med. 1974 Summer;32(2):519-34.,,,,,,,,
4428236,NLM,MEDLINE,19750201,20071115,0038-5077 (Print) 0038-5077 (Linking),,10,1974 Oct,[Clinical aspects and means of rehabilitation of patients with chronic lymphoid leukosis].,20-5,"['Lebedev, V N', 'Lebedeva, Iu L']","['Lebedev VN', 'Lebedeva IuL']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Sov Med,Sovetskaia meditsina,0404525,,IM,"['Adult', 'Aged', 'Female', 'Humans', 'Leukemia, Lymphoid/diagnosis/*rehabilitation/therapy', 'Male', 'Middle Aged', '*Rehabilitation, Vocational', 'USSR']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",,ppublish,Sov Med. 1974 Oct;(10):20-5.,Klinika i puti reabilitatsii bol'nykh khronicheskim limfoleikozom,,,,,,,
